date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,74.06,75.15,73.8,75.09,135480400,74.68,"January 02, 20",73.06,135480400.0,1.03,1.39,0.0139
2020-01-03,74.29,75.14,74.13,74.36,146322800,74.54,"January 03, 20",72.35,146322800.0,0.07,0.09422533,0.0009422533
2020-01-06,73.45,74.99,73.19,74.95,118387200,74.38,"January 06, 20",72.93,118387200.0,1.5,2.04,0.0204
2020-01-07,74.96,75.22,74.37,74.6,108872000,74.73,"January 07, 20",72.58,108872000.0,-0.36,-0.48026,-0.0048026
2020-01-08,74.29,76.11,74.29,75.8,132079200,75.4,"January 08, 20",73.75,132079200.0,1.51,2.03,0.0203
2020-01-09,76.81,77.61,76.55,77.41,170108400,77.19,"January 09, 20",75.32,170108400.0,0.6,0.78115,0.0078115
2020-01-10,77.65,78.17,77.06,77.58,140644800,77.6,"January 10, 20",75.49,140644800.0,-0.07,-0.0901481,-0.000901481
2020-01-13,77.91,79.27,77.79,79.24,121532000,78.76,"January 13, 20",77.1,121532000.0,1.33,1.71,0.0171
2020-01-14,79.18,79.39,78.04,78.17,161954400,78.54,"January 14, 20",76.06,161954400.0,-1.01,-1.28,-0.0128
2020-01-15,77.96,78.88,77.39,77.83,121923600,78.03,"January 15, 20",75.73,121923600.0,-0.13,-0.16675,-0.0016675
2020-01-16,78.4,78.93,78.02,78.81,108829200,78.59,"January 16, 20",76.68,108829200.0,0.41,0.52296,0.0052296
2020-01-17,79.07,79.68,78.75,79.68,137816400,79.37,"January 17, 20",77.53,137816400.0,0.61,0.77147,0.0077147
2020-01-21,79.3,79.75,79.0,79.14,110843200,79.3,"January 21, 20",77.0,110843200.0,-0.16,-0.20177,-0.0020177
2020-01-22,79.64,80.0,79.33,79.43,101832400,79.58,"January 22, 20",77.28,101832400.0,-0.21,-0.26369,-0.0026369
2020-01-23,79.48,79.89,78.91,79.81,104472000,79.54,"January 23, 20",77.65,104472000.0,0.33,0.4152,0.004152
2020-01-24,80.06,80.83,79.38,79.58,146537600,79.93,"January 24, 20",77.43,146537600.0,-0.48,-0.59955,-0.0059955
2020-01-27,77.51,77.94,76.22,77.24,161940000,77.13,"January 27, 20",75.15,161940000.0,-0.27,-0.34834,-0.0034834
2020-01-28,78.15,79.6,78.05,79.42,162234000,79.02,"January 28, 20",77.28,162234000.0,1.27,1.63,0.0163
2020-01-29,81.11,81.96,80.35,81.08,216229200,81.13,"January 29, 20",78.89,216229200.0,-0.03,-0.03698681,-0.0003698681
2020-01-30,80.14,81.02,79.69,80.97,126743200,80.56,"January 30, 20",78.78,126743200.0,0.83,1.04,0.0104
2020-01-31,80.23,80.67,77.07,77.38,199588400,78.37,"January 31, 20",75.29,199588400.0,-2.85,-3.55,-0.0355
2020-02-03,76.07,78.37,75.56,77.17,173788400,77.03,"February 03, 20",75.08,173788400.0,1.1,1.45,0.0145
2020-02-04,78.83,79.91,78.41,79.71,136616400,79.34,"February 04, 20",77.56,136616400.0,0.88,1.12,0.0112
2020-02-05,80.88,81.19,79.74,80.36,118826800,80.43,"February 05, 20",78.19,118826800.0,-0.52,-0.64293,-0.0064293
2020-02-06,80.64,81.31,80.07,81.3,105425600,80.89,"February 06, 20",79.11,105425600.0,0.66,0.81845,0.0081845
2020-02-07,80.59,80.85,79.5,80.01,117684000,80.12,"February 07, 20",78.03,117684000.0,-0.58,-0.71969,-0.0071969
2020-02-10,78.54,80.39,78.46,80.39,109348800,79.75,"February 10, 20",78.4,109348800.0,1.85,2.36,0.0236
2020-02-11,80.9,80.97,79.68,79.9,94323200,80.18,"February 11, 20",77.93,94323200.0,-1.0,-1.24,-0.0124
2020-02-12,80.37,81.81,80.37,81.8,113730400,81.32,"February 12, 20",79.78,113730400.0,1.43,1.78,0.0178
2020-02-13,81.05,81.56,80.84,81.22,94747600,81.2,"February 13, 20",79.21,94747600.0,0.17,0.20975,0.0020975
2020-02-14,81.18,81.5,80.71,81.24,80113600,81.15,"February 14, 20",79.23,80113600.0,0.06,0.07390983,0.0007390983
2020-02-18,78.84,79.94,78.65,79.75,152531200,79.45,"February 18, 20",77.78,152531200.0,0.91,1.15,0.0115
2020-02-19,80.0,81.14,80.0,80.9,93984000,80.68,"February 19, 20",78.91,93984000.0,0.9,1.13,0.0113
2020-02-20,80.66,81.16,79.55,80.07,100566000,80.26,"February 20, 20",78.1,100566000.0,-0.59,-0.73147,-0.0073147
2020-02-21,79.65,80.11,77.63,78.26,129554000,78.67,"February 21, 20",76.33,129554000.0,-1.39,-1.75,-0.0175
2020-02-24,74.32,76.04,72.31,74.54,222195200,74.3,"February 24, 20",72.7,222195200.0,0.22,0.29602,0.0029602
2020-02-25,75.24,75.63,71.53,72.02,230673600,73.06,"February 25, 20",70.24,230673600.0,-3.22,-4.28,-0.0428
2020-02-26,71.63,74.47,71.63,73.16,198054800,73.09,"February 26, 20",71.36,198054800.0,1.53,2.14,0.0214
2020-02-27,70.28,71.5,68.24,68.38,320605600,69.37,"February 27, 20",66.69,320605600.0,-1.9,-2.7,-0.027
