date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,94.5,94.56,92.98,93.46,1779700,0.0,0.0
2020-01-03,93.28,94.04,93.1,93.36,1939400,0.0,0.0
2020-01-06,93.35,93.99,93.27,93.67,1253200,0.0,0.0
2020-01-07,93.28,93.83,92.94,93.69,2608100,0.0,0.0
2020-01-08,93.41,94.02,93.18,93.41,2245400,0.0,0.0
2020-01-09,93.27,94.14,93.26,93.88,2141900,0.0,0.0
2020-01-10,94.2,94.66,94.02,94.34,1452800,0.0,0.0
2020-01-13,94.39,95.1,94.39,94.63,2383800,0.0,0.0
2020-01-14,94.55,94.98,94.05,94.98,2717500,0.0,0.0
2020-01-15,95.7,96.67,95.52,96.6,4114400,0.0,0.0
2020-01-16,96.69,97.53,96.64,97.31,2175900,0.0,0.0
2020-01-17,97.42,98.66,97.06,98.56,4554800,0.0,0.0
2020-01-21,98.81,99.85,98.51,99.34,4731400,0.0,0.0
2020-01-22,100.0,100.4,99.8,100.0,2985100,0.0,0.0
2020-01-23,100.03,101.03,100.01,100.97,2402200,0.0,0.0
2020-01-24,100.97,102.36,100.79,102.16,3189000,0.0,0.0
2020-01-27,102.13,102.75,101.59,101.78,2294900,0.0,0.0
2020-01-28,101.83,102.55,101.71,102.19,1572400,0.0,0.0
2020-01-29,102.34,103.14,101.86,102.81,1643600,0.0,0.0
2020-01-30,102.73,104.13,102.41,104.1,1952900,0.0,0.0
2020-01-31,104.0,104.43,103.61,104.22,2457800,0.0,0.0
2020-02-03,104.47,104.7,103.86,104.22,3671500,0.0,0.0
2020-02-04,103.82,104.97,102.85,102.87,3203200,0.0,0.0
2020-02-05,102.73,103.1,101.97,102.12,4064600,0.0,0.0
2020-02-06,101.98,102.72,101.98,102.25,2752700,0.0,0.0
2020-02-07,102.04,102.19,101.24,101.34,2260700,0.7,0.0
2020-02-10,101.67,101.98,101.21,101.92,1541000,0.0,0.0
2020-02-11,102.0,102.42,101.76,102.22,1498000,0.0,0.0
2020-02-12,101.78,102.35,101.35,101.79,1503500,0.0,0.0
2020-02-13,102.2,103.18,101.66,102.85,2555100,0.0,0.0
2020-02-14,103.15,103.88,102.92,103.76,1377000,0.0,0.0
2020-02-18,104.08,104.63,103.84,104.33,2121900,0.0,0.0
2020-02-19,104.15,104.39,103.44,103.5,1910000,0.0,0.0
2020-02-20,102.95,103.99,102.04,102.38,3344500,0.0,0.0
2020-02-21,102.05,103.14,101.61,101.71,3361300,0.0,0.0
2020-02-24,101.63,102.3,100.03,100.04,3279600,0.0,0.0
2020-02-25,100.23,100.62,97.94,98.17,3356500,0.0,0.0
2020-02-26,98.4,99.02,97.39,97.43,3258500,0.0,0.0
2020-02-27,97.31,97.51,91.79,91.86,5865600,0.0,0.0
2020-02-28,90.03,90.03,86.42,89.26,6763800,0.0,0.0
2020-03-02,89.55,95.31,89.34,95.09,4936200,0.0,0.0
2020-03-03,95.0,97.8,94.05,95.45,6823000,0.0,0.0
2020-03-04,96.37,100.65,96.37,99.82,4027200,0.0,0.0
2020-03-05,98.37,100.18,97.72,98.79,5285700,0.0,0.0
2020-03-06,95.9,97.72,93.85,97.7,5815300,0.0,0.0
2020-03-09,92.81,99.39,92.52,94.96,6660600,0.0,0.0
2020-03-10,98.32,98.33,91.23,94.72,5729000,0.0,0.0
2020-03-11,92.91,92.96,88.04,89.72,4213600,0.0,0.0
2020-03-12,83.0,85.97,73.53,82.54,7534000,0.0,0.0
2020-03-13,86.43,87.15,81.71,86.47,5127500,0.0,0.0
2020-03-16,78.57,86.18,77.76,81.66,5564600,0.0,0.0
2020-03-17,83.64,95.77,83.49,91.2,6641800,0.0,0.0
2020-03-18,85.02,92.86,81.01,88.28,5517900,0.0,0.0
2020-03-19,88.0,88.06,79.57,80.81,4741700,0.0,0.0
2020-03-20,80.95,81.1,70.26,71.45,5611000,0.0,0.0
2020-03-23,71.02,71.84,65.14,70.0,5499800,0.0,0.0
2020-03-24,71.66,73.78,68.09,72.05,4937500,0.0,0.0
2020-03-25,71.38,76.31,69.35,73.29,5448600,0.0,0.0
2020-03-26,73.48,82.88,73.25,81.8,3903500,0.0,0.0
2020-03-27,79.79,86.59,79.13,83.4,3255200,0.0,0.0
2020-03-30,84.87,86.45,79.83,83.71,5390500,0.0,0.0
2020-03-31,82.68,83.49,79.24,79.98,6247300,0.0,0.0
2020-04-01,77.45,78.91,73.82,74.57,3570100,0.0,0.0
2020-04-02,73.63,77.58,72.39,76.79,4959900,0.0,0.0
2020-04-03,75.83,76.72,71.2,72.5,3963900,0.0,0.0
2020-04-06,74.87,79.78,74.59,78.59,3610300,0.0,0.0
2020-04-07,80.68,81.16,77.94,78.75,4037600,0.0,0.0
2020-04-08,79.26,83.87,79.0,83.3,2912800,0.0,0.0
2020-04-09,83.99,88.29,83.99,86.31,4003700,0.0,0.0
2020-04-13,85.64,86.6,82.56,83.5,2076600,0.0,0.0
2020-04-14,85.53,86.38,84.65,86.25,2187800,0.0,0.0
2020-04-15,85.08,85.5,83.29,83.61,2558800,0.0,0.0
2020-04-16,84.3,84.7,82.78,84.05,1802900,0.0,0.0
2020-04-17,85.45,86.97,84.58,86.38,2323500,0.0,0.0
2020-04-20,87.32,87.32,82.83,82.91,2331300,0.0,0.0
2020-04-21,81.77,82.84,80.91,82.47,3013900,0.0,0.0
2020-04-22,83.55,85.67,83.07,85.0,2512400,0.0,0.0
2020-04-23,84.82,85.19,82.86,83.02,2426400,0.0,0.0
2020-04-24,82.77,83.62,82.59,83.23,2828700,0.0,0.0
2020-04-27,83.78,84.39,83.47,83.62,1956200,0.0,0.0
2020-04-28,84.72,86.57,84.2,84.63,2129700,0.0,0.0
2020-04-29,85.75,85.8,82.87,83.13,3387600,0.0,0.0
2020-04-30,83.1,83.58,81.87,83.11,3253600,0.0,0.0
2020-05-01,82.39,82.66,81.05,81.39,2742100,0.0,0.0
2020-05-04,81.19,83.27,80.46,83.05,2419300,0.0,0.0
2020-05-05,82.64,84.64,82.01,83.31,2982800,0.0,0.0
2020-05-06,84.26,84.33,78.45,78.82,5099800,0.0,0.0
2020-05-07,78.82,80.66,78.27,78.6,3833200,0.7,0.0
2020-05-08,79.16,80.42,79.0,79.86,2409200,0.0,0.0
2020-05-11,79.35,79.94,78.01,79.17,2496900,0.0,0.0
2020-05-12,79.5,79.72,77.51,77.91,3699100,0.0,0.0
2020-05-13,77.49,77.85,76.71,77.73,3673700,0.0,0.0
2020-05-14,77.29,78.7,76.23,78.1,3766800,0.0,0.0
2020-05-15,77.5,78.46,76.66,78.43,8018100,0.0,0.0
2020-05-18,79.28,80.7,79.19,79.88,3470500,0.0,0.0
2020-05-19,79.29,79.37,77.13,77.14,2781100,0.0,0.0
2020-05-20,78.08,78.56,77.18,77.75,2160200,0.0,0.0
2020-05-21,77.59,77.82,76.89,77.37,2108400,0.0,0.0
2020-05-22,77.39,78.84,77.35,78.78,2186400,0.0,0.0
2020-05-26,79.5,80.78,79.31,79.92,2952100,0.0,0.0
2020-05-27,81.04,81.49,80.27,81.44,3547600,0.0,0.0
2020-05-28,82.62,85.62,82.62,85.1,3752100,0.0,0.0
2020-05-29,84.99,85.85,84.31,85.25,3445400,0.0,0.0
2020-06-01,85.08,86.46,84.86,86.14,1711500,0.0,0.0
2020-06-02,86.81,86.84,85.26,85.98,1672300,0.0,0.0
2020-06-03,86.31,87.96,86.12,86.99,1868100,0.0,0.0
2020-06-04,86.39,86.54,83.38,84.4,2252900,0.0,0.0
2020-06-05,84.99,87.1,84.72,85.51,2670600,0.0,0.0
2020-06-08,85.43,88.12,85.02,87.91,2179500,0.0,0.0
2020-06-09,87.31,87.35,84.82,85.91,2041700,0.0,0.0
2020-06-10,85.83,86.9,85.3,85.37,2059700,0.0,0.0
2020-06-11,84.08,84.35,81.0,81.76,3910100,0.0,0.0
2020-06-12,83.0,83.03,80.62,81.8,2389400,0.0,0.0
2020-06-15,80.16,82.17,79.7,81.76,3115900,0.0,0.0
2020-06-16,83.52,84.02,81.19,81.6,3505700,0.0,0.0
2020-06-17,82.25,82.75,80.91,82.25,1888300,0.0,0.0
2020-06-18,81.86,82.39,80.98,81.77,1896600,0.0,0.0
2020-06-19,82.62,82.62,79.66,79.71,5708900,0.0,0.0
2020-06-22,79.6,81.16,79.32,80.62,2741500,0.0,0.0
2020-06-23,81.5,81.97,80.06,80.95,3444900,0.0,0.0
2020-06-24,80.23,80.96,79.77,80.71,3337500,0.0,0.0
2020-06-25,80.41,80.61,78.76,79.3,3559400,0.0,0.0
2020-06-26,79.31,80.23,77.15,78.0,4365200,0.0,0.0
2020-06-29,78.72,79.57,78.19,79.57,2377000,0.0,0.0
2020-06-30,79.7,80.78,79.05,79.64,2586900,0.0,0.0
2020-07-01,79.76,82.51,79.71,82.0,2378100,0.0,0.0
2020-07-02,82.67,83.29,82.3,82.52,1645300,0.0,0.0
2020-07-06,83.11,83.72,81.12,82.12,2250100,0.0,0.0
2020-07-07,81.3,82.57,80.64,82.39,2944900,0.0,0.0
2020-07-08,82.18,82.9,81.71,82.42,1809400,0.0,0.0
2020-07-09,81.92,82.43,80.48,82.02,2034400,0.0,0.0
2020-07-10,82.05,84.44,82.05,84.15,3023200,0.0,0.0
2020-07-13,83.9,85.08,83.53,84.76,3378200,0.0,0.0
2020-07-14,84.6,86.06,84.44,85.35,3150100,0.0,0.0
2020-07-15,86.03,87.04,84.42,84.68,2914200,0.0,0.0
2020-07-16,84.79,85.55,84.55,85.09,2510300,0.0,0.0
2020-07-17,85.79,87.75,85.19,87.51,2812100,0.0,0.0
2020-07-20,87.54,88.38,86.61,86.72,2159100,0.0,0.0
2020-07-21,87.28,88.52,86.72,87.56,1908700,0.0,0.0
2020-07-22,87.04,89.38,86.38,89.28,3059300,0.0,0.0
2020-07-23,89.14,89.45,88.05,88.71,2707400,0.0,0.0
2020-07-24,89.07,89.93,87.65,88.05,2085900,0.0,0.0
2020-07-27,87.23,87.42,79.23,83.26,22455700,0.0,0.0
2020-07-28,83.38,85.25,83.38,84.74,5519400,0.0,0.0
2020-07-29,85.0,85.26,83.84,84.8,2950500,0.0,0.0
2020-07-30,84.48,86.07,83.92,86.07,2684100,0.0,0.0
2020-07-31,85.74,86.97,85.16,86.88,2797300,0.0,0.0
2020-08-03,86.62,86.62,84.95,85.77,2088500,0.0,0.0
2020-08-04,85.53,86.79,85.18,85.54,2162700,0.0,0.0
2020-08-05,85.84,86.12,84.5,84.83,2233400,0.0,0.0
2020-08-06,84.01,85.6,82.77,85.37,2313300,0.0,0.0
2020-08-07,84.25,87.15,84.25,86.6,2230700,0.7,0.0
2020-08-10,86.94,86.94,85.5,85.94,2774100,0.0,0.0
2020-08-11,85.2,85.27,82.87,83.29,6387000,0.0,0.0
2020-08-12,83.75,85.11,83.73,84.15,5597400,0.0,0.0
2020-08-13,83.57,84.01,83.11,83.66,2059600,0.0,0.0
2020-08-14,83.44,83.77,82.79,82.95,2874900,0.0,0.0
2020-08-17,83.27,83.32,81.21,81.23,2988700,0.0,0.0
2020-08-18,81.36,81.67,80.06,81.55,3340900,0.0,0.0
2020-08-19,81.59,81.63,80.67,80.92,2021000,0.0,0.0
2020-08-20,80.69,81.04,79.17,79.41,2412200,0.0,0.0
2020-08-21,79.2,79.69,77.99,79.08,3090600,0.0,0.0
2020-08-24,79.25,80.97,78.73,80.78,2519800,0.0,0.0
2020-08-25,80.85,80.86,79.39,79.77,1685000,0.0,0.0
2020-08-26,79.06,79.44,78.17,78.61,2532000,0.0,0.0
2020-08-27,78.8,79.36,78.2,78.37,2159800,0.0,0.0
2020-08-28,78.38,78.44,77.32,78.35,2894300,0.0,0.0
2020-08-31,78.75,80.24,77.78,78.83,4966700,0.0,0.0
2020-09-01,78.59,78.64,77.3,77.82,3172100,0.0,0.0
2020-09-02,77.81,80.51,77.71,80.31,3201300,0.0,0.0
2020-09-03,80.66,81.28,78.73,79.56,2230000,0.0,0.0
2020-09-04,79.55,79.89,77.91,79.05,1710200,0.0,0.0
2020-09-08,79.08,79.38,77.67,78.98,1821800,0.0,0.0
2020-09-09,79.5,81.13,79.19,79.91,2124500,0.0,0.0
2020-09-10,79.4,79.59,78.14,78.52,2424100,0.0,0.0
2020-09-11,78.48,79.19,78.12,79.15,1824100,0.0,0.0
2020-09-14,79.32,81.01,79.21,80.34,1979500,0.0,0.0
2020-09-15,80.61,81.34,79.39,80.0,1667400,0.0,0.0
2020-09-16,79.84,80.98,79.61,80.46,2111300,0.0,0.0
2020-09-17,80.01,80.07,79.11,80.04,1562700,0.0,0.0
2020-09-18,79.89,79.95,78.51,78.78,3160200,0.0,0.0
2020-09-21,78.34,79.54,77.79,79.36,3135200,0.0,0.0
2020-09-22,78.97,80.65,78.84,79.85,1773700,0.0,0.0
2020-09-23,79.84,80.17,78.94,79.18,3406000,0.0,0.0
2020-09-24,79.13,80.57,78.58,80.49,3551500,0.0,0.0
2020-09-25,80.31,80.89,79.81,80.65,3252500,0.0,0.0
2020-09-28,81.06,81.53,80.46,80.65,1707900,0.0,0.0
2020-09-29,81.01,81.56,80.48,80.97,1688800,0.0,0.0
2020-09-30,81.54,82.1,81.24,81.73,2594900,0.0,0.0
2020-10-01,81.69,83.09,81.3,83.06,2365600,0.0,0.0
2020-10-02,82.73,85.61,82.22,85.3,3883000,0.0,0.0
2020-10-05,85.25,87.33,84.25,87.05,3397300,0.0,0.0
2020-10-06,86.62,89.68,86.36,88.43,4369600,0.0,0.0
2020-10-07,88.8,89.65,88.09,88.61,2257000,0.0,0.0
2020-10-08,88.93,89.82,88.37,89.38,1626200,0.0,0.0
2020-10-09,89.95,89.95,88.56,89.82,2734600,0.0,0.0
2020-10-12,89.7,91.26,88.91,90.48,2301800,0.0,0.0
2020-10-13,89.89,89.96,88.44,89.23,3103100,0.0,0.0
2020-10-14,89.53,90.05,88.59,89.34,2283300,0.0,0.0
2020-10-15,88.56,90.62,88.56,89.54,1674800,0.0,0.0
2020-10-16,89.76,91.69,89.36,91.52,1966600,0.0,0.0
2020-10-19,91.43,91.87,90.94,91.28,2229600,0.0,0.0
2020-10-20,91.9,91.9,90.02,90.68,3647000,0.0,0.0
2020-10-21,90.41,91.37,90.08,90.4,2604500,0.0,0.0
2020-10-22,90.17,92.7,89.79,92.2,3507900,0.0,0.0
2020-10-23,92.15,92.31,91.52,91.88,3525700,0.0,0.0
2020-10-26,91.46,94.21,91.46,93.59,3753500,0.0,0.0
2020-10-27,93.08,93.8,91.96,92.53,2485800,0.0,0.0
2020-10-28,92.07,93.44,90.18,90.32,2916300,0.0,0.0
2020-10-29,90.06,91.48,88.84,90.54,2215600,0.0,0.0
2020-10-30,90.6,91.14,88.75,89.93,2415000,0.0,0.0
2020-11-02,90.83,91.24,89.77,91.23,3171400,0.0,0.0
2020-11-03,92.09,92.09,90.45,90.89,2886700,0.0,0.0
2020-11-04,90.65,92.13,89.99,90.15,2401700,0.0,0.0
2020-11-05,91.08,92.83,90.58,90.71,3012400,0.0,0.0
2020-11-06,91.11,91.91,90.47,90.92,2145700,0.0,0.0
2020-11-09,92.0,94.21,90.03,90.26,3674500,0.74,0.0
2020-11-10,90.04,91.74,89.39,90.79,2587100,0.0,0.0
2020-11-11,91.28,92.79,90.73,91.15,2094200,0.0,0.0
2020-11-12,90.39,90.88,88.84,89.64,1687500,0.0,0.0
2020-11-13,90.02,90.47,89.2,89.87,1936200,0.0,0.0
2020-11-16,89.27,89.81,88.01,89.21,4201000,0.0,0.0
2020-11-17,88.9,89.18,86.49,86.73,3052600,0.0,0.0
2020-11-18,87.27,87.28,84.05,84.13,2861600,0.0,0.0
2020-11-19,83.33,83.69,81.98,82.45,4399200,0.0,0.0
2020-11-20,81.79,82.79,80.81,82.49,5841200,0.0,0.0
2020-11-23,83.22,83.83,82.4,83.41,4275400,0.0,0.0
2020-11-24,84.1,84.97,83.33,84.82,2864000,0.0,0.0
2020-11-25,85.11,85.54,84.28,85.37,2276400,0.0,0.0
2020-11-27,85.27,85.41,84.13,84.92,1154600,0.0,0.0
2020-11-30,84.82,85.25,84.01,84.89,3484500,0.0,0.0
2020-12-01,85.23,86.28,84.61,85.21,3362600,0.0,0.0
2020-12-02,84.86,85.95,84.08,85.87,1858700,0.0,0.0
2020-12-03,85.59,85.69,84.22,84.74,2590300,0.0,0.0
2020-12-04,84.59,85.03,82.64,83.39,3094200,0.0,0.0
2020-12-07,82.85,84.13,82.8,83.84,2545700,0.0,0.0
2020-12-08,83.67,84.09,82.69,83.49,2077200,0.0,0.0
2020-12-09,83.49,83.85,82.83,83.6,2491800,0.0,0.0
2020-12-10,84.0,84.03,82.21,82.48,2449500,0.0,0.0
2020-12-11,82.05,82.88,81.88,82.76,1884400,0.0,0.0
2020-12-14,83.8,84.47,82.14,82.21,2756400,0.0,0.0
