date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,243.0,243.19,238.98,240.1,2088000,240.76,"January 02, 20",212.33,2088000.0,-2.9,-1.19,-0.0119
2020-01-03,237.16,240.26,236.24,238.47,1879000,238.32,"January 03, 20",210.89,1879000.0,1.31,0.55237,0.0055237
2020-01-06,237.2,240.45,236.56,240.3,1802800,239.1,"January 06, 20",212.51,1802800.0,3.1,1.31,0.0131
2020-01-07,239.31,240.0,237.59,238.04,1518900,238.54,"January 07, 20",210.51,1518900.0,-1.27,-0.53069,-0.0053069
2020-01-08,237.93,239.58,236.61,238.22,2214700,238.14,"January 08, 20",210.67,2214700.0,0.29,0.12188,0.0012188
2020-01-09,239.69,239.69,237.97,238.93,1629000,238.86,"January 09, 20",211.3,1629000.0,-0.76,-0.31708,-0.0031708
2020-01-10,238.68,240.93,237.61,238.26,1777600,238.93,"January 10, 20",210.71,1777600.0,-0.42,-0.17597,-0.0017597
2020-01-13,238.26,238.33,234.79,236.92,2004400,236.68,"January 13, 20",209.52,2004400.0,-1.34,-0.56241,-0.0056241
2020-01-14,235.8,240.68,235.17,240.0,2239100,238.62,"January 14, 20",212.24,2239100.0,4.2,1.78,0.0178
2020-01-15,240.67,242.6,240.05,241.7,1920700,241.45,"January 15, 20",213.75,1920700.0,1.03,0.42797,0.0042797
2020-01-16,242.18,243.85,239.85,240.5,2085700,241.4,"January 16, 20",212.69,2085700.0,-1.68,-0.6937,-0.006937
2020-01-17,242.11,242.14,239.27,241.49,2582800,240.97,"January 17, 20",213.56,2582800.0,-0.62,-0.25608,-0.0025608
2020-01-21,240.97,242.01,237.26,237.6,3094200,238.96,"January 21, 20",210.12,3094200.0,-3.37,-1.4,-0.014
2020-01-22,238.75,239.7,235.76,236.75,1998200,237.4,"January 22, 20",209.37,1998200.0,-2.0,-0.8377,-0.008377
2020-01-23,237.06,237.06,233.07,235.04,2088700,235.06,"January 23, 20",207.86,2088700.0,-2.02,-0.8521,-0.008521
2020-01-24,235.8,235.88,224.5,225.59,5019900,228.66,"January 24, 20",199.5,5019900.0,-10.21,-4.33,-0.0433
2020-01-27,223.68,224.93,221.17,222.95,2843600,223.02,"January 27, 20",197.17,2843600.0,-0.73,-0.32636,-0.0032636
2020-01-28,223.57,226.7,222.85,224.84,2103900,224.8,"January 28, 20",198.84,2103900.0,1.27,0.56805,0.0056805
2020-01-29,225.5,228.93,225.0,227.15,2001100,227.03,"January 29, 20",200.88,2001100.0,1.65,0.73171,0.0073171
2020-01-30,226.0,226.97,223.31,226.15,2581600,225.48,"January 30, 20",200.0,2581600.0,0.15,0.06637168,0.0006637168
2020-01-31,218.76,219.08,210.01,216.05,5968900,215.05,"January 31, 20",191.06,5968900.0,-2.71,-1.24,-0.0124
2020-02-03,216.39,219.62,215.56,216.88,2565400,217.35,"February 03, 20",191.8,2565400.0,0.49,0.22644,0.0022644
2020-02-04,220.77,223.85,220.48,221.81,2765300,222.05,"February 04, 20",196.16,2765300.0,1.04,0.47108,0.0047108
2020-02-05,223.74,234.64,223.74,231.94,3669500,230.11,"February 05, 20",205.12,3669500.0,8.2,3.66,0.0366
2020-02-06,233.72,233.89,229.34,231.45,2007500,231.56,"February 06, 20",204.68,2007500.0,-2.27,-0.97125,-0.0097125
2020-02-07,231.41,232.18,227.67,229.33,2295100,229.73,"February 07, 20",202.81,2295100.0,-2.08,-0.89884,-0.0089884
2020-02-10,228.15,228.96,226.26,227.42,2144700,227.55,"February 10, 20",201.12,2144700.0,-0.73,-0.31996,-0.0031996
2020-02-11,227.7,229.47,226.8,228.96,1934500,228.41,"February 11, 20",202.48,1934500.0,1.26,0.55336,0.0055336
2020-02-12,229.47,230.23,225.88,227.0,2501300,227.7,"February 12, 20",200.75,2501300.0,-2.47,-1.08,-0.0108
2020-02-13,224.99,226.52,222.82,223.04,1946500,224.13,"February 13, 20",198.65,1946500.0,-1.95,-0.86671,-0.0086671
2020-02-14,222.93,223.49,221.34,223.48,1611900,222.77,"February 14, 20",199.04,1611900.0,0.55,0.24671,0.0024671
2020-02-18,224.15,224.35,220.92,221.69,1936400,222.32,"February 18, 20",197.44,1936400.0,-2.46,-1.1,-0.011
2020-02-19,222.94,224.05,222.05,222.96,1322900,223.02,"February 19, 20",198.57,1322900.0,0.02,0.00897102,8.97102e-05
2020-02-20,223.2,223.48,218.51,222.14,1638000,221.38,"February 20, 20",197.84,1638000.0,-1.06,-0.47491,-0.0047491
2020-02-21,222.24,223.8,220.99,222.79,2047500,222.53,"February 21, 20",198.42,2047500.0,0.55,0.24748,0.0024748
2020-02-24,219.88,223.99,215.76,217.88,3049600,219.21,"February 24, 20",194.05,3049600.0,-2.0,-0.90959,-0.0090959
2020-02-25,218.08,219.56,209.82,210.38,3915500,213.25,"February 25, 20",187.37,3915500.0,-7.7,-3.53,-0.0353
2020-02-26,216.18,216.7,212.02,214.54,3314000,214.42,"February 26, 20",191.08,3314000.0,-1.64,-0.75863,-0.0075863
2020-02-27,214.92,215.28,203.22,203.5,4071100,207.33,"February 27, 20",181.24,4071100.0,-11.42,-5.31,-0.0531
2020-02-28,198.05,203.0,195.18,199.73,5316100,199.3,"February 28, 20",177.88,5316100.0,1.68,0.84827,0.0084827
2020-03-02,199.9,212.37,198.71,212.2,4245700,207.76,"March 02, 20",188.99,4245700.0,12.3,6.15,0.0615
2020-03-03,210.34,216.16,202.66,204.42,3975100,207.75,"March 03, 20",182.06,3975100.0,-5.92,-2.81,-0.0281
2020-03-04,209.53,215.29,207.62,215.11,3880200,212.67,"March 04, 20",191.58,3880200.0,5.58,2.66,0.0266
2020-03-05,207.66,216.39,207.58,212.12,3185400,212.03,"March 05, 20",188.92,3185400.0,4.46,2.15,0.0215
