date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,301.27,303.32,300.61,302.83,573600,0.0,0.0
2020-01-03,298.04,300.75,297.66,297.95,410800,0.0,0.0
2020-01-06,293.17,295.72,292.43,295.58,617600,0.0,0.0
2020-01-07,298.67,301.22,297.41,298.79,477700,0.0,0.0
2020-01-08,300.66,303.19,299.94,301.89,536900,0.0,0.0
2020-01-09,303.28,303.91,300.27,301.38,579700,0.0,0.0
2020-01-10,300.05,300.51,295.56,296.18,447700,0.0,0.0
2020-01-13,298.68,301.62,297.5,301.45,405700,0.0,0.0
2020-01-14,299.15,305.9,298.47,302.55,609600,0.0,0.0
2020-01-15,301.6,302.95,299.75,300.08,505300,0.0,0.0
2020-01-16,302.55,302.94,299.55,301.08,547500,0.0,0.0
2020-01-17,300.9,301.05,299.27,300.04,743900,0.0,0.0
2020-01-21,298.11,301.25,297.47,298.4,573000,0.0,0.0
2020-01-22,300.56,301.66,296.01,296.25,1108600,0.0,0.0
2020-01-23,296.93,297.1,291.56,294.32,713000,0.0,0.0
2020-01-24,296.89,299.33,294.49,295.83,977800,0.0,0.0
2020-01-27,287.16,288.62,283.77,284.28,889100,0.0,0.0
2020-01-28,286.23,290.26,285.16,290.18,1636100,0.0,0.0
2020-01-29,296.07,298.29,293.71,296.14,965500,0.0,0.0
2020-01-30,290.79,294.7,290.54,294.38,794100,0.0,0.0
2020-01-31,288.0,288.25,280.17,280.66,1272600,0.0,0.0
2020-02-03,283.63,288.85,283.32,288.16,823200,0.0,0.0
2020-02-04,294.91,299.26,294.23,299.23,795300,0.0,0.0
2020-02-05,307.35,307.35,303.05,306.32,1042000,0.0,0.0
2020-02-06,307.53,309.61,306.62,309.55,698000,0.0,0.0
2020-02-07,304.67,305.63,303.2,304.97,1775900,0.0,0.0
2020-02-10,304.04,309.7,304.0,309.68,373000,0.0,0.0
2020-02-11,313.04,316.27,313.01,316.01,789900,0.0,0.0
2020-02-12,315.63,317.71,315.25,317.44,656100,0.0,0.0
2020-02-13,314.95,318.37,314.02,317.25,742200,0.0,0.0
2020-02-14,317.37,319.22,314.51,316.3,661400,0.0,0.0
2020-02-18,307.4,310.21,306.89,309.18,757100,0.0,0.0
2020-02-19,311.15,317.63,311.0,317.39,1093900,0.0,0.0
2020-02-20,315.85,316.58,310.44,313.47,1118400,0.0,0.0
2020-02-21,310.2,310.83,304.73,306.0,1134600,0.0,0.0
2020-02-24,289.05,295.23,288.27,290.4,1347400,0.0,0.0
2020-02-25,295.55,295.93,284.44,284.59,1166700,0.0,0.0
2020-02-26,289.45,292.31,285.59,286.32,861100,0.0,0.0
2020-02-27,278.86,286.85,275.87,277.23,1373900,0.0,0.0
2020-02-28,267.81,277.46,265.98,276.71,1647400,0.0,0.0
2020-03-02,279.62,287.49,275.47,287.49,1081300,0.0,0.0
2020-03-03,292.93,296.85,282.22,284.3,1916300,0.0,0.0
