date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,124.66,126.27,124.23,125.85,2708000,125.45,"January 02, 20",118.92,2708000.0,1.19,0.9546,0.009546
2020-01-03,124.32,125.1,123.94,124.6,2090600,124.55,"January 03, 20",117.74,2090600.0,0.28,0.22523,0.0022523
2020-01-06,123.37,124.16,123.12,124.06,2855200,123.78,"January 06, 20",117.23,2855200.0,0.69,0.55929,0.0055929
2020-01-07,123.47,124.4,123.36,123.41,2042300,123.72,"January 07, 20",116.62,2042300.0,-0.06,-0.0485948,-0.000485948
2020-01-08,124.05,126.36,123.8,125.54,3458200,125.23,"January 08, 20",118.63,3458200.0,1.49,1.2,0.012
2020-01-09,126.49,127.88,126.39,127.81,2787100,127.36,"January 09, 20",120.77,2787100.0,1.32,1.04,0.0104
2020-01-10,127.58,128.17,126.92,127.28,2789200,127.46,"January 10, 20",120.27,2789200.0,-0.3,-0.23515,-0.0023515
2020-01-13,127.84,128.95,127.63,128.54,3285700,128.37,"January 13, 20",121.46,3285700.0,0.7,0.54756,0.0054756
2020-01-14,128.62,130.09,128.34,128.8,3836000,129.08,"January 14, 20",121.71,3836000.0,0.18,0.13995,0.0013995
2020-01-15,128.69,129.84,128.45,129.82,3187200,129.37,"January 15, 20",122.67,3187200.0,1.13,0.87808,0.0087808
2020-01-16,130.5,130.93,129.71,130.55,2424500,130.4,"January 16, 20",123.36,2424500.0,0.05,0.03831418,0.0003831418
2020-01-17,131.45,131.86,130.79,131.52,3659400,131.39,"January 17, 20",124.28,3659400.0,0.07,0.05325219,0.0005325219
2020-01-21,131.11,131.82,130.39,130.53,3102700,130.91,"January 21, 20",123.34,3102700.0,-0.58,-0.44238,-0.0044238
2020-01-22,130.93,132.27,130.93,131.49,2483800,131.56,"January 22, 20",124.25,2483800.0,0.56,0.42771,0.0042771
2020-01-23,131.26,131.57,130.14,131.37,3841000,131.03,"January 23, 20",124.14,3841000.0,0.11,0.08380314,0.0008380314
2020-01-24,136.36,138.13,133.85,135.11,8612500,135.7,"January 24, 20",127.67,8612500.0,-1.25,-0.91669,-0.0091669
2020-01-27,131.15,131.98,128.87,130.64,6432400,130.5,"January 27, 20",123.45,6432400.0,-0.51,-0.38887,-0.0038887
2020-01-28,132.0,133.87,131.14,132.45,3712700,132.49,"January 28, 20",125.16,3712700.0,0.45,0.34091,0.0034091
2020-01-29,132.48,133.13,131.44,131.68,2518400,132.08,"January 29, 20",124.43,2518400.0,-0.8,-0.60386,-0.0060386
2020-01-30,130.75,133.33,130.44,133.22,2428500,132.33,"January 30, 20",125.89,2428500.0,2.47,1.89,0.0189
2020-01-31,132.17,132.25,129.38,129.87,3522600,130.5,"January 31, 20",122.72,3522600.0,-2.3,-1.74,-0.0174
2020-02-03,130.55,132.22,130.45,131.0,2721900,131.22,"February 03, 20",123.79,2721900.0,0.45,0.3447,0.003447
2020-02-04,132.88,133.34,131.72,131.85,2547500,132.3,"February 04, 20",124.59,2547500.0,-1.03,-0.77514,-0.0077514
2020-02-05,133.43,133.8,131.29,133.6,4084500,132.9,"February 05, 20",126.25,4084500.0,0.17,0.12741,0.0012741
2020-02-06,134.16,134.35,133.11,133.25,1708600,133.57,"February 06, 20",125.92,1708600.0,-0.91,-0.67829,-0.0067829
2020-02-07,132.57,132.75,131.34,131.82,2885600,131.97,"February 07, 20",124.56,2885600.0,-0.75,-0.56574,-0.0056574
2020-02-10,131.61,132.5,131.35,132.24,1816500,132.03,"February 10, 20",124.96,1816500.0,0.63,0.47869,0.0047869
2020-02-11,133.03,133.65,132.32,132.63,1733300,132.87,"February 11, 20",125.33,1733300.0,-0.4,-0.30068,-0.0030068
2020-02-12,133.39,133.72,132.53,133.24,1715400,133.16,"February 12, 20",125.91,1715400.0,-0.15,-0.11245,-0.0011245
2020-02-13,133.15,134.67,133.06,134.46,3178300,134.06,"February 13, 20",127.06,3178300.0,1.31,0.98385,0.0098385
2020-02-14,134.71,136.37,134.53,135.87,2360300,135.59,"February 14, 20",128.39,2360300.0,1.16,0.86111,0.0086111
2020-02-18,135.87,136.75,134.94,135.6,2428200,135.76,"February 18, 20",128.14,2428200.0,-0.27,-0.19872,-0.0019872
2020-02-19,136.3,137.42,136.12,136.93,1785000,136.82,"February 19, 20",129.39,1785000.0,0.63,0.46222,0.0046222
2020-02-20,136.41,138.04,134.9,136.58,2541700,136.51,"February 20, 20",129.06,2541700.0,0.17,0.12462,0.0012462
2020-02-21,136.2,136.27,133.89,134.9,3106100,135.02,"February 21, 20",127.47,3106100.0,-1.3,-0.95448,-0.0095448
2020-02-24,129.43,130.96,127.23,128.19,6329300,128.79,"February 24, 20",121.13,6329300.0,-1.24,-0.95805,-0.0095805
2020-02-25,127.71,127.99,119.91,120.9,7628100,122.93,"February 25, 20",114.25,7628100.0,-6.81,-5.33,-0.0533
2020-02-26,121.27,122.43,118.47,118.5,5268000,119.8,"February 26, 20",111.98,5268000.0,-2.77,-2.28,-0.0228
2020-02-27,115.9,117.48,112.78,112.81,8279800,114.36,"February 27, 20",106.6,8279800.0,-3.09,-2.67,-0.0267
2020-02-28,109.05,111.03,107.0,109.93,11362100,109.32,"February 28, 20",103.88,11362100.0,0.88,0.80697,0.0080697
2020-03-02,111.11,113.99,108.59,113.87,9851600,112.15,"March 02, 20",107.6,9851600.0,2.76,2.48,0.0248
2020-03-03,115.02,116.4,107.0,108.01,9285000,110.47,"March 03, 20",102.06,9285000.0,-7.01,-6.09,-0.0609
