date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,50.3,50.49,50.13,50.39,3587300,0.0,0.0
2020-01-03,49.88,50.38,49.83,50.09,1208700,0.0,0.0
2020-01-06,50.04,50.22,49.74,49.88,1992300,0.0,0.0
2020-01-07,50.14,50.3,49.87,50.07,1871900,0.0,0.0
2020-01-08,49.87,50.17,49.75,49.95,1869000,0.0,0.0
2020-01-09,50.03,50.18,49.83,50.08,1959000,0.0,0.0
2020-01-10,49.87,50.1,49.8,49.85,1872900,0.0,0.0
2020-01-13,49.48,49.75,49.42,49.67,2395900,0.0,0.0
2020-01-14,49.77,50.24,49.64,50.18,2230800,0.0,0.0
2020-01-15,50.54,51.07,50.53,50.8,2489400,0.0,0.0
2020-01-16,50.58,50.61,50.22,50.51,3078300,0.0,0.0
2020-01-17,51.44,51.55,51.16,51.33,2685900,0.0,0.0
2020-01-21,50.48,51.04,50.48,50.8,1964100,0.0,0.0
2020-01-22,51.0,51.0,50.33,50.45,1924000,0.0,0.0
2020-01-23,50.33,50.35,49.99,50.2,1560800,0.0,0.0
2020-01-24,50.52,50.62,49.2,49.28,4466500,0.0,0.0
2020-01-27,48.91,49.07,48.61,48.9,2265600,0.0,0.0
2020-01-28,49.5,49.71,49.31,49.6,1765400,0.0,0.0
2020-01-29,50.09,50.11,49.63,49.66,4044800,0.0,0.0
2020-01-30,49.37,49.39,48.94,49.09,5974200,0.0,0.0
2020-01-31,49.18,49.18,48.47,48.7,4129300,0.0,0.0
2020-02-03,48.62,48.93,48.45,48.51,1990900,0.0,0.0
2020-02-04,48.76,49.09,48.72,48.76,1698800,0.0,0.0
2020-02-05,49.46,49.85,49.23,49.73,2303000,0.0,0.0
2020-02-06,49.69,50.1,49.5,50.03,2531000,0.0,0.0
2020-02-07,49.89,49.92,49.37,49.4,1995500,0.0,0.0
2020-02-10,49.49,49.94,49.35,49.91,1983200,0.0,0.0
2020-02-11,49.94,49.98,49.54,49.78,1848800,0.0,0.0
2020-02-12,49.75,49.8,49.36,49.58,2483000,0.0,0.0
2020-02-13,48.81,49.75,48.78,49.33,2807500,0.0,0.0
2020-02-14,48.19,48.22,47.4,47.85,6665400,0.0,0.0
2020-02-18,48.96,49.26,48.59,49.11,3927900,0.0,0.0
2020-02-19,49.36,49.56,49.06,49.31,3269000,0.0,0.0
2020-02-20,48.88,49.18,48.66,48.94,3000200,0.0,0.0
2020-02-21,49.88,50.25,49.68,50.17,4105800,0.0,0.0
2020-02-24,48.25,48.7,47.59,47.59,4537600,0.0,0.0
2020-02-25,48.07,48.1,46.69,47.08,4347100,0.0,0.0
2020-02-26,47.52,47.98,47.27,47.57,3900300,0.0,0.0
2020-02-27,46.39,46.5,45.05,45.07,4055800,0.95,0.0
2020-02-28,43.69,44.07,42.96,43.8,5656500,0.0,0.0
2020-03-02,44.45,45.87,44.35,45.87,6134400,0.0,0.0
2020-03-03,46.48,46.65,45.12,45.52,4247800,0.0,0.0
2020-03-04,47.28,48.69,46.74,48.6,3337400,0.0,0.0
2020-03-05,47.58,48.66,47.54,48.38,5756900,0.0,0.0
2020-03-06,47.25,47.64,46.73,47.52,3439100,0.0,0.0
2020-03-09,45.54,46.65,44.99,45.23,5031200,0.0,0.0
2020-03-10,45.85,46.95,44.98,46.9,9144800,0.0,0.0
2020-03-11,45.6,45.81,44.1,44.58,5829400,0.0,0.0
2020-03-12,41.3,41.58,39.47,40.76,5412900,0.0,0.0
2020-03-13,41.57,42.46,38.58,42.28,11898000,0.0,0.0
2020-03-16,36.81,38.89,36.15,37.79,7346800,0.0,0.0
2020-03-17,39.25,41.51,38.95,40.93,5411700,0.0,0.0
2020-03-18,38.23,39.92,38.23,39.36,4909200,0.0,0.0
2020-03-19,38.91,40.89,38.07,40.13,9234700,0.0,0.0
2020-03-20,41.2,41.98,39.36,39.42,10050700,0.0,0.0
2020-03-23,39.36,40.11,38.14,38.78,5674000,0.0,0.0
2020-03-24,40.35,41.0,39.36,40.89,6129400,0.0,0.0
2020-03-25,40.15,41.21,39.38,40.38,6575400,0.0,0.0
2020-03-26,40.4,42.4,40.4,42.36,6742700,0.0,0.0
2020-03-27,40.78,43.13,40.69,42.47,6783100,0.0,0.0
2020-03-30,42.8,44.59,42.8,44.53,6985600,0.0,0.0
2020-03-31,44.01,45.11,43.86,44.66,8411200,0.0,0.0
2020-04-01,43.75,44.54,43.44,43.78,6097700,0.0,0.0
2020-04-02,43.43,43.81,42.8,43.76,5918800,0.0,0.0
2020-04-03,43.77,44.15,43.54,43.96,3372700,0.0,0.0
2020-04-06,44.02,44.67,43.97,44.31,5735200,0.0,0.0
2020-04-07,43.48,43.84,42.92,43.1,5600600,0.0,0.0
2020-04-08,43.41,44.11,42.84,43.85,3860200,0.0,0.0
2020-04-09,43.91,44.98,43.5,44.66,5628200,0.0,0.0
2020-04-13,45.41,47.9,45.39,47.36,6555700,0.0,0.0
2020-04-14,47.64,48.94,47.53,48.68,5109000,0.0,0.0
2020-04-15,47.67,48.32,47.54,48.03,2901800,0.0,0.0
2020-04-16,48.55,49.19,48.41,49.13,3218600,0.0,0.0
2020-04-17,50.2,50.31,49.55,50.03,3349400,0.0,0.0
2020-04-20,49.82,50.92,49.79,50.44,3416400,0.0,0.0
2020-04-21,50.09,50.57,49.94,50.07,3545400,0.0,0.0
2020-04-22,50.64,50.75,50.31,50.36,2803600,0.0,0.0
2020-04-23,50.29,50.96,50.22,50.39,2549400,0.0,0.0
2020-04-24,50.7,51.26,50.54,51.18,2087600,0.0,0.0
2020-04-27,51.61,51.84,51.28,51.48,2105000,0.0,0.0
2020-04-28,52.32,52.32,50.86,50.97,5767500,0.0,0.0
2020-04-29,52.02,52.02,50.66,50.72,3786000,0.0,0.0
2020-04-30,53.97,54.0,51.61,52.28,5863600,0.0,0.0
2020-05-01,52.03,52.03,51.26,51.86,3206400,0.0,0.0
2020-05-04,52.22,52.35,51.76,52.35,2852900,0.0,0.0
2020-05-05,52.63,53.8,52.44,53.47,4579300,0.0,0.0
2020-05-06,54.06,54.71,53.93,54.04,6604600,0.0,0.0
2020-05-07,53.49,53.64,52.57,52.74,2626600,0.0,0.0
2020-05-08,53.1,53.56,52.96,53.29,1657700,0.0,0.0
2020-05-11,53.03,54.13,52.95,53.95,3095300,0.0,0.0
2020-05-12,54.43,54.84,53.9,54.11,2221500,0.0,0.0
2020-05-13,54.82,55.59,54.59,55.31,3431200,0.0,0.0
2020-05-14,53.99,54.46,53.2,53.5,4998300,0.0,0.0
2020-05-15,52.58,53.41,52.54,53.41,3716800,0.0,0.0
2020-05-18,53.64,53.99,53.34,53.45,4924100,0.0,0.0
2020-05-19,53.39,54.07,53.17,53.57,3271200,0.0,0.0
2020-05-20,54.33,54.75,53.65,53.78,4038000,0.0,0.0
2020-05-21,56.95,57.44,54.69,55.28,20428200,0.0,0.0
2020-05-22,54.71,55.66,54.27,55.22,6031200,0.0,0.0
2020-05-26,54.52,54.59,53.1,53.11,5626600,0.0,0.0
2020-05-27,51.95,52.47,50.81,52.47,7010200,0.0,0.0
2020-05-28,53.62,54.04,53.42,53.5,4445800,0.0,0.0
2020-05-29,55.28,55.61,53.17,54.6,7585700,0.0,0.0
2020-06-01,54.32,55.25,53.95,55.16,5759800,0.0,0.0
2020-06-02,54.49,54.74,54.1,54.72,4279400,0.0,0.0
2020-06-03,54.55,55.29,54.46,55.0,5464200,0.0,0.0
2020-06-04,54.59,55.27,53.76,53.87,4483700,0.0,0.0
2020-06-05,54.34,54.54,53.74,53.85,6092400,0.0,0.0
2020-06-08,52.81,53.0,51.38,52.58,9762600,0.0,0.0
2020-06-09,52.8,53.19,52.68,52.73,4782300,0.0,0.0
2020-06-10,53.86,54.26,53.62,53.64,4582600,0.0,0.0
2020-06-11,53.77,53.8,51.43,51.57,4787000,0.0,0.0
2020-06-12,52.18,52.25,50.95,51.47,5630300,0.0,0.0
2020-06-15,52.44,52.99,51.69,52.64,5711800,0.0,0.0
2020-06-16,54.18,54.21,53.5,53.58,5535500,0.0,0.0
2020-06-17,54.12,54.25,53.77,53.9,4919100,0.0,0.0
2020-06-18,52.64,52.83,52.28,52.66,3796100,0.0,0.0
2020-06-19,52.5,53.2,52.41,53.02,6807200,0.0,0.0
2020-06-22,53.37,53.53,53.0,53.42,3375400,0.0,0.0
2020-06-23,53.17,55.19,53.13,54.25,10772000,0.0,0.0
2020-06-24,52.92,53.43,52.0,52.13,6418600,0.0,0.0
2020-06-25,52.49,53.12,52.2,53.01,4948300,0.0,0.0
2020-06-26,53.08,53.48,52.52,52.7,6234700,0.0,0.0
2020-06-29,53.37,53.39,52.71,52.91,4526200,0.0,0.0
2020-06-30,52.28,52.92,52.04,52.89,4621900,0.0,0.0
2020-07-01,52.83,53.68,52.39,53.32,5462000,0.0,0.0
2020-07-02,53.63,54.07,53.46,53.8,4591300,0.0,0.0
2020-07-06,53.85,54.5,53.72,54.1,5180900,0.0,0.0
2020-07-07,53.5,54.28,53.43,53.47,3747500,0.0,0.0
2020-07-08,53.71,54.71,53.62,54.19,6247800,0.0,0.0
2020-07-09,54.5,54.99,53.56,53.97,4203000,0.0,0.0
2020-07-10,54.31,54.41,53.44,53.76,5414500,0.0,0.0
2020-07-13,53.93,54.3,53.12,53.24,5639800,0.0,0.0
2020-07-14,53.5,54.1,53.23,53.98,7199600,0.0,0.0
2020-07-15,56.32,58.84,55.87,58.0,19902500,0.0,0.0
2020-07-16,56.96,57.43,56.05,57.43,12358700,0.0,0.0
2020-07-17,57.65,61.46,57.63,61.1,24319500,0.0,0.0
2020-07-20,62.69,64.94,57.65,58.68,56346600,0.0,0.0
2020-07-21,59.65,59.65,57.84,58.07,15351500,0.0,0.0
2020-07-22,57.38,57.89,56.24,56.98,9562100,0.0,0.0
2020-07-23,56.75,56.84,54.81,55.17,8658900,0.0,0.0
2020-07-24,55.31,56.0,55.06,55.8,7748000,0.0,0.0
2020-07-27,56.16,56.63,55.97,56.58,5660200,0.0,0.0
2020-07-28,56.88,57.1,56.26,56.32,4979100,0.0,0.0
2020-07-29,57.05,57.05,56.09,56.64,5038900,0.0,0.0
2020-07-30,57.12,57.94,56.75,57.89,8215100,0.0,0.0
2020-07-31,57.82,57.95,55.35,55.78,6838100,0.0,0.0
2020-08-03,56.68,57.49,56.53,56.82,4799700,0.0,0.0
2020-08-04,56.08,56.29,55.74,56.08,4121300,0.0,0.0
2020-08-05,56.43,56.57,55.82,55.95,3247400,0.0,0.0
2020-08-06,56.09,56.24,55.52,56.21,3532100,0.0,0.0
2020-08-07,55.78,55.86,54.97,55.41,3849200,0.0,0.0
2020-08-10,55.7,55.72,55.06,55.38,2937300,0.0,0.0
2020-08-11,55.72,55.74,55.1,55.18,3948900,0.0,0.0
2020-08-12,56.3,57.18,56.1,56.74,5462700,0.0,0.0
2020-08-13,56.35,56.43,55.69,55.8,3490600,0.45,0.0
2020-08-14,55.47,55.6,55.05,55.19,2893300,0.0,0.0
2020-08-17,55.94,56.65,55.85,56.46,2997600,0.0,0.0
2020-08-18,56.83,56.87,56.15,56.33,4174800,0.0,0.0
2020-08-19,57.14,57.35,56.12,56.23,3322100,0.0,0.0
2020-08-20,56.28,56.54,55.97,56.49,2527500,0.0,0.0
2020-08-21,55.49,55.77,55.24,55.71,3419200,0.0,0.0
2020-08-24,57.5,57.93,56.43,56.76,7379000,0.0,0.0
2020-08-25,57.17,57.38,56.67,57.01,3399700,0.0,0.0
2020-08-26,56.93,57.11,56.51,57.0,2802400,0.0,0.0
2020-08-27,57.0,57.0,55.65,56.11,4195100,0.0,0.0
2020-08-28,56.19,56.21,55.52,55.69,3251900,0.0,0.0
2020-08-31,55.8,56.34,55.61,56.0,3262600,0.0,0.0
2020-09-01,55.85,55.9,55.12,55.38,3943100,0.0,0.0
2020-09-02,55.47,55.99,55.27,55.9,3614200,0.0,0.0
2020-09-03,55.35,55.5,53.61,54.16,5122000,0.0,0.0
2020-09-04,53.79,54.14,52.57,53.58,4610000,0.0,0.0
2020-09-08,54.14,54.94,53.76,54.71,6735600,0.0,0.0
2020-09-09,53.83,54.82,53.34,53.64,11416300,0.0,0.0
2020-09-10,54.16,54.19,53.04,53.07,4407100,0.0,0.0
2020-09-11,53.99,54.15,53.41,53.73,4627700,0.0,0.0
2020-09-14,54.23,54.34,53.37,54.02,4960000,0.0,0.0
2020-09-15,55.53,55.78,55.12,55.28,4300900,0.0,0.0
2020-09-16,55.72,55.98,55.11,55.13,3948500,0.0,0.0
2020-09-17,55.74,56.15,55.49,55.94,3991900,0.0,0.0
2020-09-18,56.76,56.8,55.96,56.45,2931700,0.0,0.0
2020-09-21,55.09,55.91,54.62,55.91,6792700,0.0,0.0
2020-09-22,55.29,55.62,54.72,55.44,3878600,0.0,0.0
2020-09-23,56.22,56.59,55.58,55.66,2922900,0.0,0.0
2020-09-24,54.94,55.16,53.92,54.17,4123700,0.0,0.0
2020-09-25,54.2,55.84,54.02,55.51,4954900,0.0,0.0
2020-09-28,55.07,55.34,54.6,54.75,2741400,0.0,0.0
2020-09-29,54.71,55.2,54.71,55.11,4177500,0.0,0.0
2020-09-30,55.02,55.45,54.61,54.8,3001400,0.0,0.0
2020-10-01,55.2,55.31,54.22,54.3,4728200,0.0,0.0
2020-10-02,54.42,54.76,54.13,54.22,5699100,0.0,0.0
2020-10-05,54.46,54.85,54.18,54.49,6704300,0.0,0.0
2020-10-06,54.15,54.53,53.68,53.71,3695000,0.0,0.0
2020-10-07,53.81,53.93,53.33,53.53,3518700,0.0,0.0
2020-10-08,53.68,54.29,53.58,54.09,2351300,0.0,0.0
2020-10-09,54.39,54.85,54.32,54.72,2092000,0.0,0.0
2020-10-12,55.19,55.45,54.97,55.27,2783500,0.0,0.0
2020-10-13,54.77,55.15,54.45,54.48,2949800,0.0,0.0
2020-10-14,54.0,54.06,52.94,53.19,4656600,0.0,0.0
2020-10-15,52.45,52.77,52.24,52.55,3038700,0.0,0.0
2020-10-16,53.0,53.5,52.83,53.03,2665500,0.0,0.0
2020-10-19,53.23,53.33,52.3,52.44,3143700,0.0,0.0
