date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,328.55,333.35,327.7,333.32,4602311,331.34,"January 02, 20",331.348572,4544400.0,4.77,1.45,0.0145
2020-01-03,330.63,334.89,330.3,332.76,3934670,332.18,"January 03, 20",330.791901,3875900.0,2.13,0.64422,0.0064422
2020-01-06,329.3,334.86,327.88,333.74,5442051,331.21,"January 06, 20",331.766083,5355000.0,4.44,1.35,0.0135
2020-01-07,334.26,344.19,330.71,337.28,10006562,338.66,"January 07, 20",335.285156,9898600.0,3.02,0.90349,0.0090349
2020-01-08,332.4,334.03,329.6,331.37,8367670,331.95,"January 08, 20",329.410095,8239200.0,-1.03,-0.30987,-0.0030987
2020-01-09,334.95,341.73,332.05,336.34,8276634,336.32,"January 09, 20",334.350708,8175600.0,1.39,0.41499,0.0041499
2020-01-10,335.56,337.7,329.4548,329.92,7238553,332.02,"January 10, 20",327.968689,7161700.0,-5.64,-1.68,-0.0168
2020-01-13,332.4,334.1,330.08,330.22,5762373,331.97,"January 13, 20",328.266907,5648500.0,-2.18,-0.65584,-0.0065584
2020-01-14,330.76,335.35,328.28,332.35,7013642,332.3,"January 14, 20",330.384308,6945300.0,1.59,0.48071,0.0048071
2020-01-15,332.35,333.11,329.69,329.8,4616101,331.1,"January 15, 20",327.849396,4578300.0,-2.55,-0.76726,-0.0076726
2020-01-16,331.05,332.87,329.31,332.0,4078533,331.51,"January 16, 20",330.036377,4024100.0,0.95,0.28697,0.0028697
2020-01-17,332.39,332.5,323.0,324.15,11345382,326.58,"January 17, 20",322.232819,11061700.0,-8.24,-2.48,-0.0248
2020-01-21,322.6,326.5999,305.75,313.37,19442122,314.1,"January 21, 20",311.516571,19318000.0,-9.23,-2.86,-0.0286
2020-01-22,309.82,312.8399,302.72,309.0,18944918,308.08,"January 22, 20",307.172424,18792600.0,-0.82,-0.26467,-0.0026467
2020-01-23,308.5,318.17,307.7,317.79,9779514,315.06,"January 23, 20",315.910431,9702100.0,9.29,3.01,0.0301
2020-01-24,322.0,326.2,312.51,323.05,17965600,320.23,"January 24, 20",321.139313,17798200.0,1.05,0.32609,0.0032609
2020-01-27,316.21,321.2564,314.5819,316.6,7548385,318.11,"January 27, 20",314.727478,7468100.0,0.39,0.12334,0.0012334
2020-01-28,318.05,319.355,314.0,316.56,5544488,316.16,"January 28, 20",314.687714,5502200.0,-1.49,-0.46848,-0.0046848
2020-01-29,324.35,327.175,319.14,322.02,12553380,323.64,"January 29, 20",320.115387,12454700.0,-2.33,-0.71836,-0.0071836
2020-01-30,320.5,325.35,317.635,323.3,6097604,321.29,"January 30, 20",321.387817,6022000.0,2.8,0.87363,0.0087363
