date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,299.06,299.08,292.28,294.24,1178300,0.0,0.0
2020-01-03,290.77,292.68,290.22,290.85,700100,0.0,0.0
2020-01-06,290.24,291.19,288.2,290.82,1271000,0.0,0.0
2020-01-07,290.57,291.84,287.99,290.09,1034000,0.0,0.0
2020-01-08,288.88,294.19,287.81,292.66,1059000,0.0,0.0
2020-01-09,293.99,296.57,292.36,294.3,966500,0.0,0.0
2020-01-10,294.64,298.74,294.36,296.51,1164500,0.0,0.0
2020-01-13,294.81,295.5,290.83,293.9,1401100,0.0,0.0
2020-01-14,294.1,306.35,291.27,298.97,2112600,0.0,0.0
2020-01-15,298.94,300.37,292.41,293.09,1975600,0.0,0.0
2020-01-16,294.49,294.8,284.24,286.14,2800000,0.0,0.0
2020-01-17,287.32,288.0,284.9,285.5,1765000,0.0,0.0
2020-01-21,286.54,287.84,282.76,287.19,2253100,0.0,0.0
2020-01-22,288.17,290.85,287.6,288.1,1571000,0.0,0.0
2020-01-23,287.23,288.08,281.21,284.21,1936100,0.0,0.0
2020-01-24,284.21,284.99,277.32,278.14,1260200,0.0,0.0
2020-01-27,278.14,282.33,276.24,281.14,1405500,0.0,0.0
2020-01-28,283.96,284.29,280.72,281.95,1136500,0.0,0.0
2020-01-29,282.05,283.38,279.66,282.52,1166200,0.0,0.0
2020-01-30,288.12,288.12,276.14,277.53,1601000,0.0,0.0
2020-01-31,276.08,276.28,267.59,268.85,1701700,0.0,0.0
2020-02-03,270.61,275.3,269.76,272.73,1257800,0.0,0.0
2020-02-04,276.4,285.6,275.94,283.29,1684400,0.0,0.0
2020-02-05,285.63,374.99,279.18,332.87,10159200,0.0,0.0
2020-02-06,338.39,348.66,333.5,337.24,3613600,0.0,0.0
2020-02-07,335.39,340.32,331.66,338.7,2209400,0.0,0.0
2020-02-10,332.0,339.56,330.24,338.93,1867000,0.0,0.0
2020-02-11,338.06,340.05,329.72,332.29,1806200,0.0,0.0
2020-02-12,331.66,334.71,329.04,331.76,1603000,0.0,0.0
2020-02-13,329.2,338.88,329.0,334.25,1307300,0.0,0.0
2020-02-14,334.0,335.4,331.83,333.0,1023200,0.0,0.0
2020-02-18,343.66,344.0,334.09,337.1,1515100,0.0,0.0
2020-02-19,338.0,341.77,335.42,341.04,1488400,0.0,0.0
2020-02-20,342.18,343.0,332.5,336.64,1497800,0.0,0.0
2020-02-21,336.97,337.82,334.6,336.71,923200,0.0,0.0
2020-02-24,331.5,336.0,325.42,325.98,1732500,0.0,0.0
2020-02-25,327.2,330.61,322.7,324.11,1831100,0.0,0.0
2020-02-26,326.98,330.93,323.61,327.45,1411300,0.0,0.0
2020-02-27,324.72,325.55,309.63,310.08,2221100,0.0,0.0
2020-02-28,300.23,310.54,299.0,308.39,2396200,0.0,0.0
2020-03-02,308.64,328.23,307.83,327.89,2364600,0.0,0.0
2020-03-03,320.28,333.0,311.87,315.78,2036100,0.0,0.0
2020-03-04,319.29,328.45,316.41,328.45,1752300,0.0,0.0
2020-03-05,319.73,326.45,315.0,317.7,1470400,0.0,0.0
2020-03-06,308.27,319.18,306.17,317.95,1513000,0.0,0.0
