date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,2068.4,2077.41,2053.22,2074.58,329000,0.0,0.0
2020-01-03,2042.47,2067.69,2035.0,2065.48,294000,0.0,0.0
2020-01-06,2050.0,2059.79,2035.0,2047.4,384000,0.0,0.0
2020-01-07,2047.39,2072.83,2038.54,2068.05,345300,0.0,0.0
2020-01-08,2066.84,2088.66,2057.14,2062.9,325800,0.0,0.0
2020-01-09,2072.0,2090.0,2072.0,2084.29,273800,0.0,0.0
2020-01-10,2088.37,2094.0,2076.94,2086.9,198500,0.0,0.0
2020-01-13,2090.25,2090.25,2073.01,2080.5,254900,0.0,0.0
2020-01-14,2074.6,2086.0,2067.16,2071.48,331700,0.0,0.0
2020-01-15,2073.56,2083.99,2061.38,2065.16,309000,0.0,0.0
2020-01-16,2073.01,2073.01,2040.97,2054.75,546800,0.0,0.0
2020-01-17,2060.0,2064.04,2046.91,2054.69,470800,0.0,0.0
2020-01-21,2006.0,2014.51,1963.87,1990.57,711700,0.0,0.0
2020-01-22,2004.33,2014.24,1992.04,2000.78,357300,0.0,0.0
2020-01-23,1986.24,2006.39,1975.12,1993.2,368500,0.0,0.0
2020-01-24,1998.0,2000.81,1954.74,1962.96,580400,0.0,0.0
2020-01-27,1906.41,1917.9,1868.04,1908.89,708900,0.0,0.0
2020-01-28,1914.67,1937.02,1900.0,1917.45,512500,0.0,0.0
2020-01-29,1924.04,1933.04,1890.09,1893.95,445200,0.0,0.0
2020-01-30,1871.42,1885.51,1858.86,1872.09,588900,0.0,0.0
2020-01-31,1865.93,1865.93,1820.44,1830.55,717800,0.0,0.0
2020-02-03,1838.87,1858.16,1830.05,1839.03,634600,0.0,0.0
2020-02-04,1857.06,1895.5,1848.18,1864.51,662600,0.0,0.0
2020-02-05,1898.7,1943.98,1882.71,1939.29,552300,0.0,0.0
2020-02-06,1958.9,1972.0,1937.01,1960.9,412000,0.0,0.0
2020-02-07,1950.23,1960.0,1904.16,1909.59,449500,0.0,0.0
2020-02-10,1901.69,1912.59,1883.0,1886.64,470200,0.0,0.0
2020-02-11,1894.48,1918.89,1892.62,1909.3,408900,0.0,0.0
2020-02-12,1923.95,1967.0,1911.21,1960.36,473200,0.0,0.0
2020-02-13,1944.0,1960.88,1929.1,1959.94,388800,0.0,0.0
2020-02-14,1998.44,2024.88,1984.66,1990.96,535900,0.0,0.0
2020-02-18,1972.25,1988.19,1961.95,1976.28,363500,0.0,0.0
2020-02-19,1982.76,1989.99,1962.32,1968.49,241300,0.0,0.0
2020-02-20,1960.0,1987.76,1956.39,1970.91,359200,0.0,0.0
2020-02-21,1965.0,1968.1,1922.16,1928.72,358500,0.0,0.0
2020-02-24,1830.93,1835.5,1777.88,1792.54,886000,0.0,0.0
2020-02-25,1803.0,1811.31,1711.01,1726.58,958300,0.0,0.0
2020-02-26,1731.22,1742.94,1659.64,1678.2,903300,0.0,0.0
2020-02-27,1612.98,1730.0,1592.45,1659.85,1338000,0.0,0.0
2020-02-28,1643.64,1718.0,1634.54,1695.66,977000,0.0,0.0
2020-03-02,1709.75,1732.92,1651.76,1728.98,869200,0.0,0.0
2020-03-03,1726.63,1749.99,1646.93,1683.02,704300,0.0,0.0
2020-03-04,1697.15,1736.89,1671.24,1732.13,593500,0.0,0.0
2020-03-05,1662.99,1680.04,1632.58,1647.44,788800,0.0,0.0
2020-03-06,1603.09,1684.0,1584.0,1612.09,1077500,0.0,0.0
2020-03-09,1483.99,1588.67,1476.51,1527.8,770300,0.0,0.0
2020-03-10,1589.95,1615.0,1499.94,1559.0,742000,0.0,0.0
2020-03-11,1522.29,1528.53,1420.56,1442.5,829800,0.0,0.0
2020-03-12,1297.0,1369.99,1280.0,1280.4,1282100,0.0,0.0
2020-03-13,1336.8,1421.67,1270.87,1421.33,1153100,0.0,0.0
2020-03-16,1275.0,1411.83,1252.22,1289.67,986900,0.0,0.0
2020-03-17,1309.56,1370.52,1252.91,1368.26,1080100,0.0,0.0
2020-03-18,1277.86,1327.09,1165.02,1233.75,933400,0.0,0.0
2020-03-19,1211.16,1236.64,1150.0,1191.48,980600,0.0,0.0
2020-03-20,1216.34,1299.95,1157.41,1177.43,1146500,0.0,0.0
2020-03-23,1166.98,1226.14,1107.29,1152.24,859900,0.0,0.0
2020-03-24,1218.62,1279.0,1200.58,1259.47,854000,0.0,0.0
2020-03-25,1259.47,1449.48,1246.95,1365.85,998700,0.0,0.0
2020-03-26,1380.33,1429.48,1353.52,1406.0,616500,0.0,0.0
2020-03-27,1344.87,1355.46,1253.61,1255.15,701500,0.0,0.0
2020-03-30,1261.27,1321.89,1216.98,1308.23,600800,0.0,0.0
2020-03-31,1303.01,1390.39,1296.01,1345.32,770300,0.0,0.0
2020-04-01,1293.81,1328.34,1248.18,1271.63,562800,0.0,0.0
2020-04-02,1270.97,1334.99,1241.22,1260.0,573800,0.0,0.0
2020-04-03,1244.18,1279.16,1203.08,1230.68,442300,0.0,0.0
2020-04-06,1303.28,1363.35,1292.81,1356.68,751500,0.0,0.0
2020-04-07,1412.01,1495.0,1366.79,1376.37,783400,0.0,0.0
2020-04-08,1382.65,1428.72,1360.01,1372.06,780900,0.0,0.0
2020-04-09,1424.76,1450.0,1403.0,1420.64,1032800,0.0,0.0
2020-04-13,1413.19,1428.01,1368.39,1421.01,404400,0.0,0.0
2020-04-14,1460.09,1469.96,1424.0,1449.42,579000,0.0,0.0
2020-04-15,1407.84,1440.0,1390.67,1424.61,452800,0.0,0.0
2020-04-16,1432.35,1432.35,1391.02,1407.4,488400,0.0,0.0
2020-04-17,1469.0,1484.66,1450.19,1470.87,691300,0.0,0.0
2020-04-20,1462.05,1470.0,1410.0,1411.63,459200,0.0,0.0
2020-04-21,1382.81,1387.74,1317.4,1342.22,652700,0.0,0.0
2020-04-22,1365.01,1379.99,1342.0,1355.0,356600,0.0,0.0
2020-04-23,1354.05,1388.99,1350.79,1360.0,372700,0.0,0.0
2020-04-24,1372.39,1374.58,1338.66,1362.77,334500,0.0,0.0
2020-04-27,1374.93,1411.24,1371.04,1402.99,456900,0.0,0.0
2020-04-28,1434.2,1463.65,1410.8,1439.32,613500,0.0,0.0
2020-04-29,1487.83,1527.73,1473.3,1520.53,703000,0.0,0.0
2020-04-30,1514.53,1520.42,1464.78,1480.57,450900,0.0,0.0
2020-05-01,1442.75,1460.3,1415.31,1448.79,458500,0.0,0.0
2020-05-04,1415.73,1445.32,1388.51,1413.3,471400,0.0,0.0
2020-05-05,1443.25,1446.36,1383.86,1393.2,425900,0.0,0.0
2020-05-06,1397.46,1416.36,1356.0,1378.91,526600,0.0,0.0
2020-05-07,1392.26,1448.59,1382.0,1443.91,654800,0.0,0.0
