date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,149.0,150.55,147.98,150.53,3311900,149.69,"January 02, 20",136.41,3311900.0,1.53,1.03,0.0103
2020-01-03,148.77,149.96,147.45,148.44,3100600,148.62,"January 03, 20",134.52,3100600.0,-0.33,-0.22182,-0.0022182
2020-01-06,147.27,148.56,146.54,148.34,2549600,147.81,"January 06, 20",134.43,2549600.0,1.07,0.72656,0.0072656
2020-01-07,147.35,147.57,145.51,146.38,2841900,146.49,"January 07, 20",132.65,2841900.0,-0.97,-0.6583,-0.006583
2020-01-08,146.83,148.57,146.46,147.68,2153200,147.57,"January 08, 20",133.83,2153200.0,0.85,0.5789,0.005789
2020-01-09,147.81,147.97,146.51,147.31,2272500,147.26,"January 09, 20",133.49,2272500.0,-0.5,-0.33827,-0.0033827
2020-01-10,147.45,147.72,145.83,146.13,2393700,146.56,"January 10, 20",132.43,2393700.0,-1.32,-0.89522,-0.0089522
2020-01-13,146.53,146.83,145.55,146.82,3355200,146.4,"January 13, 20",133.05,3355200.0,0.29,0.19791,0.0019791
2020-01-14,147.45,147.98,146.31,146.68,2742200,146.99,"January 14, 20",132.92,2742200.0,-0.77,-0.52221,-0.0052221
2020-01-15,146.22,146.74,145.2,145.57,2640500,145.84,"January 15, 20",131.92,2640500.0,-0.65,-0.44454,-0.0044454
2020-01-16,146.43,147.93,146.24,147.87,3070900,147.35,"January 16, 20",134.0,3070900.0,1.44,0.98341,0.0098341
2020-01-17,147.21,148.27,146.6,147.78,3331500,147.55,"January 17, 20",134.86,3331500.0,0.57,0.3872,0.003872
2020-01-21,147.2,147.87,145.69,145.85,2476700,146.47,"January 21, 20",133.1,2476700.0,-1.35,-0.91712,-0.0091712
2020-01-22,146.25,146.56,142.52,142.63,3602400,143.9,"January 22, 20",130.16,3602400.0,-3.62,-2.48,-0.0248
2020-01-23,141.81,143.21,139.8,142.75,3182700,141.92,"January 23, 20",130.27,3182700.0,0.94,0.66286,0.0066286
2020-01-24,142.55,142.7,139.26,140.38,2526200,140.78,"January 24, 20",128.11,2526200.0,-2.17,-1.52,-0.0152
2020-01-27,136.9,137.81,135.57,135.73,2920500,136.37,"January 27, 20",123.86,2920500.0,-1.17,-0.85464,-0.0085464
2020-01-28,137.02,137.6,135.62,136.74,2763800,136.65,"January 28, 20",124.79,2763800.0,-0.28,-0.20435,-0.0020435
2020-01-29,137.59,137.76,135.67,135.78,2620000,136.4,"January 29, 20",123.91,2620000.0,-1.81,-1.32,-0.0132
2020-01-30,134.76,135.97,132.91,135.37,3862600,134.75,"January 30, 20",123.54,3862600.0,0.61,0.45266,0.0045266
2020-01-31,133.82,134.99,130.54,131.35,6785700,132.29,"January 31, 20",119.87,6785700.0,-2.47,-1.85,-0.0185
2020-02-03,131.44,133.16,129.3,129.77,4385300,130.74,"February 03, 20",118.42,4385300.0,-1.67,-1.27,-0.0127
2020-02-04,133.0,134.78,132.68,133.51,3501600,133.66,"February 04, 20",121.84,3501600.0,0.51,0.38346,0.0038346
2020-02-05,135.55,137.47,135.44,137.44,4448100,136.78,"February 05, 20",125.42,4448100.0,1.89,1.39,0.0139
2020-02-06,138.2,138.33,136.13,137.25,2283800,137.24,"February 06, 20",125.25,2283800.0,-0.95,-0.68741,-0.0068741
2020-02-07,136.04,136.49,133.0,133.37,3812300,134.29,"February 07, 20",121.71,3812300.0,-2.67,-1.96,-0.0196
2020-02-10,133.04,134.33,132.78,134.32,2331600,133.81,"February 10, 20",122.58,2331600.0,1.28,0.96212,0.0096212
2020-02-11,135.49,137.23,135.06,136.19,2381900,136.16,"February 11, 20",124.28,2381900.0,0.7,0.51664,0.0051664
2020-02-12,138.4,139.94,138.09,139.59,3222000,139.21,"February 12, 20",127.39,3222000.0,1.19,0.85983,0.0085983
2020-02-13,140.0,140.5,138.43,139.72,3318800,139.55,"February 13, 20",127.5,3318800.0,-0.28,-0.2,-0.002
2020-02-14,139.49,139.62,136.89,137.99,2813400,138.17,"February 14, 20",125.93,2813400.0,-1.5,-1.08,-0.0108
2020-02-18,137.46,138.57,135.08,136.58,3869700,136.74,"February 18, 20",124.64,3869700.0,-0.88,-0.64019,-0.0064019
2020-02-19,136.79,137.21,136.06,136.86,2134900,136.71,"February 19, 20",124.89,2134900.0,0.07,0.05117333,0.0005117333
2020-02-20,136.26,138.89,136.2,136.93,2678200,137.34,"February 20, 20",124.96,2678200.0,0.67,0.49171,0.0049171
2020-02-21,136.5,137.44,135.11,137.21,2855600,136.59,"February 21, 20",125.21,2855600.0,0.71,0.52015,0.0052015
2020-02-24,132.53,133.86,132.05,132.17,4964800,132.69,"February 24, 20",120.61,4964800.0,-0.36,-0.27164,-0.0027164
2020-02-25,132.97,133.14,128.25,129.0,4840200,130.13,"February 25, 20",117.72,4840200.0,-3.97,-2.99,-0.0299
2020-02-26,129.65,130.99,127.55,128.25,3902500,128.93,"February 26, 20",117.04,3902500.0,-1.4,-1.08,-0.0108
2020-02-27,125.6,128.53,123.22,123.27,7369000,125.01,"February 27, 20",112.49,7369000.0,-2.33,-1.86,-0.0186
2020-02-28,119.57,124.24,119.03,124.24,8300700,122.5,"February 28, 20",113.38,8300700.0,4.67,3.91,0.0391
2020-03-02,125.05,127.88,123.01,127.6,6100200,126.16,"March 02, 20",116.44,6100200.0,2.55,2.04,0.0204
2020-03-03,127.0,129.56,123.78,124.38,6358100,125.91,"March 03, 20",113.51,6358100.0,-2.62,-2.06,-0.0206
2020-03-04,126.07,127.44,124.31,127.4,5074700,126.38,"March 04, 20",116.26,5074700.0,1.33,1.05,0.0105
2020-03-05,123.15,124.85,121.24,121.97,6015300,122.69,"March 05, 20",111.31,6015300.0,-1.18,-0.95818,-0.0095818
2020-03-06,119.0,121.85,118.83,121.41,5767900,120.7,"March 06, 20",110.8,5767900.0,2.41,2.03,0.0203
2020-03-09,112.99,112.99,104.03,104.07,8636200,107.03,"March 09, 20",94.97,8636200.0,-8.92,-7.89,-0.0789
2020-03-10,108.64,109.06,99.11,106.49,8293200,104.89,"March 10, 20",97.18,8293200.0,-2.15,-1.98,-0.0198
2020-03-11,103.8,104.75,100.07,100.69,6543600,101.84,"March 11, 20",91.89,6543600.0,-3.11,-3.0,-0.03
2020-03-12,93.5,94.28,87.5,92.26,10285900,91.35,"March 12, 20",84.19,10285900.0,-1.24,-1.33,-0.0133
2020-03-13,98.39,99.91,90.14,99.64,8718600,96.56,"March 13, 20",90.93,8718600.0,1.25,1.27,0.0127
2020-03-16,89.0,105.85,88.5,93.41,9899000,95.92,"March 16, 20",85.24,9899000.0,4.41,4.96,0.0496
2020-03-17,96.01,100.44,92.97,100.2,7206100,97.87,"March 17, 20",91.44,7206100.0,4.19,4.36,0.0436
2020-03-18,93.99,102.95,93.11,100.12,6995100,98.73,"March 18, 20",91.37,6995100.0,6.13,6.52,0.0652
2020-03-19,99.23,104.4,97.25,103.01,6870800,101.55,"March 19, 20",94.0,6870800.0,3.78,3.81,0.0381
2020-03-20,103.12,103.99,94.16,95.5,7650300,97.88,"March 20, 20",87.15,7650300.0,-7.62,-7.39,-0.0739
2020-03-23,93.9,96.24,90.64,91.85,6737500,92.91,"March 23, 20",83.82,6737500.0,-2.05,-2.18,-0.0218
2020-03-24,96.06,102.03,95.17,101.34,7417100,99.51,"March 24, 20",92.48,7417100.0,5.28,5.5,0.055
2020-03-25,101.17,108.5,98.5,104.67,6578100,103.89,"March 25, 20",95.52,6578100.0,3.5,3.46,0.0346
2020-03-26,104.85,110.97,102.89,110.5,6059600,108.12,"March 26, 20",100.84,6059600.0,5.65,5.39,0.0539
2020-03-27,104.43,109.64,103.4,105.44,5746500,106.16,"March 27, 20",96.22,5746500.0,1.01,0.96716,0.0096716
2020-03-30,106.33,112.84,104.93,111.71,5725600,109.83,"March 30, 20",101.94,5725600.0,5.38,5.06,0.0506
2020-03-31,110.73,116.91,110.26,116.04,8970800,114.4,"March 31, 20",105.9,8970800.0,5.31,4.8,0.048
2020-04-01,112.09,116.75,109.5,111.35,6847000,112.53,"April 01, 20",101.62,6847000.0,-0.74,-0.66018,-0.0066018
2020-04-02,111.23,118.52,111.13,116.74,8106500,115.46,"April 02, 20",106.53,8106500.0,5.51,4.95,0.0495
2020-04-03,115.5,116.84,112.12,114.67,5036400,114.54,"April 03, 20",104.64,5036400.0,-0.83,-0.71861,-0.0071861
