date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,50.99,51.24,50.6,50.93,759900,0.0,0.0
2020-01-03,50.49,51.35,50.49,51.22,704800,0.0,0.0
2020-01-06,51.23,51.46,51.03,51.39,678700,0.0,0.0
2020-01-07,51.09,51.18,49.4,49.49,1367200,0.0,0.0
2020-01-08,50.01,51.6,50.01,51.1,1111000,0.0,0.0
2020-01-09,51.05,51.24,50.66,50.85,1112000,0.0,0.0
2020-01-10,51.04,51.26,50.96,51.06,684800,0.0,0.0
2020-01-13,50.88,51.33,50.61,51.17,827200,0.0,0.0
2020-01-14,51.37,51.64,51.02,51.33,928500,0.0,0.0
2020-01-15,52.57,53.12,52.35,52.75,1018900,0.0,0.0
2020-01-16,53.08,53.2,52.72,53.13,1086900,0.0,0.0
2020-01-17,53.65,53.75,53.34,53.54,819400,0.0,0.0
2020-01-21,53.24,53.52,52.72,52.9,1115300,0.0,0.0
2020-01-22,53.38,53.64,53.16,53.48,808900,0.0,0.0
2020-01-23,53.22,53.4,52.73,53.11,886200,0.0,0.0
2020-01-24,53.4,53.57,52.79,53.12,892100,0.0,0.0
2020-01-27,52.61,53.17,52.5,52.85,610300,0.0,0.0
2020-01-28,52.85,53.34,52.84,52.99,580800,0.0,0.0
2020-01-29,53.1,53.37,52.74,52.81,531500,0.0,0.0
2020-01-30,52.88,53.14,52.37,53.12,469200,0.0,0.0
2020-01-31,53.3,53.52,52.55,52.61,864400,0.0,0.0
2020-02-03,52.98,53.77,52.98,53.43,1114800,0.0,0.0
2020-02-04,53.33,54.25,53.28,53.52,957400,0.0,0.0
2020-02-05,54.06,54.13,53.4,53.41,788300,0.0,0.0
2020-02-06,53.33,53.91,53.19,53.73,896200,0.0,0.0
2020-02-07,53.79,54.04,53.65,53.7,603600,0.0,0.0
2020-02-10,53.65,54.12,53.58,53.68,890700,0.0,0.0
2020-02-11,53.57,53.9,53.37,53.73,1260800,0.0,0.0
2020-02-12,53.44,53.65,52.22,52.39,1144300,0.0,0.0
2020-02-13,53.26,56.16,53.25,54.65,1326600,0.0,0.0
2020-02-14,55.0,55.35,54.77,55.15,815100,0.0,0.0
2020-02-18,55.22,55.71,54.85,55.01,1247300,0.0,0.0
2020-02-19,55.31,55.57,54.95,54.97,765300,0.0,0.0
2020-02-20,55.09,56.01,54.71,55.91,1691500,0.0,0.0
2020-02-21,55.89,57.11,55.85,56.67,1306500,0.0,0.0
2020-02-24,55.5,56.19,55.46,55.78,1052600,0.0,0.0
2020-02-25,55.69,55.79,54.05,54.11,1043400,0.0,0.0
2020-02-26,54.21,54.89,54.03,54.07,1327600,0.0,0.0
2020-02-27,53.69,54.67,52.8,52.82,1954700,0.0,0.0
2020-02-28,51.75,51.97,50.23,50.96,2606100,0.0,0.0
2020-03-02,51.13,53.64,51.09,53.43,1731600,0.0,0.0
2020-03-03,53.62,54.65,52.49,52.53,1259000,0.0,0.0
2020-03-04,53.36,55.25,53.28,55.22,1254700,0.0,0.0
2020-03-05,54.2,54.38,53.32,53.53,1432800,0.0,0.0
2020-03-06,52.42,53.73,51.98,52.79,1023800,0.0,0.0
2020-03-09,51.56,51.56,48.49,48.49,1885800,0.0,0.0
2020-03-10,49.13,49.91,47.32,49.41,1650700,0.0,0.0
2020-03-11,47.73,48.25,45.58,45.92,1813000,0.0,0.0
2020-03-12,43.07,43.44,37.2,39.47,2620900,0.0,0.0
2020-03-13,41.63,44.17,40.23,43.92,3256300,0.0,0.0
2020-03-16,37.66,37.87,34.74,35.79,2061400,0.0,0.0
2020-03-17,36.08,36.73,32.54,32.96,2396300,0.0,0.0
2020-03-18,31.77,32.81,30.51,32.07,3043200,0.0,0.0
2020-03-19,32.37,32.65,28.52,30.95,5000800,0.0,0.0
2020-03-20,31.92,35.49,30.81,31.47,2827500,0.0,0.0
2020-03-23,31.21,32.05,28.35,29.71,2301900,0.0,0.0
2020-03-24,31.96,32.41,30.26,30.79,1732200,0.0,0.0
2020-03-25,31.3,32.75,30.33,30.63,10565900,0.0,0.0
2020-03-26,31.95,33.95,31.27,33.45,4906000,0.0,0.0
2020-03-27,32.71,35.23,32.51,33.56,4324000,0.0,0.0
2020-03-30,33.96,36.89,33.57,36.8,4392000,0.0,0.0
2020-03-31,36.87,38.36,36.87,37.53,4293100,0.0,0.0
2020-04-01,35.78,37.56,35.76,37.01,6206000,0.0,0.0
2020-04-02,37.01,37.78,36.42,37.42,2622300,0.0,0.0
2020-04-03,36.41,37.25,36.33,37.04,1689100,0.0,0.0
2020-04-06,38.38,41.94,38.35,41.87,3235600,0.0,0.0
2020-04-07,41.47,45.94,41.07,43.71,5290200,0.0,0.0
2020-04-08,43.06,43.98,42.56,43.77,1763900,0.0,0.0
2020-04-09,43.87,44.66,43.15,43.64,1237500,0.0,0.0
2020-04-13,43.39,43.39,41.82,42.17,738500,0.0,0.0
