date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,144.49,144.49,141.78,143.88,1333700,0.0,0.0
2020-01-03,141.99,143.44,141.81,142.15,883200,0.0,0.0
2020-01-06,141.0,141.65,140.29,141.08,1014400,0.0,0.0
2020-01-07,141.19,141.78,140.66,140.92,801300,0.0,0.0
2020-01-08,141.01,141.84,140.32,140.71,1034200,0.0,0.0
2020-01-09,141.28,143.0,141.05,141.97,943900,0.0,0.0
2020-01-10,142.42,143.93,141.23,142.36,668400,0.0,0.0
2020-01-13,142.76,143.72,141.86,143.35,1364500,0.0,0.0
2020-01-14,143.35,145.06,142.79,143.96,863500,0.0,0.0
2020-01-15,143.89,145.4,143.44,144.6,791300,0.0,0.0
2020-01-16,145.48,146.09,143.58,144.2,834300,0.0,0.0
2020-01-17,140.89,141.62,136.08,136.85,2357000,0.0,0.0
2020-01-21,136.14,138.12,135.83,136.08,1619600,0.0,0.0
2020-01-22,137.18,138.25,136.35,136.58,1131900,0.0,0.0
2020-01-23,136.58,138.85,135.47,138.73,1175400,0.0,0.0
2020-01-24,139.04,139.5,137.15,137.92,856900,0.0,0.0
2020-01-27,135.48,136.05,133.76,133.87,887100,0.0,0.0
2020-01-28,134.66,135.73,133.91,135.46,1180900,0.0,0.0
2020-01-29,135.9,136.47,134.34,134.86,746800,0.0,0.0
2020-01-30,133.24,134.72,132.73,133.83,975100,0.0,0.0
2020-01-31,133.39,133.72,129.92,130.45,1173000,0.0,0.0
2020-02-03,130.74,133.76,130.54,132.89,1618000,0.0,0.0
2020-02-04,134.47,136.24,133.99,136.15,1068800,0.0,0.0
2020-02-05,137.22,137.49,134.89,136.04,1124300,0.0,0.0
2020-02-06,134.51,138.45,133.68,134.64,1186700,0.0,0.0
2020-02-07,134.41,134.49,131.17,132.66,1354400,0.0,0.0
2020-02-10,132.71,134.07,132.5,133.99,920000,0.0,0.0
2020-02-11,134.31,136.18,133.33,135.97,1228300,0.0,0.0
2020-02-12,136.0,137.56,135.69,136.59,1028500,0.0,0.0
2020-02-13,135.3,137.31,134.89,137.28,1034100,0.0,0.0
2020-02-14,137.94,138.96,137.06,138.29,1292600,0.0,0.0
2020-02-18,137.47,137.66,133.33,134.87,1003200,0.0,0.0
2020-02-19,135.27,137.36,135.08,136.63,667000,0.0,0.0
2020-02-20,136.53,138.44,135.76,138.24,667900,0.0,0.0
2020-02-21,137.37,138.3,133.15,133.91,960100,0.0,0.0
2020-02-24,131.39,132.87,128.36,129.54,1441200,0.38,0.0
2020-02-25,130.34,131.07,124.75,125.15,1291700,0.0,0.0
2020-02-26,125.79,129.17,124.68,124.84,1319600,0.0,0.0
2020-02-27,121.74,121.98,116.04,116.08,1969100,0.0,0.0
2020-02-28,113.29,117.87,110.92,114.22,2984800,0.0,0.0
2020-03-02,115.36,119.98,113.13,119.98,2087700,0.0,0.0
2020-03-03,118.15,120.91,113.87,115.61,1656500,0.0,0.0
2020-03-04,117.81,119.26,115.94,119.19,1301800,0.0,0.0
2020-03-05,115.99,116.77,111.68,113.81,1623100,0.0,0.0
2020-03-06,108.96,112.01,108.32,111.58,1572900,0.0,0.0
2020-03-09,102.15,105.52,98.19,98.21,2728900,0.0,0.0
2020-03-10,102.18,104.09,99.08,104.09,2157500,0.0,0.0
2020-03-11,100.37,104.64,100.37,102.87,2858800,0.0,0.0
2020-03-12,96.01,101.38,91.25,91.47,2756300,0.0,0.0
2020-03-13,96.52,101.38,92.51,101.3,2292400,0.0,0.0
2020-03-16,88.06,91.58,85.01,86.97,2461000,0.0,0.0
2020-03-17,88.68,89.47,84.36,87.28,2125000,0.0,0.0
2020-03-18,80.99,88.58,75.2,84.39,2121300,0.0,0.0
2020-03-19,84.06,89.45,78.76,88.27,1873200,0.0,0.0
2020-03-20,89.66,91.03,79.33,79.56,1903500,0.0,0.0
2020-03-23,78.38,87.0,73.39,85.6,2204200,0.0,0.0
2020-03-24,90.24,95.48,88.8,93.83,2191100,0.0,0.0
2020-03-25,92.66,96.79,90.41,91.91,1747000,0.0,0.0
2020-03-26,91.5,101.9,90.01,101.06,1577400,0.0,0.0
2020-03-27,95.86,97.8,92.52,93.75,1361900,0.0,0.0
2020-03-30,92.01,97.75,91.82,96.91,932500,0.0,0.0
2020-03-31,96.44,98.41,92.46,93.27,2153500,0.0,0.0
2020-04-01,89.32,92.67,88.01,88.83,1531800,0.0,0.0
2020-04-02,86.63,89.29,85.78,87.97,1439900,0.0,0.0
2020-04-03,87.44,89.77,85.88,86.89,1125100,0.0,0.0
2020-04-06,92.64,96.29,91.3,95.84,1196300,0.0,0.0
2020-04-07,101.52,102.96,98.51,98.63,1273100,0.0,0.0
2020-04-08,99.53,103.29,98.5,102.27,1010500,0.0,0.0
2020-04-09,104.2,107.81,103.28,106.26,1318900,0.0,0.0
2020-04-13,105.91,107.0,101.58,103.88,832800,0.0,0.0
2020-04-14,104.66,107.24,104.66,106.75,967100,0.0,0.0
2020-04-15,102.43,105.35,102.42,103.68,698000,0.0,0.0
2020-04-16,103.83,105.69,101.1,104.25,1092000,0.0,0.0
2020-04-17,106.14,109.03,105.64,108.82,966000,0.0,0.0
2020-04-20,106.47,107.11,104.51,105.6,1066800,0.0,0.0
2020-04-21,102.7,103.75,98.12,98.85,1423200,0.0,0.0
2020-04-22,100.9,102.93,99.36,101.74,864700,0.0,0.0
2020-04-23,102.51,104.34,100.7,100.86,900200,0.0,0.0
2020-04-24,103.05,105.71,102.34,104.77,1068800,0.0,0.0
2020-04-27,104.77,107.04,104.6,106.28,734700,0.0,0.0
2020-04-28,108.62,109.06,106.18,107.12,1016700,0.0,0.0
2020-04-29,109.17,112.14,108.43,111.29,988000,0.0,0.0
2020-04-30,110.93,111.19,108.95,110.8,1144400,0.0,0.0
2020-05-01,108.22,108.69,106.18,106.82,823500,0.0,0.0
2020-05-04,106.22,108.34,104.46,108.19,724600,0.0,0.0
2020-05-05,107.83,111.01,107.63,109.99,813400,0.0,0.0
2020-05-06,110.61,111.3,104.66,106.77,1328900,0.0,0.0
2020-05-07,106.47,108.89,104.97,106.67,896800,0.0,0.0
2020-05-08,108.05,109.83,107.54,108.54,584000,0.0,0.0
2020-05-11,106.97,107.31,104.97,104.97,770700,0.0,0.0
2020-05-12,105.38,106.32,101.96,101.98,858800,0.0,0.0
2020-05-13,100.99,102.77,96.5,98.01,958200,0.0,0.0
2020-05-14,95.27,99.83,93.75,99.7,1088100,0.0,0.0
2020-05-15,98.01,98.81,96.91,97.81,1288000,0.0,0.0
2020-05-18,102.48,107.18,101.49,106.51,1773200,0.0,0.0
2020-05-19,106.36,108.51,105.11,105.99,892100,0.0,0.0
2020-05-20,105.83,109.39,105.83,109.23,1008300,0.0,0.0
2020-05-21,108.44,109.96,107.01,107.21,754400,0.38,0.0
2020-05-22,106.23,106.7,105.41,105.74,624200,0.0,0.0
2020-05-26,108.56,110.52,107.97,108.01,940300,0.0,0.0
2020-05-27,109.61,110.38,107.11,110.34,821300,0.0,0.0
2020-05-28,110.0,111.66,108.39,109.65,766900,0.0,0.0
2020-05-29,110.42,111.5,108.34,110.91,1210500,0.0,0.0
2020-06-01,110.26,113.2,109.58,111.91,607100,0.0,0.0
2020-06-02,111.97,113.65,111.6,113.27,881800,0.0,0.0
2020-06-03,113.51,115.75,113.51,115.09,648200,0.0,0.0
2020-06-04,114.4,117.0,114.01,116.75,1101800,0.0,0.0
2020-06-05,119.34,126.0,119.32,125.34,2030900,0.0,0.0
2020-06-08,126.4,129.23,125.35,128.29,1658300,0.0,0.0
2020-06-09,126.57,127.14,124.29,124.41,1328300,0.0,0.0
2020-06-10,124.11,124.52,121.48,121.71,911200,0.0,0.0
2020-06-11,120.24,120.6,110.53,110.54,994700,0.0,0.0
2020-06-12,113.9,116.02,111.03,114.1,923900,0.0,0.0
2020-06-15,111.0,114.08,108.64,113.9,897400,0.0,0.0
2020-06-16,118.04,120.65,115.85,119.37,1239300,0.0,0.0
2020-06-17,119.99,120.43,116.64,117.18,782700,0.0,0.0
2020-06-18,116.54,117.56,115.64,117.24,703200,0.0,0.0
2020-06-19,117.86,121.0,116.33,116.95,1426500,0.0,0.0
2020-06-22,115.99,116.58,114.64,116.19,856300,0.0,0.0
2020-06-23,117.99,117.99,115.52,115.95,1098400,0.0,0.0
2020-06-24,114.79,114.84,110.39,111.49,890500,0.0,0.0
2020-06-25,111.7,112.78,109.7,112.44,733500,0.0,0.0
2020-06-26,112.8,112.8,108.16,108.49,2005000,0.0,0.0
2020-06-29,112.65,115.17,111.5,114.0,1912400,0.0,0.0
2020-06-30,113.6,116.9,112.5,116.18,1006200,0.0,0.0
2020-07-01,116.03,117.91,115.16,115.53,880300,0.0,0.0
2020-07-02,116.78,118.76,116.5,117.11,894100,0.0,0.0
2020-07-06,119.75,120.0,117.2,117.55,729500,0.0,0.0
2020-07-07,116.87,118.03,113.71,114.06,883900,0.0,0.0
2020-07-08,114.22,114.96,112.3,113.38,865200,0.0,0.0
2020-07-09,113.62,114.01,110.19,112.51,723900,0.0,0.0
2020-07-10,111.81,114.24,111.29,113.84,660500,0.0,0.0
2020-07-13,115.11,115.12,112.46,112.58,780500,0.0,0.0
2020-07-14,111.26,114.56,110.98,114.4,609900,0.0,0.0
2020-07-15,115.74,118.27,114.92,117.7,660600,0.0,0.0
2020-07-16,117.12,117.41,116.13,116.7,567100,0.0,0.0
2020-07-17,117.16,119.62,116.55,118.51,560600,0.0,0.0
2020-07-20,117.74,118.36,115.75,118.18,489700,0.0,0.0
2020-07-21,117.67,119.72,116.22,117.0,880200,0.0,0.0
2020-07-22,117.8,119.72,117.61,119.08,519100,0.0,0.0
2020-07-23,119.28,121.48,118.28,118.79,473000,0.0,0.0
2020-07-24,118.02,118.29,113.72,114.56,920700,0.0,0.0
2020-07-27,115.28,116.54,114.26,116.3,761300,0.0,0.0
2020-07-28,115.54,116.79,113.68,113.85,465200,0.0,0.0
2020-07-29,113.76,116.01,113.36,115.64,541700,0.0,0.0
2020-07-30,113.47,115.84,112.4,115.69,528800,0.0,0.0
2020-07-31,115.32,116.4,113.55,116.25,769300,0.0,0.0
2020-08-03,116.68,118.42,116.05,117.46,537300,0.0,0.0
2020-08-04,116.96,119.83,116.7,119.52,996400,0.0,0.0
2020-08-05,121.93,121.93,115.46,116.75,1293200,0.0,0.0
2020-08-06,115.9,117.95,114.42,114.79,784400,0.0,0.0
2020-08-07,113.74,114.85,112.85,114.77,678400,0.0,0.0
2020-08-10,114.23,115.01,112.98,113.0,675900,0.0,0.0
2020-08-11,114.41,119.95,113.91,117.21,1122900,0.0,0.0
2020-08-12,118.5,118.5,116.28,116.61,855900,0.0,0.0
2020-08-13,115.87,116.02,113.8,114.58,490800,0.0,0.0
2020-08-14,113.59,113.86,112.81,113.52,533100,0.0,0.0
2020-08-17,114.01,115.12,113.39,113.62,407900,0.0,0.0
2020-08-18,113.68,114.33,110.77,110.98,750200,0.0,0.0
2020-08-19,110.87,112.94,110.79,111.99,541000,0.0,0.0
2020-08-20,111.31,113.14,111.03,112.32,630200,0.0,0.0
2020-08-21,112.0,112.07,110.53,111.15,556500,0.0,0.0
2020-08-24,111.69,113.39,111.35,112.29,541000,0.38,0.0
2020-08-25,112.52,113.49,111.16,112.15,491900,0.0,0.0
2020-08-26,111.98,112.24,110.09,111.17,1026400,0.0,0.0
2020-08-27,112.52,115.56,111.83,114.84,1177800,0.0,0.0
2020-08-28,115.09,115.84,113.76,115.34,578500,0.0,0.0
2020-08-31,115.01,115.01,112.71,113.65,631200,0.0,0.0
2020-09-01,112.74,113.48,110.13,112.59,1097000,0.0,0.0
2020-09-02,113.93,117.86,112.95,117.53,1080800,0.0,0.0
2020-09-03,117.01,117.53,111.3,112.17,919000,0.0,0.0
2020-09-04,113.74,115.42,111.54,114.25,1383600,0.0,0.0
2020-09-08,112.14,114.16,111.59,111.72,1157200,0.0,0.0
2020-09-09,112.47,112.79,109.52,110.55,637900,0.0,0.0
2020-09-10,111.0,112.05,109.36,110.08,1083300,0.0,0.0
2020-09-11,109.25,111.55,109.05,111.32,1073800,0.0,0.0
2020-09-14,112.36,114.82,111.86,113.15,764900,0.0,0.0
2020-09-15,113.32,115.51,113.2,114.18,468900,0.0,0.0
2020-09-16,115.11,116.65,113.64,113.91,894200,0.0,0.0
2020-09-17,112.07,114.48,111.76,114.23,908900,0.0,0.0
2020-09-18,115.0,115.26,112.17,112.82,1240200,0.0,0.0
2020-09-21,110.89,111.47,108.49,108.81,1031900,0.0,0.0
2020-09-22,108.33,110.31,105.87,110.17,847700,0.0,0.0
2020-09-23,111.01,112.13,108.01,109.21,946400,0.0,0.0
2020-09-24,108.63,111.98,108.14,110.43,911100,0.0,0.0
2020-09-25,110.25,112.86,109.67,112.74,688600,0.0,0.0
2020-09-28,114.44,116.72,113.11,116.5,1214900,0.0,0.0
2020-09-29,116.99,118.97,116.51,118.11,786200,0.0,0.0
2020-09-30,118.53,121.89,118.1,119.53,1013400,0.0,0.0
2020-10-01,120.45,124.53,120.45,123.5,1000800,0.0,0.0
2020-10-02,120.64,124.62,120.42,123.49,1128300,0.0,0.0
2020-10-05,124.35,126.43,124.06,125.88,653700,0.0,0.0
2020-10-06,126.13,127.24,122.52,123.07,985900,0.0,0.0
2020-10-07,124.68,126.24,124.3,125.93,497900,0.0,0.0
2020-10-08,126.73,127.16,125.57,126.2,404300,0.0,0.0
2020-10-09,127.25,127.83,125.62,125.99,506700,0.0,0.0
2020-10-12,127.86,130.81,126.48,130.01,596300,0.0,0.0
2020-10-13,130.53,131.22,129.69,129.93,688900,0.0,0.0
2020-10-14,130.38,131.13,129.39,129.52,673200,0.0,0.0
2020-10-15,127.58,130.16,127.0,129.8,473900,0.0,0.0
2020-10-16,130.75,131.76,129.3,130.62,393800,0.0,0.0
2020-10-19,130.21,132.25,128.12,128.86,482400,0.0,0.0
2020-10-20,130.72,131.39,128.91,129.32,422200,0.0,0.0
2020-10-21,129.75,130.3,128.09,128.84,468900,0.0,0.0
2020-10-22,128.52,129.83,127.32,129.44,337800,0.0,0.0
2020-10-23,130.3,130.54,128.67,130.0,310900,0.0,0.0
2020-10-26,128.27,129.61,124.22,125.67,426500,0.0,0.0
2020-10-27,125.35,126.2,123.12,123.28,620100,0.0,0.0
2020-10-28,120.33,120.75,118.31,118.73,706900,0.0,0.0
2020-10-29,117.28,122.09,117.02,120.95,733100,0.0,0.0
2020-10-30,119.94,123.2,118.61,122.6,1147000,0.0,0.0
2020-11-02,125.17,129.46,123.22,126.45,1247600,0.0,0.0
2020-11-03,130.05,131.81,127.66,130.72,676900,0.0,0.0
2020-11-04,132.15,135.95,130.09,133.85,993800,0.0,0.0
2020-11-05,135.22,139.75,135.11,138.18,1322200,0.0,0.0
2020-11-06,138.3,139.49,137.11,138.05,676100,0.0,0.0
2020-11-09,141.09,146.95,141.09,143.95,1568900,0.0,0.0
2020-11-10,141.33,144.22,136.87,137.53,1310300,0.0,0.0
2020-11-11,138.32,139.34,136.87,138.7,582300,0.0,0.0
2020-11-12,138.46,139.23,135.26,135.56,456400,0.0,0.0
2020-11-13,136.99,138.43,136.82,137.59,1199500,0.0,0.0
2020-11-16,139.31,140.82,138.57,139.08,677900,0.0,0.0
2020-11-17,137.61,138.96,136.33,136.78,711400,0.0,0.0
2020-11-18,137.1,138.11,135.67,135.73,1481000,0.0,0.0
2020-11-19,134.74,135.07,131.05,132.78,1418900,0.0,0.0
2020-11-20,132.45,133.6,131.92,131.95,783700,0.0,0.0
2020-11-23,132.26,132.69,130.23,131.22,1102800,0.0,0.0
2020-11-24,131.85,137.67,131.67,136.82,1970100,0.4,0.0
