date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,45.36,45.4,44.93,45.37,20170500,0.0,0.0
2020-01-03,44.83,45.22,44.57,45.01,20496400,0.0,0.0
2020-01-06,44.66,44.87,44.55,44.67,17628200,0.0,0.0
2020-01-07,44.25,45.01,44.22,44.93,24563700,0.21,0.0
2020-01-08,44.94,45.57,44.76,45.39,18097400,0.0,0.0
2020-01-09,45.39,45.61,45.18,45.51,14195400,0.0,0.0
2020-01-10,45.63,45.63,44.93,44.98,15896200,0.0,0.0
2020-01-13,44.92,45.87,44.9,45.8,21789300,0.0,0.0
2020-01-14,45.57,46.22,45.5,46.03,16711900,0.0,0.0
2020-01-15,46.06,46.55,46.01,46.28,15413500,0.0,0.0
2020-01-16,46.44,46.92,46.31,46.87,24424400,0.0,0.0
2020-01-17,47.68,47.74,47.11,47.5,27667100,0.0,0.0
2020-01-21,47.48,47.48,46.79,47.3,19141600,0.0,0.0
2020-01-22,47.5,47.7,47.27,47.44,18251600,0.0,0.0
2020-01-23,46.54,46.98,45.51,45.65,37753000,0.0,0.0
2020-01-24,44.9,45.06,44.21,44.59,39229300,0.0,0.0
2020-01-27,43.93,44.75,43.8,44.0,24048800,0.0,0.0
2020-01-28,44.07,44.42,43.81,44.04,15875700,0.0,0.0
2020-01-29,44.26,44.26,43.15,43.32,21913200,0.0,0.0
2020-01-30,42.87,44.19,42.7,44.14,25105100,0.0,0.0
2020-01-31,44.12,44.14,43.0,43.19,24008300,0.0,0.0
2020-02-03,43.56,43.65,42.62,42.66,26383600,0.0,0.0
2020-02-04,43.5,44.52,43.38,44.28,28143200,0.0,0.0
2020-02-05,44.65,45.14,44.48,44.59,20332100,0.0,0.0
2020-02-06,44.76,45.06,44.29,44.6,15222400,0.0,0.0
2020-02-07,44.52,44.85,44.27,44.74,14104200,0.0,0.0
2020-02-10,44.64,44.73,44.26,44.66,15016100,0.0,0.0
2020-02-11,44.82,44.85,44.36,44.79,11075700,0.0,0.0
2020-02-12,44.98,46.14,44.91,46.02,23638000,0.0,0.0
2020-02-13,45.9,46.35,45.69,46.07,17913100,0.0,0.0
2020-02-14,46.08,46.18,45.75,46.09,15930600,0.0,0.0
2020-02-18,46.14,46.39,45.81,46.15,13694500,0.0,0.0
2020-02-19,46.22,46.26,45.86,45.97,14814400,0.0,0.0
2020-02-20,45.8,46.15,45.5,46.02,12037800,0.0,0.0
2020-02-21,45.76,46.42,45.66,45.82,21235400,0.0,0.0
2020-02-24,45.12,46.01,44.47,44.6,21720800,0.0,0.0
2020-02-25,44.75,44.89,43.03,43.17,22440600,0.0,0.0
2020-02-26,44.18,44.18,42.19,42.22,30526000,0.0,0.0
2020-02-27,41.86,42.6,40.99,41.05,36098100,0.0,0.0
2020-02-28,40.0,40.98,38.97,40.43,62186700,0.0,0.0
2020-03-02,40.34,42.53,39.4,42.52,40006900,0.0,0.0
2020-03-03,42.07,43.45,41.1,41.44,43253400,0.0,0.0
2020-03-04,41.97,42.56,41.5,42.5,24996900,0.0,0.0
2020-03-05,41.42,41.78,40.42,40.77,25284600,0.0,0.0
2020-03-06,38.91,40.6,38.83,40.37,31302100,0.0,0.0
2020-03-09,38.17,38.89,37.15,37.88,46926200,0.0,0.0
2020-03-10,38.64,39.15,36.67,39.1,48724300,0.0,0.0
2020-03-11,37.8,38.49,37.38,37.91,38865100,0.0,0.0
2020-03-12,35.58,37.85,34.44,34.94,63254500,0.0,0.0
2020-03-13,36.23,39.72,34.48,39.33,66243400,0.0,0.0
2020-03-16,34.64,38.99,34.5,36.04,41485700,0.0,0.0
2020-03-17,36.58,38.35,36.21,38.22,38934900,0.0,0.0
2020-03-18,36.23,36.75,33.27,35.68,42533400,0.0,0.0
2020-03-19,35.64,39.31,34.6,35.94,36830400,0.0,0.0
2020-03-20,36.09,36.09,32.64,33.37,47309000,0.0,0.0
2020-03-23,33.17,34.67,31.71,34.17,38600900,0.0,0.0
2020-03-24,35.37,35.37,33.53,34.64,46492800,0.0,0.0
2020-03-25,33.78,34.56,31.78,33.57,57834100,0.0,0.0
2020-03-26,33.19,37.31,33.06,36.74,38329500,0.0,0.0
2020-03-27,35.59,35.79,34.41,34.57,27910400,0.0,0.0
2020-03-30,34.74,35.63,34.55,35.49,31400200,0.0,0.0
2020-03-31,34.83,35.78,34.25,34.38,27786300,0.23,0.0
2020-04-01,33.16,33.76,32.05,32.42,26097200,0.0,0.0
2020-04-02,32.1,34.47,32.06,34.37,24683900,0.0,0.0
2020-04-03,34.1,34.64,33.41,33.95,19312300,0.0,0.0
2020-04-06,35.37,36.4,35.09,36.23,31583200,0.0,0.0
2020-04-07,36.95,37.97,36.73,36.94,26379000,0.0,0.0
2020-04-08,37.23,37.91,36.76,37.68,26522500,0.0,0.0
2020-04-09,37.49,38.05,36.8,38.0,28615800,0.0,0.0
2020-04-13,37.45,37.89,36.58,37.19,20237400,0.0,0.0
2020-04-14,37.56,38.64,37.23,38.52,21803300,0.0,0.0
2020-04-15,37.78,38.05,36.75,37.16,19786300,0.0,0.0
2020-04-16,37.53,38.02,36.66,37.83,20973800,0.0,0.0
2020-04-17,38.55,38.71,37.68,38.08,28736600,0.0,0.0
2020-04-20,37.68,38.22,37.12,37.21,18444500,0.0,0.0
2020-04-21,36.75,36.79,35.53,35.71,23004500,0.0,0.0
2020-04-22,36.23,36.35,35.68,35.73,20117300,0.0,0.0
2020-04-23,35.83,36.52,35.8,36.09,21194200,0.0,0.0
2020-04-24,36.15,37.22,36.15,37.16,19188000,0.0,0.0
2020-04-27,37.57,38.35,37.4,38.21,21775600,0.0,0.0
2020-04-28,38.63,39.07,37.91,38.08,15958700,0.0,0.0
2020-04-29,38.82,39.12,38.35,39.0,19110200,0.0,0.0
2020-04-30,36.51,38.03,36.01,37.63,33212500,0.0,0.0
2020-05-01,37.14,37.51,36.78,36.98,19951600,0.0,0.0
2020-05-04,37.15,37.2,35.92,36.22,24906000,0.0,0.0
2020-05-05,36.39,36.49,35.99,36.05,18784100,0.0,0.0
2020-05-06,36.22,36.26,35.1,35.14,20151900,0.0,0.0
2020-05-07,35.58,35.88,35.37,35.58,17462400,0.0,0.0
2020-05-08,36.25,36.65,36.0,36.53,12979000,0.0,0.0
2020-05-11,36.26,36.3,35.54,36.16,21758100,0.0,0.0
2020-05-12,36.07,36.23,35.34,35.35,17133000,0.0,0.0
2020-05-13,35.17,35.3,34.42,34.97,30898300,0.0,0.0
2020-05-14,34.78,35.84,34.17,35.76,24334900,0.0,0.0
2020-05-15,35.31,35.98,34.85,35.92,31571600,0.0,0.0
2020-05-18,36.94,38.35,36.83,38.09,24827400,0.0,0.0
2020-05-19,37.83,38.66,37.33,38.21,27763200,0.0,0.0
2020-05-20,38.61,39.24,38.5,39.17,23123500,0.0,0.0
2020-05-21,38.84,39.19,38.56,38.95,20744200,0.0,0.0
2020-05-22,38.67,39.0,38.47,38.74,12383000,0.0,0.0
2020-05-26,39.45,40.13,39.4,39.52,21584900,0.0,0.0
2020-05-27,39.63,40.47,39.62,39.93,20654900,0.0,0.0
2020-05-28,39.97,40.13,39.44,39.55,18254000,0.0,0.0
2020-05-29,39.56,39.82,38.8,39.6,20298700,0.0,0.0
2020-06-01,39.54,40.27,39.4,40.18,13350600,0.0,0.0
2020-06-02,40.13,40.83,40.12,40.78,19060100,0.0,0.0
2020-06-03,41.15,41.58,40.99,41.3,17141900,0.0,0.0
2020-06-04,40.97,41.38,40.84,41.29,12756500,0.0,0.0
2020-06-05,42.13,43.1,41.99,42.09,20271600,0.0,0.0
2020-06-08,41.93,43.18,41.9,43.12,17212000,0.0,0.0
2020-06-09,42.67,42.89,41.88,42.15,14413900,0.0,0.0
2020-06-10,42.1,42.12,41.13,41.36,15634600,0.0,0.0
2020-06-11,40.91,41.27,39.19,39.25,22805900,0.0,0.0
2020-06-12,39.59,39.97,38.52,39.46,18507300,0.0,0.0
2020-06-15,39.29,40.09,38.54,39.83,16585500,0.0,0.0
2020-06-16,40.54,41.05,39.14,39.75,21212400,0.0,0.0
2020-06-17,39.78,39.89,39.12,39.22,18935700,0.0,0.0
2020-06-18,39.19,39.6,38.95,39.44,17008200,0.0,0.0
2020-06-19,39.85,40.46,38.87,39.1,35341300,0.0,0.0
2020-06-22,38.8,39.05,38.32,38.44,20800700,0.0,0.0
2020-06-23,38.93,39.65,38.69,39.2,24917900,0.0,0.0
2020-06-24,39.48,39.48,38.13,38.56,20958900,0.0,0.0
2020-06-25,38.36,38.74,37.77,38.57,18159200,0.0,0.0
2020-06-26,38.3,38.74,38.03,38.65,50945600,0.0,0.0
2020-06-29,38.87,39.03,38.39,38.94,20573800,0.0,0.0
2020-06-30,38.5,39.13,38.12,38.98,22169400,0.23,0.0
2020-07-01,39.61,40.21,39.4,39.7,18269800,0.0,0.0
2020-07-02,40.04,40.28,39.17,39.25,23372800,0.0,0.0
2020-07-06,39.8,40.37,39.65,40.33,17551400,0.0,0.0
2020-07-07,40.04,40.35,40.0,40.07,19404700,0.0,0.0
2020-07-08,40.13,40.24,39.52,39.74,12536000,0.0,0.0
2020-07-09,39.7,39.72,39.03,39.29,15335200,0.0,0.0
2020-07-10,39.23,40.54,39.14,40.51,19032700,0.0,0.0
2020-07-13,40.47,41.1,40.18,40.54,17464700,0.0,0.0
2020-07-14,39.95,41.29,39.83,41.18,21030600,0.0,0.0
2020-07-15,41.11,42.08,41.05,41.96,21068800,0.0,0.0
2020-07-16,41.71,42.18,41.66,42.14,14817900,0.0,0.0
