date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,22.85,23.39,22.84,23.37,10866000,0.0,0.0
2020-01-03,23.16,23.19,22.78,23.17,5023200,0.0,0.0
2020-01-06,23.07,23.41,23.0,23.37,7451200,0.0,0.0
2020-01-07,23.35,23.39,23.14,23.34,7188400,0.0,0.0
2020-01-08,23.35,23.62,23.3,23.5,4671200,0.0,0.0
2020-01-09,23.65,23.97,23.65,23.82,5338800,0.0,0.0
2020-01-10,23.87,23.92,23.63,23.83,5134400,0.0,0.0
2020-01-13,24.06,24.08,23.76,24.07,5091600,0.0,0.0
2020-01-14,24.09,24.26,24.01,24.08,5239600,0.0,0.0
2020-01-15,24.03,24.29,23.99,24.17,4850800,0.0,0.0
2020-01-16,24.33,24.34,24.13,24.3,3704400,0.0,0.0
2020-01-17,24.33,24.33,23.78,24.28,10496000,0.0,0.0
2020-01-21,24.22,24.76,24.2,24.65,5870400,0.0,0.0
2020-01-22,24.78,25.09,24.75,24.91,5819200,0.0,0.0
2020-01-23,24.8,25.0,24.76,24.98,3377200,0.0,0.0
2020-01-24,25.09,25.28,24.92,25.07,3192000,0.0,0.0
2020-01-27,24.28,25.0,24.28,24.88,4066800,0.0,0.0
2020-01-28,25.03,25.31,24.64,25.18,5381200,0.0,0.0
2020-01-29,25.2,25.35,25.03,25.18,3492000,0.0,0.0
2020-01-30,25.08,25.61,25.03,25.59,3547600,0.0,0.0
2020-01-31,25.55,26.0,25.26,25.36,5512000,0.0,0.0
2020-02-03,25.55,25.83,25.15,25.2,5370000,0.0,0.0
2020-02-04,25.47,25.79,25.33,25.66,4274800,0.0,0.0
2020-02-05,25.98,26.02,25.49,25.54,4024000,0.0,0.0
2020-02-06,25.56,25.75,25.39,25.74,3779600,0.0,0.0
2020-02-07,25.79,25.91,25.55,25.65,3920800,0.0,0.0
2020-02-10,25.64,25.97,25.58,25.63,8181200,0.0,0.0
2020-02-11,25.78,25.81,25.48,25.58,3649600,0.0,0.0
2020-02-12,25.61,25.78,25.2,25.62,6867200,0.0,0.0
2020-02-13,25.59,25.99,25.58,25.84,4240400,0.0,0.0
2020-02-14,25.79,25.95,25.67,25.81,6699600,0.0,0.0
2020-02-18,25.75,26.09,25.58,25.6,8249600,0.0,0.0
2020-02-19,25.72,26.22,25.66,26.12,6626400,0.0,0.0
2020-02-20,24.25,25.12,22.67,24.33,28744800,0.0,0.0
2020-02-21,24.26,24.6,23.68,23.81,12560800,0.0,0.0
2020-02-24,23.2,23.65,22.94,23.19,13093600,0.0,0.0
2020-02-25,23.24,23.35,22.0,22.24,10614400,0.0,0.0
2020-02-26,22.46,23.03,21.99,22.09,9358800,0.0,0.0
2020-02-27,21.7,22.05,21.13,21.15,11199200,0.0,0.0
2020-02-28,20.34,21.16,19.98,21.12,16210000,0.0,0.0
2020-03-02,21.03,21.72,20.53,21.67,12377200,0.0,0.0
2020-03-03,21.44,22.03,20.86,20.94,12366000,0.0,0.0
2020-03-04,21.22,21.76,20.91,21.75,8581200,0.0,0.0
2020-03-05,21.18,21.38,20.61,20.88,8849200,0.0,0.0
