date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,163.92,167.07,163.58,166.99,5163088,165.67,"January 02, 20",166.990005,5189300.0,3.07,1.87,0.0187
2020-01-03,165.06,166.77,165.0,166.17,3284201,166.15,"January 03, 20",166.169998,3205400.0,1.11,0.67248,0.0067248
2020-01-06,165.0,173.67,164.45,173.45,8952359,171.2,"January 06, 20",173.449997,8836200.0,8.45,5.12,0.0512
2020-01-07,173.23,176.87,172.09,176.0,8510792,175.12,"January 07, 20",176.0,8272700.0,2.77,1.6,0.016
2020-01-08,175.23,178.85,174.75,177.33,7363871,177.11,"January 08, 20",177.330002,7225100.0,2.1,1.2,0.012
2020-01-09,178.84,179.9,177.29,179.6,6056803,179.23,"January 09, 20",179.600006,5952900.0,0.76,0.42496,0.0042496
2020-01-10,179.84,180.68,178.69,180.2,5223367,180.01,"January 10, 20",180.199997,5111800.0,0.36,0.20018,0.0020018
2020-01-13,181.26,184.45,181.13,183.85,6285416,183.57,"January 13, 20",183.850006,6202600.0,2.59,1.43,0.0143
2020-01-14,183.5,183.85,182.04,182.12,4373095,182.67,"January 14, 20",182.119995,4342300.0,-1.38,-0.75204,-0.0075204
2020-01-15,181.68,183.085,180.615,181.06,3984881,181.67,"January 15, 20",181.059998,3886600.0,-0.62,-0.34126,-0.0034126
2020-01-16,182.23,183.11,180.96,182.69,3550203,182.24,"January 16, 20",182.690002,3485300.0,0.46,0.25243,0.0025243
2020-01-17,183.23,183.34,181.36,182.23,5022358,182.32,"January 17, 20",182.229996,4577000.0,-1.0,-0.54576,-0.0054576
2020-01-21,181.51,186.0,181.5,185.27,6376182,184.87,"January 21, 20",185.270004,6302400.0,3.76,2.07,0.0207
2020-01-22,185.39,186.44,182.69,182.75,4871237,184.32,"January 22, 20",182.75,4781800.0,-2.64,-1.42,-0.0142
2020-01-23,183.21,184.3,181.3,183.98,4414344,183.44,"January 23, 20",183.979996,4369000.0,0.77,0.42028,0.0042028
2020-01-24,185.0,186.13,181.13,182.11,4714428,183.03,"January 24, 20",182.110001,4653600.0,-2.89,-1.56,-0.0156
2020-01-27,178.77,181.73,177.3,180.71,4345409,180.46,"January 27, 20",180.710007,4239400.0,1.94,1.09,0.0109
2020-01-28,181.14,183.855,180.3503,182.85,3513871,182.77,"January 28, 20",182.850006,3445300.0,1.71,0.94402,0.0094402
2020-01-29,184.0,184.1,181.62,181.77,2850143,182.71,"January 29, 20",181.770004,2785500.0,-2.23,-1.21,-0.0121
2020-01-30,180.9,185.94,180.54,185.67,3804294,184.34,"January 30, 20",185.669998,3715700.0,4.77,2.64,0.0264
2020-01-31,184.86,186.03,180.79,182.31,4275562,182.3,"January 31, 20",182.309998,4193300.0,-2.55,-1.38,-0.0138
2020-02-03,183.26,185.874,181.85,185.42,4838967,184.78,"February 03, 20",185.419998,4755200.0,2.16,1.18,0.0118
2020-02-04,188.0,189.69,186.65,188.34,4056075,188.48,"February 04, 20",188.339996,3983200.0,0.34,0.18085,0.0018085
2020-02-05,190.4,190.55,182.86,185.49,6228488,184.87,"February 05, 20",185.490005,6162700.0,-4.91,-2.58,-0.0258
2020-02-06,186.83,187.56,184.24,186.73,4191942,186.52,"February 06, 20",186.729996,4102700.0,-0.1,-0.05352459,-0.0005352459
2020-02-07,186.85,188.65,185.65,185.72,3806100,186.63,"February 07, 20",185.720001,3713100.0,-1.13,-0.60476,-0.0060476
2020-02-10,186.17,189.27,185.5618,189.12,3949246,188.25,"February 10, 20",189.119995,3873500.0,2.95,1.58,0.0158
2020-02-11,191.48,192.6,188.65,189.11,4382727,190.17,"February 11, 20",189.110001,4299200.0,-2.37,-1.24,-0.0124
2020-02-12,189.71,190.52,186.77,189.46,4627647,189.2,"February 12, 20",189.460007,4535400.0,-0.25,-0.13178,-0.0013178
2020-02-13,188.5,191.05,188.42,188.64,3197917,189.55,"February 13, 20",188.639999,3132100.0,0.14,0.07427056,0.0007427056
2020-02-14,189.35,190.25,188.1,189.95,3654606,189.45,"February 14, 20",189.949997,3599400.0,0.6,0.31687,0.0031687
2020-02-18,190.95,191.5,188.92,191.09,5063538,190.63,"February 18, 20",191.089996,4957000.0,0.14,0.07331762,0.0007331762
2020-02-19,192.0,193.92,191.8,192.87,3997070,192.87,"February 19, 20",192.869995,3903200.0,0.87,0.45313,0.0045313
2020-02-20,194.0,195.72,189.77,193.36,5563917,193.19,"February 20, 20",193.360001,5451200.0,-0.64,-0.3299,-0.003299
2020-02-21,191.84,192.04,186.72,189.5,5448894,189.22,"February 21, 20",189.5,5242100.0,-2.34,-1.22,-0.0122
