date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,48.06,48.42,47.88,48.42,16708100,0.35,0.0
2020-01-03,47.91,48.14,47.48,47.63,15577400,0.0,0.0
2020-01-06,47.14,47.82,47.01,47.8,22183600,0.0,0.0
2020-01-07,47.72,47.72,47.1,47.49,16501900,0.0,0.0
2020-01-08,46.97,47.79,46.81,47.52,25175900,0.0,0.0
2020-01-09,47.79,47.88,47.07,47.32,18203600,0.0,0.0
2020-01-10,47.48,47.56,47.06,47.13,13502600,0.0,0.0
2020-01-13,47.31,47.98,47.3,47.97,18237400,0.0,0.0
2020-01-14,47.96,47.99,47.62,47.79,17948700,0.0,0.0
2020-01-15,47.92,48.4,47.76,48.01,16289400,0.0,0.0
2020-01-16,48.38,49.08,48.23,49.05,20094900,0.0,0.0
2020-01-17,49.31,49.54,48.87,49.02,27176200,0.0,0.0
2020-01-21,48.96,49.2,48.67,48.8,21771800,0.0,0.0
2020-01-22,49.28,49.53,49.04,49.07,15186000,0.0,0.0
2020-01-23,49.0,49.18,48.41,49.0,16767700,0.0,0.0
2020-01-24,49.22,49.48,48.54,48.85,14066700,0.0,0.0
2020-01-27,47.89,48.07,47.27,47.47,20666000,0.0,0.0
2020-01-28,47.52,47.97,47.5,47.77,14035100,0.0,0.0
2020-01-29,47.97,47.98,46.93,47.05,14273600,0.0,0.0
2020-01-30,46.54,47.27,46.26,47.24,14822600,0.0,0.0
2020-01-31,46.99,47.0,45.84,45.97,20069900,0.0,0.0
2020-02-03,46.4,46.83,46.21,46.53,15374900,0.0,0.0
2020-02-04,47.22,47.71,47.11,47.62,13947300,0.0,0.0
2020-02-05,48.33,48.6,48.15,48.45,17042300,0.0,0.0
2020-02-06,48.69,48.82,48.22,48.69,9814800,0.0,0.0
2020-02-07,48.6,48.77,47.87,47.97,16807500,0.0,0.0
2020-02-10,47.99,48.89,47.88,48.87,19012700,0.0,0.0
2020-02-11,49.39,49.71,48.86,49.13,23168300,0.0,0.0
2020-02-12,49.43,50.28,49.4,49.93,31686200,0.0,0.0
2020-02-13,47.15,47.67,46.58,47.32,47044700,0.0,0.0
2020-02-14,47.16,47.22,46.48,46.97,26747200,0.0,0.0
2020-02-18,46.82,46.85,46.29,46.59,18546300,0.0,0.0
2020-02-19,46.69,46.81,45.9,46.29,27626400,0.0,0.0
2020-02-20,46.09,46.96,45.9,46.85,20416700,0.0,0.0
2020-02-21,46.73,46.85,46.05,46.3,20028700,0.0,0.0
2020-02-24,45.0,45.68,44.0,44.0,35295900,0.0,0.0
2020-02-25,44.05,44.21,42.07,42.74,48024700,0.0,0.0
2020-02-26,42.97,43.38,41.94,42.16,38513200,0.0,0.0
2020-02-27,41.28,42.1,40.01,40.04,51442900,0.0,0.0
2020-02-28,38.7,40.55,38.35,39.93,80188000,0.0,0.0
2020-03-02,40.15,41.19,38.92,41.17,48864300,0.0,0.0
2020-03-03,41.26,41.9,39.71,40.04,49294700,0.0,0.0
2020-03-04,40.72,41.45,39.8,41.39,30022100,0.0,0.0
2020-03-05,40.17,40.51,39.29,39.57,30255900,0.0,0.0
2020-03-06,38.0,39.95,37.8,39.68,48605600,0.0,0.0
2020-03-09,36.9,39.56,36.29,37.96,61535300,0.0,0.0
2020-03-10,39.25,40.15,37.87,40.08,50536500,0.0,0.0
2020-03-11,39.02,39.16,36.37,37.05,63594300,0.0,0.0
2020-03-12,34.5,35.82,33.0,33.2,51855300,0.0,0.0
2020-03-13,35.18,37.68,33.33,37.64,53859600,0.0,0.0
2020-03-16,33.23,36.99,32.4,33.71,44211300,0.0,0.0
2020-03-17,34.7,36.25,33.6,35.5,41572400,0.0,0.0
2020-03-18,33.76,37.71,33.31,37.12,56904300,0.0,0.0
2020-03-19,37.05,39.32,36.15,37.71,58319700,0.0,0.0
2020-03-20,38.27,38.47,35.4,35.6,48582500,0.0,0.0
2020-03-23,35.51,35.82,33.74,34.6,39823400,0.0,0.0
2020-03-24,36.41,38.68,35.54,38.6,48235600,0.0,0.0
2020-03-25,38.65,39.95,37.5,37.67,42873900,0.0,0.0
2020-03-26,37.97,40.92,37.37,40.58,38473300,0.0,0.0
2020-03-27,39.21,40.15,38.41,38.82,31278600,0.0,0.0
2020-03-30,39.45,40.49,38.96,40.32,27120300,0.0,0.0
2020-03-31,40.13,40.42,39.11,39.31,26014200,0.0,0.0
2020-04-01,38.17,38.86,37.87,38.33,26790700,0.0,0.0
2020-04-02,37.84,39.95,37.47,39.8,28180500,0.36,0.0
2020-04-03,39.82,40.29,38.54,39.06,21235200,0.0,0.0
2020-04-06,40.46,41.68,39.78,41.43,31641400,0.0,0.0
2020-04-07,42.66,42.74,40.59,40.64,30366100,0.0,0.0
2020-04-08,41.17,42.2,40.87,41.74,22683500,0.0,0.0
2020-04-09,42.09,42.2,40.85,41.2,27643900,0.0,0.0
2020-04-13,41.04,41.46,40.53,41.22,19592000,0.0,0.0
2020-04-14,41.91,42.82,41.53,42.78,22882400,0.0,0.0
2020-04-15,42.2,42.37,41.23,41.52,18428800,0.0,0.0
