date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,24.27,24.4,24.08,24.4,8490300,0.0,0.0
2020-01-03,24.0,24.31,23.88,24.3,9978900,0.0,0.0
2020-01-06,24.06,24.25,23.91,24.17,14636400,0.0,0.0
2020-01-07,24.23,24.51,24.05,24.33,14360700,0.0,0.0
2020-01-08,24.49,24.61,24.36,24.46,8612700,0.0,0.0
2020-01-09,24.47,24.58,24.41,24.58,6462900,0.0,0.0
2020-01-10,24.57,24.62,24.42,24.45,6109500,0.0,0.0
2020-01-13,24.46,24.92,24.38,24.9,10656300,0.0,0.0
2020-01-14,24.83,25.11,24.74,24.89,9249600,0.0,0.0
2020-01-15,24.84,25.19,24.79,25.0,14355600,0.0,0.0
2020-01-16,25.22,25.62,25.22,25.58,21106500,0.0,0.0
2020-01-17,25.17,25.73,25.06,25.47,31339800,0.0,0.0
2020-01-21,25.24,25.35,24.88,24.94,14781300,0.0,0.0
2020-01-22,25.04,25.06,24.74,24.87,12779700,0.0,0.0
2020-01-23,24.85,25.57,24.65,25.55,13105800,0.0,0.0
2020-01-24,25.56,25.68,25.35,25.57,10812300,0.0,0.0
2020-01-27,25.0,25.28,24.87,25.06,11033700,0.0,0.0
2020-01-28,25.24,25.54,25.1,25.41,10960200,0.0,0.0
2020-01-29,25.58,26.13,25.5,25.84,14831100,0.0,0.0
2020-01-30,25.47,25.95,25.45,25.93,9677400,0.0,0.0
2020-01-31,25.76,25.79,25.29,25.45,13947000,0.0,0.0
2020-02-03,25.73,25.86,25.56,25.7,10319100,0.0,0.0
2020-02-04,26.08,26.18,25.85,25.92,8813400,0.0,0.0
2020-02-05,26.27,26.27,25.97,26.06,10797000,0.0,0.0
2020-02-06,26.17,26.22,25.93,26.11,6786300,0.0,0.0
2020-02-07,26.31,26.4,25.89,25.96,9293100,0.0,0.0
2020-02-10,25.8,26.3,25.77,26.29,9853800,0.0,0.0
2020-02-11,26.32,26.48,26.14,26.17,8935200,0.0,0.0
2020-02-12,26.36,26.5,26.15,26.5,8284800,0.0,0.0
