date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,269.86,270.83,266.58,270.79,544200,0.0,0.0
2020-01-03,268.07,271.98,267.07,269.57,493100,0.0,0.0
2020-01-06,268.13,270.35,266.78,270.27,409200,0.0,0.0
2020-01-07,268.12,271.25,267.34,270.07,388400,0.0,0.0
2020-01-08,270.77,275.82,268.9,275.28,702100,0.0,0.0
2020-01-09,273.06,282.89,273.06,279.35,810800,0.0,0.0
2020-01-10,280.11,281.12,277.5,278.84,320200,0.0,0.0
2020-01-13,279.85,283.3,279.48,282.85,409500,0.0,0.0
2020-01-14,282.02,283.88,281.2,281.52,446900,0.0,0.0
2020-01-15,281.96,285.87,281.96,284.64,425500,0.0,0.0
2020-01-16,284.57,287.45,284.38,286.51,354100,0.0,0.0
2020-01-17,287.69,287.74,282.44,284.23,488800,0.0,0.0
2020-01-21,284.18,285.22,281.77,282.04,469800,0.0,0.0
2020-01-22,283.54,284.5,282.17,282.34,325700,0.0,0.0
2020-01-23,282.29,286.17,281.2,286.02,322800,0.0,0.0
2020-01-24,287.22,287.68,281.25,283.44,244200,0.0,0.0
2020-01-27,278.03,281.05,276.03,278.62,516800,0.0,0.0
2020-01-28,278.22,280.66,277.83,277.96,335400,0.0,0.0
2020-01-29,278.85,282.25,274.8,280.25,480200,0.0,0.0
2020-01-30,275.48,283.5,275.2,283.2,334600,0.0,0.0
2020-01-31,282.14,284.62,278.38,278.97,696900,0.0,0.0
2020-02-03,280.41,284.8,279.31,282.01,480000,0.0,0.0
2020-02-04,285.35,286.89,283.04,285.96,529900,0.0,0.0
2020-02-05,289.82,291.88,288.42,291.34,576100,0.0,0.0
2020-02-06,292.47,294.74,291.34,293.65,438700,0.0,0.0
2020-02-07,291.63,294.25,290.68,291.58,366100,0.0,0.0
2020-02-10,291.6,292.84,289.21,292.62,385000,0.0,0.0
2020-02-11,294.04,294.75,292.27,293.49,263100,0.0,0.0
2020-02-12,294.52,297.9,293.25,297.12,417100,0.0,0.0
2020-02-13,295.41,300.12,295.41,298.1,442100,0.0,0.0
2020-02-14,298.71,301.24,297.37,300.88,263800,0.0,0.0
2020-02-18,300.93,302.67,298.83,302.51,386600,0.0,0.0
2020-02-19,303.8,304.81,302.73,304.26,296000,0.0,0.0
2020-02-20,302.51,304.57,296.71,297.7,585100,0.0,0.0
2020-02-21,294.89,296.73,292.24,293.36,500300,0.0,0.0
2020-02-24,285.62,290.32,284.46,288.16,592300,0.0,0.0
2020-02-25,288.11,289.69,279.3,279.88,875400,0.0,0.0
2020-02-26,281.85,287.07,281.6,283.91,707400,0.0,0.0
2020-02-27,277.8,280.45,269.31,269.55,932800,0.0,0.0
