date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,120.81,121.63,120.77,121.43,5205000,121.28,"January 02, 20",101.41,5205000.0,0.62,0.5132,0.005132
2020-01-03,121.78,122.72,120.74,121.01,6360900,121.49,"January 03, 20",101.06,6360900.0,-0.77,-0.63229,-0.0063229
2020-01-06,121.24,121.67,120.33,120.6,9953000,120.87,"January 06, 20",100.72,9953000.0,-0.64,-0.52788,-0.0052788
2020-01-07,119.02,119.73,117.77,119.06,7856900,118.85,"January 07, 20",99.43,7856900.0,0.04,0.0336078,0.000336078
2020-01-08,118.55,119.09,117.65,117.7,7295900,118.15,"January 08, 20",98.3,7295900.0,-0.85,-0.717,-0.00717
2020-01-09,117.59,117.92,116.18,117.51,7345300,117.2,"January 09, 20",98.14,7345300.0,-0.08,-0.068033,-0.00068033
2020-01-10,117.52,117.69,116.4,116.44,6393800,116.84,"January 10, 20",97.25,6393800.0,-1.08,-0.91899,-0.0091899
2020-01-13,116.47,116.91,116.08,116.66,6846700,116.55,"January 13, 20",97.43,6846700.0,0.19,0.16313,0.0016313
2020-01-14,116.5,116.88,115.71,116.3,7189100,116.3,"January 14, 20",97.13,7189100.0,-0.2,-0.17167,-0.0017167
2020-01-15,116.3,116.41,115.65,116.13,5808800,116.06,"January 15, 20",96.99,5808800.0,-0.17,-0.14617,-0.0014617
2020-01-16,116.56,117.28,116.45,116.89,7022000,116.87,"January 16, 20",97.62,7022000.0,0.33,0.28312,0.0028312
2020-01-17,117.01,117.29,115.52,115.58,7885900,116.13,"January 17, 20",96.53,7885900.0,-1.43,-1.22,-0.0122
2020-01-21,115.1,115.15,113.17,113.31,8470300,113.88,"January 21, 20",94.63,8470300.0,-1.79,-1.56,-0.0156
2020-01-22,113.1,113.53,112.46,112.9,5589900,112.96,"January 22, 20",94.29,5589900.0,-0.2,-0.17683,-0.0017683
2020-01-23,112.4,113.49,111.86,113.1,8007800,112.82,"January 23, 20",94.46,8007800.0,0.7,0.62278,0.0062278
2020-01-24,112.79,112.98,111.34,111.85,6920000,112.06,"January 24, 20",93.41,6920000.0,-0.94,-0.83341,-0.0083341
2020-01-27,110.25,110.83,109.98,110.39,7609800,110.4,"January 27, 20",92.19,7609800.0,0.14,0.12698,0.0012698
2020-01-28,110.98,111.62,110.77,111.12,5771900,111.17,"January 28, 20",92.8,5771900.0,0.14,0.12615,0.0012615
2020-01-29,111.45,111.84,110.18,110.37,4772800,110.8,"January 29, 20",92.18,4772800.0,-1.08,-0.96904,-0.0096904
2020-01-30,109.81,111.58,109.06,111.4,8382700,110.68,"January 30, 20",93.04,8382700.0,1.59,1.45,0.0145
2020-01-31,109.81,110.0,106.4,107.14,13699600,107.85,"January 31, 20",89.48,13699600.0,-2.67,-2.43,-0.0243
2020-02-03,106.95,107.25,105.4,106.28,8785500,106.31,"February 03, 20",88.76,8785500.0,-0.67,-0.62646,-0.0062646
2020-02-04,107.68,108.34,106.6,106.85,9909000,107.26,"February 04, 20",89.24,9909000.0,-0.83,-0.7708,-0.007708
2020-02-05,108.27,110.65,108.11,110.28,6914100,109.68,"February 05, 20",92.1,6914100.0,2.01,1.86,0.0186
2020-02-06,110.63,110.67,109.11,109.49,6274000,109.76,"February 06, 20",91.44,6274000.0,-1.14,-1.03,-0.0103
2020-02-07,108.93,109.44,108.47,108.94,4830100,108.95,"February 07, 20",90.98,4830100.0,0.01,0.00918021,9.18021e-05
2020-02-10,108.54,109.8,108.32,109.79,6011800,109.3,"February 10, 20",91.69,6011800.0,1.25,1.15,0.0115
2020-02-11,110.78,111.37,110.06,111.21,6072700,110.88,"February 11, 20",92.88,6072700.0,0.43,0.38816,0.0038816
2020-02-12,112.51,112.6,111.61,112.04,5725700,112.08,"February 12, 20",93.57,5725700.0,-0.47,-0.41774,-0.0041774
2020-02-13,111.37,112.33,111.23,111.66,5991900,111.74,"February 13, 20",93.25,5991900.0,0.29,0.26039,0.0026039
2020-02-14,110.84,110.97,109.58,110.08,5148700,110.21,"February 14, 20",93.01,5148700.0,-0.76,-0.68567,-0.0068567
2020-02-18,109.0,110.27,108.83,110.24,4975800,109.78,"February 18, 20",93.14,4975800.0,1.24,1.14,0.0114
2020-02-19,110.52,111.1,109.89,110.74,5887500,110.58,"February 19, 20",93.57,5887500.0,0.22,0.19906,0.0019906
2020-02-20,110.78,111.07,109.7,109.81,4466600,110.19,"February 20, 20",92.78,4466600.0,-0.97,-0.87561,-0.0087561
2020-02-21,108.99,109.19,107.65,109.01,6443900,108.62,"February 21, 20",92.11,6443900.0,0.02,0.01835031,0.0001835031
2020-02-24,105.71,106.96,104.42,104.71,9539800,105.36,"February 24, 20",88.47,9539800.0,-1.0,-0.94598,-0.0094598
2020-02-25,104.8,104.92,100.0,100.71,12871900,101.88,"February 25, 20",85.09,12871900.0,-4.09,-3.9,-0.039
2020-02-26,100.86,101.61,98.0,98.04,11990400,99.22,"February 26, 20",82.84,11990400.0,-2.82,-2.8,-0.028
2020-02-27,95.95,98.2,94.08,94.13,15783700,95.47,"February 27, 20",79.53,15783700.0,-1.82,-1.9,-0.019
2020-02-28,90.63,93.44,90.11,93.34,20835100,92.3,"February 28, 20",78.87,20835100.0,2.71,2.99,0.0299
2020-03-02,94.02,96.68,92.21,96.59,15050800,95.16,"March 02, 20",81.61,15050800.0,2.57,2.73,0.0273
2020-03-03,96.79,98.48,93.37,94.39,16525500,95.41,"March 03, 20",79.75,16525500.0,-2.4,-2.48,-0.0248
2020-03-04,96.37,99.02,95.67,98.53,14753000,97.74,"March 04, 20",83.25,14753000.0,2.16,2.24,0.0224
2020-03-05,95.71,97.39,94.94,97.19,12814400,96.51,"March 05, 20",82.12,12814400.0,1.48,1.55,0.0155
2020-03-06,93.92,96.06,93.42,95.32,16861900,94.93,"March 06, 20",80.54,16861900.0,1.4,1.49,0.0149
2020-03-09,82.23,88.01,80.0,80.67,30595500,82.89,"March 09, 20",68.16,30595500.0,-1.56,-1.9,-0.019
2020-03-10,86.24,86.3,81.04,84.98,22642900,84.11,"March 10, 20",71.8,22642900.0,-1.26,-1.46,-0.0146
2020-03-11,82.23,84.84,81.75,83.03,18412800,83.21,"March 11, 20",70.15,18412800.0,0.8,0.97288,0.0097288
2020-03-12,77.23,78.13,72.86,76.26,25768200,75.75,"March 12, 20",64.43,25768200.0,-0.97,-1.26,-0.0126
2020-03-13,79.98,83.5,74.11,83.42,23497500,80.34,"March 13, 20",70.48,23497500.0,3.44,4.3,0.043
2020-03-16,72.57,78.49,69.69,69.7,17535300,72.63,"March 16, 20",58.89,17535300.0,-2.87,-3.95,-0.0395
2020-03-17,70.4,72.98,65.49,70.69,22684200,69.72,"March 17, 20",59.73,22684200.0,0.29,0.41193,0.0041193
2020-03-18,66.21,66.23,54.57,55.05,24947300,58.62,"March 18, 20",46.51,24947300.0,-11.16,-16.86,-0.1686
2020-03-19,55.26,58.49,51.6,57.39,29871000,55.83,"March 19, 20",48.49,29871000.0,2.13,3.85,0.0385
2020-03-20,59.53,60.65,56.36,59.39,26960400,58.8,"March 20, 20",50.18,26960400.0,-0.14,-0.23518,-0.0023518
2020-03-23,58.26,59.4,52.97,54.22,23764000,55.53,"March 23, 20",45.81,23764000.0,-4.04,-6.93,-0.0693
2020-03-24,61.48,67.65,60.32,66.55,29198800,64.84,"March 24, 20",56.23,29198800.0,5.07,8.25,0.0825
2020-03-25,68.29,73.14,66.64,69.27,22560100,69.68,"March 25, 20",58.53,22560100.0,0.98,1.44,0.0144
2020-03-26,70.3,77.1,67.89,76.38,24129100,73.79,"March 26, 20",64.54,24129100.0,6.08,8.65,0.0865
2020-03-27,72.12,73.54,68.5,68.78,20411500,70.27,"March 27, 20",58.11,20411500.0,-3.34,-4.63,-0.0463
2020-03-30,68.01,72.93,67.02,71.95,18486800,70.63,"March 30, 20",60.79,18486800.0,3.94,5.79,0.0579
2020-03-31,73.27,75.04,70.81,72.46,18514200,72.77,"March 31, 20",61.22,18514200.0,-0.81,-1.11,-0.0111
2020-04-01,69.51,72.29,67.61,68.56,14362000,69.49,"April 01, 20",57.93,14362000.0,-0.95,-1.37,-0.0137
2020-04-02,71.75,78.7,69.58,76.12,23220600,74.8,"April 02, 20",64.32,23220600.0,4.37,6.09,0.0609
2020-04-03,78.0,78.99,73.03,75.11,14905400,75.71,"April 03, 20",63.46,14905400.0,-2.89,-3.71,-0.0371
2020-04-06,77.0,80.95,75.51,80.39,17334900,78.95,"April 06, 20",67.92,17334900.0,3.39,4.4,0.044
2020-04-07,84.26,85.69,80.85,80.92,16394800,82.49,"April 07, 20",68.37,16394800.0,-3.34,-3.96,-0.0396
2020-04-08,82.29,86.3,81.52,85.98,12284800,84.6,"April 08, 20",72.65,12284800.0,3.69,4.48,0.0448
2020-04-09,88.74,89.91,81.52,84.31,17023800,85.25,"April 09, 20",71.24,17023800.0,-4.43,-4.99,-0.0499
2020-04-13,87.18,87.36,83.4,84.91,13854700,85.22,"April 13, 20",71.74,13854700.0,-2.27,-2.6,-0.026
2020-04-14,85.46,87.08,84.33,84.61,14797600,85.34,"April 14, 20",71.49,14797600.0,-0.85,-0.99462,-0.0099462
2020-04-15,80.46,83.38,79.32,82.49,13982300,81.73,"April 15, 20",69.7,13982300.0,2.03,2.52,0.0252
2020-04-16,81.31,82.19,78.81,79.99,12291900,80.33,"April 16, 20",67.59,12291900.0,-1.32,-1.62,-0.0162
2020-04-17,81.33,87.5,81.32,87.17,16130100,85.33,"April 17, 20",73.65,16130100.0,5.84,7.18,0.0718
2020-04-20,82.66,87.0,82.09,83.57,15749000,84.22,"April 20, 20",70.61,15749000.0,0.91,1.1,0.011
2020-04-21,80.28,83.79,79.25,81.64,19620600,81.56,"April 21, 20",68.98,19620600.0,1.36,1.69,0.0169
2020-04-22,84.95,85.25,82.97,84.44,10320700,84.22,"April 22, 20",71.35,10320700.0,-0.51,-0.60035,-0.0060035
2020-04-23,86.3,88.78,85.39,86.8,14226500,86.99,"April 23, 20",73.34,14226500.0,0.5,0.57937,0.0057937
2020-04-24,88.48,88.79,85.77,87.01,9175500,87.19,"April 24, 20",73.52,9175500.0,-1.47,-1.66,-0.0166
2020-04-27,86.75,90.62,85.87,89.71,12037100,88.73,"April 27, 20",75.8,12037100.0,2.96,3.41,0.0341
2020-04-28,89.55,90.96,88.83,89.91,10645200,89.9,"April 28, 20",75.97,10645200.0,0.36,0.40201,0.0040201
2020-04-29,92.48,95.14,92.29,94.62,12342800,94.02,"April 29, 20",79.95,12342800.0,2.14,2.31,0.0231
2020-04-30,93.72,95.74,90.58,92.0,12222000,92.77,"April 30, 20",77.73,12222000.0,-1.72,-1.84,-0.0184
2020-05-01,91.51,92.05,87.04,89.44,13250100,89.51,"May 01, 20",75.57,13250100.0,-2.07,-2.26,-0.0226
2020-05-04,88.76,91.62,87.69,91.44,11192400,90.25,"May 04, 20",77.26,11192400.0,2.68,3.02,0.0302
