date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,38.22,38.25,36.6,36.7,1784200,0.0,0.0
2020-01-03,36.11,37.7,35.96,37.42,1573200,0.0,0.0
2020-01-06,37.51,40.07,37.38,39.9,5563200,0.0,0.0
2020-01-07,39.95,41.54,39.2,40.06,4065600,0.0,0.0
2020-01-08,40.3,41.08,39.15,39.95,1957200,0.0,0.0
2020-01-09,40.45,40.97,39.88,40.21,1629700,0.0,0.0
2020-01-10,40.55,40.88,39.84,40.16,1675800,0.0,0.0
2020-01-13,40.72,43.52,40.6,40.94,5296900,0.0,0.0
2020-01-14,41.16,41.4,38.82,39.27,2403100,0.0,0.0
2020-01-15,39.57,41.49,39.4,40.23,2098300,0.0,0.0
2020-01-16,40.74,41.78,39.96,40.61,2020100,0.0,0.0
2020-01-17,41.2,41.72,40.61,41.19,1377500,0.0,0.0
2020-01-21,41.18,42.28,40.47,41.13,2192100,0.0,0.0
2020-01-22,41.48,42.67,41.26,42.22,1167500,0.0,0.0
2020-01-23,42.33,43.25,40.93,42.81,1799700,0.0,0.0
2020-01-24,43.49,44.03,40.81,42.05,2572000,0.0,0.0
2020-01-27,40.0,41.33,39.25,41.26,2053800,0.0,0.0
2020-01-28,41.58,42.21,40.58,42.16,1229600,0.0,0.0
2020-01-29,42.9,44.99,42.16,43.92,2817800,0.0,0.0
2020-01-30,43.49,47.2,43.08,47.04,2830800,0.0,0.0
2020-01-31,47.13,47.26,45.74,46.21,1708800,0.0,0.0
2020-02-03,46.62,47.48,43.51,45.26,2275200,0.0,0.0
2020-02-04,46.21,48.49,45.73,47.6,1780200,0.0,0.0
2020-02-05,48.88,49.08,43.77,45.73,2455200,0.0,0.0
2020-02-06,45.75,46.3,44.1,46.05,1081100,0.0,0.0
2020-02-07,46.5,47.98,46.15,47.18,1765800,0.0,0.0
2020-02-10,47.52,49.0,47.5,47.95,1537100,0.0,0.0
2020-02-11,48.62,49.42,47.34,47.81,1884400,0.0,0.0
2020-02-12,48.25,50.12,48.05,50.01,2199400,0.0,0.0
2020-02-13,49.35,49.47,47.71,48.5,3361800,0.0,0.0
2020-02-14,45.91,48.69,44.25,47.03,8374800,0.0,0.0
2020-02-18,47.29,48.58,46.6,47.08,3049600,0.0,0.0
2020-02-19,47.2,47.86,46.41,47.3,2877400,0.0,0.0
2020-02-20,45.68,47.03,44.08,45.99,5201800,0.0,0.0
2020-02-21,45.64,45.79,43.72,45.68,2695900,0.0,0.0
2020-02-24,43.0,45.35,42.33,44.96,3187400,0.0,0.0
2020-02-25,45.4,45.6,43.0,44.31,4406100,0.0,0.0
2020-02-26,44.06,45.39,43.5,43.91,2817400,0.0,0.0
2020-02-27,42.12,46.58,41.72,45.89,7190100,0.0,0.0
2020-02-28,43.8,45.84,43.5,45.15,4457400,0.0,0.0
2020-03-02,45.0,45.78,43.61,44.79,5880800,0.0,0.0
2020-03-03,44.8,44.86,42.36,43.4,4483700,0.0,0.0
2020-03-04,44.33,44.9,43.13,44.53,2239900,0.0,0.0
2020-03-05,43.31,48.12,43.31,47.3,5074300,0.0,0.0
2020-03-06,46.01,46.44,43.08,43.62,3987400,0.0,0.0
2020-03-09,38.78,40.0,37.37,38.82,9150100,0.0,0.0
2020-03-10,39.75,39.85,36.45,38.0,13106300,0.0,0.0
2020-03-11,37.31,37.71,34.79,35.56,6011700,0.0,0.0
2020-03-12,32.46,34.93,31.0,33.1,6687300,0.0,0.0
2020-03-13,36.0,36.6,32.0,35.26,5704700,0.0,0.0
