date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,145.29,148.2,145.1,148.2,9502100,147.17,"January 02, 20",147.72,9502100.0,2.91,2.0,0.02
2020-01-03,146.4,147.9,146.05,146.5,7320200,146.82,"January 03, 20",146.02,7320200.0,0.1,0.06830601,0.0006830601
2020-01-06,145.54,146.03,144.31,145.65,8262500,145.33,"January 06, 20",145.18,8262500.0,0.11,0.0755806,0.000755806
2020-01-07,145.99,146.87,145.42,145.7,6906500,146.0,"January 07, 20",145.23,6906500.0,-0.29,-0.19864,-0.0019864
2020-01-08,145.49,146.13,144.82,145.4,6984200,145.45,"January 08, 20",144.93,6984200.0,-0.09,-0.06185992,-0.0006185992
2020-01-09,146.47,146.63,144.61,144.83,6664200,145.36,"January 09, 20",144.36,6664200.0,-1.64,-1.12,-0.0112
2020-01-10,145.3,145.5,144.26,144.62,5152500,144.79,"January 10, 20",144.15,5152500.0,-0.68,-0.468,-0.00468
2020-01-13,144.75,144.75,143.36,143.88,9921300,144.0,"January 13, 20",143.41,9921300.0,-0.87,-0.60104,-0.0060104
2020-01-14,143.41,146.72,142.29,145.2,14839100,144.74,"January 14, 20",144.73,14839100.0,1.79,1.25,0.0125
2020-01-15,145.71,145.71,143.93,144.32,6818200,144.65,"January 15, 20",143.85,6818200.0,-1.39,-0.95395,-0.0095395
2020-01-16,145.09,145.43,144.44,145.12,6948400,145.0,"January 16, 20",144.65,6948400.0,0.03,0.02067682,0.0002067682
2020-01-17,145.54,145.64,144.01,144.33,10355300,144.66,"January 17, 20",143.86,10355300.0,-1.21,-0.83139,-0.0083139
2020-01-21,144.24,144.59,143.01,143.56,9250200,143.72,"January 21, 20",143.09,9250200.0,-0.68,-0.47144,-0.0047144
2020-01-22,144.45,144.79,143.54,144.01,7550000,144.11,"January 22, 20",143.54,7550000.0,-0.44,-0.3046,-0.003046
2020-01-23,143.6,143.61,140.65,142.2,11082000,142.15,"January 23, 20",141.74,11082000.0,-1.4,-0.97493,-0.0097493
2020-01-24,141.4,142.25,139.2,140.08,13076300,140.51,"January 24, 20",139.62,13076300.0,-1.32,-0.93352,-0.0093352
2020-01-27,135.86,137.73,135.0,135.9,12831800,136.21,"January 27, 20",135.46,12831800.0,0.04,0.02944207,0.0002944207
2020-01-28,136.5,138.93,135.86,138.37,10390000,137.72,"January 28, 20",137.92,10390000.0,1.87,1.37,0.0137
2020-01-29,138.6,138.68,135.79,136.06,9382700,136.84,"January 29, 20",135.62,9382700.0,-2.54,-1.83,-0.0183
2020-01-30,135.09,137.85,134.83,137.81,11847300,136.83,"January 30, 20",137.36,11847300.0,2.72,2.01,0.0201
2020-01-31,138.4,138.67,137.06,138.31,12379100,138.01,"January 31, 20",137.86,12379100.0,-0.09,-0.0650289,-0.000650289
2020-02-03,139.79,141.82,139.75,141.32,12639900,140.96,"February 03, 20",140.86,12639900.0,1.53,1.09,0.0109
2020-02-04,145.49,145.59,143.25,144.73,23519700,144.52,"February 04, 20",144.26,23519700.0,-0.76,-0.52237,-0.0052237
2020-02-05,146.6,147.3,138.57,141.37,27824100,142.41,"February 05, 20",140.91,27824100.0,-5.23,-3.57,-0.0357
2020-02-06,141.92,143.95,141.22,142.7,9504600,142.62,"February 06, 20",142.24,9504600.0,0.78,0.54961,0.0054961
2020-02-07,141.89,141.99,140.12,141.02,10948900,141.04,"February 07, 20",140.56,10948900.0,-0.87,-0.61315,-0.0061315
2020-02-10,141.03,142.59,140.46,142.59,8162100,141.88,"February 10, 20",142.13,8162100.0,1.56,1.11,0.0111
2020-02-11,142.85,142.99,140.46,141.01,10790100,141.49,"February 11, 20",140.55,10790100.0,-1.84,-1.29,-0.0129
