date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,55.23,55.54,53.64,53.75,5145200,54.31,"January 02, 20",43.65,5145200.0,-1.48,-2.68,-0.0268
2020-01-03,53.11,53.6,52.41,52.42,5004300,52.81,"January 03, 20",42.57,5004300.0,-0.69,-1.3,-0.013
2020-01-06,52.32,52.88,52.0,52.21,4293100,52.36,"January 06, 20",42.4,4293100.0,-0.11,-0.21024,-0.0021024
2020-01-07,52.29,53.06,51.99,52.19,5122800,52.42,"January 07, 20",42.38,5122800.0,-0.1,-0.19124,-0.0019124
2020-01-08,52.41,53.17,51.92,52.73,3629700,52.61,"January 08, 20",42.82,3629700.0,0.32,0.61057,0.0061057
2020-01-09,52.75,53.07,51.81,52.19,2667800,52.36,"January 09, 20",42.38,2667800.0,-0.56,-1.06,-0.0106
2020-01-10,52.86,52.87,51.4,51.5,3277300,51.92,"January 10, 20",41.82,3277300.0,-1.36,-2.57,-0.0257
2020-01-13,51.5,52.4,51.47,52.35,2665500,52.07,"January 13, 20",42.51,2665500.0,0.85,1.65,0.0165
2020-01-14,52.19,52.97,51.95,52.24,3689800,52.39,"January 14, 20",42.42,3689800.0,0.05,0.09580379,0.0009580379
2020-01-15,52.19,52.65,51.7,52.27,2235400,52.21,"January 15, 20",42.45,2235400.0,0.08,0.15329,0.0015329
2020-01-16,52.58,52.87,52.17,52.48,3765600,52.51,"January 16, 20",42.62,3765600.0,-0.1,-0.19019,-0.0019019
2020-01-17,52.53,53.36,52.42,53.34,3897500,53.04,"January 17, 20",43.32,3897500.0,0.81,1.54,0.0154
2020-01-21,52.98,53.15,52.2,52.6,4156000,52.65,"January 21, 20",42.71,4156000.0,-0.38,-0.71725,-0.0071725
2020-01-22,52.73,52.8,50.68,50.87,5149600,51.45,"January 22, 20",41.31,5149600.0,-1.86,-3.53,-0.0353
2020-01-23,50.22,50.75,49.15,50.25,5797600,50.05,"January 23, 20",40.81,5797600.0,0.03,0.05973716,0.0005973716
2020-01-24,49.88,50.27,48.04,48.49,5919300,48.93,"January 24, 20",39.38,5919300.0,-1.39,-2.79,-0.0279
2020-01-27,47.31,47.58,46.64,47.18,4827000,47.13,"January 27, 20",38.31,4827000.0,-0.13,-0.27478,-0.0027478
2020-01-28,47.4,47.72,47.02,47.16,5813800,47.3,"January 28, 20",38.3,5813800.0,-0.24,-0.50633,-0.0050633
2020-01-29,48.98,49.95,48.6,49.67,6828000,49.41,"January 29, 20",40.33,6828000.0,0.69,1.41,0.0141
2020-01-30,48.31,48.98,47.66,48.47,5644800,48.37,"January 30, 20",39.36,5644800.0,0.16,0.33119,0.0033119
2020-01-31,47.7,47.87,45.92,46.07,7532200,46.62,"January 31, 20",37.41,7532200.0,-1.63,-3.42,-0.0342
2020-02-03,46.31,46.97,45.73,46.74,6364900,46.48,"February 03, 20",37.96,6364900.0,0.43,0.92853,0.0092853
2020-02-04,47.65,48.38,47.44,48.05,5287000,47.96,"February 04, 20",39.02,5287000.0,0.4,0.83945,0.0083945
2020-02-05,48.88,49.74,48.52,49.61,5403200,49.29,"February 05, 20",40.29,5403200.0,0.73,1.49,0.0149
2020-02-06,49.61,49.66,48.56,49.2,5985200,49.14,"February 06, 20",39.95,5985200.0,-0.41,-0.82645,-0.0082645
2020-02-07,48.54,48.54,47.45,48.03,3802100,48.01,"February 07, 20",39.0,3802100.0,-0.51,-1.05,-0.0105
2020-02-10,47.8,48.72,47.8,48.19,2488300,48.24,"February 10, 20",39.13,2488300.0,0.39,0.8159,0.008159
2020-02-11,48.54,50.01,48.5,48.79,3705400,49.1,"February 11, 20",39.62,3705400.0,0.25,0.51504,0.0051504
2020-02-12,49.69,50.37,48.99,49.38,2964200,49.58,"February 12, 20",40.1,2964200.0,-0.31,-0.62387,-0.0062387
2020-02-13,48.9,48.99,48.02,48.3,3302600,48.44,"February 13, 20",39.22,3302600.0,-0.6,-1.23,-0.0123
2020-02-14,48.51,48.94,48.38,48.63,3207000,48.65,"February 14, 20",39.49,3207000.0,0.12,0.24737,0.0024737
2020-02-18,48.19,48.52,47.23,47.74,3594300,47.83,"February 18, 20",38.77,3594300.0,-0.45,-0.9338,-0.009338
2020-02-19,47.82,48.29,47.41,47.56,5644900,47.75,"February 19, 20",38.62,5644900.0,-0.26,-0.54371,-0.0054371
2020-02-20,47.52,48.81,47.44,48.76,4154200,48.34,"February 20, 20",39.6,4154200.0,1.24,2.61,0.0261
2020-02-21,48.58,48.77,48.08,48.3,3972800,48.38,"February 21, 20",39.22,3972800.0,-0.28,-0.57637,-0.0057637
2020-02-24,46.61,47.04,45.8,46.24,5075900,46.36,"February 24, 20",37.55,5075900.0,-0.37,-0.79382,-0.0079382
2020-02-25,46.5,46.54,43.58,43.95,5529300,44.69,"February 25, 20",35.69,5529300.0,-2.55,-5.48,-0.0548
2020-02-26,44.45,44.88,43.02,43.05,6470700,43.65,"February 26, 20",34.96,6470700.0,-1.4,-3.15,-0.0315
2020-02-27,41.33,41.46,39.5,39.55,10009300,40.17,"February 27, 20",32.65,10009300.0,-1.78,-4.31,-0.0431
