date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,107.94,108.35,106.76,107.34,1901000,0.0,0.0
2020-01-03,105.58,107.75,105.12,107.2,1840300,0.0,0.0
2020-01-06,106.95,109.31,106.63,108.78,2934200,0.0,0.0
2020-01-07,109.0,109.25,107.73,108.39,1692400,0.0,0.0
2020-01-08,108.18,110.0,107.78,109.49,2651600,0.0,0.0
2020-01-09,110.0,110.34,108.27,109.36,1818600,0.0,0.0
2020-01-10,109.2,109.27,108.2,108.59,1756000,0.0,0.0
2020-01-13,109.05,110.07,108.62,109.82,1857400,0.0,0.0
2020-01-14,109.66,110.17,108.71,109.58,1723400,0.0,0.0
2020-01-15,109.79,110.45,109.14,109.61,1479100,0.0,0.0
2020-01-16,110.0,111.29,109.95,111.26,2108300,0.0,0.0
2020-01-17,112.37,112.99,111.55,112.93,3053300,0.0,0.0
2020-01-21,112.55,112.97,111.77,112.41,2165000,0.0,0.0
2020-01-22,112.77,114.04,112.68,113.09,2423100,0.0,0.0
2020-01-23,112.92,113.73,112.0,113.48,1564900,0.0,0.0
2020-01-24,114.02,114.13,111.63,112.33,2304000,0.0,0.0
2020-01-27,110.24,111.19,109.95,110.56,2175500,0.0,0.0
2020-01-28,111.29,112.88,111.06,111.9,2961900,0.0,0.0
2020-01-29,112.51,112.96,111.24,112.21,2463900,0.0,0.0
2020-01-30,111.43,111.89,110.31,111.64,3838500,0.0,0.0
2020-01-31,110.75,110.75,105.5,107.92,6995800,0.0,0.0
2020-02-03,107.93,109.45,104.4,105.04,4155500,0.0,0.0
2020-02-04,106.44,107.42,105.33,107.07,4190500,0.0,0.0
2020-02-05,108.62,108.96,107.12,107.82,2895700,0.0,0.0
2020-02-06,108.8,110.35,108.41,110.0,2500600,0.0,0.0
2020-02-07,109.17,110.96,108.74,109.09,2231300,0.0,0.0
2020-02-10,109.02,109.76,108.23,108.7,2170800,0.0,0.0
2020-02-11,108.95,109.23,107.94,109.04,1195300,0.0,0.0
2020-02-12,109.67,109.98,108.59,109.72,1567200,0.0,0.0
2020-02-13,109.15,109.34,107.97,108.84,1627000,0.0,0.0
2020-02-14,108.9,109.89,108.75,109.69,1227500,0.0,0.0
2020-02-18,109.09,109.83,108.7,109.46,2171400,0.0,0.0
2020-02-19,110.1,110.9,109.4,109.78,1540000,0.0,0.0
2020-02-20,108.72,109.37,107.45,109.2,4034000,0.0,0.0
2020-02-21,108.49,108.94,106.8,108.01,2546900,0.0,0.0
2020-02-24,105.05,107.93,105.02,107.03,2817100,0.0,0.0
2020-02-25,107.72,109.22,105.24,105.38,3651300,0.0,0.0
2020-02-26,106.36,108.26,105.6,106.54,2858000,0.0,0.0
2020-02-27,104.35,106.4,102.72,102.74,4906200,0.0,0.0
2020-02-28,100.29,101.89,98.59,101.37,6853700,0.0,0.0
2020-03-02,101.92,106.93,101.71,106.89,4291500,0.0,0.0
2020-03-03,106.73,109.71,105.38,106.7,3984800,0.0,0.0
2020-03-04,108.29,111.94,108.06,111.83,4289700,0.0,0.0
2020-03-05,109.49,111.93,109.11,110.21,3029900,0.0,0.0
2020-03-06,106.45,108.76,105.0,107.67,3886200,0.0,0.0
2020-03-09,101.57,104.18,99.91,100.93,4784300,0.0,0.0
2020-03-10,101.4,103.57,96.65,103.38,6525600,0.0,0.0
2020-03-11,101.61,102.17,98.33,101.18,4906000,0.0,0.0
2020-03-12,94.79,99.42,92.55,93.35,6288700,0.0,0.0
