date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,32.65,32.65,32.28,32.4,7026544,0.0,0.0
2020-01-03,32.33,32.65,32.33,32.5,7550611,0.0,0.0
2020-01-06,32.48,32.64,32.38,32.55,7783203,0.0,0.0
2020-01-07,32.48,32.59,32.18,32.58,9501775,0.0,0.0
2020-01-08,32.58,32.94,32.55,32.82,8607579,0.0,0.0
2020-01-09,32.75,32.95,32.51,32.92,7459902,0.0,0.0
2020-01-10,33.02,33.12,32.9,33.0,8045377,0.0,0.0
2020-01-13,32.97,33.22,32.9,32.95,9328768,0.0,0.0
2020-01-14,32.87,32.88,32.5,32.67,8804139,0.0,0.0
2020-01-15,32.85,33.46,32.82,33.2,8239975,0.0,0.0
2020-01-16,33.27,33.54,33.2,33.34,8080988,0.0,0.0
2020-01-17,33.5,33.86,33.33,33.8,10607953,0.0,0.0
2020-01-21,33.84,33.96,33.69,33.94,7146555,0.0,0.0
2020-01-22,33.93,34.17,33.88,33.99,12269182,0.0,0.0
2020-01-23,34.0,34.24,33.84,34.2,8518552,0.0,0.0
2020-01-24,34.13,34.36,33.92,34.04,6731282,0.0,0.0
2020-01-27,34.07,34.36,33.66,33.72,7642442,0.0,0.0
2020-01-28,33.71,34.17,33.69,34.04,7176137,0.0,0.0
2020-01-29,33.99,34.44,33.94,34.1,9148190,0.0,0.0
2020-01-30,33.97,34.34,33.81,34.28,7347181,0.0,0.0
2020-01-31,34.24,34.35,33.7,33.94,9646741,0.0,0.0
2020-02-03,34.01,34.45,33.95,34.38,8584306,0.0,0.0
2020-02-04,34.32,34.6,34.16,34.3,8540143,0.0,0.0
2020-02-05,34.24,34.55,34.11,34.47,7098326,0.0,0.0
2020-02-06,34.49,34.64,34.38,34.42,5835825,0.0,0.0
2020-02-07,34.5,34.65,34.34,34.37,6773623,0.0,0.0
2020-02-10,34.44,34.49,34.28,34.46,5926815,0.0,0.0
2020-02-11,34.46,35.29,34.46,35.19,8674735,0.0,0.0
2020-02-12,35.26,35.39,34.96,35.14,7402139,0.0,0.0
2020-02-13,35.27,35.45,35.1,35.36,7242031,0.0,0.0
2020-02-14,35.38,35.51,35.19,35.49,5107626,0.0,0.0
2020-02-18,35.61,36.05,35.41,35.93,7238666,0.0,0.0
2020-02-19,35.54,35.69,35.24,35.38,5640947,0.27,0.0
2020-02-20,35.29,35.61,35.25,35.56,5250911,0.0,0.0
2020-02-21,35.55,35.69,35.41,35.46,10307925,0.0,0.0
2020-02-24,35.7,36.0,34.81,34.82,8397279,0.0,0.0
2020-02-25,34.79,34.86,33.89,33.97,10669500,0.0,0.0
2020-02-26,34.37,34.45,33.54,33.56,9675482,0.0,0.0
2020-02-27,33.6,33.62,32.18,32.2,11601830,0.0,0.0
2020-02-28,31.63,31.64,30.19,30.75,20859797,0.0,0.0
2020-03-02,30.81,32.41,30.6,32.4,13534628,0.0,0.0
2020-03-03,32.15,33.22,31.41,31.52,16336104,0.0,0.0
