date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,93.35,93.66,91.49,92.65,1822000,0.0,0.0
2020-01-03,95.0,95.75,93.43,94.41,2168500,0.0,0.0
2020-01-06,95.66,95.91,93.97,94.9,2018200,0.0,0.0
2020-01-07,94.65,96.54,94.65,96.42,2196900,0.0,0.0
2020-01-08,96.48,96.92,92.61,93.33,1991100,0.0,0.0
2020-01-09,93.29,94.64,92.03,94.15,1458900,0.0,0.0
2020-01-10,93.68,93.68,91.91,92.26,1684400,0.0,0.0
2020-01-13,91.99,92.11,90.32,90.48,2451800,0.0,0.0
2020-01-14,90.57,91.76,89.91,91.26,2048500,0.0,0.0
2020-01-15,90.77,91.72,89.57,91.31,1538700,0.0,0.0
2020-01-16,91.71,92.74,90.42,90.74,1586900,0.0,0.0
2020-01-17,90.89,91.65,89.31,89.54,1930400,0.0,0.0
2020-01-21,89.42,89.68,87.51,88.32,2215800,0.0,0.0
2020-01-22,87.87,88.07,85.28,85.44,2112200,0.0,0.0
2020-01-23,84.82,86.18,83.01,84.7,2058300,0.0,0.0
2020-01-24,84.01,84.01,81.87,82.84,1608500,0.0,0.0
2020-01-27,81.24,81.5,79.17,79.37,2338600,0.0,0.0
2020-01-28,80.25,80.41,78.71,79.12,2815100,0.0,0.0
2020-01-29,79.95,80.5,77.52,77.57,1379400,0.0,0.0
2020-01-30,76.26,77.14,74.37,76.49,3936700,0.0,0.0
2020-01-31,75.5,75.82,73.55,74.4,2437700,0.0,0.0
2020-02-03,74.2,74.51,72.51,73.08,2568400,0.0,0.0
2020-02-04,74.56,75.16,72.99,73.22,2249200,0.0,0.0
2020-02-05,74.95,78.35,74.68,77.4,2996200,0.0,0.0
2020-02-06,77.67,77.84,75.72,76.23,1309600,0.0,0.0
2020-02-07,75.31,75.68,73.82,74.24,1549500,0.0,0.0
2020-02-10,73.28,73.78,71.72,72.0,3973100,0.0,0.0
2020-02-11,73.13,73.47,72.08,72.51,1898200,0.0,0.0
2020-02-12,72.87,75.08,72.87,74.35,1999300,0.0,0.0
2020-02-13,74.24,74.93,73.7,74.54,2526600,0.0,0.0
2020-02-14,75.0,75.26,73.92,74.97,2084200,0.0,0.0
2020-02-18,74.51,75.57,73.88,74.56,2282400,0.0,0.0
2020-02-19,77.37,79.97,77.2,79.29,4359300,0.0,0.0
2020-02-20,80.4,81.59,78.25,78.48,2429400,0.0,0.0
2020-02-21,77.31,77.31,75.53,76.4,2015200,0.0,0.0
2020-02-24,73.2,73.31,70.36,71.08,2522700,0.0,0.0
2020-02-25,71.36,71.65,66.39,67.16,3401300,0.0,0.0
2020-02-26,67.21,67.71,63.09,63.14,3366500,0.0,0.0
2020-02-27,60.43,62.53,57.63,59.48,4306000,0.0,0.0
2020-02-28,57.13,62.13,57.0,62.0,4762200,0.0,0.0
2020-03-02,62.75,62.78,59.61,62.14,3284100,0.38,0.0
2020-03-03,62.1,64.24,61.06,61.76,3101200,0.0,0.0
2020-03-04,62.48,62.61,59.75,61.07,2453500,0.0,0.0
2020-03-05,60.15,60.26,57.17,58.21,2460900,0.0,0.0
2020-03-06,55.55,55.93,47.5,48.56,6880600,0.0,0.0
2020-03-09,29.06,29.5,23.37,26.88,19434300,0.0,0.0
2020-03-10,30.0,31.88,25.99,29.68,11259800,0.0,0.0
2020-03-11,28.31,28.31,25.01,26.2,7510100,0.0,0.0
2020-03-12,23.66,26.49,22.56,25.62,7646900,0.0,0.0
2020-03-13,27.87,28.18,25.35,27.19,6709900,0.0,0.0
2020-03-16,22.83,27.28,20.24,23.49,5636300,0.0,0.0
2020-03-17,23.68,24.0,19.92,20.23,6335400,0.0,0.0
2020-03-18,18.38,18.91,14.55,15.56,7658200,0.0,0.0
2020-03-19,15.88,19.36,15.27,18.69,7577400,0.0,0.0
2020-03-20,19.34,20.81,17.51,18.59,8186000,0.0,0.0
2020-03-23,18.69,21.49,17.49,20.37,6731200,0.0,0.0
2020-03-24,22.25,24.68,22.08,24.12,6282000,0.0,0.0
2020-03-25,24.6,25.97,22.17,24.17,5472600,0.0,0.0
2020-03-26,24.16,26.82,23.97,25.95,5156700,0.0,0.0
2020-03-27,24.78,24.83,23.3,23.87,3532600,0.0,0.0
2020-03-30,22.76,23.89,22.0,23.59,4627000,0.0,0.0
2020-03-31,24.63,27.28,24.33,26.2,5978800,0.0,0.0
2020-04-01,25.19,25.62,23.7,25.07,5043300,0.0,0.0
2020-04-02,26.59,33.18,26.44,29.05,10438900,0.0,0.0
2020-04-03,31.22,32.88,27.79,31.59,9649600,0.0,0.0
2020-04-06,32.2,32.49,29.63,32.1,5645200,0.0,0.0
2020-04-07,33.65,38.1,32.48,33.01,6543400,0.0,0.0
2020-04-08,34.25,37.66,33.67,37.48,5067400,0.0,0.0
2020-04-09,40.38,41.0,33.23,34.86,8914200,0.0,0.0
2020-04-13,36.95,37.19,32.72,33.08,5231200,0.0,0.0
2020-04-14,32.79,33.87,31.1,31.65,5110200,0.0,0.0
2020-04-15,29.48,30.48,28.6,30.23,5506700,0.0,0.0
2020-04-16,30.49,30.5,27.46,28.03,5225200,0.0,0.0
2020-04-17,28.38,31.58,28.27,31.52,5523300,0.0,0.0
2020-04-20,29.0,32.48,28.55,30.86,4717700,0.0,0.0
2020-04-21,29.47,31.54,29.15,31.4,4822500,0.0,0.0
2020-04-22,33.2,34.65,32.98,34.24,4612900,0.0,0.0
2020-04-23,35.45,37.83,34.85,37.1,5175800,0.0,0.0
2020-04-24,37.88,39.49,35.16,35.78,5357000,0.0,0.0
2020-04-27,34.82,36.75,33.12,36.22,3587000,0.0,0.0
2020-04-28,37.64,38.29,35.8,38.0,4282800,0.0,0.0
2020-04-29,40.04,44.25,39.63,44.19,5239400,0.0,0.0
2020-04-30,44.19,44.65,40.83,43.54,5484800,0.0,0.0
2020-05-01,42.11,42.73,38.96,40.28,3825500,0.0,0.0
2020-05-04,38.84,42.55,38.28,42.52,3596000,0.0,0.0
2020-05-05,45.54,45.88,39.83,40.33,5252200,0.0,0.0
2020-05-06,40.55,41.77,38.9,38.92,2879900,0.0,0.0
2020-05-07,40.24,41.66,39.76,40.37,2376700,0.0,0.0
2020-05-08,41.56,42.49,40.7,42.08,2804900,0.0,0.0
2020-05-11,41.89,42.5,40.92,41.02,2340700,0.0,0.0
2020-05-12,41.62,41.9,40.04,40.87,2651300,0.0,0.0
2020-05-13,40.14,40.14,37.21,37.79,3626200,0.38,0.0
2020-05-14,37.26,39.52,35.81,38.18,2732800,0.0,0.0
2020-05-15,38.38,39.78,38.01,38.78,2701900,0.0,0.0
2020-05-18,41.71,43.65,41.41,43.44,2908600,0.0,0.0
2020-05-19,43.77,44.2,41.82,41.84,2503800,0.0,0.0
2020-05-20,42.79,44.03,42.68,43.66,2104300,0.0,0.0
2020-05-21,43.63,44.24,42.06,42.89,1616800,0.0,0.0
2020-05-22,42.57,43.0,41.38,42.94,1773800,0.0,0.0
2020-05-26,44.49,45.44,43.78,44.9,2680900,0.0,0.0
2020-05-27,45.42,46.18,42.8,44.3,2796200,0.0,0.0
2020-05-28,44.6,44.72,42.5,43.02,1983000,0.0,0.0
