date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,67.08,68.41,67.08,68.37,28132000,0.0,0.0
2020-01-03,67.39,68.62,67.28,68.03,23728000,0.0,0.0
2020-01-06,67.5,69.82,67.5,69.71,34646000,0.0,0.0
2020-01-07,69.9,70.15,69.52,69.67,30054000,0.0,0.0
2020-01-08,69.6,70.58,69.54,70.22,30560000,0.0,0.0
2020-01-09,71.03,71.37,70.51,70.99,30018000,0.0,0.0
2020-01-10,71.38,71.75,70.92,71.49,36414000,0.0,0.0
2020-01-13,71.81,72.03,71.3,71.96,33046000,0.0,0.0
2020-01-14,71.95,72.09,71.42,71.54,31178000,0.0,0.0
2020-01-15,71.51,72.07,71.51,71.96,25654000,0.0,0.0
2020-01-16,72.37,72.6,72.05,72.58,23474000,0.0,0.0
2020-01-17,73.15,74.06,72.91,74.02,47924000,0.0,0.0
2020-01-21,73.96,74.59,73.56,74.22,40734000,0.0,0.0
2020-01-22,74.55,75.16,74.25,74.3,32216000,0.0,0.0
2020-01-23,74.38,74.78,74.11,74.33,27024000,0.0,0.0
2020-01-24,74.68,74.77,73.26,73.34,35692000,0.0,0.0
2020-01-27,71.55,71.9,71.06,71.69,35104000,0.0,0.0
2020-01-28,72.15,72.8,71.62,72.63,31548000,0.0,0.0
2020-01-29,72.94,73.27,72.34,72.93,21554000,0.0,0.0
2020-01-30,72.0,72.86,71.82,72.79,26788000,0.0,0.0
2020-01-31,73.44,73.51,71.43,71.71,48344000,0.0,0.0
2020-02-03,73.1,74.5,72.95,74.3,60736000,0.0,0.0
2020-02-04,72.85,73.47,71.32,72.35,78660000,0.0,0.0
2020-02-05,73.12,73.19,71.53,72.41,39724000,0.0,0.0
2020-02-06,72.52,74.1,72.48,73.81,33588000,0.0,0.0
2020-02-07,73.36,74.29,73.32,73.96,23446000,0.0,0.0
2020-02-10,73.72,75.47,73.72,75.43,28398000,0.0,0.0
2020-02-11,75.59,76.48,75.28,75.44,26892000,0.0,0.0
2020-02-12,75.72,76.03,75.41,75.91,23352000,0.0,0.0
2020-02-13,75.63,76.36,75.23,75.73,18590000,0.0,0.0
2020-02-14,75.78,76.04,75.37,76.04,23956000,0.0,0.0
2020-02-18,75.75,76.58,75.63,75.98,22414000,0.0,0.0
2020-02-19,76.25,76.61,76.07,76.33,18986000,0.0,0.0
2020-02-20,76.1,76.48,75.34,75.91,21932000,0.0,0.0
2020-02-21,75.4,75.61,74.02,74.26,34634000,0.0,0.0
2020-02-24,71.31,71.85,70.57,71.08,57342000,0.0,0.0
2020-02-25,71.65,71.91,69.12,69.42,49566000,0.0,0.0
2020-02-26,69.81,70.79,68.95,69.66,44048000,0.0,0.0
2020-02-27,68.1,68.59,65.86,65.9,59566000,0.0,0.0
2020-02-28,63.88,67.06,63.55,66.97,75782000,0.0,0.0
2020-03-02,67.58,69.54,66.34,69.46,48630000,0.0,0.0
2020-03-03,69.97,70.51,66.6,67.07,48046000,0.0,0.0
2020-03-04,67.96,69.4,67.16,69.33,38266000,0.0,0.0
2020-03-05,67.51,67.95,65.25,65.95,51226000,0.0,0.0
2020-03-06,63.85,65.31,63.05,64.92,53212000,0.0,0.0
2020-03-09,60.26,62.74,60.0,60.78,67308000,0.0,0.0
2020-03-10,63.0,64.06,60.94,64.02,52228000,0.0,0.0
2020-03-11,62.49,63.05,59.8,60.77,52170000,0.0,0.0
2020-03-12,56.3,59.69,55.67,55.75,84534000,0.0,0.0
2020-03-13,58.95,60.99,55.86,60.99,74002000,0.0,0.0
2020-03-16,54.8,57.61,53.72,54.22,85048000,0.0,0.0
2020-03-17,54.66,56.54,52.8,55.99,77230000,0.0,0.0
2020-03-18,52.83,55.33,51.86,54.84,84668000,0.0,0.0
2020-03-19,54.65,57.9,53.01,55.76,73022000,0.0,0.0
2020-03-20,56.79,57.2,53.27,53.62,72036000,0.0,0.0
2020-03-23,53.07,53.57,50.68,52.83,80882000,0.0,0.0
2020-03-24,55.19,56.75,54.53,56.72,66890000,0.0,0.0
2020-03-25,56.32,57.44,54.3,55.12,81630000,0.0,0.0
2020-03-26,55.59,58.5,54.68,58.09,71434000,0.0,0.0
2020-03-27,56.28,57.53,55.3,55.54,64170000,0.0,0.0
2020-03-30,56.25,57.58,54.82,57.34,51482000,0.0,0.0
2020-03-31,57.37,58.77,56.91,58.14,49728000,0.0,0.0
2020-04-01,56.1,56.48,54.87,55.28,46884000,0.0,0.0
2020-04-02,54.91,56.34,54.82,56.04,39298000,0.0,0.0
2020-04-03,55.95,56.18,53.99,54.89,46268000,0.0,0.0
2020-04-06,56.9,59.73,56.55,59.35,53294000,0.0,0.0
2020-04-07,61.05,61.25,59.11,59.33,47746000,0.0,0.0
2020-04-08,60.33,60.95,59.41,60.51,39502000,0.0,0.0
2020-04-09,61.2,61.28,59.84,60.57,43508000,0.0,0.0
2020-04-13,60.46,61.03,59.38,60.88,34796000,0.0,0.0
2020-04-14,62.25,64.1,61.85,63.46,49408000,0.0,0.0
2020-04-15,62.28,64.02,62.02,63.12,33434000,0.0,0.0
2020-04-16,63.71,63.95,62.13,63.17,50362000,0.0,0.0
2020-04-17,64.24,64.72,63.56,64.16,38980000,0.0,0.0
2020-04-20,63.55,64.08,63.07,63.33,33910000,0.0,0.0
2020-04-21,62.35,62.71,60.49,60.82,43060000,0.0,0.0
2020-04-22,62.28,64.28,62.1,63.16,41848000,0.0,0.0
2020-04-23,63.58,64.67,63.28,63.82,31324000,0.0,0.0
2020-04-24,63.06,64.02,62.47,63.97,32792000,0.0,0.0
2020-04-27,64.8,64.81,63.45,63.79,32012000,0.0,0.0
2020-04-28,64.4,64.4,61.61,61.68,59026000,0.0,0.0
2020-04-29,67.07,68.0,66.27,67.07,75872000,0.0,0.0
2020-04-30,66.24,67.64,66.12,67.43,53378000,0.0,0.0
2020-05-01,66.43,67.6,65.55,66.03,41450000,0.0,0.0
2020-05-04,65.41,66.38,64.95,66.34,30080000,0.0,0.0
2020-05-05,66.9,68.7,66.87,67.56,33030000,0.0,0.0
2020-05-06,68.08,68.56,67.36,67.36,24308000,0.0,0.0
2020-05-07,68.3,68.88,67.76,68.63,27952000,0.0,0.0
2020-05-08,69.16,69.94,68.77,69.42,27738000,0.0,0.0
2020-05-11,68.91,70.83,68.86,70.16,28242000,0.0,0.0
2020-05-12,70.36,70.75,68.74,68.79,27812000,0.0,0.0
2020-05-13,68.85,69.27,66.42,67.47,36252000,0.0,0.0
2020-05-14,66.75,67.87,66.2,67.81,32062000,0.0,0.0
2020-05-15,67.5,68.72,66.95,68.66,34154000,0.0,0.0
2020-05-18,68.09,69.62,67.71,69.2,36448000,0.0,0.0
2020-05-19,69.35,69.6,68.67,68.67,25612000,0.0,0.0
2020-05-20,69.48,70.52,69.36,70.34,33108000,0.0,0.0
2020-05-21,70.4,70.77,69.67,70.14,27700000,0.0,0.0
2020-05-22,69.84,70.64,69.59,70.52,26188000,0.0,0.0
2020-05-26,71.86,72.05,70.61,70.85,41212000,0.0,0.0
2020-05-27,70.86,71.09,69.56,70.89,33716000,0.0,0.0
2020-05-28,69.84,72.04,69.8,70.84,33844000,0.0,0.0
2020-05-29,70.85,71.63,70.67,71.45,36418000,0.0,0.0
2020-06-01,70.92,71.9,70.9,71.59,24342000,0.0,0.0
2020-06-02,71.53,71.98,70.94,71.96,25562000,0.0,0.0
2020-06-03,71.92,72.33,71.49,71.82,25124000,0.0,0.0
2020-06-04,71.52,71.95,70.24,70.61,29686000,0.0,0.0
2020-06-05,70.66,72.25,70.3,71.92,34698000,0.0,0.0
2020-06-08,71.12,72.4,71.12,72.33,28084000,0.0,0.0
2020-06-09,72.27,73.4,72.16,72.81,28184000,0.0,0.0
2020-06-10,72.98,73.71,72.81,73.29,30504000,0.0,0.0
2020-06-11,72.12,72.72,70.1,70.19,39826000,0.0,0.0
2020-06-12,71.42,71.85,69.3,70.66,38928000,0.0,0.0
2020-06-15,69.54,71.24,69.4,70.99,30078000,0.0,0.0
2020-06-16,72.26,72.75,71.29,72.14,34184000,0.0,0.0
2020-06-17,72.36,73.0,71.57,72.56,30992000,0.0,0.0
2020-06-18,72.46,72.57,71.35,71.8,31638000,0.0,0.0
2020-06-19,72.2,72.39,71.07,71.59,63158000,0.0,0.0
2020-06-22,71.45,72.64,71.16,72.59,30848000,0.0,0.0
2020-06-23,72.78,73.8,72.26,73.22,28596000,0.0,0.0
2020-06-24,73.08,73.77,71.49,71.6,35120000,0.0,0.0
2020-06-25,71.5,72.14,71.0,72.07,24610000,0.0,0.0
2020-06-26,71.57,71.67,67.6,68.0,85354000,0.0,0.0
2020-06-29,67.91,69.78,67.35,69.75,36204000,0.0,0.0
2020-06-30,69.52,70.93,69.2,70.68,40848000,0.0,0.0
2020-07-01,70.56,72.15,70.49,71.9,35504000,0.0,0.0
2020-07-02,72.35,74.15,72.32,73.24,37182000,0.0,0.0
2020-07-06,74.0,75.33,73.64,74.79,31280000,0.0,0.0
2020-07-07,74.5,75.84,74.18,74.26,29164000,0.0,0.0
2020-07-08,74.72,75.29,74.28,74.8,24994000,0.0,0.0
2020-07-09,75.32,76.14,74.4,75.55,28466000,0.0,0.0
2020-07-10,75.31,77.19,74.83,77.09,37126000,0.0,0.0
2020-07-13,77.5,78.86,75.26,75.57,36928000,0.0,0.0
2020-07-14,74.52,76.15,74.18,76.03,31700000,0.0,0.0
2020-07-15,76.16,76.77,74.9,75.68,32214000,0.0,0.0
2020-07-16,75.0,75.93,74.32,75.9,30386000,0.0,0.0
2020-07-17,76.08,76.17,74.92,75.78,29134000,0.0,0.0
2020-07-20,75.76,78.51,75.18,78.29,31146000,0.0,0.0
2020-07-21,79.35,79.35,77.71,77.92,24324000,0.0,0.0
2020-07-22,78.03,78.5,77.31,78.42,18640000,0.0,0.0
2020-07-23,78.35,78.59,75.37,75.78,32552000,0.0,0.0
2020-07-24,74.95,75.88,74.42,75.59,30880000,0.0,0.0
2020-07-27,75.78,77.05,75.76,76.51,24920000,0.0,0.0
2020-07-28,76.26,76.32,74.88,75.02,34044000,0.0,0.0
2020-07-29,75.32,76.56,75.07,76.1,22130000,0.0,0.0
2020-07-30,74.85,76.89,74.61,76.57,33428000,0.0,0.0
2020-07-31,75.25,75.45,72.7,74.15,68798000,0.0,0.0
2020-08-03,74.33,74.52,73.28,73.72,46604000,0.0,0.0
2020-08-04,73.83,74.28,72.93,73.25,38070000,0.0,0.0
2020-08-05,73.46,74.12,73.17,73.68,39590000,0.0,0.0
2020-08-06,73.59,75.12,73.3,75.0,39908000,0.0,0.0
2020-08-07,75.0,75.84,74.08,74.72,31556000,0.0,0.0
2020-08-10,74.36,75.2,73.65,74.81,25786000,0.0,0.0
2020-08-11,74.62,75.5,73.9,74.02,29088000,0.0,0.0
2020-08-12,74.28,75.62,74.26,75.33,28740000,0.0,0.0
2020-08-13,75.52,76.86,75.4,75.92,29104000,0.0,0.0
2020-08-14,75.78,76.1,75.14,75.39,27096000,0.0,0.0
2020-08-17,75.73,76.28,75.4,75.9,27566000,0.0,0.0
2020-08-18,76.31,78.12,76.19,77.93,40542000,0.0,0.0
2020-08-19,77.67,78.68,77.2,77.38,33212000,0.0,0.0
2020-08-20,77.17,79.29,76.91,79.09,34138000,0.0,0.0
2020-08-21,78.85,79.89,78.4,79.02,28930000,0.0,0.0
2020-08-24,79.7,80.71,79.03,79.41,28198000,0.0,0.0
2020-08-25,79.1,80.58,79.1,80.41,44942000,0.0,0.0
2020-08-26,80.4,82.96,80.18,82.62,79868000,0.0,0.0
2020-08-27,82.68,82.75,81.29,81.72,37232000,0.0,0.0
2020-08-28,81.67,82.36,81.54,82.22,29980000,0.0,0.0
2020-08-31,82.39,82.4,81.52,81.71,36468000,0.0,0.0
2020-09-01,81.83,83.29,81.61,83.04,36506000,0.0,0.0
2020-09-02,83.69,86.66,83.32,86.41,50224000,0.0,0.0
2020-09-03,85.49,85.49,80.75,82.09,62156000,0.0,0.0
2020-09-04,81.21,82.26,77.38,79.55,52172000,0.0,0.0
2020-09-08,76.68,78.19,76.4,76.62,52218000,0.0,0.0
2020-09-09,77.88,78.45,76.8,77.85,35494000,0.0,0.0
2020-09-10,78.03,79.2,76.29,76.6,32372000,0.0,0.0
2020-09-11,76.8,78.76,74.87,76.04,31942000,0.0,0.0
2020-09-14,76.95,78.2,75.79,75.96,33932000,0.0,0.0
