date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,231.0,234.64,230.16,234.32,3736300,233.04,"January 02, 20",212.35,3736300.0,3.32,1.44,0.0144
2020-01-03,231.6,232.61,230.3,231.58,2274500,231.5,"January 03, 20",209.87,2274500.0,-0.02,-0.00863558,-8.63558e-05
2020-01-06,229.93,234.02,229.49,233.95,3329300,232.49,"January 06, 20",212.02,3329300.0,4.02,1.75,0.0175
2020-01-07,235.0,237.77,234.76,235.49,5255200,236.01,"January 07, 20",213.41,5255200.0,0.49,0.20851,0.0020851
2020-01-08,235.68,239.75,235.48,237.76,3564700,237.66,"January 08, 20",215.47,3564700.0,2.08,0.88255,0.0088255
2020-01-09,241.34,243.4,239.82,242.6,3980700,241.94,"January 09, 20",219.86,3980700.0,1.26,0.52209,0.0052209
2020-01-10,242.75,243.39,241.39,242.11,2248100,242.3,"January 10, 20",219.41,2248100.0,-0.64,-0.26365,-0.0026365
2020-01-13,244.44,246.11,243.0,245.21,3359200,244.77,"January 13, 20",222.22,3359200.0,0.77,0.31501,0.0031501
2020-01-14,245.32,248.52,244.6,245.66,4302800,246.26,"January 14, 20",222.63,4302800.0,0.34,0.13859,0.0013859
2020-01-15,242.0,249.5,239.16,245.21,5411200,244.62,"January 15, 20",222.22,5411200.0,3.21,1.33,0.0133
2020-01-16,247.01,249.82,246.23,249.72,3968400,248.59,"January 16, 20",226.31,3968400.0,2.71,1.1,0.011
2020-01-17,250.23,250.46,248.0,249.46,3108400,249.31,"January 17, 20",226.07,3108400.0,-0.77,-0.30772,-0.0030772
2020-01-21,247.21,248.85,245.6,245.7,2492400,246.72,"January 21, 20",222.66,2492400.0,-1.51,-0.61082,-0.0061082
2020-01-22,246.61,248.52,246.34,247.05,2030900,247.3,"January 22, 20",223.89,2030900.0,0.44,0.17842,0.0017842
2020-01-23,244.5,247.0,242.88,245.58,2806800,245.15,"January 23, 20",222.56,2806800.0,1.08,0.44172,0.0044172
2020-01-24,245.07,245.71,240.6,241.92,2877400,242.74,"January 24, 20",219.24,2877400.0,-3.15,-1.29,-0.0129
2020-01-27,236.37,238.99,235.01,238.14,2506200,237.38,"January 27, 20",215.81,2506200.0,1.77,0.74883,0.0074883
2020-01-28,239.49,243.58,238.05,242.58,3123000,241.4,"January 28, 20",219.84,3123000.0,3.09,1.29,0.0129
2020-01-29,244.52,246.5,239.57,240.12,3711600,242.06,"January 29, 20",217.61,3711600.0,-4.4,-1.8,-0.018
2020-01-30,237.69,244.34,236.73,244.13,3261700,241.73,"January 30, 20",221.24,3261700.0,6.44,2.71,0.0271
2020-01-31,241.99,242.89,236.88,237.75,3482800,239.17,"January 31, 20",215.46,3482800.0,-4.24,-1.75,-0.0175
2020-02-03,238.36,242.39,238.05,239.01,2733000,239.82,"February 03, 20",216.6,2733000.0,0.65,0.2727,0.002727
2020-02-04,242.88,243.74,241.55,241.94,3052500,242.41,"February 04, 20",219.26,3052500.0,-0.94,-0.38702,-0.0038702
2020-02-05,244.99,245.13,243.0,244.3,3126600,244.14,"February 05, 20",221.4,3126600.0,-0.69,-0.28164,-0.0028164
2020-02-06,245.35,245.77,241.18,241.82,2225600,242.92,"February 06, 20",219.15,2225600.0,-3.53,-1.44,-0.0144
2020-02-07,239.75,240.52,236.55,238.0,3006500,238.36,"February 07, 20",215.69,3006500.0,-1.75,-0.72993,-0.0072993
2020-02-10,237.4,237.87,235.46,237.36,2591300,236.9,"February 10, 20",215.11,2591300.0,-0.04,-0.0168492,-0.000168492
2020-02-11,239.0,239.55,236.22,236.46,2238800,237.41,"February 11, 20",214.29,2238800.0,-2.54,-1.06,-0.0106
2020-02-12,238.01,241.18,237.72,238.65,2119200,239.18,"February 12, 20",216.28,2119200.0,0.64,0.2689,0.002689
2020-02-13,237.85,238.97,236.57,238.35,1461300,237.96,"February 13, 20",216.0,1461300.0,0.5,0.21022,0.0021022
2020-02-14,237.94,239.01,236.23,237.08,1718700,237.44,"February 14, 20",214.85,1718700.0,-0.86,-0.36144,-0.0036144
2020-02-18,236.55,237.07,231.2,233.21,2736500,233.83,"February 18, 20",211.35,2736500.0,-3.34,-1.41,-0.0141
2020-02-19,235.0,237.8,233.28,237.33,2207100,236.14,"February 19, 20",215.08,2207100.0,2.33,0.99149,0.0099149
2020-02-20,236.41,236.9,231.25,232.73,3183700,233.63,"February 20, 20",210.91,3183700.0,-3.68,-1.56,-0.0156
2020-02-21,230.91,231.8,228.37,230.62,3081600,230.26,"February 21, 20",209.0,3081600.0,-0.29,-0.12559,-0.0012559
2020-02-24,223.23,226.69,222.54,224.54,4139400,224.59,"February 24, 20",203.49,4139400.0,1.31,0.58684,0.0058684
2020-02-25,224.78,225.87,215.89,217.61,5343100,219.79,"February 25, 20",197.21,5343100.0,-7.17,-3.19,-0.0319
2020-02-26,218.7,220.0,214.76,215.78,4171100,216.85,"February 26, 20",195.55,4171100.0,-2.92,-1.34,-0.0134
2020-02-27,210.49,213.48,205.37,205.69,5848200,208.18,"February 27, 20",186.41,5848200.0,-4.8,-2.28,-0.0228
2020-02-28,199.09,202.25,194.85,200.77,6727100,199.29,"February 28, 20",183.06,6727100.0,1.68,0.84384,0.0084384
2020-03-02,201.41,209.62,197.63,209.47,5285500,205.57,"March 02, 20",190.99,5285500.0,8.06,4.0,0.04
2020-03-03,209.0,211.79,202.12,203.43,5677200,205.78,"March 03, 20",185.48,5677200.0,-5.57,-2.67,-0.0267
2020-03-04,205.84,208.92,202.7,208.74,3520400,206.79,"March 04, 20",190.33,3520400.0,2.9,1.41,0.0141
2020-03-05,201.33,203.47,196.95,198.79,4151500,199.74,"March 05, 20",181.25,4151500.0,-2.54,-1.26,-0.0126
2020-03-06,190.68,196.3,189.28,192.85,5071900,192.81,"March 06, 20",175.84,5071900.0,2.17,1.14,0.0114
2020-03-09,173.58,179.25,170.16,172.81,6443000,174.07,"March 09, 20",157.57,6443000.0,-0.77,-0.4436,-0.004436
2020-03-10,181.62,185.4,173.29,184.35,6803900,181.01,"March 10, 20",168.09,6803900.0,2.73,1.5,0.015
2020-03-11,178.48,180.77,170.97,171.89,5314000,174.54,"March 11, 20",156.73,5314000.0,-6.59,-3.69,-0.0369
2020-03-12,160.0,166.75,150.0,150.68,8357700,155.81,"March 12, 20",137.39,8357700.0,-9.32,-5.82,-0.0582
2020-03-13,162.82,177.56,152.35,177.17,6368400,169.03,"March 13, 20",161.54,6368400.0,14.35,8.81,0.0881
2020-03-16,150.23,169.54,150.0,154.66,6888000,158.07,"March 16, 20",141.02,6888000.0,4.43,2.95,0.0295
