date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,219.08,219.76,217.84,219.66,3935700,219.09,"January 02, 20",199.5,3935700.0,0.58,0.26474,0.0026474
2020-01-03,217.14,219.68,216.75,218.93,3423200,218.45,"January 03, 20",198.83,3423200.0,1.79,0.82435,0.0082435
2020-01-06,216.49,220.0,216.4,219.96,5682800,218.79,"January 06, 20",199.77,5682800.0,3.47,1.6,0.016
2020-01-07,219.5,220.56,216.9,218.52,5685400,218.66,"January 07, 20",198.46,5685400.0,-0.98,-0.44647,-0.0044647
2020-01-08,218.8,222.97,218.67,221.79,4916200,221.14,"January 08, 20",201.43,4916200.0,2.99,1.37,0.0137
2020-01-09,222.64,225.55,221.85,225.19,4843600,224.2,"January 09, 20",204.52,4843600.0,2.55,1.15,0.0115
2020-01-10,224.75,225.49,223.03,224.22,4226600,224.25,"January 10, 20",203.64,4226600.0,-0.53,-0.23582,-0.0023582
2020-01-13,224.5,224.51,222.68,223.34,6060900,223.51,"January 13, 20",202.84,6060900.0,-1.16,-0.5167,-0.005167
2020-01-14,222.48,224.95,222.31,222.81,3915100,223.36,"January 14, 20",202.36,3915100.0,0.33,0.14833,0.0014833
2020-01-15,222.28,224.98,222.13,224.59,3444300,223.9,"January 15, 20",203.97,3444300.0,2.31,1.04,0.0104
2020-01-16,225.93,228.86,225.4,228.82,5390800,227.69,"January 16, 20",207.81,5390800.0,2.89,1.28,0.0128
2020-01-17,229.61,232.6,228.91,231.91,7979200,231.14,"January 17, 20",210.62,7979200.0,2.3,1.0,0.01
2020-01-21,231.53,233.66,231.06,232.95,4873500,232.56,"January 21, 20",211.57,4873500.0,1.42,0.61331,0.0061331
2020-01-22,233.79,236.53,232.88,232.9,4030800,234.1,"January 22, 20",211.52,4030800.0,-0.89,-0.38068,-0.0038068
2020-01-23,232.13,234.82,230.64,233.65,4617900,233.04,"January 23, 20",212.2,4617900.0,1.52,0.65481,0.0065481
2020-01-24,234.46,235.43,230.56,232.0,4467500,232.66,"January 24, 20",210.7,4467500.0,-2.46,-1.05,-0.0105
2020-01-27,228.2,232.47,228.2,231.19,3595600,230.62,"January 27, 20",209.97,3595600.0,2.99,1.31,0.0131
2020-01-28,231.82,235.25,231.35,233.86,3621900,233.49,"January 28, 20",212.39,3621900.0,2.04,0.87999,0.0087999
2020-01-29,234.9,235.88,233.4,234.02,2564000,234.43,"January 29, 20",212.54,2564000.0,-0.88,-0.37463,-0.0037463
2020-01-30,232.0,233.3,231.57,232.79,4685700,232.55,"January 30, 20",211.42,4685700.0,0.79,0.34052,0.0034052
2020-01-31,232.96,233.23,227.89,228.1,5304700,229.74,"January 31, 20",207.16,5304700.0,-4.86,-2.09,-0.0209
2020-02-03,230.3,233.53,229.35,231.54,5100900,231.47,"February 03, 20",210.29,5100900.0,1.24,0.53843,0.0053843
2020-02-04,234.03,236.36,234.03,235.0,3505100,235.13,"February 04, 20",213.43,3505100.0,0.97,0.41448,0.0041448
2020-02-05,237.1,238.32,235.86,238.11,3868600,237.43,"February 05, 20",216.25,3868600.0,1.01,0.42598,0.0042598
2020-02-06,238.0,239.41,237.48,238.84,3930300,238.58,"February 06, 20",216.91,3930300.0,0.84,0.35294,0.0035294
2020-02-07,238.84,239.53,236.52,237.3,2456100,237.78,"February 07, 20",215.52,2456100.0,-1.54,-0.64478,-0.0064478
2020-02-10,236.6,240.61,236.18,240.61,2568000,239.13,"February 10, 20",218.52,2568000.0,4.01,1.69,0.0169
2020-02-11,240.61,242.45,240.2,241.64,2692400,241.43,"February 11, 20",219.46,2692400.0,1.03,0.42808,0.0042808
2020-02-12,242.13,242.3,238.84,241.59,3592100,240.91,"February 12, 20",219.41,3592100.0,-0.54,-0.22302,-0.0022302
2020-02-13,240.97,243.6,240.4,242.36,2468100,242.12,"February 13, 20",220.11,2468100.0,1.39,0.57684,0.0057684
2020-02-14,243.44,245.2,242.63,245.03,2841600,244.29,"February 14, 20",222.54,2841600.0,1.59,0.65314,0.0065314
2020-02-18,244.84,246.11,243.16,243.94,2892600,244.4,"February 18, 20",221.55,2892600.0,-0.9,-0.36759,-0.0036759
2020-02-19,244.91,245.5,243.01,243.64,2713300,244.05,"February 19, 20",221.27,2713300.0,-1.27,-0.51856,-0.0051856
2020-02-20,243.69,247.12,242.15,247.02,3701800,245.43,"February 20, 20",224.34,3701800.0,3.33,1.37,0.0137
2020-02-21,246.5,247.36,244.0,245.34,3881100,245.57,"February 21, 20",222.82,3881100.0,-1.16,-0.47059,-0.0047059
2020-02-24,238.48,243.11,237.7,239.7,5350100,240.17,"February 24, 20",217.7,5350100.0,1.22,0.51157,0.0051157
2020-02-25,246.1,246.97,236.48,237.38,8061500,240.28,"February 25, 20",215.59,8061500.0,-8.72,-3.54,-0.0354
2020-02-26,239.1,241.04,234.32,235.28,6963000,236.88,"February 26, 20",213.68,6963000.0,-3.82,-1.6,-0.016
2020-02-27,231.07,234.82,224.57,224.73,7612800,228.04,"February 27, 20",204.1,7612800.0,-6.34,-2.74,-0.0274
2020-02-28,218.63,221.06,212.33,217.84,11809600,217.08,"February 28, 20",197.84,11809600.0,-0.79,-0.36134,-0.0036134
2020-03-02,219.98,230.0,218.49,229.94,7150800,226.14,"March 02, 20",208.83,7150800.0,9.96,4.53,0.0453
2020-03-03,230.03,235.82,225.57,227.94,8432500,229.78,"March 03, 20",207.02,8432500.0,-2.09,-0.90858,-0.0090858
2020-03-04,233.01,241.32,231.8,241.08,6770000,238.07,"March 04, 20",218.95,6770000.0,8.07,3.46,0.0346
2020-03-05,236.6,239.61,233.15,234.81,6473900,235.86,"March 05, 20",213.25,6473900.0,-1.79,-0.75655,-0.0075655
2020-03-06,227.57,230.29,222.25,228.51,7399900,227.02,"March 06, 20",207.53,7399900.0,0.94,0.41306,0.0041306
2020-03-09,213.87,216.18,207.25,210.46,10120500,211.3,"March 09, 20",191.14,10120500.0,-3.41,-1.59,-0.0159
2020-03-10,217.21,225.83,211.0,225.7,7206600,220.84,"March 10, 20",204.98,7206600.0,8.49,3.91,0.0391
2020-03-11,217.3,219.15,210.5,212.89,7253900,214.18,"March 11, 20",194.64,7253900.0,-4.41,-2.03,-0.0203
2020-03-12,195.41,206.58,184.84,190.59,10928700,194.0,"March 12, 20",174.25,10928700.0,-4.82,-2.47,-0.0247
2020-03-13,200.45,205.82,190.0,205.67,10292300,200.5,"March 13, 20",188.04,10292300.0,5.22,2.6,0.026
2020-03-16,181.97,186.1,163.11,164.96,12536600,171.39,"March 16, 20",150.82,12536600.0,-17.01,-9.35,-0.0935
2020-03-17,168.21,174.78,155.3,173.64,16234400,167.91,"March 17, 20",158.76,16234400.0,5.43,3.23,0.0323
2020-03-18,159.8,162.33,140.63,155.63,14681900,152.86,"March 18, 20",142.29,14681900.0,-4.17,-2.61,-0.0261
2020-03-19,153.16,162.91,142.0,161.13,13499100,155.35,"March 19, 20",147.32,13499100.0,7.97,5.2,0.052
2020-03-20,162.78,170.22,151.81,152.15,12602400,158.06,"March 20, 20",139.11,12602400.0,-10.63,-6.53,-0.0653
2020-03-23,150.06,164.93,146.34,162.39,12241600,157.89,"March 23, 20",148.47,12241600.0,12.33,8.22,0.0822
2020-03-24,173.39,185.67,172.01,184.72,14676600,180.8,"March 24, 20",168.89,14676600.0,11.33,6.53,0.0653
2020-03-25,184.42,191.55,180.0,181.76,11497400,184.44,"March 25, 20",166.18,11497400.0,-2.66,-1.44,-0.0144
2020-03-26,183.49,198.2,182.5,195.21,10170300,191.97,"March 26, 20",178.48,10170300.0,11.72,6.39,0.0639
2020-03-27,188.49,196.38,186.5,190.55,7121700,191.14,"March 27, 20",174.22,7121700.0,2.06,1.09,0.0109
2020-03-30,190.57,198.2,187.61,196.1,6936700,193.97,"March 30, 20",179.29,6936700.0,5.53,2.9,0.029
2020-03-31,194.8,195.49,185.45,186.71,7335400,189.22,"March 31, 20",170.7,7335400.0,-8.09,-4.15,-0.0415
2020-04-01,175.91,182.76,175.0,178.63,7858200,178.8,"April 01, 20",163.32,7858200.0,2.72,1.55,0.0155
2020-04-02,174.95,182.72,174.0,181.31,6353900,179.34,"April 02, 20",165.77,6353900.0,6.36,3.64,0.0364
2020-04-03,179.56,181.35,174.94,178.7,7299800,178.33,"April 03, 20",163.38,7299800.0,-0.86,-0.47895,-0.0047895
2020-04-06,188.0,192.41,185.13,191.33,7454000,189.62,"April 06, 20",174.93,7454000.0,3.33,1.77,0.0177
2020-04-07,202.92,204.11,191.85,192.29,6438800,196.08,"April 07, 20",175.81,6438800.0,-10.63,-5.24,-0.0524
2020-04-08,194.21,196.77,191.54,194.82,6094700,194.38,"April 08, 20",178.12,6094700.0,0.61,0.31409,0.0031409
2020-04-09,199.8,205.99,196.5,201.53,7125100,201.34,"April 09, 20",184.25,7125100.0,1.73,0.86587,0.0086587
