date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,177.5,180.8,177.14,180.79,2857400,179.58,"January 02, 20",166.5,2857400.0,3.29,1.85,0.0185
2020-01-03,178.34,179.83,177.41,178.86,2805200,178.7,"January 03, 20",164.73,2805200.0,0.52,0.29158,0.0029158
2020-01-06,177.84,178.38,176.93,177.51,3277900,177.61,"January 06, 20",163.48,3277900.0,-0.33,-0.18556,-0.0018556
2020-01-07,177.37,178.07,175.59,177.61,3002800,177.09,"January 07, 20",163.58,3002800.0,0.24,0.13531,0.0013531
2020-01-08,177.67,179.1,176.73,177.76,2545500,177.86,"January 08, 20",163.71,2545500.0,0.09,0.05065571,0.0005065571
2020-01-09,178.7,179.43,178.06,179.07,1789500,178.85,"January 09, 20",164.92,1789500.0,0.37,0.20705,0.0020705
2020-01-10,179.9,179.9,178.14,178.68,1671700,178.91,"January 10, 20",164.56,1671700.0,-1.22,-0.67815,-0.0067815
2020-01-13,179.25,181.34,178.69,181.27,2261900,180.43,"January 13, 20",166.95,2261900.0,2.02,1.13,0.0113
2020-01-14,180.49,181.22,179.51,180.45,2191200,180.39,"January 14, 20",166.19,2191200.0,-0.04,-0.02216189,-0.0002216189
2020-01-15,181.29,182.44,179.85,180.73,2600800,181.01,"January 15, 20",166.45,2600800.0,-0.56,-0.3089,-0.003089
2020-01-16,181.5,182.49,180.79,182.26,2215400,181.85,"January 16, 20",167.86,2215400.0,0.76,0.41873,0.0041873
2020-01-17,182.86,184.06,182.53,183.23,2608000,183.27,"January 17, 20",168.75,2608000.0,0.37,0.20234,0.0020234
2020-01-21,183.04,183.3,180.47,180.93,2188600,181.57,"January 21, 20",166.63,2188600.0,-2.11,-1.15,-0.0115
2020-01-22,181.56,181.88,179.81,180.05,1881700,180.58,"January 22, 20",165.82,1881700.0,-1.51,-0.83168,-0.0083168
2020-01-23,179.81,180.54,179.03,179.58,2434000,179.72,"January 23, 20",165.39,2434000.0,-0.23,-0.12791,-0.0012791
2020-01-24,179.92,180.26,176.49,177.13,2737000,177.96,"January 24, 20",163.13,2737000.0,-2.79,-1.55,-0.0155
2020-01-27,174.27,175.34,173.47,173.54,2491500,174.12,"January 27, 20",159.83,2491500.0,-0.73,-0.41889,-0.0041889
2020-01-28,174.12,176.75,173.24,175.46,2178400,175.15,"January 28, 20",161.59,2178400.0,1.34,0.76958,0.0076958
2020-01-29,177.0,177.74,175.63,175.67,2199000,176.35,"January 29, 20",161.79,2199000.0,-1.33,-0.75141,-0.0075141
