date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,129.06,129.94,128.84,129.46,3293436,129.42,"January 02, 20",105.35,3293436.0,0.4,0.30993,0.0030993
2020-01-03,127.7,128.93,127.69,128.43,2482890,128.35,"January 03, 20",104.51,2482890.0,0.73,0.57165,0.0057165
2020-01-06,127.55,128.34,127.34,128.2,2537073,127.96,"January 06, 20",104.32,2537073.0,0.65,0.5096,0.005096
2020-01-07,127.81,129.02,127.53,128.29,3232977,128.28,"January 07, 20",104.39,3232977.0,0.48,0.37556,0.0037556
2020-01-08,128.59,129.89,128.03,129.36,4545916,129.09,"January 08, 20",105.26,4545916.0,0.77,0.5988,0.005988
2020-01-09,129.77,130.77,129.36,130.73,3902208,130.29,"January 09, 20",106.37,3902208.0,0.96,0.73977,0.0073977
2020-01-10,130.98,131.81,130.32,130.68,3405148,130.93,"January 10, 20",106.33,3405148.0,-0.3,-0.22904,-0.0022904
2020-01-13,129.52,130.63,129.13,130.59,3693426,130.12,"January 13, 20",106.26,3693426.0,1.07,0.82613,0.0082613
2020-01-14,130.29,131.11,129.59,129.85,3850326,130.18,"January 14, 20",105.66,3850326.0,-0.44,-0.33771,-0.0033771
2020-01-15,130.02,131.99,129.74,130.61,4232011,130.78,"January 15, 20",106.28,4232011.0,0.59,0.45378,0.0045378
2020-01-16,131.28,132.11,130.98,131.91,4519661,131.67,"January 16, 20",107.34,4519661.0,0.63,0.47989,0.0047989
2020-01-17,130.54,132.25,130.17,132.23,5881972,131.55,"January 17, 20",107.59,5881972.0,1.69,1.29,0.0129
2020-01-21,131.75,133.22,131.55,133.05,7577329,132.61,"January 21, 20",108.26,7577329.0,1.3,0.98672,0.0098672
2020-01-22,137.02,139.38,136.28,137.56,17228038,137.74,"January 22, 20",111.94,17228038.0,0.54,0.3941,0.003941
2020-01-23,137.86,138.06,135.9,136.59,5918059,136.85,"January 23, 20",111.14,5918059.0,-1.27,-0.92122,-0.0092122
