date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,261.53,265.26,260.49,265.02,445500,0.0,0.0
2020-01-03,260.87,266.39,259.99,264.77,399100,0.0,0.0
2020-01-06,263.9,267.18,261.32,266.93,579000,0.0,0.0
2020-01-07,267.29,269.46,265.37,266.12,418400,0.0,0.0
2020-01-08,267.89,274.65,266.11,271.68,717500,0.0,0.0
2020-01-09,273.94,278.19,271.99,277.94,567600,0.0,0.0
2020-01-10,279.53,283.74,277.33,281.64,578000,0.0,0.0
2020-01-13,281.75,284.35,280.02,282.29,478900,0.0,0.0
2020-01-14,281.55,285.45,279.83,284.02,468500,0.0,0.0
2020-01-15,285.13,288.92,282.66,288.49,501900,0.0,0.0
2020-01-16,289.03,291.5,287.19,289.92,363900,0.0,0.0
2020-01-17,290.88,291.04,285.21,285.8,608100,0.0,0.0
2020-01-21,284.64,287.43,283.71,284.84,654500,0.0,0.0
2020-01-22,285.15,290.14,285.15,287.62,401800,0.0,0.0
2020-01-23,287.86,287.99,283.45,285.9,454300,0.0,0.0
2020-01-24,288.21,289.25,279.18,280.77,345100,0.0,0.0
2020-01-27,277.15,279.25,275.02,277.31,368700,0.0,0.0
2020-01-28,277.35,279.81,276.48,278.64,578900,0.0,0.0
2020-01-29,279.8,283.14,276.99,280.8,363300,0.0,0.0
2020-01-30,278.8,283.99,276.52,283.73,497700,0.0,0.0
2020-01-31,280.14,289.96,269.49,271.01,910200,0.0,0.0
2020-02-03,276.08,281.52,274.25,275.77,569600,0.0,0.0
2020-02-04,280.58,285.96,277.82,279.12,492200,0.0,0.0
2020-02-05,281.87,282.16,272.81,274.4,510500,0.0,0.0
2020-02-06,275.27,281.37,274.43,280.67,542800,0.0,0.0
2020-02-07,280.59,281.08,277.7,278.4,239700,0.0,0.0
2020-02-10,277.94,279.65,276.94,279.15,348200,0.0,0.0
2020-02-11,280.33,284.36,280.04,283.38,293100,0.0,0.0
