date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,329.05,332.85,323.29,327.0,813900,0.0,0.0
2020-01-03,322.49,325.14,321.01,322.73,1346100,0.0,0.0
2020-01-06,320.97,325.71,318.77,325.53,760800,0.0,0.0
2020-01-07,328.21,331.17,326.11,329.69,789100,0.0,0.0
2020-01-08,328.32,334.5,326.74,332.16,679700,0.0,0.0
2020-01-09,334.99,336.97,332.64,334.6,879700,0.0,0.0
2020-01-10,336.61,339.63,333.66,335.53,951500,0.0,0.0
2020-01-13,335.91,337.81,312.83,323.15,2338800,0.0,0.0
2020-01-14,324.08,325.49,317.02,317.11,2174200,0.0,0.0
2020-01-15,320.0,322.17,318.02,320.39,1178500,0.0,0.0
2020-01-16,323.43,326.45,321.59,325.96,722700,0.0,0.0
2020-01-17,327.73,327.93,320.46,324.72,1122800,0.0,0.0
2020-01-21,323.22,330.53,322.13,328.33,1289500,0.0,0.0
2020-01-22,328.76,332.62,328.18,330.95,826100,0.0,0.0
2020-01-23,330.32,330.61,326.66,327.0,944400,0.0,0.0
2020-01-24,327.72,328.31,318.28,319.58,1070000,0.0,0.0
2020-01-27,314.62,316.75,311.46,313.92,859100,0.0,0.0
2020-01-28,315.46,316.66,312.42,314.28,1129200,0.0,0.0
2020-01-29,315.0,316.51,312.11,313.3,1251700,0.0,0.0
2020-01-30,297.5,315.24,295.25,296.0,3328100,0.0,0.0
2020-01-31,296.24,296.83,288.86,290.07,1460500,0.0,0.0
2020-02-03,293.1,296.18,292.13,293.41,1040000,0.0,0.0
2020-02-04,297.78,298.99,295.79,296.0,1110000,0.0,0.0
2020-02-05,300.28,302.54,297.61,300.35,1839700,0.0,0.0
2020-02-06,302.75,302.99,299.81,301.23,706500,0.0,0.0
2020-02-07,301.0,301.37,293.81,294.3,1125300,0.0,0.0
2020-02-10,294.36,295.56,293.5,294.41,1219500,0.0,0.0
2020-02-11,296.9,298.74,295.09,296.0,3528500,0.0,0.0
2020-02-12,297.63,298.29,291.53,293.28,1871800,0.0,0.0
2020-02-13,292.64,293.62,290.56,291.38,2215300,0.0,0.0
2020-02-14,292.92,300.07,292.09,298.92,1494500,0.0,0.0
2020-02-18,299.0,300.07,296.91,299.92,813600,0.0,0.0
2020-02-19,301.68,305.45,300.5,303.2,1339000,0.0,0.0
2020-02-20,304.0,305.39,297.73,300.46,698100,0.0,0.0
2020-02-21,300.0,301.43,294.79,295.94,722400,0.0,0.0
2020-02-24,288.34,289.67,279.0,281.12,1443900,0.0,0.0
2020-02-25,282.65,282.99,269.04,269.95,1604900,0.0,0.0
2020-02-26,271.96,280.78,271.05,274.7,1423800,0.0,0.0
2020-02-27,268.49,273.64,258.97,259.93,2319000,0.0,0.0
2020-02-28,253.74,265.88,252.43,265.67,2678200,0.0,0.0
2020-03-02,268.02,278.39,265.35,278.28,1768200,0.0,0.0
2020-03-03,277.4,285.34,270.72,273.0,1353700,0.0,0.0
2020-03-04,276.0,282.42,273.1,282.13,956000,0.0,0.0
2020-03-05,273.95,280.02,272.37,276.02,1079400,0.0,0.0
2020-03-06,265.96,275.82,265.96,274.42,1117600,0.0,0.0
2020-03-09,257.64,268.38,255.36,259.8,1678600,0.0,0.0
2020-03-10,266.8,270.69,257.23,268.15,1466500,0.0,0.0
2020-03-11,261.43,263.93,241.47,246.01,1860200,0.0,0.0
2020-03-12,229.83,235.6,222.32,223.28,2318800,0.0,0.0
2020-03-13,232.53,235.5,211.24,233.33,2480900,0.0,0.0
2020-03-16,210.3,228.54,205.78,211.02,1908100,0.0,0.0
2020-03-17,214.89,232.47,207.49,225.76,1701200,0.0,0.0
2020-03-18,214.42,224.99,196.78,209.2,1885500,0.0,0.0
2020-03-19,208.15,229.8,199.0,224.8,1738300,0.0,0.0
2020-03-20,232.24,252.95,229.0,242.0,3159500,0.0,0.0
2020-03-23,239.64,250.0,234.54,237.76,2088000,0.0,0.0
2020-03-24,247.59,255.0,243.87,254.18,1758600,0.0,0.0
2020-03-25,251.14,259.21,247.31,248.32,1722500,0.0,0.0
2020-03-26,252.12,276.62,250.43,274.42,1792100,0.0,0.0
2020-03-27,264.52,270.49,259.71,269.05,1360700,0.0,0.0
2020-03-30,266.79,277.32,266.04,276.23,1717300,0.0,0.0
2020-03-31,271.35,276.06,267.9,273.12,1686200,0.0,0.0
2020-04-01,265.92,270.0,251.14,256.46,1915300,0.0,0.0
2020-04-02,254.4,273.84,254.16,272.99,1258600,0.0,0.0
2020-04-03,270.35,274.33,259.45,263.5,871800,0.0,0.0
2020-04-06,271.43,279.1,269.5,278.01,1418700,0.0,0.0
2020-04-07,284.63,286.63,280.4,280.64,1505400,0.0,0.0
2020-04-08,281.62,283.41,276.17,280.99,1430400,0.0,0.0
2020-04-09,281.56,287.76,279.46,287.62,1201200,0.0,0.0
2020-04-13,281.94,289.87,281.5,289.45,1119200,0.0,0.0
2020-04-14,292.54,299.71,292.08,297.88,1133300,0.0,0.0
2020-04-15,290.33,295.9,288.26,294.29,1113100,0.0,0.0
2020-04-16,300.64,304.24,294.04,303.5,946400,0.0,0.0
2020-04-17,309.57,317.21,306.42,316.36,1277900,0.0,0.0
2020-04-20,312.67,324.95,309.01,322.88,1678400,0.0,0.0
2020-04-21,311.0,314.98,307.8,310.4,1285000,0.0,0.0
2020-04-22,313.74,314.93,309.01,311.56,1030300,0.0,0.0
2020-04-23,311.43,321.33,311.43,312.71,850800,0.0,0.0
2020-04-24,308.74,311.12,305.79,309.07,978800,0.0,0.0
2020-04-27,312.93,318.49,311.9,314.58,830200,0.0,0.0
2020-04-28,315.07,317.25,304.6,313.79,971100,0.0,0.0
2020-04-29,319.91,324.0,314.84,317.45,1283200,0.0,0.0
2020-04-30,316.21,320.1,312.15,319.03,991400,0.0,0.0
2020-05-01,317.16,317.42,303.31,305.88,1009900,0.0,0.0
2020-05-04,305.2,309.42,304.09,308.2,610400,0.0,0.0
2020-05-05,310.37,313.68,307.84,310.25,700100,0.0,0.0
2020-05-06,311.71,318.23,310.6,315.04,563700,0.0,0.0
2020-05-07,317.12,317.77,312.3,313.36,553800,0.0,0.0
2020-05-08,317.33,318.0,308.05,309.87,687100,0.0,0.0
2020-05-11,309.11,320.95,306.29,320.31,1164300,0.0,0.0
2020-05-12,319.86,332.26,314.47,321.55,1471600,0.0,0.0
2020-05-13,322.69,335.49,320.23,323.39,1075300,0.0,0.0
2020-05-14,323.49,325.43,319.65,322.99,907100,0.0,0.0
2020-05-15,323.12,335.8,321.16,335.0,1202000,0.0,0.0
2020-05-18,338.57,348.57,338.33,344.14,1120200,0.0,0.0
2020-05-19,342.34,345.23,339.67,342.55,1046500,0.0,0.0
2020-05-20,344.93,359.5,344.93,357.73,1664100,0.0,0.0
2020-05-21,355.57,355.96,344.05,349.42,1038700,0.0,0.0
2020-05-22,349.42,354.86,346.11,354.7,710300,0.0,0.0
2020-05-26,357.3,361.86,353.72,354.41,1470800,0.0,0.0
2020-05-27,354.42,365.0,349.26,363.82,1215600,0.0,0.0
2020-05-28,362.35,377.8,360.01,373.01,1480400,0.0,0.0
2020-05-29,372.0,373.23,359.31,363.05,1802700,0.0,0.0
2020-06-01,361.14,369.59,358.0,365.41,617000,0.0,0.0
2020-06-02,364.4,366.07,358.36,366.05,861200,0.0,0.0
2020-06-03,366.05,366.4,355.88,358.32,889000,0.0,0.0
2020-06-04,355.29,362.95,355.0,358.4,1054800,0.0,0.0
2020-06-05,357.18,363.39,352.58,354.11,1059400,0.0,0.0
2020-06-08,350.94,360.16,350.79,358.81,830600,0.0,0.0
2020-06-09,357.6,361.58,354.0,357.78,655900,0.0,0.0
2020-06-10,362.21,362.89,354.71,359.05,749900,0.0,0.0
2020-06-11,354.83,357.4,335.85,336.92,1314500,0.0,0.0
2020-06-12,340.43,345.63,333.44,341.61,698200,0.0,0.0
2020-06-15,336.4,349.79,335.19,348.43,600100,0.0,0.0
2020-06-16,354.93,357.96,346.11,355.04,744100,0.0,0.0
2020-06-17,358.18,363.51,355.09,360.66,735200,0.0,0.0
2020-06-18,359.85,366.26,359.07,362.92,650200,0.0,0.0
2020-06-19,365.47,372.43,363.0,368.77,1608100,0.0,0.0
