date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,198.57,199.28,196.93,199.09,1623000,0.0,0.0
2020-01-03,196.06,198.19,194.05,197.78,1256100,0.0,0.0
2020-01-06,196.67,199.21,195.98,198.59,1574400,0.0,0.0
2020-01-07,196.65,196.65,191.25,194.27,3515100,0.0,0.0
2020-01-08,193.85,195.12,192.2,193.93,2679300,0.0,0.0
2020-01-09,195.84,196.58,194.03,195.26,2988900,0.0,0.0
2020-01-10,201.83,205.52,199.3,199.57,3847800,0.0,0.0
2020-01-13,200.16,202.31,199.62,201.04,1845600,0.0,0.0
2020-01-14,200.91,201.43,199.2,200.9,1335900,0.0,0.0
2020-01-15,200.9,201.83,198.67,199.08,1295700,0.0,0.0
2020-01-16,200.53,201.27,197.69,199.43,1496700,0.0,0.0
2020-01-17,200.18,200.28,198.0,200.01,1777800,0.0,0.0
2020-01-21,199.43,200.83,199.12,200.55,1504200,0.0,0.0
2020-01-22,201.67,204.83,200.84,203.41,2031000,0.0,0.0
2020-01-23,203.95,205.0,202.2,205.0,2941500,0.0,0.0
2020-01-24,201.6,201.67,194.61,196.4,6266400,0.0,0.0
2020-01-27,190.64,191.0,186.42,189.17,4478700,0.0,0.0
2020-01-28,190.11,191.15,189.17,189.91,2550000,0.0,0.0
2020-01-29,191.67,192.57,189.33,190.47,1694400,0.0,0.0
2020-01-30,189.55,191.58,186.06,190.28,2236500,0.0,0.0
2020-01-31,189.28,190.07,185.01,186.59,2303700,0.0,0.0
2020-02-03,187.43,188.75,186.2,188.54,2771700,0.0,0.0
2020-02-04,192.06,195.0,190.89,191.36,1844700,0.0,0.0
2020-02-05,193.79,193.83,190.93,192.19,1548300,0.0,0.0
2020-02-06,192.67,194.54,191.77,193.85,1329900,0.0,0.0
2020-02-07,193.78,194.34,192.78,193.14,1806000,0.0,0.0
2020-02-10,192.96,195.03,192.23,194.98,1209000,0.0,0.0
2020-02-11,196.22,196.87,195.25,195.94,1293000,0.0,0.0
2020-02-12,197.19,198.32,196.13,197.61,1398000,0.0,0.0
2020-02-13,199.67,200.3,197.5,200.12,2261700,0.0,0.0
2020-02-14,200.33,201.45,198.14,201.12,1911300,0.0,0.0
2020-02-18,200.44,201.67,199.9,201.56,1628400,0.0,0.0
2020-02-19,198.71,206.19,198.71,204.96,2213400,0.0,0.0
2020-02-20,203.66,206.33,202.57,206.1,1909800,0.0,0.0
2020-02-21,204.12,204.98,202.23,204.36,2202300,0.0,0.0
2020-02-24,196.82,198.81,192.84,193.39,2545500,0.0,0.0
2020-02-25,194.65,195.08,185.29,186.17,2652000,0.0,0.0
2020-02-26,188.33,191.27,186.27,186.51,2238600,0.0,0.0
2020-02-27,183.46,186.83,181.39,181.54,3199800,0.0,0.0
2020-02-28,175.97,178.95,172.85,177.99,5829600,0.0,0.0
2020-03-02,178.65,186.53,177.41,186.36,2842500,0.0,0.0
2020-03-03,185.57,191.67,181.26,186.09,3081600,0.0,0.0
2020-03-04,189.33,194.57,187.67,194.3,2202000,0.0,0.0
2020-03-05,190.6,192.26,186.84,189.46,2871600,0.0,0.0
2020-03-06,183.33,186.49,179.36,185.05,3102300,0.0,0.0
2020-03-09,171.71,175.97,167.0,170.22,3455100,0.0,0.0
2020-03-10,176.89,179.65,168.52,179.13,2935800,0.0,0.0
2020-03-11,173.33,174.19,167.59,169.85,3014700,0.0,0.0
2020-03-12,162.09,166.07,152.02,152.51,5082000,0.0,0.0
2020-03-13,159.34,160.77,144.19,156.99,5606400,0.0,0.0
2020-03-16,138.77,149.17,134.08,134.76,5370900,0.0,0.0
2020-03-17,137.66,143.01,123.33,141.83,5773200,0.0,0.0
2020-03-18,133.17,136.12,122.69,135.57,6621300,0.0,0.0
2020-03-19,133.75,144.63,124.0,136.07,4804800,0.0,0.0
2020-03-20,138.95,144.8,130.43,131.4,4264800,0.0,0.0
2020-03-23,127.33,130.26,120.17,122.58,4780500,0.0,0.0
2020-03-24,132.97,144.55,132.36,143.97,5644200,0.0,0.0
2020-03-25,144.43,161.33,143.33,153.44,5216400,0.0,0.0
2020-03-26,154.21,168.2,154.21,167.16,4961700,0.0,0.0
2020-03-27,159.58,168.8,158.89,163.47,4865400,0.0,0.0
2020-03-30,163.33,168.96,161.43,168.07,2829900,0.0,0.0
2020-03-31,166.28,169.8,164.1,165.07,3418500,0.0,0.0
2020-04-01,153.42,158.33,150.09,152.75,4517400,0.0,0.0
