date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,145.87,146.02,145.08,145.97,5777000,145.69,"January 02, 20",131.09,5777000.0,0.1,0.06855419,0.0006855419
2020-01-03,143.5,145.37,143.0,144.28,5752400,144.22,"January 03, 20",129.57,5752400.0,0.78,0.54355,0.0054355
2020-01-06,144.0,144.2,142.85,144.1,7731300,143.72,"January 06, 20",129.41,7731300.0,0.1,0.06944444,0.0006944444
2020-01-07,144.01,145.45,141.38,144.98,7382900,143.94,"January 07, 20",130.2,7382900.0,0.97,0.67356,0.0067356
2020-01-08,144.87,145.98,143.7,144.96,6605800,144.88,"January 08, 20",130.18,6605800.0,0.09,0.06212466,0.0006212466
2020-01-09,145.76,146.03,144.99,145.39,6112700,145.47,"January 09, 20",130.57,6112700.0,-0.37,-0.25384,-0.0025384
2020-01-10,145.75,146.18,144.9,145.06,5042600,145.38,"January 10, 20",130.27,5042600.0,-0.69,-0.47341,-0.0047341
2020-01-13,145.48,145.79,144.72,145.7,4593200,145.4,"January 13, 20",130.84,4593200.0,0.22,0.15122,0.0015122
2020-01-14,145.05,146.61,144.73,146.52,7037500,145.95,"January 14, 20",131.58,7037500.0,1.47,1.01,0.0101
2020-01-15,146.4,147.4,146.24,147.01,4960300,146.88,"January 15, 20",132.02,4960300.0,0.61,0.41667,0.0041667
2020-01-16,147.42,148.84,146.2,148.2,6476000,147.75,"January 16, 20",133.09,6476000.0,0.78,0.5291,0.005291
2020-01-17,148.41,149.41,147.93,149.17,9083600,148.84,"January 17, 20",133.96,9083600.0,0.76,0.51209,0.0051209
2020-01-21,148.58,150.17,148.5,149.27,9543900,149.31,"January 21, 20",134.05,9543900.0,0.69,0.4644,0.004644
2020-01-22,146.7,149.18,146.0,148.25,10305300,147.81,"January 22, 20",133.13,10305300.0,1.55,1.06,0.0106
2020-01-23,148.04,148.77,146.76,148.53,8671900,148.02,"January 23, 20",133.39,8671900.0,0.49,0.33099,0.0033099
2020-01-24,148.58,148.95,147.93,148.32,9051900,148.4,"January 24, 20",133.2,9051900.0,-0.26,-0.17499,-0.0017499
