date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,139.79,141.1,139.26,141.09,10803700,140.48,"January 02, 20",124.25,10803700.0,1.3,0.92997,0.0092997
2020-01-03,137.5,139.23,137.08,138.34,10386800,138.22,"January 03, 20",122.61,10386800.0,0.84,0.61091,0.0061091
2020-01-06,136.56,138.27,136.5,138.23,10259000,137.67,"January 06, 20",122.52,10259000.0,1.67,1.22,0.0122
2020-01-07,137.28,137.86,135.82,135.88,10531300,136.52,"January 07, 20",120.43,10531300.0,-1.4,-1.02,-0.0102
2020-01-08,135.7,137.58,135.6,136.94,9695300,136.71,"January 08, 20",121.37,9695300.0,1.24,0.91378,0.0091378
2020-01-09,138.05,138.23,137.04,137.44,9469000,137.57,"January 09, 20",121.82,9469000.0,-0.61,-0.44187,-0.0044187
2020-01-10,137.21,137.25,135.81,136.07,10190900,136.38,"January 10, 20",120.6,10190900.0,-1.14,-0.83084,-0.0083084
2020-01-13,136.19,137.2,135.76,137.2,12355200,136.72,"January 13, 20",121.6,12355200.0,1.01,0.74161,0.0074161
2020-01-14,137.94,140.76,137.69,138.8,24906000,139.08,"January 14, 20",123.02,24906000.0,0.86,0.62346,0.0062346
2020-01-15,137.85,138.6,136.15,136.72,16293400,137.16,"January 15, 20",121.18,16293400.0,-1.13,-0.81973,-0.0081973
2020-01-16,137.45,137.9,136.84,137.25,10783800,137.33,"January 16, 20",121.65,10783800.0,-0.2,-0.14551,-0.0014551
2020-01-17,137.54,138.29,137.32,138.2,14697700,137.94,"January 17, 20",122.49,14697700.0,0.66,0.47986,0.0047986
2020-01-21,137.19,138.07,136.69,136.84,8474200,137.2,"January 21, 20",121.29,8474200.0,-0.35,-0.25512,-0.0025512
2020-01-22,137.24,137.4,136.38,136.68,7549100,136.82,"January 22, 20",121.14,7549100.0,-0.56,-0.40804,-0.0040804
2020-01-23,135.71,136.74,134.72,136.54,9345700,136.0,"January 23, 20",121.02,9345700.0,0.83,0.6116,0.006116
2020-01-24,136.37,136.43,132.32,133.15,15166400,133.97,"January 24, 20",118.01,15166400.0,-3.22,-2.36,-0.0236
2020-01-27,130.27,132.94,129.71,132.03,12860500,131.56,"January 27, 20",117.02,12860500.0,1.76,1.35,0.0135
2020-01-28,132.84,134.97,132.48,134.43,13062800,133.96,"January 28, 20",119.15,13062800.0,1.59,1.2,0.012
2020-01-29,134.81,135.54,133.69,134.23,9326000,134.49,"January 29, 20",118.97,9326000.0,-0.58,-0.43024,-0.0043024
