date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,28.89,28.9,28.59,28.74,1924300,0.15,0.0
2020-01-03,28.56,28.87,28.5,28.81,1129000,0.0,0.0
2020-01-06,28.63,29.03,28.63,29.0,1783500,0.0,0.0
2020-01-07,28.87,29.02,28.18,28.2,1272800,0.0,0.0
2020-01-08,28.2,28.34,27.74,27.76,1931800,0.0,0.0
2020-01-09,27.84,28.06,27.81,27.87,4952100,0.0,0.0
2020-01-10,27.85,28.34,27.85,27.88,7271400,0.0,0.0
2020-01-13,27.83,27.96,27.75,27.8,3240300,0.0,0.0
2020-01-14,27.72,27.84,27.35,27.6,2660500,0.0,0.0
2020-01-15,27.62,28.18,27.6,27.86,2417700,0.0,0.0
2020-01-16,27.94,28.09,27.56,27.62,4704800,0.0,0.0
2020-01-17,27.62,27.94,27.6,27.67,4545400,0.0,0.0
2020-01-21,27.38,27.59,27.08,27.1,2973800,0.0,0.0
2020-01-22,27.16,28.11,27.16,28.03,8292600,0.0,0.0
2020-01-23,27.54,27.82,27.14,27.77,5988100,0.0,0.0
2020-01-24,27.85,28.13,27.63,28.04,4623300,0.0,0.0
2020-01-27,27.66,28.12,27.64,28.03,3130200,0.0,0.0
2020-01-28,28.05,28.57,28.01,28.54,3022600,0.0,0.0
2020-01-29,28.57,28.84,28.49,28.55,2287700,0.0,0.0
2020-01-30,28.51,28.81,28.46,28.66,2450400,0.0,0.0
2020-01-31,28.7,28.87,28.48,28.53,2895100,0.0,0.0
2020-02-03,28.48,28.8,28.44,28.68,1246600,0.0,0.0
2020-02-04,28.93,29.02,28.67,28.67,1261500,0.0,0.0
2020-02-05,28.8,28.96,28.63,28.69,905700,0.0,0.0
2020-02-06,28.76,28.97,28.43,28.56,1757900,0.0,0.0
2020-02-07,28.5,28.64,28.46,28.57,1676300,0.0,0.0
2020-02-10,28.5,28.75,28.45,28.71,2560700,0.0,0.0
2020-02-11,28.75,28.86,28.64,28.67,1377500,0.0,0.0
2020-02-12,28.66,28.76,28.47,28.64,1537000,0.0,0.0
2020-02-13,28.45,28.78,28.44,28.58,2146200,0.0,0.0
2020-02-14,28.65,28.98,28.58,28.87,1161500,0.0,0.0
2020-02-18,28.78,29.17,28.78,28.87,3361200,0.0,0.0
2020-02-19,28.91,29.06,28.8,28.85,1469300,0.0,0.0
