date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,32.29,32.42,31.5,31.61,6008700,0.0,0.0
2020-01-03,31.5,31.65,31.22,31.24,5012700,0.0,0.0
2020-01-06,31.17,31.47,30.9,31.31,4714700,0.0,0.0
2020-01-07,31.25,31.28,30.51,30.76,7165700,0.0,0.0
2020-01-08,30.74,30.94,30.35,30.59,5802900,0.0,0.0
2020-01-09,30.67,30.69,29.94,30.58,8938400,0.0,0.0
2020-01-10,30.59,30.87,30.57,30.7,4578200,0.0,0.0
2020-01-13,30.91,31.17,30.7,31.16,4269100,0.0,0.0
2020-01-14,31.13,31.75,31.12,31.73,6794100,0.0,0.0
2020-01-15,31.69,31.96,31.54,31.6,4243700,0.0,0.0
2020-01-16,31.7,32.02,31.65,31.73,3950400,0.0,0.0
2020-01-17,31.8,31.86,30.95,31.03,6645600,0.0,0.0
2020-01-21,30.96,31.12,30.41,31.01,7106600,0.0,0.0
2020-01-22,31.08,31.08,30.5,30.67,4535000,0.0,0.0
2020-01-23,30.53,30.79,30.34,30.68,4280600,0.0,0.0
2020-01-24,30.7,30.73,30.09,30.41,5951500,0.0,0.0
2020-01-27,30.15,30.48,29.85,30.35,5806100,0.0,0.0
2020-01-28,30.45,30.67,30.08,30.13,5645000,0.0,0.0
2020-01-29,30.11,30.11,29.59,29.62,9042600,0.0,0.0
2020-01-30,29.61,29.99,29.27,29.94,6169800,0.0,0.0
2020-01-31,29.9,29.92,29.03,29.2,8211800,0.0,0.0
2020-02-03,29.2,29.38,28.92,29.15,6305700,0.0,0.0
2020-02-04,29.5,29.62,29.09,29.15,7607100,0.0,0.0
2020-02-05,29.36,29.95,29.11,29.37,9092800,0.0,0.0
2020-02-06,29.32,29.6,28.92,29.06,6544800,0.0,0.0
2020-02-07,28.96,30.3,28.71,29.54,13268800,0.0,0.0
2020-02-10,29.65,29.85,29.4,29.69,5775800,0.0,0.0
2020-02-11,29.89,30.15,29.62,30.01,7123300,0.0,0.0
2020-02-12,30.17,30.55,29.94,30.04,8096300,0.0,0.0
2020-02-13,29.12,29.23,27.36,27.77,37333600,0.0,0.0
2020-02-14,27.85,27.92,26.46,26.88,23915700,0.0,0.0
2020-02-18,26.77,27.45,26.3,27.33,16772400,0.0,0.0
2020-02-19,27.36,27.45,27.11,27.31,7947900,0.0,0.0
2020-02-20,27.27,27.78,27.15,27.42,7005900,0.0,0.0
2020-02-21,27.2,27.51,27.17,27.26,6716800,0.0,0.0
2020-02-24,26.96,27.14,26.26,26.63,12622200,0.0,0.0
