date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,55.32,55.43,54.76,54.99,11867700,55.06,"January 02, 20",48.53,11867700.0,-0.33,-0.59653,-0.0059653
2020-01-03,54.32,54.99,54.09,54.69,11354500,54.59,"January 03, 20",48.27,11354500.0,0.37,0.68115,0.0068115
2020-01-06,54.65,54.91,54.52,54.67,14698300,54.7,"January 06, 20",48.25,14698300.0,0.02,0.03659652,0.0003659652
2020-01-07,54.45,54.6,54.15,54.25,9973900,54.33,"January 07, 20",47.88,9973900.0,-0.2,-0.36731,-0.0036731
2020-01-08,54.27,54.64,54.15,54.35,10676000,54.38,"January 08, 20",47.97,10676000.0,0.08,0.14741,0.0014741
2020-01-09,55.0,55.4,54.84,55.34,15398000,55.19,"January 09, 20",48.84,15398000.0,0.34,0.61818,0.0061818
2020-01-10,55.48,55.93,55.45,55.53,13040100,55.64,"January 10, 20",49.01,13040100.0,0.05,0.09012257,0.0009012257
2020-01-13,55.53,56.23,55.42,56.13,14302900,55.93,"January 13, 20",49.54,14302900.0,0.6,1.08,0.0108
2020-01-14,56.24,56.29,55.83,56.0,16345300,56.04,"January 14, 20",49.42,16345300.0,-0.24,-0.42674,-0.0042674
2020-01-15,56.0,56.98,56.0,56.7,17735400,56.56,"January 15, 20",50.04,17735400.0,0.7,1.25,0.0125
2020-01-16,56.85,56.95,56.61,56.82,10234100,56.79,"January 16, 20",50.15,10234100.0,-0.03,-0.05277045,-0.0005277045
2020-01-17,56.87,57.15,56.8,56.94,14264300,56.96,"January 17, 20",50.25,14264300.0,0.07,0.12309,0.0012309
2020-01-21,56.85,57.25,56.57,57.17,11968900,57.0,"January 21, 20",50.46,11968900.0,0.32,0.56288,0.0056288
2020-01-22,57.25,57.64,57.18,57.61,12869600,57.48,"January 22, 20",50.85,12869600.0,0.36,0.62882,0.0062882
2020-01-23,57.38,57.85,57.24,57.83,12858900,57.64,"January 23, 20",51.04,12858900.0,0.45,0.78425,0.0078425
2020-01-24,57.85,57.87,57.46,57.68,8594300,57.67,"January 24, 20",50.91,8594300.0,-0.17,-0.29386,-0.0029386
2020-01-27,57.21,57.85,57.13,57.48,14359900,57.49,"January 27, 20",50.73,14359900.0,0.27,0.47195,0.0047195
2020-01-28,57.45,57.75,56.97,57.01,15240200,57.24,"January 28, 20",50.32,15240200.0,-0.44,-0.76588,-0.0076588
2020-01-29,57.0,57.26,56.66,57.01,13163600,56.98,"January 29, 20",50.32,13163600.0,0.01,0.01754386,0.0001754386
2020-01-30,57.93,58.98,57.76,58.86,20225600,58.53,"January 30, 20",51.95,20225600.0,0.93,1.61,0.0161
2020-01-31,58.97,59.08,58.15,58.4,17685200,58.54,"January 31, 20",51.54,17685200.0,-0.57,-0.96659,-0.0096659
2020-02-03,58.75,58.97,58.52,58.58,12333600,58.69,"February 03, 20",51.7,12333600.0,-0.17,-0.28936,-0.0028936
2020-02-04,58.75,59.45,58.62,58.84,15417900,58.97,"February 04, 20",51.93,15417900.0,0.09,0.15319,0.0015319
2020-02-05,58.9,59.08,58.54,58.85,11414900,58.82,"February 05, 20",51.94,11414900.0,-0.05,-0.08488964,-0.0008488964
2020-02-06,58.98,59.34,58.84,58.99,9347000,59.06,"February 06, 20",52.06,9347000.0,0.01,0.0169549,0.000169549
2020-02-07,58.88,59.32,58.85,59.19,8757800,59.12,"February 07, 20",52.24,8757800.0,0.31,0.52649,0.0052649
2020-02-10,59.32,59.84,59.29,59.75,7984900,59.63,"February 10, 20",52.73,7984900.0,0.43,0.72488,0.0072488
2020-02-11,59.72,59.8,59.32,59.59,7431200,59.57,"February 11, 20",52.59,7431200.0,-0.13,-0.21768,-0.0021768
2020-02-12,59.48,59.77,59.32,59.41,9179100,59.5,"February 12, 20",52.43,9179100.0,-0.07,-0.11769,-0.0011769
2020-02-13,59.38,59.84,59.21,59.61,8173200,59.55,"February 13, 20",52.61,8173200.0,0.23,0.38734,0.0038734
2020-02-14,59.63,60.07,59.62,59.95,9965500,59.88,"February 14, 20",52.91,9965500.0,0.32,0.53664,0.0053664
2020-02-18,59.81,59.93,59.45,59.53,10075700,59.64,"February 18, 20",52.54,10075700.0,-0.28,-0.46815,-0.0046815
2020-02-19,59.51,60.0,59.47,59.77,6265700,59.75,"February 19, 20",52.75,6265700.0,0.26,0.4369,0.004369
2020-02-20,59.68,59.86,59.11,59.72,7597200,59.56,"February 20, 20",52.71,7597200.0,0.04,0.06702413,0.0006702413
2020-02-21,59.51,60.13,59.43,60.13,10842400,59.9,"February 21, 20",53.07,10842400.0,0.62,1.04,0.0104
