date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,151.5,152.6,151.03,151.49,1905600,0.0,0.0
2020-01-03,149.19,150.02,148.74,149.27,2116900,0.0,0.0
2020-01-06,147.9,147.99,146.21,147.34,2178200,0.0,0.0
2020-01-07,146.74,147.22,144.68,144.94,2073200,0.0,0.0
2020-01-08,145.13,147.62,144.72,146.73,1412800,0.0,0.0
2020-01-09,147.46,147.59,146.2,146.45,1197900,0.0,0.0
2020-01-10,146.2,146.57,145.05,145.39,848200,0.0,0.0
2020-01-13,145.76,146.98,145.54,146.8,987500,0.0,0.0
2020-01-14,146.41,147.63,146.11,147.15,944700,0.0,0.0
2020-01-15,146.77,148.15,146.65,147.3,799900,0.0,0.0
2020-01-16,147.98,149.04,147.5,149.02,804500,0.0,0.0
2020-01-17,149.19,150.63,148.07,150.26,1058900,0.0,0.0
2020-01-21,148.08,148.44,143.42,144.37,2757200,0.0,0.0
2020-01-22,145.0,147.19,143.75,144.12,1297100,0.0,0.0
2020-01-23,142.43,145.06,141.25,144.96,1863100,0.0,0.0
2020-01-24,144.97,145.02,139.84,141.02,2073400,0.0,0.0
2020-01-27,137.73,139.63,133.36,138.0,2641200,0.0,0.0
2020-01-28,138.71,141.79,138.32,141.25,1958500,0.0,0.0
2020-01-29,141.5,143.24,140.38,142.61,1290700,0.0,0.0
2020-01-30,140.54,143.54,138.83,143.31,1848600,0.0,0.0
2020-01-31,142.15,142.25,138.95,140.06,2070200,0.0,0.0
2020-02-03,141.7,144.46,140.87,141.48,1527600,0.0,0.0
2020-02-04,144.47,148.24,143.68,147.4,1812900,0.0,0.0
2020-02-05,149.72,150.17,147.31,147.71,1872300,0.0,0.0
2020-02-06,148.29,148.87,145.78,146.22,1065900,0.0,0.0
2020-02-07,144.91,145.4,142.78,144.07,1717600,0.0,0.0
2020-02-10,143.01,145.85,142.45,145.73,1169800,0.0,0.0
2020-02-11,145.87,148.95,145.22,147.19,1461300,0.0,0.0
2020-02-12,148.04,150.97,148.04,150.78,1583400,0.0,0.0
2020-02-13,149.45,149.53,146.66,146.72,1933900,0.0,0.0
2020-02-14,146.98,147.36,143.9,144.9,2441200,0.0,0.0
2020-02-18,144.23,145.86,144.23,144.94,2352800,0.0,0.0
2020-02-19,144.56,147.91,144.56,147.63,2018000,0.0,0.0
2020-02-20,147.53,148.91,146.27,146.84,1279600,0.0,0.0
2020-02-21,145.38,145.52,142.54,143.24,1858100,0.0,0.0
2020-02-24,136.82,137.38,134.22,134.83,3197500,0.0,0.0
2020-02-25,135.99,136.05,123.48,124.08,5128400,0.0,0.0
2020-02-26,126.29,127.67,119.85,120.19,4961200,0.0,0.0
2020-02-27,117.0,127.28,114.46,119.64,6958600,0.48,0.0
2020-02-28,116.25,124.33,116.0,124.0,6646600,0.0,0.0
2020-03-02,123.07,123.68,116.64,122.96,6375500,0.0,0.0
2020-03-03,122.76,123.74,113.88,114.28,6796500,0.0,0.0
2020-03-04,115.49,118.54,111.28,118.33,7343700,0.0,0.0
2020-03-05,113.79,115.0,108.8,110.22,6977200,0.0,0.0
2020-03-06,104.64,113.62,103.89,110.66,6790100,0.0,0.0
2020-03-09,102.0,108.92,101.76,104.19,6687400,0.0,0.0
2020-03-10,108.83,110.03,102.8,109.98,5395500,0.0,0.0
2020-03-11,106.2,106.5,99.56,100.11,8901300,0.0,0.0
2020-03-12,90.0,97.81,88.76,93.71,9065700,0.0,0.0
2020-03-13,98.23,100.78,91.6,95.61,8552800,0.0,0.0
2020-03-16,84.68,91.07,78.12,86.42,9327200,0.0,0.0
2020-03-17,87.52,89.61,67.74,75.24,12101600,0.0,0.0
2020-03-18,67.15,67.16,46.56,63.81,25881800,0.0,0.0
2020-03-19,61.18,72.7,52.65,66.8,17497700,0.0,0.0
2020-03-20,73.71,84.0,69.52,74.58,18154700,0.0,0.0
2020-03-23,75.02,80.7,67.28,70.13,12931800,0.0,0.0
2020-03-24,76.05,81.36,75.0,79.14,9113100,0.0,0.0
2020-03-25,83.51,92.68,79.23,85.25,8717900,0.0,0.0
2020-03-26,87.6,96.0,80.59,82.81,10444300,0.0,0.0
2020-03-27,78.7,82.79,76.25,78.85,5749800,0.0,0.0
2020-03-30,76.71,78.43,72.84,76.16,6097800,0.0,0.0
2020-03-31,74.98,79.24,74.52,74.81,5173600,0.0,0.0
