date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,198.0,200.8,197.81,200.79,3554200,199.8,"January 02, 20",183.18,3554200.0,2.79,1.41,0.0141
2020-01-03,199.39,200.55,198.85,200.08,2767600,199.83,"January 03, 20",182.53,2767600.0,0.69,0.34606,0.0034606
2020-01-06,199.6,202.77,199.35,202.33,4660400,201.48,"January 06, 20",184.58,4660400.0,2.73,1.37,0.0137
2020-01-07,201.87,202.68,200.51,202.63,4047400,201.94,"January 07, 20",184.85,4047400.0,0.76,0.37648,0.0037648
2020-01-08,202.62,206.69,202.2,205.91,5284200,204.93,"January 08, 20",187.85,5284200.0,3.29,1.62,0.0162
2020-01-09,206.86,209.37,206.1,208.35,5971600,207.94,"January 09, 20",190.07,5971600.0,1.49,0.72029,0.0072029
2020-01-10,208.44,208.95,207.27,207.27,2336400,207.83,"January 10, 20",189.09,2336400.0,-1.17,-0.56131,-0.0056131
2020-01-13,207.38,207.78,205.76,206.51,2784200,206.68,"January 13, 20",188.39,2784200.0,-0.87,-0.41952,-0.0041952
2020-01-14,205.46,207.65,205.46,207.32,2622700,206.81,"January 14, 20",189.13,2622700.0,1.86,0.90529,0.0090529
2020-01-15,207.32,210.35,207.32,209.77,3369400,209.15,"January 15, 20",191.37,3369400.0,2.45,1.18,0.0118
2020-01-16,210.11,211.11,209.22,210.85,2726700,210.39,"January 16, 20",192.35,2726700.0,0.74,0.3522,0.003522
2020-01-17,211.42,212.77,211.35,211.98,3540400,212.03,"January 17, 20",193.38,3540400.0,0.56,0.26488,0.0026488
2020-01-21,211.37,212.26,210.22,211.16,4100500,211.21,"January 21, 20",192.64,4100500.0,-0.21,-0.09935185,-0.0009935185
2020-01-22,213.16,213.66,211.41,211.44,2757400,212.17,"January 22, 20",192.89,2757400.0,-1.72,-0.80691,-0.0080691
2020-01-23,210.54,213.5,208.62,213.42,3378200,211.85,"January 23, 20",194.7,3378200.0,2.88,1.37,0.0137
2020-01-24,214.18,214.18,210.9,211.24,3106300,212.11,"January 24, 20",192.71,3106300.0,-2.94,-1.37,-0.0137
2020-01-27,207.84,210.61,207.3,209.34,3389300,209.08,"January 27, 20",190.97,3389300.0,1.5,0.72171,0.0072171
2020-01-28,209.89,212.21,209.86,210.39,3855200,210.82,"January 28, 20",191.93,3855200.0,0.5,0.23822,0.0023822
2020-01-29,211.69,216.42,210.8,214.44,5734800,213.89,"January 29, 20",195.63,5734800.0,2.75,1.3,0.013
2020-01-30,214.0,216.74,212.83,216.18,3560700,215.25,"January 30, 20",197.21,3560700.0,2.18,1.02,0.0102
2020-01-31,215.52,217.1,213.14,213.97,3920800,214.74,"January 31, 20",195.2,3920800.0,-1.55,-0.71919,-0.0071919
2020-02-03,214.99,216.88,214.23,215.18,3539200,215.43,"February 03, 20",196.3,3539200.0,0.19,0.0883762,0.000883762
2020-02-04,216.11,216.69,214.25,214.62,3367900,215.19,"February 04, 20",195.79,3367900.0,-1.49,-0.68946,-0.0068946
2020-02-05,215.64,215.78,213.01,214.37,2911400,214.39,"February 05, 20",195.56,2911400.0,-1.27,-0.58894,-0.0058894
2020-02-06,214.72,214.82,212.64,212.87,2903300,213.44,"February 06, 20",194.2,2903300.0,-1.85,-0.86159,-0.0086159
2020-02-07,212.56,212.84,211.09,211.61,2421600,211.85,"February 07, 20",193.05,2421600.0,-0.95,-0.44693,-0.0044693
2020-02-10,211.34,213.28,211.25,213.21,2318800,212.58,"February 10, 20",194.51,2318800.0,1.87,0.88483,0.0088483
2020-02-11,214.0,215.86,213.65,215.73,2694500,215.08,"February 11, 20",196.8,2694500.0,1.73,0.80841,0.0080841
2020-02-12,216.0,217.47,215.11,217.46,2844900,216.68,"February 12, 20",198.38,2844900.0,1.46,0.67593,0.0067593
2020-02-13,216.71,218.39,216.19,217.42,2853400,217.33,"February 13, 20",198.35,2853400.0,0.71,0.32763,0.0032763
2020-02-14,217.5,217.84,216.38,217.09,1720400,217.1,"February 14, 20",198.05,1720400.0,-0.41,-0.18851,-0.0018851
2020-02-18,215.92,217.04,215.67,216.15,2712600,216.29,"February 18, 20",197.19,2712600.0,0.23,0.10652,0.0010652
