date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,53.01,54.04,52.6,53.8,9717800,0.0,0.0
2020-01-03,52.7,53.42,52.43,52.62,20029800,0.0,0.0
2020-01-06,51.83,52.12,51.51,51.87,4031600,0.0,0.0
2020-01-07,53.95,55.4,53.44,55.35,13402800,0.0,0.0
2020-01-08,55.3,55.38,54.42,54.65,4806200,0.0,0.0
2020-01-09,55.19,55.32,54.15,55.16,4421200,0.0,0.0
2020-01-10,55.3,55.58,54.67,55.42,6307800,0.0,0.0
2020-01-13,55.62,55.85,55.28,55.6,4810800,0.0,0.0
2020-01-14,55.31,56.24,54.94,55.06,6707000,0.0,0.0
2020-01-15,54.63,54.7,53.46,53.79,12352000,0.0,0.0
2020-01-16,54.17,54.67,53.74,54.41,4878600,0.0,0.0
2020-01-17,54.54,54.99,54.06,54.71,4696000,0.0,0.0
2020-01-21,54.5,54.83,54.24,54.62,4112200,0.0,0.0
2020-01-22,54.88,55.49,54.4,54.67,2711000,0.0,0.0
2020-01-23,54.87,55.22,54.23,55.13,3666400,0.0,0.0
2020-01-24,55.66,55.69,53.15,53.61,5709800,0.0,0.0
2020-01-27,51.44,52.24,51.17,51.49,5319800,0.0,0.0
2020-01-28,52.08,52.58,51.79,52.1,3960600,0.0,0.0
2020-01-29,52.17,52.51,51.2,51.23,3447400,0.0,0.0
2020-01-30,50.78,51.04,49.83,50.78,4912200,0.0,0.0
2020-01-31,50.3,50.47,48.47,48.74,7770400,0.0,0.0
2020-02-03,49.17,49.33,48.63,48.78,4224400,0.0,0.0
2020-02-04,50.35,51.09,50.04,50.85,6819800,0.0,0.0
2020-02-05,53.99,55.78,52.62,54.26,12321000,0.0,0.0
2020-02-06,54.27,54.49,53.31,54.24,4231400,0.0,0.0
2020-02-07,53.83,53.99,52.94,53.1,5007600,0.0,0.0
2020-02-10,52.61,54.08,52.51,54.08,4020400,0.0,0.0
2020-02-11,54.5,55.39,54.07,54.43,5751200,0.0,0.0
2020-02-12,54.75,55.41,54.66,54.85,4005000,0.0,0.0
2020-02-13,54.51,55.48,54.06,55.19,3652000,0.0,0.0
2020-02-14,55.38,55.47,54.33,54.68,2195000,0.0,0.0
2020-02-18,54.11,54.4,53.42,53.48,2194200,0.0,0.0
2020-02-19,54.02,54.98,53.89,54.91,3231000,0.0,0.0
2020-02-20,54.38,54.77,53.54,54.06,2554400,0.18,0.0
2020-02-21,53.58,53.9,52.3,52.54,4047200,0.0,0.0
2020-02-24,50.5,51.4,49.97,50.06,6910200,0.0,0.0
2020-02-25,50.46,50.54,48.13,48.59,5441000,0.0,0.0
2020-02-26,49.2,49.72,47.08,47.38,7456400,0.0,0.0
2020-02-27,46.06,46.88,44.88,44.94,8248000,0.0,0.0
2020-02-28,43.4,46.2,43.0,45.35,10948800,0.0,0.0
2020-03-02,45.8,47.64,45.04,47.61,9250200,0.0,0.0
2020-03-03,47.13,48.49,44.6,44.71,11342200,0.0,0.0
2020-03-04,45.4,46.8,44.51,46.63,9008600,0.0,0.0
2020-03-05,45.01,45.78,44.04,44.34,8313600,0.0,0.0
2020-03-06,42.69,44.35,42.47,43.48,10880600,0.0,0.0
2020-03-09,40.19,41.18,38.97,38.98,12189800,0.0,0.0
2020-03-10,40.49,41.0,38.03,40.74,12821600,0.0,0.0
2020-03-11,39.47,40.06,36.61,36.7,18819600,0.0,0.0
2020-03-12,34.88,35.21,30.92,31.16,20688400,0.0,0.0
2020-03-13,33.38,34.99,31.19,34.99,13216600,0.0,0.0
2020-03-16,30.73,32.85,27.89,27.89,13245600,0.0,0.0
2020-03-17,29.25,31.49,27.43,31.25,14931000,0.0,0.0
2020-03-18,28.16,30.42,27.28,28.98,13632000,0.0,0.0
2020-03-19,27.78,31.52,26.58,30.28,13221200,0.0,0.0
2020-03-20,31.06,32.19,29.15,29.82,10194600,0.0,0.0
2020-03-23,32.13,34.32,31.18,32.76,19436000,0.0,0.0
2020-03-24,34.94,37.99,34.94,37.86,17734800,0.0,0.0
2020-03-25,37.88,39.17,36.9,37.47,17580800,0.0,0.0
2020-03-26,37.72,38.05,36.15,37.26,8952000,0.0,0.0
2020-03-27,35.72,35.97,33.97,34.1,9326600,0.0,0.0
2020-03-30,34.7,35.33,33.67,34.49,6826600,0.0,0.0
2020-03-31,34.06,35.47,33.69,33.9,10725400,0.0,0.0
2020-04-01,32.55,33.49,31.0,31.4,7833200,0.0,0.0
2020-04-02,30.88,32.6,30.81,32.49,8014600,0.0,0.0
2020-04-03,32.17,33.01,31.51,32.02,6238000,0.0,0.0
2020-04-06,33.94,37.2,33.62,36.99,9534600,0.0,0.0
2020-04-07,38.3,38.5,36.24,36.67,8663800,0.0,0.0
2020-04-08,37.69,40.01,37.19,39.76,13348200,0.0,0.0
