date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,130.18,134.67,126.08,134.33,1166900,0.0,0.0
2020-01-03,132.43,136.22,131.76,135.29,598300,0.0,0.0
2020-01-06,132.88,140.89,132.71,140.5,1254600,0.0,0.0
2020-01-07,140.5,142.61,138.25,138.86,672000,0.0,0.0
2020-01-08,138.9,141.64,136.23,140.27,978800,0.0,0.0
2020-01-09,142.66,152.01,142.54,149.96,4133800,0.0,0.0
2020-01-10,149.3,150.76,146.2,149.23,2764300,0.0,0.0
2020-01-13,150.57,155.68,150.0,152.91,1473200,0.0,0.0
2020-01-14,154.5,156.41,151.22,152.83,1823400,0.0,0.0
2020-01-15,153.29,157.79,151.69,152.38,1392600,0.0,0.0
2020-01-16,153.26,154.84,149.61,151.9,1029100,0.0,0.0
2020-01-17,152.91,153.17,149.1,149.39,810400,0.0,0.0
2020-01-21,148.73,152.82,147.75,148.68,1064900,0.0,0.0
2020-01-22,149.71,154.24,149.36,149.96,941700,0.0,0.0
2020-01-23,150.01,150.65,147.54,148.57,536000,0.0,0.0
2020-01-24,150.0,154.45,149.99,152.11,962800,0.0,0.0
2020-01-27,146.52,152.28,145.2,148.77,890400,0.0,0.0
2020-01-28,150.23,153.58,149.77,152.57,526400,0.0,0.0
2020-01-29,154.0,162.48,152.7,159.31,1441800,0.0,0.0
2020-01-30,157.28,168.1,157.0,167.43,2068800,0.0,0.0
2020-01-31,168.97,169.0,161.52,163.91,1063500,0.0,0.0
2020-02-03,163.42,164.72,157.0,163.33,838600,0.0,0.0
2020-02-04,166.73,173.46,164.31,172.15,1268400,0.0,0.0
2020-02-05,173.8,173.8,160.29,163.21,1259700,0.0,0.0
2020-02-06,164.54,167.52,159.0,163.61,596100,0.0,0.0
2020-02-07,164.4,166.3,161.02,164.11,522200,0.0,0.0
2020-02-10,163.65,168.48,162.89,166.25,494700,0.0,0.0
2020-02-11,166.84,168.0,163.9,166.81,544600,0.0,0.0
2020-02-12,168.44,171.03,164.25,170.59,707800,0.0,0.0
2020-02-13,169.8,173.4,169.51,169.91,1423500,0.0,0.0
2020-02-14,171.09,174.33,168.59,171.33,1321700,0.0,0.0
2020-02-18,171.49,177.97,170.22,176.9,2171300,0.0,0.0
2020-02-19,178.72,181.97,177.9,180.09,1094300,0.0,0.0
2020-02-20,180.1,182.57,170.51,178.1,1120900,0.0,0.0
2020-02-21,176.87,176.87,164.46,164.9,1773000,0.0,0.0
2020-02-24,153.51,158.3,148.25,153.85,1966600,0.0,0.0
2020-02-25,156.71,159.79,146.23,149.38,1436500,0.0,0.0
2020-02-26,149.49,158.57,149.16,151.26,1243800,0.0,0.0
2020-02-27,144.67,155.0,141.65,150.18,1499400,0.0,0.0
2020-02-28,143.14,152.8,141.51,152.5,1409600,0.0,0.0
2020-03-02,152.5,155.87,146.12,155.64,1360700,0.0,0.0
2020-03-03,155.49,159.97,149.8,155.16,1451800,0.0,0.0
2020-03-04,156.75,159.48,154.0,159.32,887500,0.0,0.0
2020-03-05,155.59,162.93,155.59,159.06,864400,0.0,0.0
2020-03-06,156.43,156.43,144.0,150.11,1421300,0.0,0.0
2020-03-09,139.65,139.65,125.0,127.85,1515900,0.0,0.0
2020-03-10,134.71,137.0,125.12,133.85,1386100,0.0,0.0
2020-03-11,128.95,130.9,120.33,123.85,1342800,0.0,0.0
2020-03-12,109.74,115.96,101.0,111.55,1743300,0.0,0.0
2020-03-13,120.39,122.0,107.14,115.17,1408200,0.0,0.0
2020-03-16,100.0,103.92,93.81,98.97,1885900,0.0,0.0
2020-03-17,101.68,116.53,94.16,114.52,2145100,0.0,0.0
2020-03-18,97.4,125.55,96.0,105.73,4882200,0.0,0.0
2020-03-19,104.6,127.46,101.34,122.18,2435400,0.0,0.0
2020-03-20,123.22,135.75,119.38,120.5,1905300,0.0,0.0
2020-03-23,120.38,127.47,113.38,125.57,1387800,0.0,0.0
2020-03-24,132.85,141.57,132.01,136.43,1554700,0.0,0.0
2020-03-25,136.14,145.48,130.26,134.3,1474800,0.0,0.0
2020-03-26,136.0,143.15,131.0,133.11,1227200,0.0,0.0
2020-03-27,128.77,135.5,126.32,132.11,1435200,0.0,0.0
2020-03-30,133.15,139.64,131.8,136.43,815700,0.0,0.0
2020-03-31,137.37,142.87,134.26,136.54,1167700,0.0,0.0
2020-04-01,127.09,134.5,124.14,126.14,1230400,0.0,0.0
2020-04-02,120.31,126.3,117.71,125.08,1251000,0.0,0.0
2020-04-03,124.56,127.01,118.6,120.47,1011300,0.0,0.0
2020-04-06,125.93,133.22,123.21,132.45,1047800,0.0,0.0
2020-04-07,137.6,138.89,129.1,131.82,1065900,0.0,0.0
2020-04-08,132.66,137.5,131.83,135.32,866800,0.0,0.0
2020-04-09,138.28,140.88,137.0,140.34,1125400,0.0,0.0
2020-04-13,140.69,142.79,137.07,141.9,634000,0.0,0.0
2020-04-14,148.5,157.13,147.0,149.0,1569000,0.0,0.0
2020-04-15,145.17,152.76,144.3,149.91,908400,0.0,0.0
2020-04-16,152.81,159.34,151.68,153.98,918200,0.0,0.0
2020-04-17,156.96,157.33,147.74,154.19,724000,0.0,0.0
2020-04-20,154.26,163.77,153.53,160.28,1126700,0.0,0.0
2020-04-21,159.73,162.15,147.29,152.24,756300,0.0,0.0
2020-04-22,156.36,158.59,153.18,158.33,747300,0.0,0.0
2020-04-23,156.68,161.34,155.51,158.09,713900,0.0,0.0
2020-04-24,159.12,162.69,156.5,159.94,566000,0.0,0.0
2020-04-27,164.35,164.35,159.05,160.38,646900,0.0,0.0
2020-04-28,162.13,163.16,153.95,154.75,709500,0.0,0.0
2020-04-29,157.03,162.37,154.61,159.07,677900,0.0,0.0
2020-04-30,158.73,165.64,158.7,162.13,948000,0.0,0.0
2020-05-01,154.9,159.74,154.41,155.92,575800,0.0,0.0
2020-05-04,154.68,160.51,153.61,159.95,574100,0.0,0.0
2020-05-05,162.58,170.84,161.24,167.82,915300,0.0,0.0
2020-05-06,169.05,172.98,167.88,170.61,654600,0.0,0.0
2020-05-07,173.5,179.35,172.04,175.43,693000,0.0,0.0
2020-05-08,178.5,179.14,171.24,176.49,737400,0.0,0.0
2020-05-11,178.18,189.25,176.19,187.44,1254100,0.0,0.0
2020-05-12,188.5,198.44,185.25,193.0,1705900,0.0,0.0
2020-05-13,194.47,198.0,185.66,194.11,1391700,0.0,0.0
2020-05-14,190.06,197.39,188.5,194.32,926600,0.0,0.0
2020-05-15,190.0,199.25,189.01,196.28,917400,0.0,0.0
2020-05-18,200.0,202.8,192.57,194.17,834900,0.0,0.0
2020-05-19,195.45,203.0,194.88,200.22,669400,0.0,0.0
2020-05-20,206.12,210.15,203.6,206.62,1119000,0.0,0.0
2020-05-21,208.73,212.6,203.01,208.92,1079000,0.0,0.0
2020-05-22,211.14,220.86,209.02,220.28,1206700,0.0,0.0
2020-05-26,223.29,225.84,214.02,216.46,1264200,0.0,0.0
2020-05-27,212.7,213.98,196.01,211.89,1260400,0.0,0.0
2020-05-28,214.54,223.47,212.43,215.6,944300,0.0,0.0
2020-05-29,217.77,232.86,215.5,232.11,1512200,0.0,0.0
2020-06-01,229.02,238.66,229.02,238.38,990300,0.0,0.0
2020-06-02,240.31,243.92,229.12,234.92,1326500,0.0,0.0
2020-06-03,239.64,239.64,227.65,233.96,1068800,0.0,0.0
2020-06-04,228.55,235.87,217.75,220.04,1887800,0.0,0.0
2020-06-05,201.14,208.9,190.92,197.98,3224900,0.0,0.0
2020-06-08,198.08,205.58,192.66,203.88,1663500,0.0,0.0
2020-06-09,200.45,207.04,199.65,201.7,861200,0.0,0.0
2020-06-10,204.61,210.98,202.0,208.18,971800,0.0,0.0
2020-06-11,201.91,204.61,194.0,196.84,1561600,0.0,0.0
2020-06-12,200.33,201.43,190.1,193.67,1147600,0.0,0.0
2020-06-15,189.49,202.4,188.37,201.74,1163300,0.0,0.0
2020-06-16,203.44,205.75,197.01,203.75,1175300,0.0,0.0
2020-06-17,205.47,211.0,204.75,208.18,1247800,0.0,0.0
2020-06-18,209.02,212.36,207.57,209.06,1091600,0.0,0.0
2020-06-19,209.97,210.68,204.28,205.94,1129000,0.0,0.0
2020-06-22,207.96,216.78,207.03,216.56,1312600,0.0,0.0
2020-06-23,219.6,223.83,215.13,216.79,1349700,0.0,0.0
2020-06-24,216.64,221.26,213.14,217.84,1174100,0.0,0.0
2020-06-25,217.18,224.66,213.13,224.03,921000,0.0,0.0
2020-06-26,223.39,225.63,216.51,224.51,1300400,0.0,0.0
2020-06-29,224.43,227.23,215.79,220.42,1013600,0.0,0.0
2020-06-30,221.23,226.61,218.23,226.34,789400,0.0,0.0
2020-07-01,223.02,229.91,219.0,228.78,952400,0.0,0.0
2020-07-02,222.87,232.38,222.85,225.18,1480400,0.0,0.0
2020-07-06,227.8,230.45,220.0,222.02,962300,0.0,0.0
2020-07-07,223.08,231.45,220.48,225.49,726200,0.0,0.0
2020-07-08,227.62,234.59,226.12,234.05,716800,0.0,0.0
2020-07-09,236.56,238.33,231.31,236.6,973900,0.0,0.0
2020-07-10,237.34,237.93,225.56,228.34,567400,0.0,0.0
2020-07-13,231.0,231.14,206.1,207.39,1366200,0.0,0.0
2020-07-14,207.62,212.71,200.35,209.95,945200,0.0,0.0
2020-07-15,211.6,212.97,203.2,206.96,680400,0.0,0.0
2020-07-16,203.05,206.76,199.8,204.93,529600,0.0,0.0
2020-07-17,205.65,210.86,202.06,208.97,434300,0.0,0.0
2020-07-20,210.04,223.02,210.04,222.0,812300,0.0,0.0
2020-07-21,224.0,224.28,216.88,218.39,553800,0.0,0.0
2020-07-22,219.69,222.38,214.27,216.79,386400,0.0,0.0
2020-07-23,216.68,221.22,203.63,206.54,622900,0.0,0.0
2020-07-24,203.48,210.74,198.03,204.64,443700,0.0,0.0
2020-07-27,209.9,212.15,205.64,207.0,481000,0.0,0.0
2020-07-28,207.19,207.19,201.07,201.5,523500,0.0,0.0
2020-07-29,203.95,220.88,202.37,216.3,1520300,0.0,0.0
2020-07-30,210.54,229.83,210.52,228.58,1142500,0.0,0.0
2020-07-31,232.42,232.42,221.87,229.08,563300,0.0,0.0
2020-08-03,225.57,226.07,210.49,219.62,1338600,0.0,0.0
2020-08-04,219.99,219.99,211.62,214.66,502100,0.0,0.0
2020-08-05,215.0,218.32,212.23,217.74,485400,0.0,0.0
2020-08-06,217.61,218.29,211.0,213.75,346900,0.0,0.0
2020-08-07,211.0,211.75,195.13,199.65,1378900,0.0,0.0
2020-08-10,202.01,202.01,189.26,191.8,1059000,0.0,0.0
2020-08-11,191.89,199.34,186.27,191.68,905600,0.0,0.0
2020-08-12,192.0,195.07,189.24,195.0,863800,0.0,0.0
2020-08-13,195.99,203.92,195.99,199.47,640400,0.0,0.0
2020-08-14,200.6,201.34,196.32,199.13,406500,0.0,0.0
2020-08-17,200.2,205.41,199.34,204.99,563100,0.0,0.0
2020-08-18,208.56,210.76,204.15,209.75,723400,0.0,0.0
2020-08-19,210.42,215.06,204.7,212.69,652300,0.0,0.0
2020-08-20,211.58,221.92,210.04,219.8,708900,0.0,0.0
2020-08-21,218.7,220.14,215.08,216.66,352600,0.0,0.0
2020-08-24,219.0,219.97,208.14,210.99,589200,0.0,0.0
2020-08-25,210.98,218.32,208.74,216.33,575300,0.0,0.0
2020-08-26,221.0,232.56,220.99,228.84,1066600,0.0,0.0
2020-08-27,227.84,229.82,223.16,227.21,565900,0.0,0.0
2020-08-28,229.2,233.0,225.52,225.91,732200,0.0,0.0
2020-08-31,226.5,235.25,226.29,233.8,1153200,0.0,0.0
2020-09-01,235.12,254.76,234.02,250.72,1506200,0.0,0.0
2020-09-02,255.01,258.05,238.5,239.53,1915500,0.0,0.0
2020-09-03,241.85,242.53,215.1,221.94,3097500,0.0,0.0
2020-09-04,218.97,221.9,201.32,214.51,2341100,0.0,0.0
2020-09-08,206.5,217.7,204.51,210.72,901800,0.0,0.0
2020-09-09,216.24,218.47,210.41,215.58,814300,0.0,0.0
2020-09-10,216.28,220.15,208.29,209.64,752600,0.0,0.0
2020-09-11,212.45,213.0,204.28,207.38,562700,0.0,0.0
2020-09-14,210.77,216.26,209.17,211.03,687400,0.0,0.0
