date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,55.06,55.35,54.11,54.33,7272900,0.0,0.0
2020-01-03,54.0,54.57,53.96,54.24,6791700,0.0,0.0
2020-01-06,54.39,54.48,53.85,54.15,5906400,0.0,0.0
2020-01-07,54.05,54.08,53.57,53.92,6716300,0.0,0.0
2020-01-08,54.03,54.42,53.91,54.05,5435400,0.0,0.0
2020-01-09,54.09,54.38,53.93,54.19,5653900,0.0,0.0
2020-01-10,54.47,54.48,54.14,54.25,4639000,0.0,0.0
2020-01-13,54.36,54.61,54.32,54.59,7528600,0.0,0.0
2020-01-14,54.63,54.67,54.04,54.19,5984200,0.0,0.0
2020-01-15,54.53,54.98,54.31,54.74,5681700,0.0,0.0
2020-01-16,54.83,55.34,54.79,55.19,5481700,0.0,0.0
2020-01-17,55.14,55.38,55.02,55.16,9336300,0.0,0.0
2020-01-21,54.96,55.84,54.84,55.54,9152600,0.0,0.0
2020-01-22,55.74,55.94,55.44,55.47,4505300,0.0,0.0
2020-01-23,55.35,55.65,55.1,55.44,6536600,0.0,0.0
2020-01-24,55.53,55.74,54.86,55.09,5916400,0.0,0.0
2020-01-27,54.87,55.15,54.59,54.69,5602900,0.0,0.0
2020-01-28,54.56,55.13,54.56,54.85,7426100,0.0,0.0
2020-01-29,54.88,55.0,54.5,54.56,5570500,0.0,0.0
2020-01-30,56.02,58.93,55.86,58.8,18286100,0.0,0.0
2020-01-31,58.47,59.43,57.16,57.38,14070000,0.0,0.0
2020-02-03,57.79,57.84,57.13,57.55,7686400,0.0,0.0
2020-02-04,57.91,58.0,57.32,57.43,7231700,0.0,0.0
2020-02-05,57.76,58.18,57.52,57.92,7629300,0.0,0.0
2020-02-06,57.53,58.52,57.5,58.42,5181000,0.0,0.0
2020-02-07,58.48,59.22,58.37,58.66,5942000,0.0,0.0
2020-02-10,58.47,59.11,58.4,58.97,5561900,0.0,0.0
2020-02-11,59.02,59.16,58.72,58.87,4446600,0.0,0.0
2020-02-12,59.08,59.53,58.31,58.95,7041400,0.0,0.0
2020-02-13,58.93,59.06,58.55,59.03,5872000,0.0,0.0
2020-02-14,59.17,59.73,58.85,59.68,4959000,0.0,0.0
2020-02-18,58.96,59.89,58.94,59.66,6972600,0.0,0.0
2020-02-19,59.85,59.96,59.24,59.3,5448300,0.0,0.0
2020-02-20,58.93,59.34,58.53,59.04,5008600,0.0,0.0
2020-02-21,58.85,59.2,58.65,58.75,5709000,0.0,0.0
2020-02-24,58.19,58.72,57.61,57.74,6232200,0.0,0.0
2020-02-25,57.72,58.27,56.87,57.02,7636500,0.0,0.0
2020-02-26,57.32,58.0,56.8,56.86,9745500,0.0,0.0
2020-02-27,56.54,57.22,54.42,54.46,14101000,0.0,0.0
2020-02-28,53.17,53.32,51.56,52.8,14447200,0.0,0.0
2020-03-02,52.63,55.63,52.49,55.6,12252600,0.0,0.0
2020-03-03,55.42,56.9,54.39,54.79,13008200,0.0,0.0
2020-03-04,55.62,58.13,55.49,58.01,12787200,0.0,0.0
2020-03-05,56.82,57.3,56.08,56.86,10517000,0.0,0.0
2020-03-06,54.47,55.98,54.29,55.66,9781200,0.0,0.0
2020-03-09,52.55,54.86,52.07,53.94,15615200,0.0,0.0
2020-03-10,54.99,55.49,52.33,54.91,16742300,0.0,0.0
2020-03-11,53.41,53.69,51.41,52.34,14984300,0.0,0.0
2020-03-12,49.23,50.52,46.57,47.51,15533000,0.0,0.0
2020-03-13,49.64,50.94,47.21,50.92,15074300,0.0,0.0
2020-03-16,46.41,47.39,44.74,45.1,12679500,0.0,0.0
2020-03-17,45.85,49.72,44.73,48.82,15149300,0.0,0.0
2020-03-18,45.37,48.12,43.19,46.55,15316300,0.0,0.0
2020-03-19,46.91,47.29,43.19,45.47,15194400,0.0,0.0
2020-03-20,46.06,46.21,42.85,43.32,16245900,0.0,0.0
2020-03-23,43.32,45.02,41.19,41.93,13466900,0.0,0.0
2020-03-24,44.08,47.26,42.95,46.66,12476200,0.0,0.0
2020-03-25,46.46,47.76,45.81,46.11,12419800,0.0,0.0
2020-03-26,46.11,49.24,46.0,48.9,11595300,0.0,0.0
2020-03-27,47.42,49.27,47.12,47.89,8254400,0.0,0.0
2020-03-30,48.81,51.41,48.21,51.13,8356600,0.28,0.0
2020-03-31,51.41,51.43,49.93,50.08,9248700,0.0,0.0
2020-04-01,48.38,49.9,48.0,48.68,9069100,0.0,0.0
2020-04-02,48.25,50.68,48.05,50.38,6818100,0.0,0.0
2020-04-03,50.36,51.14,49.83,50.79,7788500,0.0,0.0
2020-04-06,52.89,52.89,51.52,52.03,9426700,0.0,0.0
2020-04-07,52.93,53.25,51.4,51.8,9592400,0.0,0.0
2020-04-08,52.02,52.23,51.16,51.79,5820700,0.0,0.0
2020-04-09,51.79,53.6,51.7,52.34,7990000,0.0,0.0
2020-04-13,52.38,52.52,51.38,52.02,5398700,0.0,0.0
2020-04-14,53.06,54.61,52.63,54.51,6905100,0.0,0.0
2020-04-15,53.87,53.97,53.4,53.71,7335700,0.0,0.0
2020-04-16,53.87,54.38,53.3,53.43,7143600,0.0,0.0
2020-04-17,54.14,54.5,52.78,53.48,10669600,0.0,0.0
2020-04-20,53.08,54.45,52.87,53.49,7040800,0.0,0.0
2020-04-21,52.53,52.98,51.0,51.08,8171000,0.0,0.0
2020-04-22,51.67,52.61,51.24,52.22,5691200,0.0,0.0
2020-04-23,51.89,52.61,51.17,51.33,9781200,0.0,0.0
2020-04-24,51.43,51.63,50.95,51.41,6263000,0.0,0.0
2020-04-27,51.69,51.81,50.98,51.48,8014600,0.0,0.0
2020-04-28,52.06,52.34,50.86,51.17,8869100,0.0,0.0
2020-04-29,51.63,51.65,49.98,51.05,9774300,0.0,0.0
2020-04-30,50.53,51.6,49.74,51.44,13343100,0.0,0.0
2020-05-01,51.14,51.7,50.44,50.7,7063000,0.0,0.0
2020-05-04,50.76,50.77,49.73,50.06,6857100,0.0,0.0
2020-05-05,50.21,50.88,49.94,50.32,5221300,0.0,0.0
2020-05-06,50.76,50.99,50.09,50.14,6255700,0.0,0.0
2020-05-07,50.62,50.65,49.94,50.16,5993500,0.0,0.0
2020-05-08,50.97,51.1,50.47,50.9,5846500,0.0,0.0
2020-05-11,50.59,51.67,50.59,50.79,5329700,0.0,0.0
2020-05-12,50.86,51.22,50.4,50.4,4474500,0.0,0.0
2020-05-13,50.55,50.6,49.22,49.56,4569600,0.0,0.0
2020-05-14,49.76,49.81,48.77,49.52,5148800,0.0,0.0
2020-05-15,49.5,50.29,49.26,49.96,6039000,0.0,0.0
2020-05-18,50.74,51.44,49.71,50.97,8508100,0.0,0.0
