date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,177.68,180.01,177.14,180.0,3601700,179.05,"January 02, 20",152.16,3601700.0,2.32,1.31,0.0131
2020-01-03,177.02,178.66,175.63,178.45,2466900,177.58,"January 03, 20",150.85,2466900.0,1.43,0.80782,0.0080782
2020-01-06,177.15,178.71,176.35,178.62,1998000,177.89,"January 06, 20",150.99,1998000.0,1.47,0.82981,0.0082981
2020-01-07,178.28,178.51,176.82,177.9,2173000,177.74,"January 07, 20",150.38,2173000.0,-0.38,-0.21315,-0.0021315
2020-01-08,178.0,181.5,177.65,180.63,2758300,179.93,"January 08, 20",152.69,2758300.0,2.63,1.48,0.0148
2020-01-09,181.51,181.59,179.76,181.2,2746300,180.85,"January 09, 20",153.17,2746300.0,-0.31,-0.17079,-0.0017079
2020-01-10,181.61,182.18,180.14,180.47,2103800,180.93,"January 10, 20",152.56,2103800.0,-1.14,-0.62772,-0.0062772
2020-01-13,180.94,182.23,180.36,180.92,2090800,181.17,"January 13, 20",152.94,2090800.0,-0.02,-0.01105339,-0.0001105339
2020-01-14,180.92,182.55,180.21,181.37,2911200,181.38,"January 14, 20",153.32,2911200.0,0.45,0.24873,0.0024873
2020-01-15,181.42,181.86,179.18,179.78,2482200,180.27,"January 15, 20",151.97,2482200.0,-1.64,-0.90398,-0.0090398
2020-01-16,180.68,181.2,179.69,181.01,2149900,180.63,"January 16, 20",153.01,2149900.0,0.33,0.18264,0.0018264
2020-01-17,181.0,182.15,180.7,181.35,3690100,181.4,"January 17, 20",153.3,3690100.0,0.35,0.19337,0.0019337
2020-01-21,181.85,181.91,178.63,179.39,3367700,179.98,"January 21, 20",151.64,3367700.0,-2.46,-1.35,-0.0135
2020-01-22,179.51,180.57,177.88,178.03,2420200,178.83,"January 22, 20",150.49,2420200.0,-1.48,-0.82447,-0.0082447
2020-01-23,177.07,178.44,176.39,177.74,2358400,177.52,"January 23, 20",150.25,2358400.0,0.67,0.37838,0.0037838
2020-01-24,178.49,179.81,177.53,178.15,2643100,178.5,"January 24, 20",150.6,2643100.0,-0.34,-0.19049,-0.0019049
2020-01-27,179.86,180.59,175.54,175.63,4361400,177.25,"January 27, 20",148.46,4361400.0,-4.23,-2.35,-0.0235
