date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,31.98,32.01,31.66,31.85,3566000,0.0,0.0
2020-01-03,31.56,31.81,31.43,31.64,3482200,0.0,0.0
2020-01-06,31.5,31.76,31.5,31.69,4469200,0.0,0.0
2020-01-07,31.93,32.07,31.77,31.84,6735600,0.0,0.0
2020-01-08,31.85,32.03,31.68,31.91,6053600,0.0,0.0
2020-01-09,32.08,32.17,31.86,32.12,6613000,0.0,0.0
2020-01-10,32.34,33.1,32.25,32.67,8936400,0.0,0.0
2020-01-13,32.7,32.85,32.33,32.76,5419800,0.0,0.0
2020-01-14,32.77,32.94,32.65,32.79,5768800,0.0,0.0
2020-01-15,32.81,33.08,32.61,32.94,5894200,0.0,0.0
2020-01-16,33.08,33.58,32.99,33.55,5228800,0.0,0.0
2020-01-17,33.6,33.81,33.35,33.65,8846200,0.0,0.0
2020-01-21,33.65,33.71,33.2,33.41,4751000,0.0,0.0
2020-01-22,33.47,33.75,33.36,33.74,3979800,0.0,0.0
2020-01-23,33.67,33.97,33.58,33.88,4477000,0.0,0.0
2020-01-24,34.0,34.01,33.47,33.55,4698800,0.0,0.0
2020-01-27,33.28,33.53,33.17,33.3,4479000,0.0,0.0
2020-01-28,33.31,33.56,33.31,33.44,5429400,0.0,0.0
2020-01-29,33.37,33.46,33.13,33.28,3698600,0.0,0.0
2020-01-30,33.15,33.57,32.9,33.51,4988600,0.0,0.0
2020-01-31,33.42,33.74,33.1,33.3,6732600,0.0,0.0
2020-02-03,34.44,34.47,33.69,33.71,9039000,0.0,0.0
2020-02-04,33.81,34.72,33.81,34.44,11572000,0.0,0.0
2020-02-05,34.62,34.87,34.4,34.47,5838400,0.0,0.0
2020-02-06,34.71,34.77,34.4,34.72,8602000,0.0,0.0
2020-02-07,34.65,34.83,34.44,34.46,4785800,0.0,0.0
2020-02-10,34.41,34.74,34.41,34.58,6544800,0.0,0.0
2020-02-11,34.63,34.72,34.4,34.58,4321200,0.0,0.0
2020-02-12,34.6,34.8,34.31,34.62,3125800,0.0,0.0
2020-02-13,34.62,34.92,34.58,34.85,3890200,0.0,0.0
2020-02-14,34.84,34.97,34.7,34.93,5318600,0.0,0.0
2020-02-18,34.72,34.99,34.68,34.8,4773200,0.0,0.0
2020-02-19,34.86,35.26,34.8,35.04,6444800,0.0,0.0
2020-02-20,34.92,35.22,34.5,35.2,6650200,0.0,0.0
2020-02-21,35.01,35.1,34.72,34.87,5946600,0.0,0.0
2020-02-24,34.83,35.1,33.9,34.1,6622000,0.0,0.0
2020-02-25,34.19,34.26,33.22,33.31,5684600,0.0,0.0
2020-02-26,33.56,33.88,32.94,32.94,7001000,0.0,0.0
2020-02-27,32.87,32.97,31.72,31.87,14253000,0.0,0.0
2020-02-28,32.41,32.52,30.61,31.2,14429200,0.0,0.0
2020-03-02,31.06,32.42,30.64,32.38,9094400,0.0,0.0
2020-03-03,32.15,33.08,31.57,31.89,10584000,0.0,0.0
2020-03-04,32.51,34.07,32.26,34.03,13059800,0.0,0.0
2020-03-05,33.19,34.42,33.04,33.56,10910800,0.0,0.0
2020-03-06,32.42,33.22,32.17,33.1,12287600,0.0,0.0
2020-03-09,31.03,31.49,30.52,30.93,10937800,0.0,0.0
2020-03-10,31.75,33.1,31.45,33.06,16962000,0.0,0.0
2020-03-11,32.0,32.37,30.25,30.91,13025400,0.0,0.0
2020-03-12,29.0,30.4,28.32,28.69,15201000,0.0,0.0
2020-03-13,29.9,31.25,29.3,31.19,15497200,0.0,0.0
2020-03-16,28.1,30.43,27.39,28.72,12150400,0.0,0.0
2020-03-17,29.42,30.23,28.81,29.87,12112800,0.0,0.0
2020-03-18,28.82,28.82,25.25,27.94,12934000,0.0,0.0
2020-03-19,27.85,28.58,25.75,27.16,12526200,0.0,0.0
2020-03-20,27.52,27.92,25.03,26.05,11583400,0.0,0.0
2020-03-23,26.06,26.67,25.38,25.49,11411400,0.0,0.0
2020-03-24,26.76,27.24,25.69,26.86,15504600,0.0,0.0
