date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,86.91,87.92,86.23,87.82,8251428,87.33,"January 02, 20",77.41,8251428.0,0.91,1.05,0.0105
2020-01-03,86.53,87.85,86.36,87.07,5903698,87.1,"January 03, 20",76.75,5903698.0,0.54,0.62406,0.0062406
2020-01-06,87.05,87.54,86.82,87.44,7522963,87.27,"January 06, 20",77.08,7522963.0,0.39,0.44802,0.0044802
2020-01-07,86.64,86.95,85.04,85.11,11132275,85.7,"January 07, 20",75.03,11132275.0,-1.53,-1.77,-0.0177
2020-01-08,85.01,85.4,84.36,84.54,15200506,84.77,"January 08, 20",74.52,15200506.0,-0.47,-0.55288,-0.0055288
2020-01-09,84.88,85.93,84.71,85.29,9714750,85.31,"January 09, 20",75.18,9714750.0,0.41,0.48303,0.0048303
2020-01-10,85.61,85.98,85.35,85.43,5945304,85.59,"January 10, 20",75.3,5945304.0,-0.18,-0.21026,-0.0021026
2020-01-13,85.42,85.52,84.94,85.41,10261492,85.29,"January 13, 20",75.29,10261492.0,-0.01,-0.01170686,-0.0001170686
2020-01-14,85.18,85.81,84.8,85.81,8625669,85.47,"January 14, 20",75.64,8625669.0,0.63,0.73961,0.0073961
2020-01-15,85.97,87.41,85.96,87.35,9614038,86.91,"January 15, 20",76.99,9614038.0,1.38,1.61,0.0161
2020-01-16,87.65,87.84,86.88,87.0,7252474,87.24,"January 16, 20",76.69,7252474.0,-0.65,-0.74159,-0.0074159
2020-01-17,87.1,87.43,86.7,86.8,10131226,86.98,"January 17, 20",76.51,10131226.0,-0.3,-0.34443,-0.0034443
2020-01-21,86.56,86.8,85.6,85.85,10022129,86.08,"January 21, 20",75.67,10022129.0,-0.71,-0.82024,-0.0082024
2020-01-22,86.04,86.32,85.52,85.54,7800474,85.79,"January 22, 20",75.4,7800474.0,-0.5,-0.58113,-0.0058113
2020-01-23,85.55,85.55,84.22,84.5,13198093,84.76,"January 23, 20",74.49,13198093.0,-1.05,-1.23,-0.0123
2020-01-24,84.57,84.76,81.66,82.04,14954960,82.82,"January 24, 20",72.32,14954960.0,-2.53,-2.99,-0.0299
2020-01-27,81.2,82.55,80.83,82.16,10847534,81.84,"January 27, 20",72.42,10847534.0,0.96,1.18,0.0118
2020-01-28,82.48,82.74,81.97,82.3,9496347,82.33,"January 28, 20",72.54,9496347.0,-0.18,-0.21823,-0.0021823
2020-01-29,82.63,84.12,82.47,83.24,8511227,83.28,"January 29, 20",73.38,8511227.0,0.61,0.73823,0.0073823
2020-01-30,82.97,83.14,82.25,82.54,11016471,82.64,"January 30, 20",72.75,11016471.0,-0.43,-0.51826,-0.0051826
2020-01-31,82.42,82.7,81.11,81.53,9621583,81.78,"January 31, 20",71.86,9621583.0,-0.89,-1.08,-0.0108
2020-02-03,82.1,84.18,82.1,83.34,9729318,83.21,"February 03, 20",73.46,9729318.0,1.24,1.51,0.0151
2020-02-04,84.38,85.11,84.03,84.31,15091305,84.48,"February 04, 20",74.32,15091305.0,-0.07,-0.08295805,-0.0008295805
2020-02-05,80.8,82.77,80.15,81.9,29290133,81.61,"February 05, 20",72.19,29290133.0,1.1,1.36,0.0136
2020-02-06,82.08,82.28,81.35,81.76,16110170,81.8,"February 06, 20",72.07,16110170.0,-0.32,-0.38986,-0.0038986
2020-02-07,81.96,82.0,80.94,81.18,11419427,81.38,"February 07, 20",71.56,11419427.0,-0.78,-0.95168,-0.0095168
2020-02-10,81.18,82.04,81.05,81.74,10590983,81.61,"February 10, 20",72.05,10590983.0,0.56,0.68983,0.0068983
2020-02-11,81.93,82.06,81.06,81.35,10252689,81.49,"February 11, 20",71.7,10252689.0,-0.58,-0.70792,-0.0070792
2020-02-12,81.15,81.33,79.1,79.44,19630926,79.96,"February 12, 20",70.02,19630926.0,-1.71,-2.11,-0.0211
2020-02-13,79.13,79.13,77.72,78.22,19388734,78.36,"February 13, 20",68.94,19388734.0,-0.91,-1.15,-0.0115
2020-02-14,78.46,79.01,77.93,78.86,8743464,78.6,"February 14, 20",69.52,8743464.0,0.4,0.50981,0.0050981
2020-02-18,79.08,79.3,78.49,78.68,10017308,78.83,"February 18, 20",69.36,10017308.0,-0.4,-0.50582,-0.0050582
