date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,27.0,27.39,26.82,27.38,6503200,0.0,0.0
2020-01-03,26.61,27.06,26.47,26.67,9732300,0.0,0.0
2020-01-06,26.29,26.3,25.59,25.68,10432100,0.0,0.0
2020-01-07,25.87,26.39,25.79,26.25,7493800,0.0,0.0
2020-01-08,26.24,26.43,25.91,26.05,7860800,0.0,0.0
2020-01-09,26.47,26.47,25.87,26.1,8521300,0.0,0.0
2020-01-10,26.2,26.6,26.04,26.5,7200900,0.0,0.0
2020-01-13,26.73,27.54,26.65,27.52,11619100,0.0,0.0
2020-01-14,27.61,27.92,27.31,27.51,11438200,0.0,0.0
2020-01-15,27.35,27.39,26.62,26.72,11387900,0.0,0.0
2020-01-16,27.12,28.36,27.08,28.25,23666400,0.0,0.0
2020-01-17,28.5,28.86,28.24,28.49,11551200,0.0,0.0
2020-01-21,28.19,28.3,27.23,27.51,16252500,0.0,0.0
2020-01-22,27.68,28.14,27.61,27.78,7084300,0.0,0.0
2020-01-23,27.81,28.04,27.39,28.02,6735100,0.0,0.0
2020-01-24,28.31,28.34,26.96,27.31,7317200,0.0,0.0
2020-01-27,26.26,26.41,25.84,25.87,8398100,0.0,0.0
2020-01-28,26.19,26.6,26.06,26.33,6130600,0.0,0.0
2020-01-29,26.11,26.19,25.04,25.09,17658200,0.0,0.0
2020-01-30,24.92,25.22,24.17,24.8,17019000,0.0,0.0
2020-01-31,24.79,24.79,23.91,24.04,10871000,0.0,0.0
2020-02-03,24.31,24.5,24.11,24.21,9256100,0.0,0.0
2020-02-04,24.85,25.18,24.51,24.76,10544100,0.0,0.0
2020-02-05,25.33,26.05,25.02,25.84,10777700,0.0,0.0
2020-02-06,25.9,26.0,25.47,25.75,4263900,0.0,0.0
2020-02-07,24.23,24.46,23.86,24.02,20910400,0.0,0.0
2020-02-10,23.78,24.15,23.46,24.15,13403400,0.0,0.0
2020-02-11,24.61,25.78,24.59,25.5,19616800,0.0,0.0
2020-02-12,25.64,25.79,25.25,25.48,9362400,0.0,0.0
2020-02-13,25.12,25.52,24.78,25.22,6782600,0.0,0.0
2020-02-14,25.35,25.49,24.75,25.12,5264500,0.0,0.0
2020-02-18,24.71,24.97,24.56,24.79,6081400,0.0,0.0
2020-02-19,25.14,25.52,25.03,25.21,6274800,0.0,0.0
2020-02-20,25.16,25.49,24.74,25.13,5778000,0.0,0.0
2020-02-21,24.97,24.98,24.23,24.43,6709900,0.0,0.0
2020-02-24,22.93,23.42,22.47,22.96,13623000,0.0,0.0
2020-02-25,23.36,23.45,22.55,22.65,12658300,0.0,0.0
2020-02-26,22.82,23.35,22.18,22.36,11222100,0.0,0.0
2020-02-27,21.61,21.71,20.54,20.55,20046800,0.0,0.0
2020-02-28,19.59,21.34,19.5,21.3,23321800,0.0,0.0
2020-03-02,21.6,22.0,20.79,21.96,13312400,0.0,0.0
2020-03-03,22.12,22.72,21.26,21.3,12016700,0.0,0.0
2020-03-04,21.78,22.6,21.72,22.59,10687000,0.0,0.0
2020-03-05,24.45,25.8,24.33,24.93,30864700,0.0,0.0
2020-03-06,24.51,24.67,23.28,24.09,14684700,0.0,0.0
2020-03-09,22.15,23.52,22.0,22.22,13199100,0.0,0.0
2020-03-10,23.12,23.22,22.25,23.21,14173500,0.0,0.0
