date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,158.78,160.73,158.33,160.62,22622100,159.89,"January 02, 20",154.49,22622100.0,1.84,1.16,0.0116
2020-01-03,158.32,159.95,158.06,158.62,21116200,158.88,"January 03, 20",152.57,21116200.0,0.3,0.18949,0.0018949
2020-01-06,157.08,159.1,156.51,159.03,20813700,158.21,"January 06, 20",152.96,20813700.0,1.95,1.24,0.0124
2020-01-07,159.32,159.67,157.32,157.58,21634100,158.19,"January 07, 20",151.57,21634100.0,-1.74,-1.09,-0.0109
2020-01-08,158.93,160.8,157.95,160.09,27746500,159.61,"January 08, 20",153.98,27746500.0,1.16,0.72988,0.0072988
2020-01-09,161.84,162.22,161.03,162.09,21385000,161.78,"January 09, 20",155.91,21385000.0,0.25,0.15447,0.0015447
2020-01-10,162.82,163.22,161.18,161.34,20725900,161.91,"January 10, 20",155.19,20725900.0,-1.48,-0.90898,-0.0090898
2020-01-13,161.76,163.31,161.26,163.28,21626500,162.62,"January 13, 20",157.05,21626500.0,1.52,0.93966,0.0093966
2020-01-14,163.39,163.6,161.72,162.13,23477400,162.48,"January 14, 20",155.95,23477400.0,-1.26,-0.77116,-0.0077116
2020-01-15,162.62,163.94,162.57,163.18,21417900,163.23,"January 15, 20",156.96,21417900.0,0.56,0.34436,0.0034436
2020-01-16,164.35,166.24,164.03,166.17,23865400,165.48,"January 16, 20",159.83,23865400.0,1.82,1.11,0.0111
2020-01-17,167.42,167.47,165.43,167.1,34371700,166.67,"January 17, 20",160.73,34371700.0,-0.32,-0.19114,-0.0019114
2020-01-21,166.68,168.19,166.43,166.5,29517200,167.04,"January 21, 20",160.15,29517200.0,-0.18,-0.10799,-0.0010799
2020-01-22,167.4,167.49,165.68,165.7,24138800,166.29,"January 22, 20",159.38,24138800.0,-1.7,-1.02,-0.0102
2020-01-23,166.19,166.8,165.27,166.72,19680800,166.26,"January 23, 20",160.36,19680800.0,0.53,0.31891,0.0031891
2020-01-24,167.51,167.53,164.45,165.04,24918100,165.67,"January 24, 20",158.75,24918100.0,-2.47,-1.47,-0.0147
2020-01-27,161.15,163.38,160.2,162.28,32078100,161.95,"January 27, 20",156.09,32078100.0,1.13,0.70121,0.0070121
2020-01-28,163.78,165.76,163.07,165.46,24899900,164.76,"January 28, 20",159.15,24899900.0,1.68,1.03,0.0103
2020-01-29,167.84,168.75,165.69,168.04,34754500,167.49,"January 29, 20",161.63,34754500.0,0.2,0.11916,0.0011916
2020-01-30,174.05,174.05,170.79,172.78,51597500,172.54,"January 30, 20",166.19,51597500.0,-1.27,-0.72968,-0.0072968
2020-01-31,172.21,172.4,169.58,170.23,36142700,170.74,"January 31, 20",163.74,36142700.0,-1.98,-1.15,-0.0115
2020-02-03,170.43,174.5,170.4,174.38,30107000,173.09,"February 03, 20",167.73,30107000.0,3.95,2.32,0.0232
2020-02-04,177.14,180.64,176.31,180.12,36433300,179.02,"February 04, 20",173.25,36433300.0,2.98,1.68,0.0168
2020-02-05,184.03,184.2,178.41,179.9,39186300,180.84,"February 05, 20",173.04,39186300.0,-4.13,-2.24,-0.0224
2020-02-06,180.97,183.82,180.06,183.63,27751400,182.5,"February 06, 20",176.63,27751400.0,2.66,1.47,0.0147
2020-02-07,182.85,185.63,182.48,183.89,33529100,184.0,"February 07, 20",176.88,33529100.0,1.04,0.56877,0.0056877
2020-02-10,183.58,188.84,183.25,188.7,35844300,186.93,"February 10, 20",181.5,35844300.0,5.12,2.79,0.0279
2020-02-11,190.65,190.7,183.5,184.44,53159900,186.21,"February 11, 20",177.41,53159900.0,-6.21,-3.26,-0.0326
2020-02-12,185.58,185.85,181.85,184.71,47062900,184.14,"February 12, 20",177.67,47062900.0,-0.87,-0.4688,-0.004688
2020-02-13,183.08,186.23,182.87,183.71,35295800,184.27,"February 13, 20",176.7,35295800.0,0.63,0.34411,0.0034411
2020-02-14,183.25,185.41,182.65,185.35,23149500,184.47,"February 14, 20",178.28,23149500.0,2.1,1.15,0.0115
2020-02-18,185.61,187.7,185.5,187.23,27792200,186.81,"February 18, 20",180.09,27792200.0,1.62,0.8728,0.008728
2020-02-19,188.06,188.18,186.47,187.28,29997500,187.31,"February 19, 20",180.63,29997500.0,-0.78,-0.41476,-0.0041476
2020-02-20,186.95,187.25,181.1,184.42,36862400,184.26,"February 20, 20",177.87,36862400.0,-2.53,-1.35,-0.0135
2020-02-21,183.17,183.5,177.25,178.59,48572600,179.78,"February 21, 20",172.25,48572600.0,-4.58,-2.5,-0.025
2020-02-24,167.77,174.55,163.23,170.89,68311100,169.56,"February 24, 20",164.82,68311100.0,3.12,1.86,0.0186
2020-02-25,174.2,174.84,167.65,168.07,68073300,170.19,"February 25, 20",162.1,68073300.0,-6.13,-3.52,-0.0352
2020-02-26,169.71,173.26,168.21,170.17,56206100,170.55,"February 26, 20",164.13,56206100.0,0.46,0.27105,0.0027105
2020-02-27,163.32,167.03,157.98,158.18,93174900,161.06,"February 27, 20",152.56,93174900.0,-5.14,-3.15,-0.0315
2020-02-28,152.41,163.71,152.0,162.01,97012700,159.24,"February 28, 20",156.26,97012700.0,9.6,6.3,0.063
2020-03-02,165.31,172.92,162.31,172.79,71030800,169.34,"March 02, 20",166.65,71030800.0,7.48,4.52,0.0452
2020-03-03,173.8,175.0,162.26,164.51,71677000,167.26,"March 03, 20",158.67,71677000.0,-9.29,-5.35,-0.0535
2020-03-04,168.49,170.7,165.62,170.55,49814400,168.96,"March 04, 20",164.49,49814400.0,2.06,1.22,0.0122
2020-03-05,166.05,170.87,165.69,166.27,47817300,167.61,"March 05, 20",160.37,47817300.0,0.22,0.13249,0.0013249
2020-03-06,162.61,163.11,156.0,161.57,72821100,160.23,"March 06, 20",155.83,72821100.0,-1.04,-0.63957,-0.0063957
2020-03-09,151.0,157.75,150.0,150.62,70419300,152.79,"March 09, 20",145.27,70419300.0,-0.38,-0.25166,-0.0025166
2020-03-10,158.16,161.03,152.58,160.92,65354400,158.18,"March 10, 20",155.21,65354400.0,2.76,1.75,0.0175
2020-03-11,157.13,157.7,151.15,153.63,56371600,154.16,"March 11, 20",148.17,56371600.0,-3.5,-2.23,-0.0223
2020-03-12,145.3,153.47,138.58,139.06,93226400,143.7,"March 12, 20",134.12,93226400.0,-6.24,-4.29,-0.0429
2020-03-13,147.5,161.91,140.73,158.83,92727400,153.82,"March 13, 20",153.19,92727400.0,11.33,7.68,0.0768
2020-03-16,140.0,149.35,135.0,135.42,87905900,139.92,"March 16, 20",130.61,87905900.0,-4.58,-3.27,-0.0327
2020-03-17,140.0,147.5,135.0,146.57,81059800,143.02,"March 17, 20",141.36,81059800.0,6.57,4.69,0.0469
2020-03-18,138.0,146.0,135.02,140.4,81593200,140.47,"March 18, 20",135.41,81593200.0,2.4,1.74,0.0174
2020-03-19,142.77,150.15,139.0,142.71,85922700,143.95,"March 19, 20",137.64,85922700.0,-0.06,-0.04202564,-0.0004202564
2020-03-20,146.0,147.1,135.86,137.35,84866200,140.1,"March 20, 20",132.47,84866200.0,-8.65,-5.92,-0.0592
2020-03-23,137.01,140.57,132.52,135.98,78975200,136.36,"March 23, 20",131.15,78975200.0,-1.03,-0.75177,-0.0075177
2020-03-24,143.75,149.6,141.27,148.34,82516700,146.4,"March 24, 20",143.07,82516700.0,4.59,3.19,0.0319
2020-03-25,148.91,154.33,144.44,146.92,75638200,148.56,"March 25, 20",141.7,75638200.0,-1.99,-1.34,-0.0134
2020-03-26,148.4,156.66,148.37,156.11,64568100,153.71,"March 26, 20",150.57,64568100.0,7.71,5.2,0.052
2020-03-27,151.75,154.89,149.2,149.7,57042300,151.26,"March 27, 20",144.38,57042300.0,-2.05,-1.35,-0.0135
2020-03-30,152.44,160.6,150.01,160.23,63420300,156.95,"March 30, 20",154.54,63420300.0,7.79,5.11,0.0511
2020-03-31,159.4,164.78,156.56,157.71,77927200,159.68,"March 31, 20",152.11,77927200.0,-1.69,-1.06,-0.0106
2020-04-01,153.0,157.75,150.82,152.11,57969900,153.56,"April 01, 20",146.71,57969900.0,-0.89,-0.5817,-0.005817
2020-04-02,151.86,155.48,150.36,155.26,49630700,153.7,"April 02, 20",149.75,49630700.0,3.4,2.24,0.0224
2020-04-03,155.1,157.38,152.19,153.83,41243300,154.47,"April 03, 20",148.37,41243300.0,-1.27,-0.81883,-0.0081883
2020-04-06,160.32,166.5,157.58,165.27,67111700,163.12,"April 06, 20",159.4,67111700.0,4.95,3.09,0.0309
2020-04-07,169.59,170.0,163.26,163.49,62769000,165.58,"April 07, 20",157.68,62769000.0,-6.1,-3.6,-0.036
