date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,101.36,102.21,101.02,102.2,5644100,101.81,"January 02, 20",98.14,5644100.0,0.84,0.82873,0.0082873
2020-01-03,100.59,102.0,100.31,101.92,4541800,101.41,"January 03, 20",97.87,4541800.0,1.33,1.32,0.0132
2020-01-06,100.95,101.84,100.87,101.83,4612400,101.51,"January 06, 20",97.79,4612400.0,0.88,0.87172,0.0087172
2020-01-07,101.81,102.74,100.81,101.78,6719900,101.78,"January 07, 20",97.74,6719900.0,-0.03,-0.02946665,-0.0002946665
2020-01-08,101.31,102.14,100.85,101.55,4942200,101.51,"January 08, 20",97.52,4942200.0,0.24,0.2369,0.002369
2020-01-09,101.94,102.41,101.39,101.48,5007500,101.76,"January 09, 20",97.45,5007500.0,-0.46,-0.45125,-0.0045125
2020-01-10,101.89,101.93,100.76,100.9,5135300,101.2,"January 10, 20",96.89,5135300.0,-0.99,-0.97164,-0.0097164
2020-01-13,101.0,102.34,100.82,102.16,6722400,101.77,"January 13, 20",98.1,6722400.0,1.16,1.15,0.0115
2020-01-14,102.45,103.89,102.35,102.92,5088500,103.05,"January 14, 20",98.83,5088500.0,0.47,0.45876,0.0045876
2020-01-15,103.25,103.7,102.48,102.79,4209200,102.99,"January 15, 20",98.71,4209200.0,-0.46,-0.44552,-0.0044552
2020-01-16,102.88,103.57,102.85,103.37,6571700,103.26,"January 16, 20",99.27,6571700.0,0.49,0.47628,0.0047628
2020-01-17,103.43,104.55,103.34,104.53,6271200,104.14,"January 17, 20",100.38,6271200.0,1.1,1.06,0.0106
2020-01-21,104.25,104.69,103.81,104.58,4854700,104.36,"January 21, 20",100.43,4854700.0,0.33,0.31655,0.0031655
2020-01-22,105.0,105.62,104.42,104.49,5031400,104.84,"January 22, 20",100.34,5031400.0,-0.51,-0.48571,-0.0048571
2020-01-23,104.03,104.37,102.62,103.02,7102900,103.34,"January 23, 20",98.93,7102900.0,-1.01,-0.97087,-0.0097087
2020-01-24,103.59,103.89,101.66,102.03,3839300,102.53,"January 24, 20",97.98,3839300.0,-1.56,-1.51,-0.0151
2020-01-27,98.21,100.71,98.01,100.24,9841400,99.65,"January 27, 20",96.26,9841400.0,2.03,2.07,0.0207
2020-01-28,100.34,101.05,99.52,100.41,5673200,100.33,"January 28, 20",96.42,5673200.0,0.07,0.06976281,0.0006976281
2020-01-29,101.07,101.3,99.17,99.84,4503700,100.1,"January 29, 20",95.88,4503700.0,-1.23,-1.22,-0.0122
2020-01-30,99.02,99.75,97.37,98.19,7065100,98.44,"January 30, 20",94.29,7065100.0,-0.83,-0.83821,-0.0083821
2020-01-31,98.11,98.45,95.92,96.3,8780300,96.89,"January 31, 20",92.48,8780300.0,-1.81,-1.84,-0.0184
2020-02-03,99.0,100.92,98.57,99.27,9727000,99.59,"February 03, 20",95.33,9727000.0,0.27,0.27273,0.0027273
2020-02-04,101.91,102.78,101.26,101.38,6559600,101.81,"February 04, 20",97.36,6559600.0,-0.53,-0.52007,-0.0052007
2020-02-05,101.76,101.97,99.53,100.54,6108300,100.68,"February 05, 20",96.55,6108300.0,-1.22,-1.2,-0.012
2020-02-06,100.9,101.53,100.16,100.27,5641800,100.65,"February 06, 20",96.29,5641800.0,-0.63,-0.62438,-0.0062438
2020-02-07,99.81,100.4,98.97,99.44,4121800,99.6,"February 07, 20",95.49,4121800.0,-0.37,-0.3707,-0.003707
2020-02-10,99.22,100.51,99.0,100.02,4213900,99.84,"February 10, 20",96.05,4213900.0,0.8,0.80629,0.0080629
2020-02-11,100.07,100.35,99.44,100.02,4871800,99.94,"February 11, 20",96.05,4871800.0,-0.05,-0.04996502,-0.0004996502
2020-02-12,100.74,103.08,100.44,103.0,8075600,102.17,"February 12, 20",98.91,8075600.0,2.26,2.24,0.0224
2020-02-13,102.51,103.74,101.68,103.37,5386800,102.93,"February 13, 20",99.27,5386800.0,0.86,0.83894,0.0083894
2020-02-14,103.53,103.89,102.45,103.54,4305300,103.29,"February 14, 20",99.43,4305300.0,0.01,0.00965904,9.65904e-05
2020-02-18,103.0,103.38,101.61,102.0,4916200,102.33,"February 18, 20",97.95,4916200.0,-1.0,-0.97087,-0.0097087
2020-02-19,102.66,103.39,102.43,102.46,6200500,102.76,"February 19, 20",98.39,6200500.0,-0.2,-0.19482,-0.0019482
2020-02-20,102.46,102.63,100.55,102.53,6427600,101.9,"February 20, 20",98.46,6427600.0,0.07,0.06831934,0.0006831934
2020-02-21,102.0,102.08,99.63,100.25,5750900,100.65,"February 21, 20",96.27,5750900.0,-1.75,-1.72,-0.0172
2020-02-24,95.54,97.07,95.25,95.91,8364200,96.08,"February 24, 20",92.1,8364200.0,0.37,0.38727,0.0038727
2020-02-25,96.35,96.76,92.62,92.9,9602100,94.09,"February 25, 20",89.21,9602100.0,-3.45,-3.58,-0.0358
2020-02-26,93.08,94.65,91.99,92.0,9308400,92.88,"February 26, 20",88.35,9308400.0,-1.08,-1.16,-0.0116
2020-02-27,90.0,93.06,88.5,88.55,12825700,90.04,"February 27, 20",85.03,12825700.0,-1.45,-1.61,-0.0161
2020-02-28,86.03,89.47,85.15,89.38,16552400,88.0,"February 28, 20",86.07,16552400.0,3.35,3.89,0.0389
2020-03-02,89.6,93.14,87.91,92.68,14102000,91.24,"March 02, 20",89.25,14102000.0,3.08,3.44,0.0344
2020-03-03,92.74,94.98,90.57,90.93,14767600,92.16,"March 03, 20",87.56,14767600.0,-1.81,-1.95,-0.0195
2020-03-04,92.08,93.82,90.84,93.79,6904400,92.82,"March 04, 20",90.32,6904400.0,1.71,1.86,0.0186
2020-03-05,91.26,91.68,89.94,90.58,8851100,90.73,"March 05, 20",87.23,8851100.0,-0.68,-0.74512,-0.0074512
2020-03-06,88.36,89.39,85.88,88.36,12336400,87.88,"March 06, 20",85.09,12336400.0,0.0,0.0,0.0
2020-03-09,81.89,86.74,80.92,84.11,13272700,83.92,"March 09, 20",81.0,13272700.0,2.22,2.71,0.0271
2020-03-10,86.69,88.4,82.88,88.3,12755900,86.53,"March 10, 20",85.03,12755900.0,1.61,1.86,0.0186
2020-03-11,84.0,84.63,82.07,84.0,16172000,83.57,"March 11, 20",80.89,16172000.0,0.0,0.0,0.0
2020-03-12,78.23,78.49,73.0,74.2,21534800,75.23,"March 12, 20",71.45,21534800.0,-4.03,-5.15,-0.0515
2020-03-13,78.2,78.2,71.76,75.58,21859600,75.18,"March 13, 20",72.78,21859600.0,-2.62,-3.35,-0.0335
2020-03-16,65.28,72.97,63.37,66.79,17976700,67.71,"March 16, 20",64.32,17976700.0,1.51,2.31,0.0231
2020-03-17,67.51,73.33,62.4,69.84,17122100,68.52,"March 17, 20",67.25,17122100.0,2.33,3.45,0.0345
2020-03-18,64.79,68.33,60.0,68.04,19498800,65.46,"March 18, 20",65.52,19498800.0,3.25,5.02,0.0502
2020-03-19,67.04,72.71,64.15,70.34,16177200,69.07,"March 19, 20",67.74,16177200.0,3.3,4.92,0.0492
2020-03-20,71.51,74.06,67.2,67.45,15761900,69.57,"March 20, 20",64.95,15761900.0,-4.06,-5.68,-0.0568
2020-03-23,65.0,66.88,60.58,62.8,17690000,63.42,"March 23, 20",60.47,17690000.0,-2.2,-3.38,-0.0338
2020-03-24,65.7,72.66,64.0,72.33,18849500,69.66,"March 24, 20",69.65,18849500.0,6.63,10.09,0.1009
2020-03-25,80.11,83.49,76.2,79.01,27053200,79.57,"March 25, 20",76.08,27053200.0,-1.1,-1.37,-0.0137
2020-03-26,80.17,86.86,80.01,84.3,17200800,83.72,"March 26, 20",81.18,17200800.0,4.13,5.15,0.0515
2020-03-27,81.7,85.74,79.51,83.23,14183400,82.83,"March 27, 20",80.15,14183400.0,1.53,1.87,0.0187
2020-03-30,84.0,85.96,81.5,85.38,10960100,84.28,"March 30, 20",82.22,10960100.0,1.38,1.64,0.0164
2020-03-31,85.13,85.73,82.4,82.74,9610100,83.62,"March 31, 20",79.68,9610100.0,-2.39,-2.81,-0.0281
2020-04-01,79.49,81.18,78.53,79.23,9771300,79.65,"April 01, 20",76.3,9771300.0,-0.26,-0.32709,-0.0032709
2020-04-02,79.0,81.6,77.16,80.14,12731300,79.63,"April 02, 20",77.17,12731300.0,1.14,1.44,0.0144
2020-04-03,79.36,79.79,77.91,78.86,8476900,78.85,"April 03, 20",75.94,8476900.0,-0.5,-0.63004,-0.0063004
2020-04-06,81.91,85.04,81.21,84.63,11266500,83.63,"April 06, 20",81.5,11266500.0,2.72,3.32,0.0332
2020-04-07,88.7,88.87,84.03,84.16,10468100,85.69,"April 07, 20",81.04,10468100.0,-4.54,-5.12,-0.0512
2020-04-08,84.7,85.77,83.61,85.3,6642700,84.89,"April 08, 20",82.14,6642700.0,0.6,0.70838,0.0070838
2020-04-09,86.69,87.39,85.16,86.79,7773600,86.45,"April 09, 20",83.58,7773600.0,0.1,0.11535,0.0011535
2020-04-13,85.8,85.99,84.14,84.46,5077600,84.86,"April 13, 20",81.33,5077600.0,-1.34,-1.56,-0.0156
2020-04-14,85.95,87.77,85.48,87.47,6397200,86.91,"April 14, 20",84.23,6397200.0,1.52,1.77,0.0177
2020-04-15,84.87,85.88,83.71,85.04,8053900,84.88,"April 15, 20",81.89,8053900.0,0.17,0.20031,0.0020031
2020-04-16,85.43,86.53,84.55,86.3,9373800,85.79,"April 16, 20",83.1,9373800.0,0.87,1.02,0.0102
2020-04-17,89.0,90.25,88.36,89.91,8111400,89.51,"April 17, 20",86.58,8111400.0,0.91,1.02,0.0102
2020-04-20,88.43,89.44,87.52,87.9,7244400,88.29,"April 20, 20",84.64,7244400.0,-0.53,-0.59934,-0.0059934
2020-04-21,85.99,86.9,85.09,85.2,6597000,85.73,"April 21, 20",82.04,6597000.0,-0.79,-0.91871,-0.0091871
2020-04-22,86.98,89.44,86.42,88.77,6463000,88.21,"April 22, 20",85.48,6463000.0,1.79,2.06,0.0206
2020-04-23,88.94,89.53,87.26,87.35,5343500,88.05,"April 23, 20",84.12,5343500.0,-1.59,-1.79,-0.0179
2020-04-24,88.89,89.12,87.65,88.37,4450100,88.38,"April 24, 20",85.1,4450100.0,-0.52,-0.58499,-0.0058499
2020-04-27,88.38,89.87,87.31,89.37,6875100,88.85,"April 27, 20",86.06,6875100.0,0.99,1.12,0.0112
2020-04-28,90.55,90.71,88.63,88.8,5145400,89.38,"April 28, 20",85.51,5145400.0,-1.75,-1.93,-0.0193
2020-04-29,90.0,91.39,87.83,88.07,9461400,89.1,"April 29, 20",84.81,9461400.0,-1.93,-2.14,-0.0214
2020-04-30,87.0,88.0,86.51,87.18,9371400,87.23,"April 30, 20",83.95,9371400.0,0.18,0.2069,0.002069
