date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,59.69,59.98,59.18,59.98,23753600,0.0,0.0
2020-01-03,58.78,59.46,58.53,59.02,20538400,0.0,0.0
2020-01-06,58.08,59.32,57.82,59.26,26263600,0.0,0.0
2020-01-07,59.55,60.44,59.1,59.98,31485600,0.0,0.0
2020-01-08,59.94,60.51,59.54,60.1,27710800,0.0,0.0
2020-01-09,60.96,61.48,60.22,60.76,25511200,0.0,0.0
2020-01-10,61.83,62.14,60.94,61.08,31629600,0.0,0.0
2020-01-13,61.92,63.25,61.69,62.99,31984000,0.0,0.0
2020-01-14,62.56,62.82,61.69,61.82,35908800,0.0,0.0
2020-01-15,61.95,62.17,61.13,61.39,26310400,0.0,0.0
2020-01-16,61.93,62.29,61.69,62.23,28419200,0.0,0.0
2020-01-17,62.42,62.5,61.84,62.32,25379200,0.0,0.0
2020-01-21,61.95,62.32,61.64,61.99,21791600,0.0,0.0
2020-01-22,62.44,63.4,62.25,62.53,23924000,0.0,0.0
2020-01-23,62.93,63.3,62.04,63.22,24451600,0.0,0.0
2020-01-24,64.38,64.88,62.08,62.62,37351200,0.0,0.0
2020-01-27,59.56,60.56,58.06,60.05,47053600,0.0,0.0
2020-01-28,60.71,62.32,60.18,61.99,31097600,0.0,0.0
2020-01-29,61.85,62.21,60.99,61.38,25884800,0.0,0.0
2020-01-30,60.4,61.59,59.85,61.45,29050400,0.0,0.0
2020-01-31,60.99,61.11,58.69,59.11,37042000,0.0,0.0
2020-02-03,58.92,60.28,58.86,60.08,25556400,0.0,0.0
2020-02-04,61.51,61.97,61.01,61.78,27154400,0.0,0.0
2020-02-05,63.0,63.1,61.85,62.69,20822000,0.0,0.0
2020-02-06,63.03,63.56,62.22,63.56,21828400,0.0,0.0
2020-02-07,63.16,63.38,62.64,62.9,18975200,0.0,0.0
2020-02-10,63.12,65.75,63.08,65.74,52960800,0.0,0.0
2020-02-11,66.83,68.12,66.21,66.97,63855600,0.0,0.0
2020-02-12,67.5,68.2,67.11,68.14,37464400,0.0,0.0
2020-02-13,67.55,68.37,67.28,67.69,52801600,0.0,0.0
2020-02-14,71.82,73.74,71.5,72.45,104192400,0.0,0.0
2020-02-18,71.41,74.33,71.21,74.14,62016400,0.0,0.0
2020-02-19,75.37,78.85,75.37,78.68,69433200,0.0,0.0
2020-02-20,78.19,79.08,74.09,77.18,81005200,0.0,0.0
2020-02-21,76.05,76.3,72.67,73.52,76818000,0.0,0.0
2020-02-24,67.55,70.47,67.0,68.32,85691600,0.0,0.0
2020-02-25,69.07,69.7,64.49,65.51,105549600,0.0,0.0
2020-02-26,65.51,68.86,65.5,66.91,74773200,0.0,0.0
2020-02-27,63.72,66.75,62.22,63.15,90641600,0.04,0.0
2020-02-28,60.62,68.11,60.45,67.52,113325200,0.0,0.0
2020-03-02,69.22,69.4,65.25,69.11,89074400,0.0,0.0
2020-03-03,69.67,70.27,65.61,66.47,65279200,0.0,0.0
2020-03-04,67.55,71.22,66.8,71.13,59740800,0.0,0.0
