date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,126.84,128.03,125.79,128.02,979500,0.0,0.0
2020-01-03,126.9,127.19,125.85,126.49,930000,0.0,0.0
2020-01-06,125.8,126.05,124.05,125.49,967350,0.0,0.0
2020-01-07,125.63,126.25,125.13,125.85,710700,0.0,0.0
2020-01-08,126.13,127.24,125.65,126.45,655350,0.0,0.0
2020-01-09,127.19,129.45,126.67,129.35,908100,0.0,0.0
2020-01-10,129.83,131.99,129.22,131.31,1151100,0.0,0.0
2020-01-13,131.34,133.83,131.03,133.74,1137150,0.0,0.0
2020-01-14,133.55,136.93,133.55,136.0,1089750,0.0,0.0
2020-01-15,135.81,137.64,135.73,137.38,684000,0.0,0.0
2020-01-16,138.27,139.49,137.91,139.33,720450,0.0,0.0
2020-01-17,137.96,140.12,137.33,138.96,730200,0.0,0.0
2020-01-21,138.67,139.47,136.79,136.95,736200,0.0,0.0
2020-01-22,137.69,137.83,135.06,135.2,603150,0.0,0.0
2020-01-23,135.01,137.14,133.98,136.91,625800,0.0,0.0
2020-01-24,137.2,138.03,135.16,136.31,426900,0.0,0.0
2020-01-27,133.51,135.34,132.66,133.79,669000,0.0,0.0
2020-01-28,134.38,134.96,133.38,134.25,483750,0.0,0.0
2020-01-29,134.29,137.1,134.29,135.28,439800,0.0,0.0
2020-01-30,133.76,136.45,133.37,135.74,561150,0.0,0.0
2020-01-31,134.89,135.59,130.43,130.82,855600,0.0,0.0
2020-02-03,131.75,133.69,130.83,132.57,652200,0.0,0.0
2020-02-04,134.4,136.49,134.4,136.22,631800,0.0,0.0
2020-02-05,137.02,138.15,136.66,137.97,739350,0.0,0.0
2020-02-06,137.93,146.55,137.05,145.23,1214700,0.0,0.0
2020-02-07,146.51,147.53,144.56,147.06,827550,0.0,0.0
2020-02-10,146.69,147.65,145.66,146.81,622350,0.0,0.0
2020-02-11,147.26,147.51,145.15,146.29,536700,0.0,0.0
2020-02-12,146.7,149.17,145.81,148.58,394950,0.0,0.0
2020-02-13,147.89,149.17,147.83,148.65,315750,0.0,0.0
2020-02-14,149.09,149.09,147.53,147.94,322650,0.0,0.0
