date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,24.75,25.08,24.4,25.06,5651000,0.0,0.0
2020-01-03,24.48,25.0,24.23,24.69,4412700,0.0,0.0
2020-01-06,24.25,24.38,23.99,24.07,8584400,0.0,0.0
2020-01-07,24.49,25.15,24.39,24.66,10547700,0.0,0.0
2020-01-08,24.67,25.22,24.67,24.82,6660900,0.0,0.0
2020-01-09,25.13,25.19,24.56,24.86,4118200,0.0,0.0
2020-01-10,24.86,25.02,24.55,24.58,4065500,0.0,0.0
2020-01-13,24.76,25.34,24.76,25.32,5471600,0.0,0.0
2020-01-14,25.3,25.92,25.23,25.62,9293200,0.0,0.0
2020-01-15,25.45,25.45,24.75,24.88,7302600,0.0,0.0
2020-01-16,25.1,25.17,24.79,25.03,5712600,0.0,0.0
2020-01-17,25.08,25.18,24.81,25.0,5149000,0.0,0.0
2020-01-21,24.83,25.09,24.75,24.79,4599100,0.0,0.0
2020-01-22,25.07,25.28,24.79,24.8,3520900,0.0,0.0
2020-01-23,24.77,25.52,24.6,25.47,5935900,0.0,0.0
2020-01-24,25.76,25.83,24.72,24.99,5426000,0.0,0.0
2020-01-27,24.05,24.09,23.57,23.66,7666000,0.0,0.0
2020-01-28,24.05,24.31,23.71,24.17,5615000,0.0,0.0
2020-01-29,24.26,24.31,23.84,23.88,5717900,0.0,0.0
2020-01-30,23.59,23.99,23.21,23.94,8514100,0.0,0.0
2020-01-31,23.69,23.76,22.95,23.15,7994700,0.0,0.0
2020-02-03,21.45,21.82,19.85,19.91,34726900,0.0,0.0
2020-02-04,19.96,20.14,19.28,19.82,22432000,0.0,0.0
2020-02-05,20.36,21.23,20.01,21.15,18620900,0.0,0.0
2020-02-06,21.18,21.53,20.59,20.91,9550900,0.0,0.0
2020-02-07,20.91,20.93,20.22,20.45,9186200,0.0,0.0
2020-02-10,20.28,20.72,20.06,20.54,6650200,0.0,0.0
2020-02-11,20.71,21.56,20.69,21.4,8215500,0.0,0.0
2020-02-12,21.73,21.83,21.24,21.39,5323600,0.0,0.0
2020-02-13,21.22,21.81,21.11,21.63,6131500,0.0,0.0
2020-02-14,21.74,21.9,21.14,21.44,5628800,0.0,0.0
2020-02-18,21.21,21.32,21.0,21.11,5020600,0.0,0.0
2020-02-19,21.3,21.67,20.76,20.9,7905600,0.0,0.0
2020-02-20,20.74,20.89,20.24,20.6,10806300,0.0,0.0
2020-02-21,20.43,20.5,19.68,20.02,13924800,0.0,0.0
2020-02-24,19.29,19.58,19.11,19.35,9111800,0.0,0.0
2020-02-25,19.56,19.79,18.58,18.62,9452600,0.0,0.0
2020-02-26,18.82,19.09,18.26,18.36,7465200,0.0,0.0
2020-02-27,17.84,18.33,17.54,17.54,8843600,0.0,0.0
2020-02-28,16.93,18.78,16.91,18.66,13501600,0.0,0.0
2020-03-02,18.79,18.93,18.07,18.93,8422100,0.0,0.0
2020-03-03,18.73,19.13,18.0,18.13,9669200,0.0,0.0
2020-03-04,18.39,18.76,18.01,18.73,5615600,0.0,0.0
2020-03-05,18.19,18.52,17.73,17.83,7134700,0.0,0.0
2020-03-06,17.63,18.42,17.03,17.28,11756200,0.0,0.0
2020-03-09,16.12,16.77,15.51,15.53,13614700,0.0,0.0
