date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,438.5,439.06,434.44,437.52,796100,0.0,0.0
2020-01-03,435.81,439.22,433.04,438.75,482900,0.0,0.0
2020-01-06,437.03,437.03,429.22,434.66,837100,0.0,0.0
2020-01-07,433.94,434.51,425.28,428.77,661500,0.0,0.0
2020-01-08,428.87,437.57,428.87,431.9,479500,0.0,0.0
2020-01-09,434.99,439.54,433.45,437.37,561200,0.0,0.0
2020-01-10,437.88,438.39,434.9,436.85,569400,0.0,0.0
2020-01-13,436.63,437.84,433.07,435.5,574500,0.0,0.0
2020-01-14,434.16,438.79,432.5,438.51,432800,0.0,0.0
2020-01-15,436.87,440.34,436.78,438.15,349100,0.0,0.0
2020-01-16,439.9,443.99,438.45,441.07,875600,0.0,0.0
2020-01-17,442.68,442.8,436.16,440.68,606900,0.0,0.0
2020-01-21,439.92,446.83,439.81,440.6,622300,0.0,0.0
2020-01-22,441.18,443.86,433.52,435.71,754200,0.0,0.0
2020-01-23,432.74,436.91,430.89,436.05,685400,0.0,0.0
2020-01-24,437.46,439.12,429.71,430.77,374900,0.0,0.0
2020-01-27,425.88,428.85,425.88,426.81,448300,0.0,0.0
2020-01-28,427.35,429.84,425.59,428.06,457000,0.0,0.0
2020-01-29,427.7,429.53,423.9,424.13,368300,0.0,0.0
2020-01-30,420.7,420.79,417.0,419.88,623700,0.0,0.0
2020-01-31,415.28,417.95,405.0,406.1,1274900,0.0,0.0
2020-02-03,407.84,412.07,405.87,406.23,771600,0.0,0.0
2020-02-04,409.78,415.96,407.47,407.59,666500,0.0,0.0
2020-02-05,410.53,421.71,410.27,419.21,938000,0.0,0.0
2020-02-06,404.28,412.49,388.43,398.13,2185100,0.0,0.0
2020-02-07,396.28,397.49,386.18,387.69,1187900,0.0,0.0
2020-02-10,385.33,392.0,385.33,391.31,845700,0.0,0.0
2020-02-11,388.13,394.33,387.77,389.76,1255400,0.0,0.0
2020-02-12,391.19,393.26,389.33,392.47,840800,0.0,0.0
2020-02-13,391.84,396.23,391.84,392.6,723700,0.0,0.0
2020-02-14,393.59,396.01,389.77,390.89,898900,0.0,0.0
2020-02-18,393.23,399.36,391.31,395.99,1095300,0.0,0.0
2020-02-19,394.96,398.11,390.5,392.15,781900,0.0,0.0
2020-02-20,391.15,395.72,388.69,395.18,1096000,0.0,0.0
2020-02-21,393.3,394.21,389.37,391.5,642000,0.0,0.0
2020-02-24,386.15,391.29,385.48,387.77,758200,0.0,0.0
2020-02-25,389.71,390.9,376.75,377.35,1005800,0.0,0.0
2020-02-26,379.5,384.21,376.72,377.69,809600,0.0,0.0
2020-02-27,371.24,380.93,370.06,370.47,1110200,0.0,0.0
2020-02-28,360.91,372.5,358.87,368.72,1689400,0.0,0.0
2020-03-02,367.01,378.39,364.45,378.39,1222300,0.0,0.0
2020-03-03,368.43,380.48,362.25,364.17,1406900,0.0,0.0
2020-03-04,368.02,377.5,363.62,377.2,734300,0.0,0.0
2020-03-05,368.87,371.94,358.45,361.33,810200,0.0,0.0
2020-03-06,354.03,369.57,352.24,368.08,1175800,0.0,0.0
2020-03-09,358.56,380.0,355.0,373.63,1476900,0.0,0.0
2020-03-10,381.68,394.55,381.13,393.52,1284100,0.0,0.0
2020-03-11,385.51,387.47,370.99,374.35,1231700,0.0,0.0
2020-03-12,359.89,361.66,330.24,330.29,1616600,0.0,0.0
2020-03-13,344.0,354.92,328.71,354.3,952400,0.0,0.0
2020-03-16,325.72,336.0,298.53,299.65,1148800,0.0,0.0
2020-03-17,307.18,331.29,301.89,327.54,1111300,0.0,0.0
2020-03-18,291.21,312.48,274.94,293.72,1187500,0.0,0.0
2020-03-19,291.27,306.32,277.36,290.53,936800,0.0,0.0
2020-03-20,290.73,291.53,261.0,263.77,1104200,0.0,0.0
2020-03-23,255.85,270.84,251.52,260.92,1900500,0.0,0.0
2020-03-24,272.27,294.99,271.0,277.13,2921500,0.0,0.0
2020-03-25,279.51,314.74,274.93,298.92,2171600,0.0,0.0
2020-03-26,300.0,329.0,300.0,326.74,1602200,0.0,0.0
2020-03-27,315.1,325.52,307.22,313.43,902900,0.0,0.0
