date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,77.75,78.65,77.65,78.47,2835900,0.0,0.0
2020-01-03,77.65,79.0,77.65,78.94,2229600,0.0,0.0
2020-01-06,78.78,80.18,78.57,80.09,3342600,0.0,0.0
2020-01-07,80.09,80.83,79.78,80.55,3384900,0.0,0.0
2020-01-08,79.33,79.92,78.93,79.52,3157200,0.0,0.0
2020-01-09,79.73,80.32,79.29,80.02,2253600,0.0,0.0
2020-01-10,80.1,80.87,79.09,79.29,2631600,0.0,0.0
2020-01-13,79.62,80.57,79.62,80.31,2734800,0.0,0.0
2020-01-14,80.27,80.83,79.63,80.0,2875200,0.0,0.0
2020-01-15,80.19,81.42,80.14,80.23,1918500,0.0,0.0
2020-01-16,80.55,81.21,80.27,81.09,3066900,0.0,0.0
2020-01-17,81.14,81.46,80.25,80.69,3081000,0.0,0.0
2020-01-21,80.52,81.27,80.06,81.08,3423300,0.0,0.0
2020-01-22,81.63,81.83,81.02,81.24,2130300,0.0,0.0
2020-01-23,80.97,81.65,80.74,81.63,1831800,0.0,0.0
2020-01-24,81.67,82.58,80.74,80.97,3017700,0.0,0.0
2020-01-27,79.38,79.55,78.54,79.28,2356200,0.0,0.0
2020-01-28,79.59,80.56,78.97,79.71,1812000,0.0,0.0
2020-01-29,80.07,80.6,79.17,79.18,1755000,0.0,0.0
2020-01-30,78.76,79.57,78.59,79.33,2312100,0.0,0.0
2020-01-31,79.34,79.52,78.04,78.26,2167800,0.0,0.0
2020-02-03,78.29,78.78,77.88,78.66,3006600,0.0,0.0
2020-02-04,78.92,80.28,78.37,80.06,2114700,0.0,0.0
2020-02-05,80.84,80.97,79.49,80.55,2152500,0.0,0.0
2020-02-06,80.86,82.11,80.53,82.02,2546400,0.0,0.0
2020-02-07,82.0,82.29,81.33,81.94,1979400,0.0,0.0
2020-02-10,81.79,82.83,81.26,82.51,1717800,0.0,0.0
2020-02-11,83.0,83.32,82.1,82.28,1686000,0.0,0.0
2020-02-12,82.46,82.46,80.1,81.57,3633000,0.0,0.0
2020-02-13,81.4,82.19,81.07,81.87,2604900,0.0,0.0
2020-02-14,82.33,82.99,81.79,82.42,1894500,0.0,0.0
2020-02-18,82.52,83.34,82.15,83.07,2892600,0.0,0.0
2020-02-19,83.07,83.7,82.44,82.9,2122800,0.0,0.0
2020-02-20,82.6,83.24,81.42,83.05,3210300,0.0,0.0
2020-02-21,82.81,82.81,80.14,81.0,4509300,0.0,0.0
2020-02-24,78.94,79.31,77.09,79.11,8817000,0.0,0.0
2020-02-25,67.33,67.97,64.06,65.65,29859300,0.0,0.0
2020-02-26,65.69,66.43,62.51,63.19,9845400,0.0,0.0
2020-02-27,61.5,65.16,60.87,62.52,10243200,0.0,0.0
2020-02-28,60.59,63.78,60.35,61.54,10753200,0.0,0.0
2020-03-02,61.64,63.16,59.7,63.1,6479400,0.0,0.0
2020-03-03,63.12,63.72,59.79,60.68,5596500,0.0,0.0
2020-03-04,61.99,62.15,61.02,61.96,4044000,0.0,0.0
2020-03-05,60.67,61.87,59.74,60.35,4328100,0.0,0.0
2020-03-06,58.96,59.73,57.64,58.72,5789700,0.0,0.0
2020-03-09,54.89,56.63,51.26,52.93,10027500,0.0,0.0
2020-03-10,54.8,56.03,53.11,55.82,6274200,0.0,0.0
2020-03-11,54.69,55.22,51.76,52.51,5962200,0.0,0.0
2020-03-12,48.68,49.78,46.67,46.85,9004500,0.0,0.0
2020-03-13,49.09,50.54,46.18,50.52,5991900,0.0,0.0
2020-03-16,45.03,47.16,44.61,45.72,6633300,0.0,0.0
2020-03-17,46.14,48.23,44.89,47.19,6614700,0.0,0.0
2020-03-18,44.51,46.98,41.82,44.19,7751100,0.0,0.0
2020-03-19,43.88,48.07,43.69,46.37,5704200,0.0,0.0
2020-03-20,47.42,50.99,47.0,47.84,5241900,0.0,0.0
2020-03-23,47.28,50.19,47.07,48.72,4686300,0.0,0.0
2020-03-24,51.46,54.27,51.34,53.57,7808400,0.0,0.0
2020-03-25,54.59,56.25,52.19,55.34,6178800,0.0,0.0
2020-03-26,56.19,57.42,55.25,56.0,4699500,0.0,0.0
2020-03-27,54.08,55.09,53.42,54.18,4628700,0.0,0.0
2020-03-30,54.33,56.73,53.92,55.49,6189900,0.0,0.0
2020-03-31,54.67,56.23,54.07,54.65,4367700,0.0,0.0
2020-04-01,52.67,56.59,52.67,54.62,6449400,0.0,0.0
2020-04-02,54.26,56.24,53.52,55.18,4389000,0.0,0.0
2020-04-03,54.43,55.87,53.5,54.22,2999400,0.0,0.0
2020-04-06,56.45,57.48,55.38,57.11,5058600,0.0,0.0
2020-04-07,58.99,59.63,57.52,57.6,4512000,0.0,0.0
2020-04-08,58.33,59.26,57.45,58.72,3954300,0.0,0.0
2020-04-09,59.62,61.48,59.11,59.29,5928900,0.0,0.0
2020-04-13,60.2,61.29,59.7,60.99,4388700,0.0,0.0
2020-04-14,62.49,62.85,61.47,62.64,3852600,0.0,0.0
2020-04-15,61.56,62.67,61.33,62.12,3098700,0.0,0.0
2020-04-16,62.62,63.85,62.2,63.43,3820200,0.0,0.0
2020-04-17,65.0,65.45,63.79,64.48,5381400,0.0,0.0
2020-04-20,64.16,65.81,63.94,64.76,3541200,0.0,0.0
2020-04-21,63.99,64.75,61.44,62.17,3645600,0.0,0.0
2020-04-22,63.33,64.51,63.21,63.95,2353200,0.0,0.0
2020-04-23,63.86,64.97,63.4,64.03,2026500,0.0,0.0
2020-04-24,64.28,64.97,64.14,64.48,2530200,0.0,0.0
2020-04-27,65.43,66.61,65.07,65.63,4493400,0.0,0.0
2020-04-28,66.67,66.88,64.39,64.52,3089100,0.0,0.0
2020-04-29,65.74,66.67,65.3,65.9,3159000,0.0,0.0
2020-04-30,65.39,66.45,65.11,65.5,1822200,0.0,0.0
2020-05-01,64.33,65.31,64.05,64.89,3216600,0.0,0.0
2020-05-04,64.57,64.57,63.52,63.95,2967900,0.0,0.0
2020-05-05,64.6,66.65,64.59,66.07,3290700,0.0,0.0
2020-05-06,67.62,68.03,66.85,67.08,4163700,0.0,0.0
2020-05-07,68.28,71.39,67.98,71.04,5195100,0.0,0.0
2020-05-08,71.45,71.71,70.38,71.32,3189900,0.0,0.0
2020-05-11,71.0,73.18,70.82,72.75,3598500,0.0,0.0
2020-05-12,73.0,73.14,71.18,71.39,2920500,0.0,0.0
2020-05-13,73.33,73.95,70.26,71.91,5249100,0.0,0.0
2020-05-14,70.63,73.19,70.63,73.19,4833300,0.0,0.0
2020-05-15,72.67,74.66,72.32,74.28,4078200,0.0,0.0
2020-05-18,75.26,77.12,74.69,75.38,3738000,0.0,0.0
2020-05-19,75.59,77.48,75.59,75.72,6598800,0.0,0.0
2020-05-20,76.83,78.25,76.67,78.16,4670400,0.0,0.0
2020-05-21,78.0,79.22,76.17,76.5,7929300,0.0,0.0
2020-05-22,80.0,81.05,77.34,79.31,12317100,0.0,0.0
2020-05-26,79.98,80.42,77.0,77.06,6326100,0.0,0.0
2020-05-27,77.03,77.38,74.38,77.26,4956300,0.0,0.0
2020-05-28,76.83,77.74,75.8,76.46,3205200,0.0,0.0
2020-05-29,76.69,78.57,76.34,78.42,3992100,0.0,0.0
2020-06-01,78.33,79.8,77.47,79.44,2935500,0.0,0.0
2020-06-02,79.44,79.98,78.46,79.95,2698500,0.0,0.0
2020-06-03,79.31,80.28,77.77,77.8,5953200,0.0,0.0
2020-06-04,76.67,77.31,74.95,75.56,9327000,0.0,0.0
2020-06-05,75.58,77.47,74.75,77.13,5265900,0.0,0.0
2020-06-08,76.7,79.31,76.28,79.26,5345100,0.0,0.0
2020-06-09,79.33,79.48,77.83,77.85,2626200,0.0,0.0
2020-06-10,78.33,78.83,77.55,77.56,3616200,0.0,0.0
2020-06-11,75.86,77.07,73.86,73.97,4331400,0.0,0.0
2020-06-12,75.74,76.13,72.58,73.95,4248900,0.0,0.0
2020-06-15,73.26,75.69,72.49,75.43,3616800,0.0,0.0
2020-06-16,76.67,76.72,75.33,76.23,2932800,0.0,0.0
