date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,85.5,85.63,84.71,85.11,1307000,0.0,0.0
2020-01-03,84.71,85.04,84.4,84.82,964700,0.0,0.0
2020-01-06,84.48,84.85,84.37,84.81,1196700,0.0,0.0
2020-01-07,84.49,84.62,84.11,84.34,1361200,0.0,0.0
2020-01-08,84.43,85.49,84.28,85.17,1500500,0.0,0.0
2020-01-09,85.39,86.2,85.2,85.75,1245600,0.0,0.0
2020-01-10,86.19,86.3,85.17,85.27,1048500,0.0,0.0
2020-01-13,85.61,86.37,85.51,86.26,1183200,0.0,0.0
2020-01-14,86.72,87.46,86.21,86.62,1518400,0.0,0.0
2020-01-15,86.79,87.83,86.79,87.37,2091000,0.0,0.0
2020-01-16,88.09,88.23,87.41,87.97,1478200,0.0,0.0
2020-01-17,88.2,88.28,87.88,88.24,1585600,0.0,0.0
2020-01-21,88.01,88.92,87.98,88.65,1796400,0.0,0.0
2020-01-22,89.21,89.95,88.94,89.66,1381400,0.0,0.0
2020-01-23,89.68,89.78,89.07,89.65,1259300,0.0,0.0
2020-01-24,89.95,89.96,88.52,88.91,1005100,0.0,0.0
2020-01-27,88.02,88.57,87.59,87.71,1512400,0.0,0.0
2020-01-28,87.77,89.06,87.77,88.66,1057300,0.0,0.0
2020-01-29,88.96,88.96,87.31,87.4,1416300,0.0,0.0
2020-01-30,86.72,88.04,86.38,87.96,1368600,0.0,0.0
2020-01-31,87.19,87.31,85.4,85.77,1718400,0.62,0.0
2020-02-03,86.45,87.42,86.42,86.56,1406000,0.0,0.0
2020-02-04,87.53,88.85,87.26,88.28,1239000,0.0,0.0
2020-02-05,88.82,88.92,87.78,88.03,1570600,0.0,0.0
2020-02-06,88.6,88.86,88.01,88.45,855000,0.0,0.0
2020-02-07,87.99,88.29,87.51,87.98,886700,0.0,0.0
2020-02-10,87.85,88.59,87.84,88.49,855000,0.0,0.0
2020-02-11,88.75,88.75,87.71,87.8,847300,0.0,0.0
2020-02-12,88.24,88.38,87.33,87.97,1019800,0.0,0.0
2020-02-13,87.7,88.88,87.6,88.6,782700,0.0,0.0
2020-02-14,88.51,89.22,88.4,89.21,949100,0.0,0.0
2020-02-18,89.35,89.7,89.08,89.36,1117700,0.0,0.0
2020-02-19,89.72,90.35,89.5,90.11,1417300,0.0,0.0
2020-02-20,90.29,90.54,89.05,90.23,2253500,0.0,0.0
