date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,52.79,53.11,52.42,53.01,2597100,0.0,0.0
2020-01-03,52.21,52.55,51.78,52.49,2407050,0.0,0.0
2020-01-06,52.18,52.35,51.61,52.29,2698200,0.0,0.0
2020-01-07,51.87,52.07,51.52,51.95,2611200,0.0,0.0
2020-01-08,52.16,52.81,51.5,52.64,2749350,0.0,0.0
2020-01-09,52.56,52.77,51.72,52.3,2748600,0.0,0.0
2020-01-10,52.38,52.49,51.81,51.87,1808400,0.0,0.0
2020-01-13,51.95,52.08,51.6,52.04,1624800,0.0,0.0
2020-01-14,52.47,52.65,52.03,52.13,2159100,0.0,0.0
2020-01-15,51.93,52.03,51.5,51.64,2195850,0.0,0.0
2020-01-16,51.94,52.38,51.63,52.37,1995450,0.0,0.0
2020-01-17,52.53,52.83,52.15,52.35,2582250,0.0,0.0
2020-01-21,52.32,52.32,51.51,51.69,2291850,0.0,0.0
2020-01-22,51.91,51.93,51.22,51.29,1486800,0.0,0.0
2020-01-23,51.15,51.85,50.46,51.73,1802550,0.0,0.0
2020-01-24,51.49,51.51,50.82,51.19,2311050,0.0,0.0
2020-01-27,50.21,50.57,49.9,50.11,3552450,0.0,0.0
2020-01-28,50.89,51.69,49.98,51.18,4816050,0.0,0.0
2020-01-29,51.49,52.05,50.65,50.74,3579450,0.0,0.0
2020-01-30,50.34,50.77,49.99,50.71,3097500,0.0,0.0
2020-01-31,50.31,50.34,49.24,49.47,4968600,0.0,0.0
2020-02-03,49.92,50.33,49.42,49.56,3851100,0.0,0.0
2020-02-04,50.41,50.88,50.23,50.79,3712050,0.0,0.0
2020-02-05,51.49,52.11,51.31,51.99,2982150,0.0,0.0
2020-02-06,52.15,52.33,51.51,51.73,2523900,0.0,0.0
2020-02-07,51.4,51.45,50.18,50.27,3127500,0.0,0.0
2020-02-10,49.86,50.28,49.77,50.21,2397900,0.21,0.0
2020-02-11,50.49,50.6,50.09,50.44,2904000,0.0,0.0
2020-02-12,50.67,51.29,50.67,51.04,2791800,0.0,0.0
2020-02-13,50.67,50.86,49.83,49.89,2977650,0.0,0.0
2020-02-14,49.8,49.91,49.39,49.83,4437750,0.0,0.0
2020-02-18,49.71,50.04,49.26,49.53,2147100,0.0,0.0
2020-02-19,49.58,49.74,49.09,49.49,1694550,0.0,0.0
2020-02-20,49.45,50.43,49.37,50.36,2565750,0.0,0.0
2020-02-21,50.0,50.35,49.71,50.24,2908350,0.0,0.0
2020-02-24,48.73,49.15,48.24,48.49,2568300,0.0,0.0
2020-02-25,48.73,48.83,46.5,46.66,4078950,0.0,0.0
2020-02-26,47.29,47.53,46.09,46.28,3242400,0.0,0.0
2020-02-27,45.6,46.63,44.75,45.18,4999800,0.0,0.0
2020-02-28,43.72,45.01,43.43,44.6,6289050,0.0,0.0
2020-03-02,44.88,46.46,44.17,46.45,3874050,0.0,0.0
2020-03-03,46.08,47.39,44.83,45.03,3978450,0.0,0.0
2020-03-04,45.65,46.35,45.17,46.3,2535000,0.0,0.0
2020-03-05,44.85,44.94,43.34,43.57,3414300,0.0,0.0
2020-03-06,41.57,43.32,41.44,43.04,4055250,0.0,0.0
2020-03-09,40.32,41.3,39.8,40.61,5191350,0.0,0.0
2020-03-10,41.97,43.11,40.65,43.1,3783750,0.0,0.0
