date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,136.87,137.23,135.14,135.82,3784100,0.0,0.0
2020-01-03,135.46,136.79,135.13,135.63,4000100,0.0,0.0
2020-01-06,135.3,136.32,135.2,136.15,4085100,0.0,0.0
2020-01-07,136.0,136.07,133.95,134.01,5718100,0.0,0.0
2020-01-08,134.46,135.36,134.07,134.7,3681400,0.0,0.0
2020-01-09,135.29,135.38,134.53,134.79,3954700,0.0,0.0
2020-01-10,135.17,135.42,134.39,134.53,3099500,0.0,0.0
2020-01-13,134.65,136.59,134.63,136.53,5127200,0.0,0.0
2020-01-14,136.18,136.94,135.7,136.85,4159700,0.0,0.0
2020-01-15,137.04,139.25,136.8,139.2,5002600,0.0,0.0
2020-01-16,139.35,140.16,138.6,139.61,4977900,0.0,0.0
2020-01-17,140.1,141.32,139.9,141.26,6908700,0.0,0.0
2020-01-21,140.61,142.12,140.34,141.86,4440000,0.0,0.0
2020-01-22,141.81,143.57,141.72,143.38,5366100,0.0,0.0
2020-01-23,143.09,143.85,142.37,143.65,3915700,0.0,0.0
2020-01-24,143.83,144.15,142.45,142.92,2791500,0.0,0.0
2020-01-27,141.65,143.36,141.05,142.14,3895300,0.0,0.0
2020-01-28,142.13,142.92,141.76,142.44,2908300,0.0,0.0
2020-01-29,142.0,142.45,141.17,141.73,3263200,0.0,0.0
2020-01-30,142.32,143.96,141.52,143.83,4058500,0.0,0.0
2020-01-31,143.81,144.65,141.57,142.02,4753100,0.0,0.0
2020-02-03,142.77,143.07,141.84,142.51,3977800,0.0,0.0
2020-02-04,143.2,144.06,142.1,143.22,3494300,0.0,0.0
2020-02-05,143.68,144.59,143.43,144.3,3504900,0.0,0.0
2020-02-06,144.64,145.3,144.07,144.33,3571400,0.0,0.0
2020-02-07,144.26,145.72,143.83,145.37,3138500,0.0,0.0
2020-02-10,145.93,146.42,145.13,145.66,3775600,0.0,0.0
2020-02-11,146.21,146.36,144.87,146.08,3870500,0.0,0.0
2020-02-12,146.68,146.74,145.35,146.08,4217400,0.0,0.0
2020-02-13,145.25,147.13,143.52,146.47,5041400,0.0,0.0
2020-02-14,146.57,147.15,145.94,146.99,3555600,0.0,0.0
2020-02-18,147.11,147.2,145.4,145.6,4938700,0.0,0.0
2020-02-19,145.62,146.48,145.49,145.53,2978800,0.0,0.0
2020-02-20,145.77,145.8,143.95,145.16,2805900,0.0,0.0
2020-02-21,145.06,145.92,144.81,145.85,4271800,0.0,0.0
2020-02-24,145.86,147.15,142.56,142.64,5027700,0.0,0.0
2020-02-25,142.59,144.38,140.57,141.1,7585800,0.0,0.0
2020-02-26,142.44,143.75,141.16,141.98,6157200,0.0,0.0
2020-02-27,141.41,143.14,136.31,136.37,8605000,0.0,0.0
2020-02-28,133.24,133.75,128.35,132.03,14164000,0.0,0.0
2020-03-02,132.0,137.77,131.72,137.58,8504500,0.0,0.0
2020-03-03,137.19,139.67,134.74,135.58,8728300,0.0,0.0
2020-03-04,136.19,142.71,136.01,142.39,7635700,0.0,0.0
2020-03-05,138.81,141.42,136.67,138.1,6579100,0.96,0.0
2020-03-06,131.56,138.17,131.45,137.26,6754900,0.0,0.0
2020-03-09,130.18,133.35,128.18,130.16,8716300,0.0,0.0
2020-03-10,132.05,134.57,126.86,134.14,8258600,0.0,0.0
2020-03-11,130.58,132.54,127.63,129.75,7465100,0.0,0.0
2020-03-12,122.1,125.0,113.59,115.34,12808300,0.0,0.0
2020-03-13,120.68,127.59,115.07,127.45,12007700,0.0,0.0
2020-03-16,114.69,123.82,112.0,113.09,10733300,0.0,0.0
2020-03-17,116.7,127.86,116.39,127.72,14242300,0.0,0.0
2020-03-18,120.84,127.72,113.77,120.92,15250800,0.0,0.0
2020-03-19,121.43,122.09,116.06,117.34,9393500,0.0,0.0
2020-03-20,118.24,118.45,101.42,103.93,13093200,0.0,0.0
2020-03-23,106.0,112.87,102.87,105.18,13926800,0.0,0.0
2020-03-24,109.93,114.43,109.37,113.84,11447000,0.0,0.0
2020-03-25,112.74,116.36,111.04,112.5,9485500,0.0,0.0
2020-03-26,112.71,121.8,112.58,120.26,10376800,0.0,0.0
2020-03-27,118.57,124.65,117.99,120.46,9852500,0.0,0.0
