date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,124.5,124.73,122.94,123.41,8130800,123.69,"January 02, 20",111.09,8130800.0,-1.09,-0.8755,-0.008755
2020-01-03,122.16,123.53,121.86,122.58,7970500,122.66,"January 03, 20",110.35,7970500.0,0.42,0.34381,0.0034381
2020-01-06,122.57,123.19,122.38,122.75,6674400,122.77,"January 06, 20",110.5,6674400.0,0.18,0.14685,0.0014685
2020-01-07,122.88,123.21,121.87,121.99,7583400,122.36,"January 07, 20",109.82,7583400.0,-0.89,-0.72428,-0.0072428
2020-01-08,122.19,123.43,122.0,122.51,5385100,122.65,"January 08, 20",110.28,5385100.0,0.32,0.26189,0.0026189
2020-01-09,122.51,123.88,122.51,123.85,5944000,123.41,"January 09, 20",111.49,5944000.0,1.34,1.09,0.0109
2020-01-10,123.9,124.32,123.3,123.97,3927100,123.86,"January 10, 20",111.6,3927100.0,0.07,0.05649718,0.0005649718
2020-01-13,124.0,124.9,123.81,124.88,8409200,124.53,"January 13, 20",112.42,8409200.0,0.88,0.70968,0.0070968
2020-01-14,124.65,125.2,124.48,124.69,7829700,124.79,"January 14, 20",112.25,7829700.0,0.04,0.03208985,0.0003208985
2020-01-15,125.06,126.12,125.01,125.96,4843700,125.7,"January 15, 20",113.39,4843700.0,0.9,0.71965,0.0071965
2020-01-16,126.11,126.78,125.59,126.07,6233700,126.15,"January 16, 20",113.49,6233700.0,-0.04,-0.03171834,-0.0003171834
2020-01-17,126.35,127.0,125.88,126.41,11315200,126.43,"January 17, 20",113.8,11315200.0,0.06,0.04748714,0.0004748714
2020-01-21,126.41,126.62,124.84,126.09,8553100,125.85,"January 21, 20",113.51,8553100.0,-0.32,-0.25314,-0.0025314
2020-01-22,126.33,126.68,125.83,126.31,7396700,126.27,"January 22, 20",113.71,7396700.0,-0.02,-0.01583155,-0.0001583155
2020-01-23,124.3,126.55,123.65,124.99,11096500,125.06,"January 23, 20",113.19,11096500.0,0.69,0.55511,0.0055511
2020-01-24,125.22,126.79,124.77,125.14,9508600,125.57,"January 24, 20",113.32,9508600.0,-0.08,-0.06388756,-0.0006388756
2020-01-27,124.75,126.39,124.75,125.69,9338400,125.61,"January 27, 20",113.82,9338400.0,0.94,0.75351,0.0075351
2020-01-28,125.93,126.98,125.72,126.03,6200200,126.24,"January 28, 20",114.13,6200200.0,0.1,0.0794092,0.000794092
2020-01-29,125.91,126.07,125.03,125.06,5271000,125.39,"January 29, 20",113.25,5271000.0,-0.85,-0.67509,-0.0067509
2020-01-30,124.79,126.06,124.42,125.95,5894400,125.48,"January 30, 20",114.06,5894400.0,1.16,0.92956,0.0092956
2020-01-31,125.99,126.95,124.46,124.62,6612900,125.34,"January 31, 20",112.85,6612900.0,-1.37,-1.09,-0.0109
2020-02-03,124.66,125.95,124.49,125.11,6052300,125.18,"February 03, 20",113.29,6052300.0,0.45,0.36098,0.0036098
2020-02-04,125.71,127.35,125.36,125.66,6512200,126.12,"February 04, 20",113.79,6512200.0,-0.05,-0.03977408,-0.0003977408
2020-02-05,125.91,127.06,125.4,126.81,6125400,126.42,"February 05, 20",114.83,6125400.0,0.9,0.7148,0.007148
2020-02-06,126.9,128.09,126.6,127.14,9102700,127.28,"February 06, 20",115.13,9102700.0,0.24,0.18913,0.0018913
2020-02-07,127.19,127.27,126.05,126.08,5915100,126.47,"February 07, 20",114.17,5915100.0,-1.11,-0.87271,-0.0087271
2020-02-10,126.46,126.83,125.76,126.17,5216100,126.25,"February 10, 20",114.25,5216100.0,-0.29,-0.22932,-0.0022932
2020-02-11,126.27,126.27,124.03,124.16,6105700,124.82,"February 11, 20",112.43,6105700.0,-2.11,-1.67,-0.0167
2020-02-12,123.68,123.97,122.85,123.45,6031700,123.42,"February 12, 20",111.79,6031700.0,-0.23,-0.18596,-0.0018596
2020-02-13,123.73,125.28,123.52,124.96,7159000,124.59,"February 13, 20",113.16,7159000.0,1.23,0.9941,0.009941
2020-02-14,125.29,126.15,124.79,126.14,5889100,125.69,"February 14, 20",114.23,5889100.0,0.85,0.67843,0.0067843
2020-02-18,125.83,126.18,124.83,124.87,6767600,125.29,"February 18, 20",113.08,6767600.0,-0.96,-0.76293,-0.0076293
2020-02-19,124.85,126.47,124.65,125.44,4734000,125.52,"February 19, 20",113.59,4734000.0,0.59,0.47257,0.0047257
2020-02-20,125.47,126.76,125.13,126.58,6094600,126.16,"February 20, 20",114.63,6094600.0,1.11,0.88467,0.0088467
2020-02-21,126.13,128.07,125.98,126.7,8723900,126.92,"February 21, 20",114.73,8723900.0,0.57,0.45191,0.0045191
2020-02-24,125.26,126.59,123.14,123.3,7533900,124.34,"February 24, 20",111.66,7533900.0,-1.96,-1.56,-0.0156
2020-02-25,123.02,123.96,120.88,121.43,8903200,122.09,"February 25, 20",109.96,8903200.0,-1.59,-1.29,-0.0129
2020-02-26,121.42,122.39,119.85,120.16,6894200,120.8,"February 26, 20",108.81,6894200.0,-1.26,-1.04,-0.0104
2020-02-27,119.12,119.92,113.43,113.5,13298900,115.62,"February 27, 20",102.78,13298900.0,-5.62,-4.72,-0.0472
2020-02-28,109.46,113.23,106.67,113.23,22784300,111.04,"February 28, 20",102.54,22784300.0,3.77,3.44,0.0344
2020-03-02,113.19,119.79,112.55,119.56,12399800,117.3,"March 02, 20",108.27,12399800.0,6.37,5.63,0.0563
2020-03-03,119.73,121.84,117.14,118.17,12510900,119.05,"March 03, 20",107.01,12510900.0,-1.56,-1.3,-0.013
2020-03-04,119.88,124.69,119.6,124.5,9459300,122.93,"March 04, 20",112.74,9459300.0,4.62,3.85,0.0385
2020-03-05,121.3,122.9,120.28,121.63,9363500,121.6,"March 05, 20",110.14,9363500.0,0.33,0.27205,0.0027205
2020-03-06,118.03,122.61,117.55,121.66,9817400,120.61,"March 06, 20",110.17,9817400.0,3.63,3.08,0.0308
2020-03-09,115.27,120.03,115.12,116.06,13116500,117.07,"March 09, 20",105.1,13116500.0,0.79,0.68535,0.0068535
2020-03-10,118.96,120.82,114.44,120.55,11419100,118.6,"March 10, 20",109.17,11419100.0,1.59,1.34,0.0134
2020-03-11,117.6,118.44,110.68,111.59,16456000,113.57,"March 11, 20",101.05,16456000.0,-6.01,-5.11,-0.0511
2020-03-12,103.0,111.58,101.0,101.84,20988000,104.81,"March 12, 20",92.22,20988000.0,-1.16,-1.13,-0.0113
2020-03-13,106.5,114.63,105.41,114.07,17378700,111.37,"March 13, 20",103.3,17378700.0,7.57,7.11,0.0711
2020-03-16,101.75,115.95,101.0,108.5,17367400,108.48,"March 16, 20",98.25,17367400.0,6.75,6.63,0.0663
