date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,116.48,116.84,115.47,116.83,1722500,0.0,0.0
2020-01-03,115.43,117.0,115.2,116.86,1486500,0.0,0.0
2020-01-06,116.25,117.48,115.64,117.43,1573600,0.0,0.0
2020-01-07,117.01,118.88,116.54,118.8,1961900,0.0,0.0
2020-01-08,119.11,120.09,118.95,119.15,1565200,0.0,0.0
2020-01-09,120.67,122.62,119.54,122.13,2185800,0.0,0.0
2020-01-10,122.1,122.38,120.5,120.72,1271700,0.0,0.0
2020-01-13,120.68,120.78,119.24,119.97,1392100,0.0,0.0
2020-01-14,120.04,120.13,118.81,118.96,1828000,0.0,0.0
2020-01-15,118.51,119.37,117.45,117.77,1409100,0.0,0.0
2020-01-16,118.39,118.92,117.45,118.05,1853700,0.0,0.0
2020-01-17,118.21,118.72,117.45,117.68,2094800,0.0,0.0
2020-01-21,117.25,118.22,117.17,117.8,1853300,0.0,0.0
2020-01-22,118.13,118.5,117.4,117.41,1770500,0.0,0.0
2020-01-23,117.34,118.62,116.04,118.21,1989100,0.0,0.0
2020-01-24,118.02,118.4,115.27,115.76,1548100,0.0,0.0
2020-01-27,114.07,115.5,113.5,114.85,2677900,0.0,0.0
2020-01-28,115.11,115.47,114.36,114.48,1558400,0.0,0.0
2020-01-29,114.73,115.42,113.96,114.27,1365900,0.0,0.0
2020-01-30,113.48,114.66,113.06,114.18,1627100,0.0,0.0
2020-01-31,113.84,114.04,111.48,112.19,5115000,0.0,0.0
2020-02-03,112.56,114.72,112.54,113.83,1662700,0.0,0.0
2020-02-04,115.78,116.8,115.25,116.35,1510200,0.0,0.0
2020-02-05,117.07,119.08,117.07,118.74,1715700,0.0,0.0
2020-02-06,119.34,119.65,118.14,118.19,1267000,0.0,0.0
2020-02-07,118.02,118.03,116.54,117.43,1059000,0.0,0.0
2020-02-10,116.89,118.4,116.71,118.26,1373400,0.0,0.0
2020-02-11,119.04,119.93,118.67,119.7,1260900,0.0,0.0
2020-02-12,120.48,120.6,119.67,120.06,1388800,0.0,0.0
2020-02-13,119.76,120.75,119.48,120.6,1290300,0.0,0.0
2020-02-14,120.91,121.97,120.68,121.78,1307700,0.0,0.0
2020-02-18,121.58,123.01,121.02,122.49,1497200,0.0,0.0
2020-02-19,122.96,123.63,122.57,122.94,1061200,0.0,0.0
2020-02-20,122.84,124.16,121.94,123.81,1065400,0.0,0.0
2020-02-21,123.26,123.87,122.12,123.24,1316400,0.0,0.0
2020-02-24,122.0,123.18,121.05,121.62,1816400,0.0,0.0
2020-02-25,121.99,122.21,116.56,116.75,2295700,0.0,0.0
2020-02-26,118.4,121.41,117.96,119.2,2432000,0.0,0.0
2020-02-27,117.8,119.02,111.85,111.94,2738900,0.0,0.0
2020-02-28,108.62,110.65,106.76,108.78,4152000,0.0,0.0
2020-03-02,109.22,112.0,105.95,111.98,3138100,0.0,0.0
