date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,88.12,89.35,88.05,89.35,6473800,0.0,0.0
2020-01-03,88.66,89.1,88.1,88.83,4874100,0.0,0.0
2020-01-06,88.11,88.41,87.47,88.13,5409800,0.0,0.0
2020-01-07,87.96,88.03,87.13,87.86,6514700,0.0,0.0
2020-01-08,87.94,89.35,87.78,88.88,7296300,0.0,0.0
2020-01-09,90.25,91.16,90.07,90.53,9443500,0.0,0.0
2020-01-10,90.8,90.89,89.63,90.16,7097900,0.0,0.0
2020-01-13,90.62,91.72,90.21,91.08,7382500,0.0,0.0
2020-01-14,91.19,91.44,90.86,90.99,5855200,0.0,0.0
2020-01-15,91.0,92.06,91.0,91.54,6145300,0.0,0.0
2020-01-16,91.99,92.61,91.63,92.58,5180300,0.0,0.0
2020-01-17,92.93,93.75,92.81,93.62,6962800,0.0,0.0
2020-01-21,92.83,93.6,92.19,92.53,7094600,0.0,0.0
2020-01-22,93.14,93.75,92.47,92.53,6157400,0.0,0.0
2020-01-23,91.92,93.85,90.74,93.75,6100600,0.0,0.0
2020-01-24,94.0,94.13,91.34,92.03,7815500,0.0,0.0
2020-01-27,88.63,89.45,87.55,88.73,11066500,0.0,0.0
2020-01-28,89.05,89.19,87.72,88.6,11922400,0.0,0.0
2020-01-29,88.15,88.44,85.6,86.72,17678700,0.0,0.0
2020-01-30,85.45,86.59,84.69,85.84,12224900,0.0,0.0
2020-01-31,85.79,85.99,84.52,84.83,11693900,0.0,0.0
2020-02-03,85.07,86.79,85.07,86.01,9090600,0.0,0.0
2020-02-04,87.14,89.0,86.62,88.38,9997100,0.0,0.0
2020-02-05,88.88,89.2,86.63,87.56,9982700,0.41,0.0
2020-02-06,87.65,87.7,86.15,86.15,8901400,0.0,0.0
2020-02-07,85.76,86.62,85.32,86.42,8073900,0.0,0.0
2020-02-10,86.43,87.62,86.17,87.53,7289300,0.0,0.0
2020-02-11,87.86,88.23,87.35,87.51,5098500,0.0,0.0
2020-02-12,87.71,89.1,87.39,88.57,7747800,0.0,0.0
2020-02-13,88.5,90.51,88.26,89.93,8576600,0.0,0.0
2020-02-14,90.18,90.41,88.99,89.28,5686900,0.0,0.0
2020-02-18,89.37,89.47,88.29,89.23,5288800,0.0,0.0
2020-02-19,89.49,90.44,89.3,90.14,5210800,0.0,0.0
2020-02-20,89.73,90.25,87.73,88.6,5969200,0.0,0.0
2020-02-21,88.0,88.39,87.0,87.36,5800500,0.0,0.0
2020-02-24,84.53,86.05,84.26,84.52,8313600,0.0,0.0
2020-02-25,85.02,85.35,81.67,82.19,9404000,0.0,0.0
2020-02-26,82.6,83.24,80.64,80.67,10541500,0.0,0.0
2020-02-27,78.83,80.87,77.36,78.29,17120800,0.0,0.0
2020-02-28,76.17,78.81,75.72,78.43,19108600,0.0,0.0
2020-03-02,77.92,82.41,77.66,82.38,14258700,0.0,0.0
2020-03-03,82.3,82.62,78.11,78.6,12395900,0.0,0.0
2020-03-04,79.29,80.2,77.88,79.67,10999600,0.0,0.0
2020-03-05,77.9,77.9,75.28,76.19,12545300,0.0,0.0
2020-03-06,73.46,75.71,72.05,75.34,18080100,0.0,0.0
2020-03-09,70.58,74.03,70.08,70.83,15930300,0.0,0.0
2020-03-10,72.56,74.95,70.03,74.87,18414000,0.0,0.0
2020-03-11,72.83,74.27,67.4,68.3,17138000,0.0,0.0
2020-03-12,62.95,66.79,61.46,62.1,25170600,0.0,0.0
2020-03-13,65.65,70.18,63.51,69.92,19247200,0.0,0.0
2020-03-16,60.63,63.95,58.11,58.59,23354300,0.0,0.0
2020-03-17,59.55,59.62,53.61,58.98,25045200,0.0,0.0
2020-03-18,55.55,57.65,50.02,56.33,28770600,0.0,0.0
2020-03-19,56.23,63.36,53.55,61.41,25167400,0.0,0.0
2020-03-20,62.3,65.68,57.91,58.03,28420600,0.0,0.0
2020-03-23,57.23,57.44,54.0,56.55,24905800,0.0,0.0
2020-03-24,62.61,65.16,61.0,64.88,28286200,0.0,0.0
2020-03-25,66.83,69.64,63.49,65.81,22977200,0.0,0.0
2020-03-26,66.71,71.58,66.25,69.9,20997500,0.0,0.0
2020-03-27,66.68,68.25,64.82,66.34,18950500,0.0,0.0
2020-03-30,66.56,68.22,64.58,67.86,14199700,0.0,0.0
2020-03-31,67.18,68.32,65.31,65.74,20109800,0.0,0.0
2020-04-01,63.0,64.76,61.58,62.62,12880400,0.0,0.0
2020-04-02,65.75,68.7,62.91,65.0,18175000,0.0,0.0
2020-04-03,64.47,64.75,60.9,63.05,14676500,0.0,0.0
2020-04-06,66.27,68.34,64.41,67.79,18010800,0.0,0.0
2020-04-07,71.57,72.48,68.33,68.71,13799400,0.0,0.0
2020-04-08,69.58,71.92,68.54,71.57,10417600,0.0,0.0
2020-04-09,71.2,74.26,70.14,73.88,19748100,0.0,0.0
2020-04-13,73.52,73.6,70.35,71.76,11191800,0.0,0.0
2020-04-14,73.69,74.33,72.66,73.67,10912000,0.0,0.0
2020-04-15,72.01,73.18,70.71,72.55,10642500,0.0,0.0
2020-04-16,73.11,73.76,71.35,73.51,11946800,0.0,0.0
2020-04-17,76.62,77.39,74.97,77.1,14268400,0.0,0.0
2020-04-20,76.02,76.98,75.08,75.32,9684700,0.0,0.0
2020-04-21,73.4,73.96,71.74,72.72,10345800,0.0,0.0
