date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,140.31,142.93,139.84,142.87,1095100,0.0,0.0
2020-01-03,141.1,142.09,140.05,141.76,834800,0.0,0.0
2020-01-06,140.52,142.16,139.7,141.98,924800,0.0,0.0
2020-01-07,141.18,143.48,140.32,142.96,701100,0.0,0.0
2020-01-08,143.2,146.6,142.56,145.86,1241800,0.0,0.0
2020-01-09,147.04,149.3,146.52,148.67,1211800,0.0,0.0
2020-01-10,149.77,150.53,147.22,148.46,739500,0.0,0.0
2020-01-13,148.96,150.43,148.65,149.93,717100,0.0,0.0
2020-01-14,149.59,149.59,147.26,148.19,802300,0.0,0.0
2020-01-15,148.78,150.03,147.46,147.91,842400,0.0,0.0
2020-01-16,148.49,149.75,148.23,149.69,819300,0.0,0.0
2020-01-17,150.31,151.99,149.11,151.86,1431800,0.0,0.0
2020-01-21,151.1,154.07,151.0,153.58,1015800,0.0,0.0
2020-01-22,154.16,155.7,153.31,153.43,648900,0.0,0.0
2020-01-23,153.0,155.36,152.11,154.96,856500,0.0,0.0
2020-01-24,156.29,156.97,153.3,154.05,826500,0.0,0.0
2020-01-27,150.74,151.45,149.27,150.38,886600,0.0,0.0
2020-01-28,151.67,152.71,150.85,152.05,829800,0.0,0.0
2020-01-29,153.0,153.37,150.34,150.44,765000,0.0,0.0
2020-01-30,149.66,150.87,148.64,150.82,1337700,0.0,0.0
2020-01-31,150.22,150.5,147.14,147.51,984500,0.0,0.0
2020-02-03,148.77,150.85,148.5,150.26,969300,0.0,0.0
2020-02-04,152.58,155.92,152.02,155.81,1160600,0.0,0.0
2020-02-05,157.44,158.0,153.57,154.21,982700,0.0,0.0
2020-02-06,154.8,156.13,154.2,154.77,507900,0.0,0.0
2020-02-07,154.5,155.18,153.35,154.28,589000,0.0,0.0
2020-02-10,153.64,157.11,153.56,156.92,676500,0.0,0.0
2020-02-11,157.88,159.53,157.15,158.22,837300,0.0,0.0
2020-02-12,158.2,160.02,156.95,159.52,682600,0.0,0.0
2020-02-13,158.78,161.93,158.28,161.37,788800,0.0,0.0
2020-02-14,162.01,164.1,162.01,163.35,784900,0.0,0.0
2020-02-18,164.01,164.49,162.38,162.92,910200,0.0,0.0
2020-02-19,165.24,166.87,164.52,164.99,1760900,0.0,0.0
2020-02-20,159.06,160.5,151.05,155.08,4667200,0.0,0.0
2020-02-21,153.52,154.24,148.16,149.33,2777000,0.0,0.0
2020-02-24,144.97,146.93,141.3,145.94,2503500,0.0,0.0
2020-02-25,147.35,148.03,141.56,142.16,2162800,0.0,0.0
2020-02-26,142.96,145.83,141.1,142.04,2039900,0.0,0.0
2020-02-27,139.84,141.76,136.12,136.83,1840800,0.0,0.0
2020-02-28,131.51,138.07,131.51,137.93,3129100,0.0,0.0
2020-03-02,137.96,141.73,135.41,141.63,1692700,0.0,0.0
2020-03-03,141.22,144.33,138.19,140.12,2075100,0.0,0.0
2020-03-04,142.58,146.96,141.62,146.82,1529100,0.0,0.0
2020-03-05,142.91,145.32,141.31,142.64,1486600,0.0,0.0
2020-03-06,136.88,139.76,133.71,137.72,1491300,0.0,0.0
2020-03-09,128.11,132.67,126.0,127.7,1870800,0.0,0.0
2020-03-10,131.39,135.29,128.07,135.19,1614300,0.0,0.0
2020-03-11,131.55,135.33,128.82,131.74,2063100,0.0,0.0
2020-03-12,123.12,129.04,119.06,119.15,2429200,0.0,0.0
2020-03-13,124.91,129.97,116.47,129.88,2032200,0.0,0.0
2020-03-16,112.59,125.38,109.13,112.75,2003100,0.0,0.0
2020-03-17,115.02,120.65,111.1,119.62,1780400,0.0,0.0
2020-03-18,112.89,115.68,108.52,114.23,1858000,0.0,0.0
