date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,78.88,78.89,77.93,78.59,3392700,0.0,0.0
2020-01-03,78.06,78.43,77.47,78.17,1831900,0.0,0.0
2020-01-06,78.13,78.85,77.97,78.62,2675300,0.0,0.0
2020-01-07,78.57,79.51,78.15,78.92,3262400,0.0,0.0
2020-01-08,79.22,79.79,78.08,79.42,3037400,0.0,0.0
2020-01-09,79.77,80.33,79.4,79.81,2981900,0.0,0.0
2020-01-10,80.21,80.21,78.85,79.0,2224800,0.0,0.0
2020-01-13,79.17,79.56,78.89,79.4,2283400,0.0,0.0
2020-01-14,79.17,79.95,78.86,79.8,2050100,0.0,0.0
2020-01-15,79.86,80.48,79.62,80.27,1612300,0.0,0.0
2020-01-16,80.27,81.52,80.27,81.44,3109300,0.0,0.0
2020-01-17,81.95,82.24,81.57,82.15,3559600,0.0,0.0
2020-01-21,81.99,82.95,81.8,82.03,3612000,0.0,0.0
2020-01-22,82.14,83.03,82.07,82.49,1672500,0.0,0.0
2020-01-23,82.3,82.37,81.95,82.18,1754900,0.0,0.0
2020-01-24,82.29,82.59,81.33,81.58,1596500,0.0,0.0
2020-01-27,80.89,81.55,80.38,80.72,1934600,0.0,0.0
2020-01-28,81.08,82.3,80.93,81.66,2395000,0.0,0.0
2020-01-29,81.87,81.89,80.09,80.26,2602400,0.0,0.0
2020-01-30,79.59,81.05,79.58,80.94,2352700,0.0,0.0
2020-01-31,80.59,80.79,79.16,79.19,2863600,0.0,0.0
2020-02-03,80.36,80.76,79.33,79.46,2873600,0.0,0.0
2020-02-04,80.15,81.89,79.23,81.51,4597800,0.0,0.0
2020-02-05,81.96,82.71,81.75,81.79,2758800,0.0,0.0
2020-02-06,82.13,83.08,82.0,82.77,2976200,0.0,0.0
2020-02-07,83.37,85.79,82.26,85.44,6740600,0.0,0.0
2020-02-10,85.41,85.65,84.38,84.53,3423100,0.0,0.0
2020-02-11,93.7,95.23,92.66,94.49,25874400,0.0,0.0
2020-02-12,94.0,96.27,93.92,95.67,8915500,0.0,0.0
2020-02-13,95.12,96.15,94.8,95.14,5490500,0.0,0.0
2020-02-14,95.26,96.62,95.02,96.48,3045900,0.0,0.0
2020-02-18,96.85,100.02,96.28,99.88,7460100,0.0,0.0
2020-02-19,101.16,101.35,99.64,100.49,6091300,0.0,0.0
2020-02-20,100.1,100.42,98.23,99.5,6350400,0.0,0.0
2020-02-21,98.97,99.49,96.62,98.57,12101000,0.0,0.0
2020-02-24,96.13,97.31,95.88,96.37,4700900,0.0,0.0
2020-02-25,96.56,97.0,94.45,94.58,5117500,0.0,0.0
2020-02-26,94.68,95.66,93.44,93.65,4371300,0.0,0.0
2020-02-27,92.83,93.32,91.16,91.24,5856400,0.0,0.0
2020-02-28,89.44,90.5,87.48,90.16,6957600,0.0,0.0
2020-03-02,90.28,93.36,88.98,93.29,5160600,0.0,0.0
2020-03-03,92.63,93.92,88.77,89.37,5702000,0.0,0.0
2020-03-04,90.43,93.96,90.25,93.81,5222200,0.0,0.0
2020-03-05,91.61,93.16,89.19,89.86,4941300,0.0,0.0
2020-03-06,86.1,88.28,85.42,87.86,5978500,0.0,0.0
2020-03-09,83.27,84.89,79.58,79.75,7946600,0.0,0.0
2020-03-10,81.98,85.01,80.21,84.98,6713600,0.0,0.0
2020-03-11,82.86,87.83,82.85,86.45,8840300,0.0,0.0
2020-03-12,82.02,85.0,76.41,76.76,9075300,0.0,0.0
2020-03-13,80.15,85.52,76.61,85.39,7401700,0.0,0.0
2020-03-16,78.34,80.55,74.84,76.53,6787700,0.0,0.0
2020-03-17,77.6,80.4,75.45,78.35,7609100,0.0,0.0
2020-03-18,74.6,76.1,63.5,74.32,11114200,0.0,0.0
2020-03-19,74.77,81.99,73.61,79.45,8906200,0.0,0.0
2020-03-20,80.0,82.0,73.16,74.55,6836600,0.0,0.0
2020-03-23,74.98,76.66,70.83,75.7,8328800,0.0,0.0
2020-03-24,78.5,79.71,75.83,78.65,5929100,0.0,0.0
2020-03-25,77.77,85.47,77.75,79.17,6252700,0.0,0.0
2020-03-26,80.0,84.99,79.73,84.63,4821300,0.0,0.0
2020-03-27,82.54,83.9,81.02,81.72,4309600,0.0,0.0
2020-03-30,82.29,83.86,81.24,83.12,5625200,0.0,0.0
2020-03-31,83.04,84.75,81.98,83.9,6920600,0.0,0.0
2020-04-01,82.99,86.71,82.7,85.13,11018800,0.0,0.0
2020-04-02,85.05,88.52,84.02,84.41,22956100,0.0,0.0
2020-04-03,84.56,84.99,81.04,81.98,8378500,0.0,0.0
2020-04-06,84.49,86.49,82.99,86.09,5256300,0.0,0.0
2020-04-07,87.66,87.91,85.17,86.51,4410100,0.0,0.0
2020-04-08,86.6,87.64,86.0,86.85,3831600,0.0,0.0
2020-04-09,86.88,87.75,84.93,85.9,5770900,0.0,0.0
2020-04-13,84.59,87.28,84.47,86.17,3955700,0.0,0.0
2020-04-14,87.19,89.94,86.4,89.62,4787100,0.0,0.0
2020-04-15,87.92,89.39,87.1,88.54,5804000,0.0,0.0
