date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,137.52,137.74,136.14,137.51,1117300,137.13,"January 02, 20",125.26,1117300.0,-0.01,-0.00727167,-7.27167e-05
2020-01-03,136.55,137.37,136.35,137.02,927300,136.91,"January 03, 20",124.82,927300.0,0.47,0.3442,0.003442
2020-01-06,136.15,137.21,135.64,137.17,952800,136.67,"January 06, 20",124.95,952800.0,1.02,0.74917,0.0074917
2020-01-07,135.89,136.63,135.1,135.16,1204600,135.63,"January 07, 20",123.12,1204600.0,-0.73,-0.5372,-0.005372
2020-01-08,135.94,137.7,135.49,136.61,1942800,136.6,"January 08, 20",124.44,1942800.0,0.67,0.49286,0.0049286
2020-01-09,136.7,137.91,136.7,137.62,1228600,137.41,"January 09, 20",125.36,1228600.0,0.92,0.67301,0.0067301
2020-01-10,135.8,136.47,135.32,135.51,1343200,135.77,"January 10, 20",123.44,1343200.0,-0.29,-0.21355,-0.0021355
2020-01-13,135.51,136.3,135.35,136.26,1042500,135.97,"January 13, 20",124.12,1042500.0,0.75,0.55346,0.0055346
2020-01-14,136.0,137.56,136.0,136.65,1485300,136.74,"January 14, 20",124.48,1485300.0,0.65,0.47794,0.0047794
2020-01-15,136.5,137.98,136.31,137.57,905200,137.29,"January 15, 20",125.32,905200.0,1.07,0.78388,0.0078388
2020-01-16,138.0,138.98,137.82,138.85,1249100,138.55,"January 16, 20",126.48,1249100.0,0.85,0.61594,0.0061594
2020-01-17,139.0,141.05,138.84,140.73,1534800,140.21,"January 17, 20",128.2,1534800.0,1.73,1.24,0.0124
2020-01-21,140.77,141.55,140.38,140.91,1604700,140.95,"January 21, 20",128.36,1604700.0,0.14,0.09945301,0.0009945301
2020-01-22,141.29,141.87,140.49,141.34,1656800,141.23,"January 22, 20",128.75,1656800.0,0.05,0.03538821,0.0003538821
2020-01-23,136.29,138.0,133.48,134.19,3636600,135.22,"January 23, 20",122.24,3636600.0,-2.1,-1.54,-0.0154
2020-01-24,133.73,134.88,133.61,134.78,1755100,134.42,"January 24, 20",122.78,1755100.0,1.05,0.78516,0.0078516
2020-01-27,134.35,135.75,133.56,133.73,1519500,134.35,"January 27, 20",121.82,1519500.0,-0.62,-0.46148,-0.0046148
2020-01-28,134.49,135.1,134.34,134.39,1297700,134.61,"January 28, 20",122.42,1297700.0,-0.1,-0.07435497,-0.0007435497
2020-01-29,134.5,134.54,132.95,133.27,1270900,133.59,"January 29, 20",121.4,1270900.0,-1.23,-0.9145,-0.009145
2020-01-30,132.6,134.28,132.11,134.2,1409700,133.53,"January 30, 20",122.25,1409700.0,1.6,1.21,0.0121
2020-01-31,133.66,134.51,131.43,131.62,1844900,132.52,"January 31, 20",119.9,1844900.0,-2.04,-1.53,-0.0153
2020-02-03,132.51,134.29,132.28,133.61,1494900,133.39,"February 03, 20",121.71,1494900.0,1.1,0.83013,0.0083013
2020-02-04,134.41,135.25,132.48,132.58,1541400,133.44,"February 04, 20",120.77,1541400.0,-1.83,-1.36,-0.0136
2020-02-05,133.86,136.84,133.86,136.78,1404500,135.83,"February 05, 20",124.6,1404500.0,2.92,2.18,0.0218
2020-02-06,137.28,138.0,136.48,136.5,937600,136.99,"February 06, 20",124.34,937600.0,-0.78,-0.56818,-0.0056818
2020-02-07,136.4,136.88,135.23,136.01,900200,136.04,"February 07, 20",123.9,900200.0,-0.39,-0.28592,-0.0028592
2020-02-10,136.01,136.27,135.14,136.22,807700,135.88,"February 10, 20",124.09,807700.0,0.21,0.1544,0.001544
2020-02-11,136.34,137.51,135.65,137.38,1042000,136.85,"February 11, 20",125.14,1042000.0,1.04,0.7628,0.007628
2020-02-12,137.57,137.69,135.69,135.71,824800,136.36,"February 12, 20",123.62,824800.0,-1.86,-1.35,-0.0135
2020-02-13,135.91,137.16,135.23,136.88,927200,136.42,"February 13, 20",124.69,927200.0,0.97,0.71371,0.0071371
2020-02-14,136.62,138.16,136.23,137.76,981400,137.38,"February 14, 20",125.49,981400.0,1.14,0.83443,0.0083443
2020-02-18,137.48,137.69,135.76,135.88,1206100,136.44,"February 18, 20",123.78,1206100.0,-1.6,-1.16,-0.0116
2020-02-19,136.0,136.17,134.19,134.51,1272200,134.96,"February 19, 20",122.53,1272200.0,-1.49,-1.1,-0.011
2020-02-20,133.98,134.45,132.6,133.98,1629100,133.68,"February 20, 20",122.05,1629100.0,0.0,0.0,0.0
2020-02-21,134.26,135.33,133.24,135.16,1469700,134.58,"February 21, 20",123.12,1469700.0,0.9,0.67034,0.0067034
2020-02-24,133.52,135.55,133.32,134.12,1828700,134.33,"February 24, 20",122.17,1828700.0,0.6,0.44937,0.0044937
2020-02-25,134.11,134.2,130.73,130.79,1949000,131.91,"February 25, 20",119.14,1949000.0,-3.32,-2.48,-0.0248
2020-02-26,131.28,132.16,128.56,128.56,1715500,129.76,"February 26, 20",117.11,1715500.0,-2.72,-2.07,-0.0207
2020-02-27,127.35,129.06,124.04,124.08,2689600,125.73,"February 27, 20",113.03,2689600.0,-3.27,-2.57,-0.0257
2020-02-28,121.72,122.74,117.38,119.81,3753300,119.98,"February 28, 20",109.14,3753300.0,-1.91,-1.57,-0.0157
2020-03-02,119.81,127.69,119.33,127.68,3349900,124.9,"March 02, 20",116.31,3349900.0,7.87,6.57,0.0657
2020-03-03,127.58,128.6,124.37,125.31,2694500,126.09,"March 03, 20",114.15,2694500.0,-2.27,-1.78,-0.0178
