date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,26.35,27.21,26.11,27.15,22197000,0.0,0.0
2020-01-03,26.48,27.34,26.22,27.19,13736000,0.0,0.0
2020-01-06,26.7,28.01,26.6,27.79,18238000,0.0,0.0
2020-01-07,27.9,28.56,27.43,28.03,21999000,0.0,0.0
2020-01-08,28.03,28.93,27.91,28.52,20523000,0.0,0.0
2020-01-09,29.1,29.14,28.07,28.66,20672000,0.0,0.0
2020-01-10,28.58,28.61,27.6,27.78,19620000,0.0,0.0
2020-01-13,28.14,29.39,27.9,28.82,23046000,0.0,0.0
2020-01-14,28.98,29.37,27.98,28.42,18658000,0.0,0.0
2020-01-15,28.26,29.07,28.25,28.48,14693000,0.0,0.0
2020-01-16,28.63,28.84,27.9,28.1,15080000,0.0,0.0
2020-01-17,28.36,28.56,27.71,28.09,18731000,0.0,0.0
2020-01-21,28.09,28.88,27.66,28.0,15690000,0.0,0.0
2020-01-22,28.39,28.82,28.11,28.22,12679000,0.0,0.0
2020-01-23,28.22,28.22,27.12,28.04,10772000,0.0,0.0
2020-01-24,28.33,28.66,27.69,28.02,13925000,0.0,0.0
2020-01-27,26.94,27.71,26.49,27.32,23745000,0.0,0.0
2020-01-28,27.5,28.41,27.39,28.18,21851000,0.0,0.0
2020-01-29,28.4,28.5,27.99,28.1,12249000,0.0,0.0
2020-01-30,27.74,28.1,27.23,27.76,14851000,0.0,0.0
2020-01-31,27.85,27.9,26.6,26.92,15751000,0.0,0.0
2020-02-03,26.81,27.53,26.6,27.4,17840000,0.0,0.0
2020-02-04,27.96,30.61,27.95,30.31,25938000,0.0,0.0
2020-02-05,30.96,31.4,28.27,28.75,28377000,0.0,0.0
2020-02-06,28.89,29.55,28.38,28.87,14216000,0.0,0.0
2020-02-07,28.82,29.83,28.62,29.13,15811000,0.0,0.0
2020-02-10,29.15,29.97,29.1,29.81,9970000,0.0,0.0
2020-02-11,30.1,30.35,29.32,29.64,20218000,0.0,0.0
2020-02-12,30.05,30.77,29.48,30.48,19197000,0.0,0.0
2020-02-13,30.05,30.78,29.91,30.66,7956000,0.0,0.0
2020-02-14,30.96,31.37,30.3,30.53,12044000,0.0,0.0
2020-02-18,30.6,31.15,30.42,30.84,11614000,0.0,0.0
2020-02-19,31.21,31.83,30.85,31.54,19120000,0.0,0.0
2020-02-20,31.49,32.38,30.26,31.15,21514000,0.0,0.0
2020-02-21,30.9,31.2,29.7,30.19,13401000,0.0,0.0
2020-02-24,27.8,28.9,26.91,28.32,20997000,0.0,0.0
2020-02-25,29.05,29.17,27.05,27.35,18786000,0.0,0.0
2020-02-26,27.35,28.29,26.3,26.69,18754000,0.0,0.0
2020-02-27,25.32,26.18,24.15,25.0,33457000,0.0,0.0
2020-02-28,26.47,28.76,25.75,28.73,52216000,0.0,0.0
2020-03-02,29.55,29.75,27.5,28.81,30320000,0.0,0.0
2020-03-03,28.64,29.08,27.31,27.77,20810000,0.0,0.0
2020-03-04,28.43,28.6,26.65,27.5,17685000,0.0,0.0
2020-03-05,26.81,27.76,26.62,27.12,14001000,0.0,0.0
2020-03-06,26.5,26.59,24.59,25.29,22486000,0.0,0.0
2020-03-09,22.58,23.8,21.6,21.65,29419000,0.0,0.0
2020-03-10,23.02,23.64,21.12,23.57,26180000,0.0,0.0
2020-03-11,22.7,23.6,21.75,22.39,21542000,0.0,0.0
2020-03-12,20.05,21.0,19.1,19.26,30180000,0.0,0.0
2020-03-13,20.9,20.9,18.4,20.0,23602000,0.0,0.0
2020-03-16,17.6,18.23,16.05,16.05,27825000,0.0,0.0
2020-03-17,16.5,18.34,15.31,17.0,26163000,0.0,0.0
2020-03-18,15.7,16.5,13.9,14.44,31626000,0.0,0.0
2020-03-19,14.62,17.0,13.6,16.74,31830000,0.0,0.0
2020-03-20,17.32,18.94,16.88,17.0,31360000,0.0,0.0
2020-03-23,17.07,17.97,16.0,17.67,20168000,0.0,0.0
2020-03-24,19.22,20.2,18.8,19.4,23940000,0.0,0.0
2020-03-25,19.96,20.72,18.11,19.69,28768000,0.0,0.0
2020-03-26,19.82,21.5,19.82,20.91,17430000,0.0,0.0
2020-03-27,19.95,20.66,19.05,19.97,15251000,0.0,0.0
2020-03-30,19.7,20.2,19.07,19.75,17093000,0.0,0.0
2020-03-31,19.61,20.1,18.85,19.3,19276000,0.0,0.0
2020-04-01,18.49,18.69,17.02,17.23,20772000,0.0,0.0
2020-04-02,17.0,17.44,16.03,16.48,21000000,0.0,0.0
2020-04-03,16.58,16.85,15.35,16.04,21384000,0.0,0.0
2020-04-06,16.95,19.05,16.63,19.0,31106000,0.0,0.0
2020-04-07,20.5,21.1,19.03,19.13,23772000,0.0,0.0
2020-04-08,19.7,20.9,19.56,20.74,18004000,0.0,0.0
2020-04-09,21.7,22.56,20.73,21.38,24676000,0.0,0.0
2020-04-13,21.53,21.99,20.66,21.86,17023000,0.0,0.0
2020-04-14,23.19,24.0,22.61,23.34,20471000,0.0,0.0
2020-04-15,22.45,23.1,22.1,22.66,13492000,0.0,0.0
